,0
year,1511586
is_vahta,748
experience_id,1496.0
region_name,Алтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайАлтайский крайСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСтавропольский крайСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСтавропольский крайСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСтавропольский крайСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСаратовская областьСтавропольский крайСтавропольский крайМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьВолгоградская областьВолгоградская областьВолгоградская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьМосковская областьМосковская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьКурская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьМосковская областьМосковская областьМосковская областьМосковская областьМосковская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьБелгородская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьКурская областьКурская областьКурская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьТамбовская областьАлтайский крайСаратовская областьСаратовская областьСаратовская областьМосковская областьОренбургская областьОренбургская областьОренбургская областьОренбургская областьБелгородская областьВоронежская областьВоронежская областьВоронежская областьВоронежская областьКурская областьВолгоградская областьВолгоградская областьВолгоградская областьВолгоградская областьБелгородская областьВоронежская областьТамбовская область
industry_group,1496
is_parttime,0
Техническое обслуживание оборудования (4130_35),2.0
Знания устройства и принципа действия станков с ЧПУ (3752_35),0.0
Штамповочные работы (3747_35),18.0
Составление и корректировка управляющих программ (3667_35),93.0
