id,name
13,Совет по профессиональным квалификациям в области управления персоналом
24,УТ Инструменты
10,Совет по профессиональным квалификациям в строительстве
1,"Совет по профессиональным квалификациям  в сфере безопасности труда, социальной защиты  и занятости населения"
9,Совет по профессиональным квалификациям в сфере гостеприимства
37,"СПК в торговой, внешнеторговой и по отдельным видам предпринимательской и экономической деятельности"
33,СПК в области документационного и административно-хозяйственного обеспечения деятельности организации
16,Совет по профессиональным квалификациям в сфере образования
15,"Совет по профессиональным квалификациям торговой, внешнеторговой и по отдельным видам предпринимательской и экономической деятельности"
36,ССПК Обобщенные профессиональные требования
17,ВНИИ Труда
18,СПК Цифровые компетенции
20,WS Изолировщик
21,WS Погрузчик складской
22,WS Погрузчик строительный
14,Совет по профессиональным квалификациям агропромышленного комплекса
4,ССПК Общие и личностные компетенции
38,СПК в электроэнергетике
11,Совет по профессиональным квалификациям в области информационных технологий
6,Совет по профессиональным  квалификациям в области  промышленной электроники и  приборостроения
3,Совет по профессиональным квалификациям в области сварки
23,Совет по профессиональным квалификациям на железнодорожном транспорте
28,Совет по профессиональным квалификациям Городского пассажирского транспорта
31,Совет по профессиональным квалификациям в автомобилестроении
8,Совет по профессиональным квалификациям финансового рынка
32,УТ Языки
39,"СПК в целлюлозно-бумажной, мебельной и деревообрабатывающей промышленности"
7,Совет по профессиональным квалификациям в машиностроении
29,Совет по профессиональным  квалификациям в жилищно-коммунальном хозяйстве
30,"В лифтовой отрасли, сфере подъемных сооружений и вертикального транспорта"
26,Технический (было УТ Условия труда)
2,Совет по профессиональным квалификациям в сфере культуры_удалить
12,Совет по профессиональным квалификациям в здравоохранении
27,"Совет по профессиональным квалификациям в области телекоммуникаций, почтовой связи и радиотехники"
34,ТГУ
25,"УТ Соцпакет, оплата труда, условия труда"
19,Совет по профессиональным квалификациям в сфере культуры
35,СПК в машиностроении (2)
40,СПК в сфере информационной безопасности
