region_name,industry_group
Республика Марий Эл,1
Ростовская область,2
Ивановская область,1
Томская область,1
Чувашская Республика,1
Пензенская область,1
Оренбургская область,2
Тамбовская область,2
Удмуртская Республика,1
Омская область,1
Владимирская область,1
Смоленская область,1
Волгоградская область,2
Нижегородская область,0
Псковская область,1
Вологодская область,1
Костромская область,1
Саратовская область,2
Курганская область,1
Кировская область,1
Новгородская область,1
Республика Мордовия,1
Республика Адыгея,1
Тверская область,1
Республика Хакасия,1
Сахалинская область,1
Астраханская область,1
Красноярский край,1
Камчатский край,1
Еврейская автономная область,1
Ставропольский край,2
Республика Калмыкия,1
Республика Тыва,1
Челябинская область,0
Республика Татарстан,0
Самарская область,0
Рязанская область,1
Республика Башкортостан,0
Кемеровская область,1
Тульская область,1
Иркутская область,1
Тюменская область,1
Воронежская область,2
Калужская область,1
Ярославская область,1
Пермский край,1
Ульяновская область,1
город федерального значения Севастополь,1
Белгородская область,2
Орловская область,1
Калининградская область,1
Липецкая область,1
Архангельская область,1
Республика Карелия,1
Забайкальский край,1
Республика Крым,1
Республика Саха (Якутия),1
Республика Бурятия,1
Курская область,2
Приморский край,1
Республика Дагестан,1
Брянская область,1
Мурманская область,1
Новосибирская область,0
Ленинградская область,1
Кабардино-Балкарская Республика,1
Чеченская Республика,1
Карачаево-Черкесская Республика,1
Республика Коми,1
Магаданская область,1
Республика Алтай,1
Город федерального значения Санкт-Петербург,0
Свердловская область,1
Краснодарский край,0
Хабаровский край,1
Ханты-Мансийский автономный округ — Югра,1
Республика Северная Осетия,1
Амурская область,1
Московская область,2
Город федерального значения Москва,0
Ямало-Ненецкий автономный округ,1
Алтайский край,2
Чукотский автономный округ,1
Ненецкий автономный округ,1
