is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Контроль процессов (6210_14),"Личные установки и ценности, мировоззрение (2043_4)",Содержание сельскохозяйственных животных (4689_14),Кормление сельскохозяйственных животных (4684_14),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),Командность (СК) (1371_4),"Организаторские способности, лидерство (СК) (393_4)","Саморазвитие, обучаемость (СК) (604_4)",Соблюдение правил внутреннего распорядка и режима работы (4476_14),координирует работу по разведению выращиванию животных (7491_14),должностные обязанности зоотехника (4749_14),Оформление учетно-отчетной документации (143_14),планирование потребности в кормах (7989_14),Аккуратность (СК) (575_4),Производит отбор животных на племя (7487_14),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),Обеспечивает разработку и внедрение зоотехнических и организационно-экономических мероприятий (7495_14),внедряет передовые методы разведения выращивания скота и птицы (4673_14),Инициативность (СК) (610_4),Знание зоотехнии (7628_14),Осуществлять руководство работой ветеринарных специалистов (4472_14),Нравственность (СК) (622_4),Пунктуальность (СК) (612_4),Знание методов разведения и выращивания скота и птицы (4650_14),Составляет планы работы (5950_14),Оформление учетно-отчетной документации по искусственному осеменению животных и птицы (212_14),Формирование и контроль исполнения бюджета (6510_14),Ведение зоотехнической документации (7490_14),Контроль качества (4458_14)
False,0.0,Кировская область,1,False,10000.0,50000.0,6684.0081,4014.9287,3178.014,3030.9885,2567.2925,2522.0538,1832.1647,1572.0425,1560.7329,1436.3266,1436.3266,1357.159,1300.6107,1266.6817,1221.4431,1210.1335,1176.2045,1153.5852,1097.0369,1085.7272,927.392,927.392,882.1534,848.2244,825.6051,780.3664,769.0568,735.1278,712.5085,678.5795,610.7216,599.4119
False,0.0,Оренбургская область,2,False,10000.0,50000.0,6684.0081,4014.9287,3178.014,3030.9885,2567.2925,2522.0538,1832.1647,1572.0425,1560.7329,1436.3266,1436.3266,1357.159,1300.6107,1266.6817,1221.4431,1210.1335,1176.2045,1153.5852,1097.0369,1085.7272,927.392,927.392,882.1534,848.2244,825.6051,780.3664,769.0568,735.1278,712.5085,678.5795,610.7216,599.4119
False,0.0,Республика Башкортостан,0,False,10000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Забайкальский край,1,False,10000.0,25000.0,3342.0041,2007.4644,1589.007,1515.4942,1283.6462,1261.0269,916.0823,786.0213,780.3664,718.1633,718.1633,678.5795,650.3054,633.3409,610.7216,605.0667,588.1022,576.7926,548.5184,542.8636,463.696,463.696,441.0767,424.1122,412.8025,390.1832,384.5284,367.5639,356.2542,339.2898,305.3608,299.7059
False,0.0,Удмуртская Республика,1,False,10000.0,45000.0,6015.6073,3613.4359,2860.2126,2727.8896,2310.5632,2269.8485,1648.9482,1414.8383,1404.6596,1292.694,1292.694,1221.4431,1170.5496,1140.0136,1099.2988,1089.1201,1058.584,1038.2266,987.3332,977.1545,834.6528,834.6528,793.938,763.4019,743.0446,702.3298,692.1511,661.615,641.2576,610.7216,549.6494,539.4707
False,0.0,Чувашская Республика,1,False,10000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Ульяновская область,1,False,10000.0,25000.0,3342.0041,2007.4644,1589.007,1515.4942,1283.6462,1261.0269,916.0823,786.0213,780.3664,718.1633,718.1633,678.5795,650.3054,633.3409,610.7216,605.0667,588.1022,576.7926,548.5184,542.8636,463.696,463.696,441.0767,424.1122,412.8025,390.1832,384.5284,367.5639,356.2542,339.2898,305.3608,299.7059
False,0.0,Республика Коми,1,False,10000.0,25000.0,3342.0041,2007.4644,1589.007,1515.4942,1283.6462,1261.0269,916.0823,786.0213,780.3664,718.1633,718.1633,678.5795,650.3054,633.3409,610.7216,605.0667,588.1022,576.7926,548.5184,542.8636,463.696,463.696,441.0767,424.1122,412.8025,390.1832,384.5284,367.5639,356.2542,339.2898,305.3608,299.7059
False,0.0,Республика Хакасия,1,False,18215.5,35000.0,4678.8057,2810.4501,2224.6098,2121.6919,1797.1047,1765.4377,1282.5153,1100.4298,1092.513,1005.4286,1005.4286,950.0113,910.4275,886.6772,855.0102,847.0934,823.3431,807.5096,767.9258,760.009,649.1744,649.1744,617.5074,593.7571,577.9235,546.2565,538.3397,514.5895,498.7559,475.0057,427.5051,419.5883
False,0.0,Республика Калмыкия,1,False,15000.0,20000.0,2673.6033,1605.9715,1271.2056,1212.3954,1026.917,1008.8215,732.8659,628.817,624.2931,574.5306,574.5306,542.8636,520.2443,506.6727,488.5772,484.0534,470.4818,461.4341,438.8147,434.2909,370.9568,370.9568,352.8613,339.2898,330.242,312.1466,307.6227,294.0511,285.0034,271.4318,244.2886,239.7648
False,0.0,Республика Северная Осетия,1,False,15000.0,20000.0,2673.6033,1605.9715,1271.2056,1212.3954,1026.917,1008.8215,732.8659,628.817,624.2931,574.5306,574.5306,542.8636,520.2443,506.6727,488.5772,484.0534,470.4818,461.4341,438.8147,434.2909,370.9568,370.9568,352.8613,339.2898,330.242,312.1466,307.6227,294.0511,285.0034,271.4318,244.2886,239.7648
