is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Английский язык (ЯС) (1918_32),Таможенное оформление (признаки требований) (7516_36),Внимательность (СК) (536_4),Работа с документами (Логистика) (3969_37),Организация перевозок (Логистика) (3802_37),"Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)",Коммуникабельность (СК) (617_4),Стрессоустойчивость (СК) (601_4),Пунктуальность (СК) (612_4),"Организаторские способности, лидерство (СК) (393_4)","Саморазвитие, обучаемость (СК) (604_4)",Целеустремленность (СК) (588_4),Ведение переговоров (Логистика) (3689_37),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Поиск перевозчиков (3487_37),Знание пакета MS OFFICE (Логистика) (4199_37),Заключение договоров (3483_37),Грамотность (СК) (1368_4),Знания.Программы.Офисное ПО/ПК и оргтехника.Логистика (4064_37),Выполнение поручений руководителя (ОПТ) (3036_36),Действия.Контроль транспорта.Логистика (4822_37)
False,0.0,Республика Ингушетия,1,False,15000.0,15000.0,1839.1016,1226.0677,1165.3166,1071.4286,922.3122,839.4698,811.8557,734.5361,712.4448,679.3078,541.2371,524.6686,519.1458,513.623,441.8262,403.1664,381.0751,381.0751,342.4153,336.8925,331.3697,281.6642
False,0.0,Херсонская область,1,False,13000.0,26000.0,3187.7761,2125.1841,2019.8822,1857.1429,1598.6745,1455.081,1407.2165,1273.1959,1234.9043,1177.4669,938.1443,909.4256,899.8527,890.2798,765.8321,698.8218,660.5302,660.5302,593.5199,583.947,574.3741,488.218
False,0.0,Кабардино-Балкарская Республика,1,False,12130.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Чеченская Республика,1,False,20000.0,25000.0,3065.1694,2043.4462,1942.1944,1785.7143,1537.187,1399.1163,1353.0928,1224.2268,1187.408,1132.1797,902.0619,874.4477,865.243,856.0383,736.377,671.944,635.1252,635.1252,570.6922,561.4875,552.2828,469.4404
False,0.0,Луганская область,1,False,30000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Самарская область,0,False,15000.0,90000.0,11034.6097,7356.4065,6991.8999,6428.5714,5533.8733,5036.8189,4871.134,4407.2165,4274.6686,4075.8468,3247.4227,3148.0118,3114.8748,3081.7378,2650.9573,2418.9985,2286.4507,2286.4507,2054.4919,2021.3549,1988.218,1689.9853
False,0.0,Самарская область,0,True,30000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Челябинская область,0,False,15000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Пермский край,1,False,15000.0,80000.0,9808.542,6539.028,6215.0221,5714.2857,4918.9985,4477.1723,4329.8969,3917.5258,3799.7054,3622.975,2886.5979,2798.2327,2768.7776,2739.3225,2356.4065,2150.2209,2032.4006,2032.4006,1826.215,1796.7599,1767.3049,1502.2091
False,0.0,Курская область,2,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Алтайский край,2,False,15000.0,55000.0,6743.3726,4495.5817,4272.8277,3928.5714,3381.8115,3078.056,2976.8041,2693.299,2612.2975,2490.7953,1984.5361,1923.785,1903.5346,1883.2842,1620.0295,1478.2769,1397.2754,1397.2754,1255.5228,1235.2725,1215.0221,1032.7688
False,0.0,Алтайский край,2,True,20000.0,35000.0,4291.2371,2860.8247,2719.0722,2500.0,2152.0619,1958.7629,1894.3299,1713.9175,1662.3711,1585.0515,1262.8866,1224.2268,1211.3402,1198.4536,1030.9278,940.7216,889.1753,889.1753,798.9691,786.0825,773.1959,657.2165
False,0.0,Саратовская область,2,False,15000.0,45000.0,5517.3049,3678.2032,3495.9499,3214.2857,2766.9367,2518.4094,2435.567,2203.6082,2137.3343,2037.9234,1623.7113,1574.0059,1557.4374,1540.8689,1325.4786,1209.4993,1143.2253,1143.2253,1027.2459,1010.6775,994.109,844.9926
False,0.0,Оренбургская область,2,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Кировская область,1,False,15000.0,45000.0,5517.3049,3678.2032,3495.9499,3214.2857,2766.9367,2518.4094,2435.567,2203.6082,2137.3343,2037.9234,1623.7113,1574.0059,1557.4374,1540.8689,1325.4786,1209.4993,1143.2253,1143.2253,1027.2459,1010.6775,994.109,844.9926
False,0.0,Ивановская область,1,False,15000.0,80000.0,9808.542,6539.028,6215.0221,5714.2857,4918.9985,4477.1723,4329.8969,3917.5258,3799.7054,3622.975,2886.5979,2798.2327,2768.7776,2739.3225,2356.4065,2150.2209,2032.4006,2032.4006,1826.215,1796.7599,1767.3049,1502.2091
False,0.0,Костромская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Брянская область,1,False,10000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Томская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Томская область,1,True,25000.0,25000.0,3065.1694,2043.4462,1942.1944,1785.7143,1537.187,1399.1163,1353.0928,1224.2268,1187.408,1132.1797,902.0619,874.4477,865.243,856.0383,736.377,671.944,635.1252,635.1252,570.6922,561.4875,552.2828,469.4404
