is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Внимательность (СК) (536_4),Дисциплинированность (СК) (593_4),Кропотливость (СК) (623_4),"Саморазвитие, обучаемость (СК) (604_4)","Личные установки и ценности, мировоззрение (2043_4)","Знание ПК, различных операционных систем, офисных программ (2286_33)","Восприятие, мышление, внимание, память (УСК) (1330_4)","Работа с заказами (заявками, запросами) клиентов (2858_33)",Коммуникабельность (СК) (617_4),Владение ПК и оргтехникой (2686_33)
False,0.0,Херсонская область,1,True,7800.0,7800.0,1802.2953,1408.4162,835.5011,740.0153,632.5937,477.4292,423.7184,393.8791,375.9755,370.0077,340.1683
False,0.0,Республика Калмыкия,1,True,5000.0,5000.0,1155.3175,902.8309,535.5777,474.3688,405.5088,306.0444,271.6144,252.4866,241.0099,237.1844,218.0566
False,0.0,Республика Калмыкия,1,False,12130.0,15000.0,3465.9526,2708.4927,1606.733,1423.1064,1216.5264,918.1331,814.8432,757.4598,723.0298,711.5532,654.1699
False,0.0,Саратовская область,2,True,8150.0,15279.0,3530.4193,2758.8707,1636.6182,1449.5761,1239.1538,935.2104,829.9992,771.5486,736.4782,724.7881,666.3374
False,0.0,Саратовская область,2,False,8500.0,35000.0,8087.2226,6319.8164,3749.0436,3320.5815,2838.5616,2142.3106,1901.3007,1767.4063,1687.0696,1660.2907,1526.3963
False,0.0,Волгоградская область,2,True,11163.0,17000.0,3928.0796,3069.6251,1820.964,1612.8539,1378.7299,1040.5509,923.4889,858.4545,819.4338,806.4269,741.3925
False,0.0,Волгоградская область,2,False,8150.0,40000.0,9242.5402,7222.6473,4284.6213,3794.9503,3244.0704,2448.355,2172.9151,2019.8929,1928.0796,1897.4751,1744.4529
False,0.0,Псковская область,1,True,11300.0,17000.0,3928.0796,3069.6251,1820.964,1612.8539,1378.7299,1040.5509,923.4889,858.4545,819.4338,806.4269,741.3925
False,0.0,Псковская область,1,False,8150.0,23000.0,5314.4606,4153.0222,2463.6572,2182.0964,1865.3405,1407.8041,1249.4262,1161.4384,1108.6458,1091.0482,1003.0604
False,0.0,Костромская область,1,True,16000.0,17000.0,3928.0796,3069.6251,1820.964,1612.8539,1378.7299,1040.5509,923.4889,858.4545,819.4338,806.4269,741.3925
False,0.0,Костромская область,1,False,11163.0,29000.0,6700.8416,5236.4193,3106.3504,2751.3389,2351.951,1775.0574,1575.3634,1464.4223,1397.8577,1375.6695,1264.7284
False,0.0,Астраханская область,1,True,15000.0,23000.0,5314.4606,4153.0222,2463.6572,2182.0964,1865.3405,1407.8041,1249.4262,1161.4384,1108.6458,1091.0482,1003.0604
False,0.0,Астраханская область,1,False,8150.0,25000.0,5776.5876,4514.1546,2677.8883,2371.8439,2027.544,1530.2219,1358.0719,1262.4331,1205.0497,1185.922,1090.2831
False,0.0,Кировская область,1,True,11300.0,23000.0,5314.4606,4153.0222,2463.6572,2182.0964,1865.3405,1407.8041,1249.4262,1161.4384,1108.6458,1091.0482,1003.0604
False,0.0,Кировская область,1,False,8150.0,33100.0,7648.202,5976.7406,3545.5241,3140.3213,2684.4682,2026.0138,1798.0872,1671.4614,1595.4858,1570.1607,1443.5348
False,0.0,Орловская область,1,True,11163.0,11300.0,2611.0176,2040.3979,1210.4055,1072.0735,916.4499,691.6603,613.8485,570.6197,544.6825,536.0367,492.808
False,0.0,Орловская область,1,False,8121.0,27000.0,6238.7146,4875.2869,2892.1194,2561.5914,2189.7475,1652.6396,1466.7177,1363.4277,1301.4537,1280.7957,1177.5057
False,0.0,Республика Адыгея,1,True,17000.0,17000.0,3928.0796,3069.6251,1820.964,1612.8539,1378.7299,1040.5509,923.4889,858.4545,819.4338,806.4269,741.3925
