is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Укладка плитки (250_10),"Личные установки и ценности, мировоззрение (2043_4)",Аккуратность (СК) (575_4),"Облицовка плиткой (стены, потолки и прочие конструкции) (818_10)",Командность (СК) (1371_4),Подготовка к облицовке плиткой (815_10),Нравственность (СК) (622_4),Коммуникабельность (СК) (617_4),Высокая работоспособность (СК) (586_4),Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),Выполнение ремонтных работ (ОПТ) (8285_36),Трудолюбие (СК) (597_4)
False,1.0,Приморский край,1,False,18000.0,80000.0,18395.8307,12152.0275,8379.306,8338.6297,8308.1225,4881.1491,4067.6243,2277.8696,2237.1933,2176.179,2074.4884,1932.1215,1911.7834,1820.2619,1047.4132
False,1.0,Саратовская область,2,False,12500.0,80000.0,18395.8307,12152.0275,8379.306,8338.6297,8308.1225,4881.1491,4067.6243,2277.8696,2237.1933,2176.179,2074.4884,1932.1215,1911.7834,1820.2619,1047.4132
False,1.0,Саратовская область,2,True,40000.0,40000.0,9197.9153,6076.0137,4189.653,4169.3149,4154.0613,2440.5746,2033.8121,1138.9348,1118.5967,1088.0895,1037.2442,966.0608,955.8917,910.1309,523.7066
False,1.0,Город федерального значения Санкт-Петербург,0,False,30000.0,125000.0,28743.4854,18987.5429,13092.6656,13029.1089,12981.4415,7626.7955,6355.6629,3559.1712,3495.6146,3400.2796,3241.3881,3018.9399,2987.1616,2844.1591,1636.5832
False,1.0,Город федерального значения Москва,0,False,28500.0,150000.0,34492.1825,22785.0515,15711.1987,15634.9307,15577.7298,9152.1546,7626.7955,4271.0055,4194.7375,4080.3356,3889.6657,3622.7279,3584.5939,3412.991,1963.8998
False,1.0,Нижегородская область,0,False,20000.0,96000.0,22074.9968,14582.4329,10055.1672,10006.3557,9969.747,5857.3789,4881.1491,2733.4435,2684.632,2611.4148,2489.386,2318.5458,2294.1401,2184.3142,1256.8959
False,1.0,Челябинская область,0,False,20000.0,120000.0,27593.746,18228.0412,12568.9589,12507.9446,12462.1838,7321.7237,6101.4364,3416.8044,3355.79,3264.2685,3111.7326,2898.1823,2867.6751,2730.3928,1571.1199
False,1.0,Республика Татарстан,0,False,15000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,1.0,Ростовская область,0,False,20000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,1.0,Калужская область,1,False,20000.0,105000.0,24144.5278,15949.536,10997.8391,10944.4515,10904.4108,6406.5082,5338.7568,2989.7038,2936.3163,2856.2349,2722.766,2535.9095,2509.2157,2389.0937,1374.7299
False,1.0,Московская область,2,False,28500.0,105000.0,24144.5278,15949.536,10997.8391,10944.4515,10904.4108,6406.5082,5338.7568,2989.7038,2936.3163,2856.2349,2722.766,2535.9095,2509.2157,2389.0937,1374.7299
False,1.0,Московская область,2,True,28500.0,28500.0,6553.5147,4329.1598,2985.1277,2970.6368,2959.7687,1738.9094,1449.0911,811.491,797.0001,775.2638,739.0365,688.3183,681.0728,648.4683,373.141
