is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Командность (СК) (1371_4),"Организаторские способности, лидерство (СК) (393_4)",Пунктуальность (СК) (612_4)
False,0.0,Удмуртская Республика,1,False,11163.0,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Оренбургская область,2,False,9608.5,15634.5,6652.5587,3750.7008,3197.9659,2033.2746
False,0.0,Ивановская область,1,False,11163.0,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Алтайский край,2,False,8092.5,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Алтайский край,2,True,19099.75,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Свердловская область,0,False,9608.5,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Белгородская область,2,False,8092.5,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Курганская область,1,False,9608.5,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Ростовская область,0,False,12000.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,0.0,Ставропольский край,2,False,11280.0,16242.0,6911.053,3896.4394,3322.2273,2112.2803
False,0.0,Омская область,1,False,12000.0,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,0.0,Волгоградская область,2,False,12000.0,17785.5,7567.8201,4266.7235,3637.9432,2313.0133
False,0.0,Саратовская область,2,False,12759.0,16242.0,6911.053,3896.4394,3322.2273,2112.2803
False,0.0,Костромская область,1,False,14527.0,15163.0,6451.9331,3637.5884,3101.5227,1971.9558
False,0.0,Краснодарский край,0,False,12000.0,17785.5,7567.8201,4266.7235,3637.9432,2313.0133
False,0.0,Ульяновская область,1,False,11280.0,15559.5,6620.6458,3732.7083,3182.625,2023.5208
False,0.0,Ульяновская область,1,True,12182.0,12182.0,5183.5025,2922.4495,2491.7727,1584.2753
False,0.0,Ярославская область,1,False,12000.0,13000.0,5531.5657,3118.6869,2659.0909,1690.6566
False,0.0,Тверская область,1,False,12000.0,12759.0,5429.0189,3060.8712,2609.7955,1659.3144
False,0.0,Орловская область,1,False,12000.0,15634.5,6652.5587,3750.7008,3197.9659,2033.2746
False,0.0,Кировская область,1,False,12843.5,15163.0,6451.9331,3637.5884,3101.5227,1971.9558
False,0.0,"иные территории, включая город и космодром Байконур",1,False,15000.0,15000.0,6382.5758,3598.4848,3068.1818,1950.7576
False,0.0,Чувашская Республика,1,False,11280.0,16800.0,7148.4848,4030.303,3436.3636,2184.8485
False,0.0,Челябинская область,0,False,14475.0,15000.0,6382.5758,3598.4848,3068.1818,1950.7576
False,0.0,Вологодская область,1,False,15000.0,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Самарская область,0,False,11280.0,15634.5,6652.5587,3750.7008,3197.9659,2033.2746
False,0.0,Рязанская область,1,False,15000.0,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Владимирская область,1,False,11280.0,15559.5,6620.6458,3732.7083,3182.625,2023.5208
False,0.0,Республика Марий Эл,1,False,11280.0,12759.0,5429.0189,3060.8712,2609.7955,1659.3144
False,0.0,Республика Башкортостан,0,False,12759.0,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Липецкая область,1,False,12759.0,12759.0,5429.0189,3060.8712,2609.7955,1659.3144
False,0.0,Новгородская область,1,False,13000.0,15163.0,6451.9331,3637.5884,3101.5227,1971.9558
False,0.0,Пермский край,1,False,15634.5,15634.5,6652.5587,3750.7008,3197.9659,2033.2746
False,0.0,Республика Мордовия,1,False,14527.0,14527.0,6181.3119,3485.0126,2971.4318,1889.2437
False,0.0,Республика Дагестан,1,False,13000.0,13000.0,5531.5657,3118.6869,2659.0909,1690.6566
False,0.0,Пензенская область,1,False,13000.0,13000.0,5531.5657,3118.6869,2659.0909,1690.6566
False,0.0,Республика Крым,1,False,15559.5,15559.5,6620.6458,3732.7083,3182.625,2023.5208
False,0.0,Астраханская область,1,False,19099.75,19099.75,8127.0401,4582.0107,3906.767,2483.9321
False,0.0,Астраханская область,1,True,15559.5,15559.5,6620.6458,3732.7083,3182.625,2023.5208
