is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Грамотность (СК) (1368_4),Внимательность (СК) (536_4),Содействие в консультировании по вопросам социальной защиты (277_1),"Саморазвитие, обучаемость (СК) (604_4)","Определение объема и форм социальной помощи, методов и технологий социальной работы (407_1)",Работа с информацией (356_1),Предоставление социальных услуг (183_1)
False,0.0,Город федерального значения Москва,0,False,24000.0,60000.0,11874.5332,9141.1501,9006.7214,6587.0052,5108.2898,3047.05,3002.2405,3002.2405,2374.9066,2285.2875,2285.2875,2285.2875
False,0.0,Город федерального значения Москва,0,True,30873.0,30873.0,6110.0411,4703.5788,4634.4085,3389.3435,2628.4705,1567.8596,1544.8028,1544.8028,1222.0082,1175.8947,1175.8947,1175.8947
False,0.0,Республика Башкортостан,0,False,9000.0,22000.0,4353.9955,3351.755,3302.4645,2415.2353,1873.0396,1117.2517,1100.8215,1100.8215,870.7991,837.9388,837.9388,837.9388
False,0.0,Город федерального значения Санкт-Петербург,0,False,15000.0,45000.0,8905.8999,6855.8626,6755.0411,4940.2539,3831.2173,2285.2875,2251.6804,2251.6804,1781.18,1713.9656,1713.9656,1713.9656
False,0.0,Город федерального значения Санкт-Петербург,0,True,22500.0,22500.0,4452.95,3427.9313,3377.5205,2470.127,1915.6087,1142.6438,1125.8402,1125.8402,890.59,856.9828,856.9828,856.9828
False,0.0,Челябинская область,0,False,9000.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Челябинская область,0,True,23093.0,23093.0,4570.3099,3518.2763,3466.537,2535.2285,1966.0956,1172.7588,1155.5123,1155.5123,914.062,879.5691,879.5691,879.5691
False,0.0,Белгородская область,2,False,11163.0,22000.0,4353.9955,3351.755,3302.4645,2415.2353,1873.0396,1117.2517,1100.8215,1100.8215,870.7991,837.9388,837.9388,837.9388
False,0.0,Белгородская область,2,True,12225.0,12225.0,2419.4361,1862.5093,1835.1195,1342.1023,1040.814,620.8364,611.7065,611.7065,483.8872,465.6273,465.6273,465.6273
False,0.0,Омская область,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Омская область,1,True,15300.0,15300.0,3028.006,2330.9933,2296.714,1679.6863,1302.6139,776.9978,765.5713,765.5713,605.6012,582.7483,582.7483,582.7483
False,0.0,Алтайский край,2,False,9000.0,35000.0,6926.8111,5332.3376,5253.9208,3842.4197,2979.8357,1777.4459,1751.3069,1751.3069,1385.3622,1333.0844,1333.0844,1333.0844
False,0.0,Краснодарский край,0,False,10000.0,38000.0,7520.5377,5789.3951,5704.2569,4171.77,3235.2502,1929.7984,1901.419,1901.419,1504.1075,1447.3488,1447.3488,1447.3488
False,0.0,Чувашская Республика,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Чувашская Республика,1,True,15300.0,15300.0,3028.006,2330.9933,2296.714,1679.6863,1302.6139,776.9978,765.5713,765.5713,605.6012,582.7483,582.7483,582.7483
False,0.0,Вологодская область,1,False,9000.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
False,0.0,Вологодская область,1,True,15300.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Тюменская область,1,False,10000.0,24363.0,4821.6542,3711.764,3657.1792,2674.6535,2074.2211,1237.2547,1219.0597,1219.0597,964.3308,927.941,927.941,927.941
False,0.0,Тюменская область,1,True,13954.0,13954.0,2761.6206,2125.9268,2094.6632,1531.9178,1188.0179,708.6423,698.2211,698.2211,552.3241,531.4817,531.4817,531.4817
False,0.0,Республика Мордовия,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Оренбургская область,2,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Новгородская область,1,False,11163.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
False,0.0,Орловская область,1,False,9000.0,17571.0,3477.4571,2676.9858,2637.6184,1929.0045,1495.9627,892.3286,879.2061,879.2061,695.4914,669.2465,669.2465,669.2465
False,0.0,Орловская область,1,True,15300.0,15300.0,3028.006,2330.9933,2296.714,1679.6863,1302.6139,776.9978,765.5713,765.5713,605.6012,582.7483,582.7483,582.7483
False,0.0,Волгоградская область,2,False,10000.0,27000.0,5343.54,4113.5176,4053.0246,2964.1524,2298.7304,1371.1725,1351.0082,1351.0082,1068.708,1028.3794,1028.3794,1028.3794
False,0.0,Волгоградская область,2,True,11589.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Ставропольский край,2,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Томская область,1,False,10000.0,35732.0,7071.6804,5443.8596,5363.8028,3922.7812,3042.1568,1814.6199,1787.9343,1787.9343,1414.3361,1360.9649,1360.9649,1360.9649
False,0.0,Брянская область,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Нижегородская область,0,False,9000.0,28000.0,5541.4488,4265.8701,4203.1367,3073.9358,2383.8686,1421.9567,1401.0456,1401.0456,1108.2898,1066.4675,1066.4675,1066.4675
False,0.0,Кировская область,1,False,9000.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
