is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Коммуникабельность (СК) (617_4),"Организация, проведение и участие в обучающих мероприятиях (медицинский представитель) (2624_12)","Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)","Владение и работа с ПК, MS Office, 1С, проф. программами, офисной техникой (2237_12)","Продажи и продвижение товаров и услуг (мед. представитель, администратор медцентра) (2623_12)",Целеустремленность (СК) (588_4),Ведение переговоров и развитие партнерских отношений (медицинский представитель) (2625_12),"Ведение электронного и бумажного документооборота (медпредставитель, администратор медцентра) (2483_12)","Саморазвитие, обучаемость (СК) (604_4)","Работа с клиентской базой (администратор медцентра, медпредставитель) (2484_12)",Командность (СК) (1371_4),Активность (СК) (576_4),Клиентоцентричность (клиенториентированность) (СК) (626_4),Грамотность (СК) (1368_4),Дисциплинированность (СК) (593_4),Стрессоустойчивость (СК) (601_4),Инициативность (СК) (610_4),Знание медицинской терминологии (мед.представитель) (2942_12),Нравственность (СК) (622_4),"Самоорганизация, отношение себе  (СК) (1629_4)"
False,0.0,Карачаево-Черкесская Республика,1,False,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Республика Калмыкия,1,False,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Донецкая область,1,False,31200.0,31200.0,3581.7717,3162.3605,2721.9788,2604.5436,2545.8261,2449.3615,1618.9273,1560.2097,1556.0156,1543.4333,1132.4103,1035.9457,914.3164,897.54,671.0579,666.8638,587.1757,524.264,515.8758,478.1288,431.9935
False,0.0,Республика Карелия,1,False,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Республика Ингушетия,1,False,35000.0,35000.0,4018.0132,3547.5198,3053.5018,2921.7637,2855.8946,2747.6811,1816.1043,1750.2352,1745.5303,1731.4155,1270.332,1162.1186,1025.6755,1006.8558,752.7894,748.0844,658.6907,588.1167,578.7068,536.3624,484.6081
False,0.0,Брянская область,1,False,25000.0,70000.0,8036.0263,7095.0397,6107.0036,5843.5274,5711.7892,5495.3623,3632.2086,3500.4705,3491.0606,3462.831,2540.6641,2324.2371,2051.351,2013.7115,1505.5787,1496.1688,1317.3814,1176.2334,1157.4136,1072.7248,969.2163
False,0.0,Брянская область,1,True,25000.0,25000.0,2870.0094,2533.9427,2181.0727,2086.9741,2039.9247,1962.6294,1297.2174,1250.168,1246.8074,1236.7254,907.38,830.0847,732.6254,719.1827,537.7067,534.346,470.4933,420.0833,413.362,383.116,346.1487
False,0.0,Липецкая область,1,False,25000.0,85000.0,9758.032,8615.4053,7415.6473,7095.7118,6935.7441,6672.9399,4410.5391,4250.5713,4239.145,4204.8662,3085.0921,2822.2879,2490.9262,2445.2211,1828.2027,1816.7764,1599.6774,1428.2834,1405.4308,1302.5944,1176.9055
False,0.0,Липецкая область,1,True,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Костромская область,1,False,35000.0,35000.0,4018.0132,3547.5198,3053.5018,2921.7637,2855.8946,2747.6811,1816.1043,1750.2352,1745.5303,1731.4155,1270.332,1162.1186,1025.6755,1006.8558,752.7894,748.0844,658.6907,588.1167,578.7068,536.3624,484.6081
False,0.0,Новгородская область,1,False,35000.0,45000.0,5166.0169,4561.0969,3925.9309,3756.5533,3671.8645,3532.7329,2334.9913,2250.3025,2244.2533,2226.1057,1633.284,1494.1524,1318.7256,1294.5288,967.872,961.8228,846.888,756.15,744.0516,689.6088,623.0676
False,0.0,Тверская область,1,False,30000.0,68000.0,7806.4256,6892.3242,5932.5178,5676.5694,5548.5952,5338.3519,3528.4312,3400.4571,3391.316,3363.893,2468.0737,2257.8304,1992.741,1956.1769,1462.5622,1453.4212,1279.7419,1142.6267,1124.3447,1042.0755,941.5244
False,0.0,Тверская область,1,True,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Еврейская автономная область,1,False,35000.0,35000.0,4018.0132,3547.5198,3053.5018,2921.7637,2855.8946,2747.6811,1816.1043,1750.2352,1745.5303,1731.4155,1270.332,1162.1186,1025.6755,1006.8558,752.7894,748.0844,658.6907,588.1167,578.7068,536.3624,484.6081
False,0.0,Кировская область,1,False,29250.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Нижегородская область,0,False,30000.0,83270.0,9559.4273,8440.0565,7264.717,6951.2932,6794.5813,6537.126,4320.7716,4164.0597,4152.866,4119.2849,3022.3014,2764.8461,2440.2285,2395.4537,1790.9934,1779.7997,1567.1192,1399.2136,1376.8262,1276.0828,1152.952
False,0.0,Нижегородская область,0,True,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Псковская область,1,False,35000.0,63000.0,7232.4237,6385.5357,5496.3033,5259.1746,5140.6103,4945.8261,3268.9878,3150.4234,3141.9546,3116.5479,2286.5977,2091.8134,1846.2159,1812.3404,1355.0208,1346.552,1185.6432,1058.61,1041.6723,965.4523,872.2947
False,0.0,Волгоградская область,2,False,29250.0,55000.0,6314.0207,5574.674,4798.36,4591.3429,4487.8344,4317.7846,2853.8782,2750.3697,2742.9762,2720.7958,1996.2361,1826.1863,1611.7758,1582.2019,1182.9547,1175.5612,1035.0854,924.1834,909.3964,842.8552,761.5271
False,0.0,Волгоградская область,2,True,100000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
False,0.0,Город федерального значения Москва,0,False,30000.0,97000.0,11135.6365,9831.6978,8462.5622,8097.4593,7914.9079,7615.002,5033.2034,4850.652,4837.6126,4798.4944,3520.6345,3220.7286,2842.5864,2790.4288,2086.3019,2073.2625,1825.5142,1629.9234,1603.8446,1486.4901,1343.0569
False,0.0,Город федерального значения Москва,0,True,41875.0,71250.0,8179.5268,7221.7368,6216.0573,5947.8761,5813.7855,5593.4937,3697.0695,3562.9789,3553.401,3524.6673,2586.0331,2365.7414,2087.9823,2049.6707,1532.464,1522.8861,1340.906,1197.2375,1178.0817,1091.8806,986.5237
False,0.0,Свердловская область,0,False,29250.0,90000.0,10332.0339,9122.1938,7851.8618,7513.1066,7343.729,7065.4658,4669.9825,4500.6049,4488.5065,4452.2113,3266.5681,2988.3049,2637.4513,2589.0577,1935.7441,1923.6457,1693.776,1512.3,1488.1032,1379.2176,1246.1352
False,0.0,Свердловская область,0,True,20000.0,40000.0,4592.0151,4054.3084,3489.7164,3339.1585,3263.8796,3140.207,2075.5478,2000.2689,1994.8918,1978.7606,1451.808,1328.1355,1172.2006,1150.6923,860.3307,854.9536,752.7894,672.1334,661.3792,612.9856,553.8379
False,0.0,Республика Татарстан,0,False,30000.0,93800.0,10768.2753,9507.3531,8183.3849,7830.3267,7653.7976,7363.7855,4867.1596,4690.6305,4678.0212,4640.1936,3404.4899,3114.4778,2748.8103,2698.3734,2017.4755,2004.8662,1765.291,1576.1527,1550.9343,1437.4513,1298.7498
False,0.0,Иркутская область,1,False,30000.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Иркутская область,1,True,40000.0,40000.0,4592.0151,4054.3084,3489.7164,3339.1585,3263.8796,3140.207,2075.5478,2000.2689,1994.8918,1978.7606,1451.808,1328.1355,1172.2006,1150.6923,860.3307,854.9536,752.7894,672.1334,661.3792,612.9856,553.8379
False,0.0,Архангельская область,1,False,35000.0,63000.0,7232.4237,6385.5357,5496.3033,5259.1746,5140.6103,4945.8261,3268.9878,3150.4234,3141.9546,3116.5479,2286.5977,2091.8134,1846.2159,1812.3404,1355.0208,1346.552,1185.6432,1058.61,1041.6723,965.4523,872.2947
False,0.0,Московская область,2,False,30000.0,71250.0,8179.5268,7221.7368,6216.0573,5947.8761,5813.7855,5593.4937,3697.0695,3562.9789,3553.401,3524.6673,2586.0331,2365.7414,2087.9823,2049.6707,1532.464,1522.8861,1340.906,1197.2375,1178.0817,1091.8806,986.5237
False,0.0,Чувашская Республика,1,False,40000.0,55000.0,6314.0207,5574.674,4798.36,4591.3429,4487.8344,4317.7846,2853.8782,2750.3697,2742.9762,2720.7958,1996.2361,1826.1863,1611.7758,1582.2019,1182.9547,1175.5612,1035.0854,924.1834,909.3964,842.8552,761.5271
False,0.0,Чувашская Республика,1,True,100000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
