is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Работа на станках с ЧПУ (3542_35),"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Внимательность (СК) (536_4),Чтение схем/чертежей (ОПТ) (3032_36),"Личные установки и ценности, мировоззрение (2043_4)",Аккуратность (СК) (575_4),Составление и корректировка управляющих программ (3667_35),"Саморазвитие, обучаемость (СК) (604_4)",Подготовка станков к работе (3512_35),Штамповочные работы (3747_35),Высокая работоспособность (СК) (586_4),Эксплуатация станочного оборудования (3579_35),Установка инструмента (3458_35),Наладка оборудования (4078_35),Коммуникабельность (СК) (617_4),Трудолюбие (СК) (597_4),Фрезерование (3469_35),Техническое обслуживание оборудования (4130_35),Использование контрольно-измерительных инструментов (3479_35),Работа на фрезерном станке с ЧПУ (3645_35),Контроль качества изделий (3466_35),Знания устройства и принципа действия станков с ЧПУ (3752_35),Целеустремленность (СК) (588_4),Знать систему допусков и посадок (3462_35)
False,1.0,Еврейская автономная область,1,False,15000.0,50000.0,8062.8272,6431.0646,3917.9756,3647.4695,3263.5253,3106.4572,3019.1972,2801.0471,2050.6108,1919.7208,1815.0087,1221.6405,1047.1204,1003.4904,968.5864,794.0663,698.0803,680.6283,610.8202,584.6422,488.6562,488.6562,462.4782,462.4782,453.7522
False,1.0,Республика Северная Осетия,1,False,11280.0,40000.0,6450.2618,5144.8517,3134.3805,2917.9756,2610.8202,2485.1658,2415.3578,2240.8377,1640.4887,1535.7766,1452.007,977.3124,837.6963,802.7923,774.8691,635.2531,558.4642,544.5026,488.6562,467.7138,390.925,390.925,369.9825,369.9825,363.0017
False,1.0,Владимирская область,1,False,21000.0,160000.0,25801.0471,20579.4066,12537.5218,11671.9023,10443.281,9940.6632,9661.4311,8963.3508,6561.9546,6143.1065,5808.0279,3909.2496,3350.7853,3211.1693,3099.4764,2541.0122,2233.8569,2178.0105,1954.6248,1870.8551,1563.6998,1563.6998,1479.9302,1479.9302,1452.007
False,1.0,Город федерального значения Санкт-Петербург,0,False,3500.0,155000.0,24994.7644,19936.3002,12145.7243,11307.1553,10116.9284,9630.0175,9359.5113,8683.2461,6356.8935,5951.1344,5626.5271,3787.0855,3246.0733,3110.8202,3002.6178,2461.6056,2164.0489,2109.9476,1893.5428,1812.3909,1514.8342,1514.8342,1433.6824,1433.6824,1406.6318
False,1.0,Город федерального значения Санкт-Петербург,0,True,65000.0,70000.0,11287.9581,9003.4904,5485.1658,5106.4572,4568.9354,4349.0401,4226.8761,3921.466,2870.8551,2687.6091,2541.0122,1710.2967,1465.9686,1404.8866,1356.0209,1111.6928,977.3124,952.8796,855.1483,818.4991,684.1187,684.1187,647.4695,647.4695,635.2531
False,1.0,Орловская область,1,False,20000.0,125000.0,20157.0681,16077.6614,9794.9389,9118.6736,8158.8133,7766.1431,7547.993,7002.6178,5126.5271,4799.3019,4537.5218,3054.1012,2617.801,2508.726,2421.466,1985.1658,1745.2007,1701.5707,1527.0506,1461.6056,1221.6405,1221.6405,1156.1955,1156.1955,1134.3805
False,1.0,Московская область,2,False,25000.0,150000.0,24188.4817,19293.1937,11753.9267,10942.4084,9790.5759,9319.3717,9057.5916,8403.1414,6151.8325,5759.1623,5445.0262,3664.9215,3141.3613,3010.4712,2905.7592,2382.199,2094.2408,2041.8848,1832.4607,1753.9267,1465.9686,1465.9686,1387.4346,1387.4346,1361.2565
False,1.0,Московская область,2,True,65000.0,65000.0,10481.6754,8360.3839,5093.3682,4741.7103,4242.5829,4038.3944,3924.9564,3641.3613,2665.7941,2495.637,2359.5113,1588.1326,1361.2565,1304.5375,1259.1623,1032.2862,907.5044,884.8168,794.0663,760.0349,635.2531,635.2531,601.2216,601.2216,589.8778
False,1.0,Город федерального значения Москва,0,False,28000.0,150000.0,24188.4817,19293.1937,11753.9267,10942.4084,9790.5759,9319.3717,9057.5916,8403.1414,6151.8325,5759.1623,5445.0262,3664.9215,3141.3613,3010.4712,2905.7592,2382.199,2094.2408,2041.8848,1832.4607,1753.9267,1465.9686,1465.9686,1387.4346,1387.4346,1361.2565
False,1.0,Город федерального значения Москва,0,True,40000.0,65000.0,10481.6754,8360.3839,5093.3682,4741.7103,4242.5829,4038.3944,3924.9564,3641.3613,2665.7941,2495.637,2359.5113,1588.1326,1361.2565,1304.5375,1259.1623,1032.2862,907.5044,884.8168,794.0663,760.0349,635.2531,635.2531,601.2216,601.2216,589.8778
False,1.0,Оренбургская область,2,False,28000.0,125000.0,20157.0681,16077.6614,9794.9389,9118.6736,8158.8133,7766.1431,7547.993,7002.6178,5126.5271,4799.3019,4537.5218,3054.1012,2617.801,2508.726,2421.466,1985.1658,1745.2007,1701.5707,1527.0506,1461.6056,1221.6405,1221.6405,1156.1955,1156.1955,1134.3805
False,1.0,Ростовская область,0,False,18200.0,128000.0,20640.8377,16463.5253,10030.0175,9337.5218,8354.6248,7952.5305,7729.1449,7170.6806,5249.5637,4914.4852,4646.4223,3127.3997,2680.6283,2568.9354,2479.5812,2032.8098,1787.0855,1742.4084,1563.6998,1496.6841,1250.9599,1250.9599,1183.9442,1183.9442,1161.6056
