is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Ассистирование (4464_14),Аккуратность (СК) (575_4),Консультирование по вопросам лечения животных (4244_14),Командность (СК) (1371_4),Проведение хирургических операций (4557_14),Пунктуальность (СК) (612_4),"Саморазвитие, обучаемость (СК) (604_4)","Личные установки и ценности, мировоззрение (2043_4)",Коммуникабельность (СК) (617_4),Использование диагностического оборудования: рентген (4554_14),Помощь врачу на приеме (4400_14),Соблюдение правил внутреннего распорядка и режима работы (4476_14),Поддержание чистоты в помещениях ветеринарной клиники (142_14),Оказание платных ветеринарных услуг (4470_14),Принципы лечения и профилактики болезней (4254_14),Методы лечения животных (4352_14),Стрессоустойчивость (СК) (601_4),Подготовка и проведение профилактических ветеринарно-санитарных и оздоровительных мероприятий (4357_14),Осмотр животных и диагностивание болезней (4248_14),Повышение продуктивности скота и птицы (4490_14),Осуществлять исследование причин возникновения процессов протекания болезней животных (4474_14),Склонность к здоровому образу жизни (СК) (1662_4),Контроль процессов (6210_14),Клинические обследования животных (4936_14),Проведение профилактических мероприятий по предупреждению заболеваний животных и падежа (4253_14),Организация и проведение ветеринарных мероприятий (4359_14),Продажа ветеринарных препаратов (4489_14),"Контроль, проверка лечения пациентов (5974_14)",Лечение скота и птицы (4350_14),Вакцинация животных (4396_14),Проведение диагностических исследований (4354_14),Умение работать с клиентами (4722_14),проведение противоэпизоотических мероприятий (4459_14)
False,1.0,Волгоградская область,2,False,10000.0,85000.0,10407.4384,6517.9691,5434.6009,5328.0401,3498.7463,3267.8646,3179.0639,2894.9018,2823.8613,2806.1011,2379.8579,2362.0978,2344.3377,2237.7768,2166.7363,2077.9356,2042.4154,2042.4154,1953.6147,1793.7735,1651.6924,1545.1316,1349.7702,1296.4898,1296.4898,1260.9695,1172.1688,1101.1283,1065.608,994.5675,976.8074,959.0472,941.2871,923.527,905.7668
False,1.0,Волгоградская область,2,True,11581.5,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Удмуртская Республика,1,False,10000.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Республика Башкортостан,0,False,10000.0,100000.0,12244.0451,7668.1989,6393.6481,6268.2825,4116.1722,3844.5466,3740.0752,3405.7668,3322.1897,3301.2954,2799.8328,2778.9386,2758.0443,2632.6786,2549.1015,2444.6302,2402.8416,2402.8416,2298.3702,2110.3218,1943.1676,1817.8019,1587.9649,1525.2821,1525.2821,1483.4935,1379.0221,1295.445,1253.6565,1170.0794,1149.1851,1128.2908,1107.3966,1086.5023,1065.608
False,1.0,Саратовская область,2,False,10000.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Саратовская область,2,True,10000.0,10000.0,1224.4045,766.8199,639.3648,626.8282,411.6172,384.4547,374.0075,340.5767,332.219,330.1295,279.9833,277.8939,275.8044,263.2679,254.9102,244.463,240.2842,240.2842,229.837,211.0322,194.3168,181.7802,158.7965,152.5282,152.5282,148.3494,137.9022,129.5445,125.3656,117.0079,114.9185,112.8291,110.7397,108.6502,106.5608
False,1.0,Тюменская область,1,False,15765.5,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Воронежская область,2,False,16242.0,85000.0,10407.4384,6517.9691,5434.6009,5328.0401,3498.7463,3267.8646,3179.0639,2894.9018,2823.8613,2806.1011,2379.8579,2362.0978,2344.3377,2237.7768,2166.7363,2077.9356,2042.4154,2042.4154,1953.6147,1793.7735,1651.6924,1545.1316,1349.7702,1296.4898,1296.4898,1260.9695,1172.1688,1101.1283,1065.608,994.5675,976.8074,959.0472,941.2871,923.527,905.7668
False,1.0,Воронежская область,2,True,35825.25,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Город федерального значения Санкт-Петербург,0,False,2000.0,80000.0,9795.2361,6134.5591,5114.9185,5014.626,3292.9377,3075.6373,2992.0602,2724.6135,2657.7518,2641.0364,2239.8663,2223.1509,2206.4354,2106.1429,2039.2812,1955.7041,1922.2733,1922.2733,1838.6962,1688.2574,1554.5341,1454.2415,1270.3719,1220.2257,1220.2257,1186.7948,1103.2177,1036.356,1002.9252,936.0635,919.3481,902.6327,885.9173,869.2018,852.4864
