is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Токарные работы (3473_35),Чтение схем/чертежей (ОПТ) (3032_36),Внимательность (СК) (536_4),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Коммуникабельность (СК) (617_4),Работа на станках 16к20 (3524_35),Высокая работоспособность (СК) (586_4),Работа на станках ДИП (3523_35),Работа на токарно-расточных станках (3560_35),Фрезерование (3469_35),Работы на токарно-карусельных станках (3557_35),Нарезание резьбы (3451_35),Использование контрольно-измерительных инструментов (3479_35),"Саморазвитие, обучаемость (СК) (604_4)",Подготовка станков к работе (3512_35),Выполнение расточки отверстий (3449_35),Соблюдение правил охраны труда (ОПТ) (3790_36),Трудолюбие (СК) (597_4),Доводочные операции (3452_35),Нравственность (СК) (622_4),Токарная обработка крупногабаритных деталей (3475_35),Кропотливость (СК) (623_4),Работа на станках с ЧПУ (3542_35),Технология механообработки (3506_35)
False,1.0,Республика Северная Осетия,1,False,11163.0,39103.0,10360.1549,5953.7967,2869.8946,2798.5588,1986.428,1772.4206,1443.1784,1020.6509,960.2898,949.315,861.5171,845.055,773.7192,718.8455,658.4844,570.6865,521.3002,504.8381,493.8633,411.5528,406.0654,395.0907,395.0907,384.1159,384.1159,340.217,323.7548
False,1.0,"иные территории, включая город и космодром Байконур",1,False,20394.0,20394.0,5403.2939,3105.1768,1496.7811,1459.5762,1036.0129,924.3983,752.6834,532.316,500.835,495.1111,449.3205,440.7348,403.5299,374.9107,343.4297,297.6391,271.8818,263.2961,257.5723,214.6436,211.7816,206.0578,206.0578,200.334,200.334,177.4387,168.8529
False,1.0,Алтайский край,2,False,17623.5,105000.0,27819.2534,15987.2299,7706.2868,7514.7348,5333.9882,4759.332,3875.2456,2740.668,2578.5855,2549.1159,2313.3595,2269.1552,2077.6031,1930.2554,1768.1729,1532.4165,1399.8035,1355.5992,1326.1297,1105.1081,1090.3733,1060.9037,1060.9037,1031.4342,1031.4342,913.556,869.3517
False,1.0,Республика Крым,1,False,17623.5,90000.0,23845.0744,13703.3399,6605.3887,6441.2012,4571.9899,4079.4274,3321.6391,2349.144,2210.2161,2184.9565,1982.8796,1944.9902,1780.8027,1654.5046,1515.5768,1313.4999,1199.8316,1161.9422,1136.6826,947.2355,934.6057,909.3461,909.3461,884.0864,884.0864,783.048,745.1586
False,1.0,Краснодарский край,0,False,18000.0,140000.0,37092.3379,21316.3065,10275.0491,10019.6464,7111.9843,6345.776,5166.9941,3654.224,3438.1139,3398.8212,3084.4794,3025.5403,2770.1375,2573.6739,2357.5639,2043.222,1866.4047,1807.4656,1768.1729,1473.4774,1453.831,1414.5383,1414.5383,1375.2456,1375.2456,1218.0747,1159.1356
False,1.0,Томская область,1,False,18000.0,110000.0,29143.9798,16748.5265,8073.2529,7872.5793,5587.9877,4985.9669,4059.7811,2871.176,2701.3752,2670.5024,2423.5195,2377.2102,2176.5366,2022.1723,1852.3716,1605.3887,1466.4608,1420.1516,1389.2787,1157.7322,1142.2958,1111.423,1111.423,1080.5501,1080.5501,957.0587,910.7494
False,1.0,Кемеровская область,1,False,18000.0,120000.0,31793.4325,18271.1198,8807.185,8588.2683,6095.9865,5439.2366,4428.8521,3132.192,2946.9548,2913.2753,2643.8395,2593.3202,2374.4036,2206.0062,2020.769,1751.3331,1599.7755,1549.2562,1515.5768,1262.9806,1246.1409,1212.4614,1212.4614,1178.7819,1178.7819,1044.064,993.5448
False,1.0,Кемеровская область,1,True,14800.0,18000.0,4769.0149,2740.668,1321.0777,1288.2402,914.398,815.8855,664.3278,469.8288,442.0432,436.9913,396.5759,388.998,356.1605,330.9009,303.1154,262.7,239.9663,232.3884,227.3365,189.4471,186.9211,181.8692,181.8692,176.8173,176.8173,156.6096,149.0317
False,1.0,Чувашская Республика,1,False,18000.0,120000.0,31793.4325,18271.1198,8807.185,8588.2683,6095.9865,5439.2366,4428.8521,3132.192,2946.9548,2913.2753,2643.8395,2593.3202,2374.4036,2206.0062,2020.769,1751.3331,1599.7755,1549.2562,1515.5768,1262.9806,1246.1409,1212.4614,1212.4614,1178.7819,1178.7819,1044.064,993.5448
False,1.0,Новосибирская область,0,False,18000.0,120000.0,31793.4325,18271.1198,8807.185,8588.2683,6095.9865,5439.2366,4428.8521,3132.192,2946.9548,2913.2753,2643.8395,2593.3202,2374.4036,2206.0062,2020.769,1751.3331,1599.7755,1549.2562,1515.5768,1262.9806,1246.1409,1212.4614,1212.4614,1178.7819,1178.7819,1044.064,993.5448
False,1.0,Новосибирская область,0,True,25000.0,45000.0,11922.5372,6851.6699,3302.6944,3220.6006,2285.9949,2039.7137,1660.8195,1174.572,1105.1081,1092.4782,991.4398,972.4951,890.4013,827.2523,757.7884,656.7499,599.9158,580.9711,568.3413,473.6177,467.3028,454.673,454.673,442.0432,442.0432,391.524,372.5793
False,1.0,Ставропольский край,2,False,18000.0,120000.0,31793.4325,18271.1198,8807.185,8588.2683,6095.9865,5439.2366,4428.8521,3132.192,2946.9548,2913.2753,2643.8395,2593.3202,2374.4036,2206.0062,2020.769,1751.3331,1599.7755,1549.2562,1515.5768,1262.9806,1246.1409,1212.4614,1212.4614,1178.7819,1178.7819,1044.064,993.5448
False,1.0,Саратовская область,2,False,18000.0,135000.0,35767.6116,20555.0098,9908.0831,9661.8019,6857.9848,6119.1412,4982.4586,3523.716,3315.3242,3277.4347,2974.3194,2917.4853,2671.204,2481.7569,2273.3651,1970.2498,1799.7474,1742.9133,1705.0239,1420.8532,1401.9085,1364.0191,1364.0191,1326.1297,1326.1297,1174.572,1117.7379
False,1.0,Приморский край,1,False,18000.0,120000.0,31793.4325,18271.1198,8807.185,8588.2683,6095.9865,5439.2366,4428.8521,3132.192,2946.9548,2913.2753,2643.8395,2593.3202,2374.4036,2206.0062,2020.769,1751.3331,1599.7755,1549.2562,1515.5768,1262.9806,1246.1409,1212.4614,1212.4614,1178.7819,1178.7819,1044.064,993.5448
False,1.0,Сахалинская область,1,False,18000.0,91000.0,24110.0196,13855.5992,6678.7819,6512.7701,4622.7898,4124.7544,3358.5462,2375.2456,2234.7741,2209.2338,2004.9116,1966.6012,1800.5894,1672.888,1532.4165,1328.0943,1213.1631,1174.8527,1149.3124,957.7603,944.9902,919.4499,919.4499,893.9096,893.9096,791.7485,753.4381
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,130000.0,34442.8852,19793.7132,9541.117,9303.9573,6603.9854,5892.5063,4797.9231,3393.208,3192.5344,3156.0483,2864.1594,2809.4303,2572.2706,2389.84,2189.1664,1897.2776,1733.0901,1678.3609,1641.8748,1368.229,1349.986,1313.4999,1313.4999,1277.0138,1277.0138,1131.0693,1076.3402
False,1.0,Ханты-Мансийский автономный округ — Югра,1,True,35000.0,35000.0,9273.0845,5329.0766,2568.7623,2504.9116,1777.9961,1586.444,1291.7485,913.556,859.5285,849.7053,771.1198,756.3851,692.5344,643.4185,589.391,510.8055,466.6012,451.8664,442.0432,368.3694,363.4578,353.6346,353.6346,343.8114,343.8114,304.5187,289.7839
False,1.0,Республика Хакасия,1,False,18000.0,100000.0,26494.5271,15225.9332,7339.3208,7156.8903,5079.9888,4532.6972,3690.7101,2610.16,2455.7957,2427.7294,2203.1996,2161.1002,1978.6697,1838.3385,1683.9742,1459.4443,1333.1462,1291.0469,1262.9806,1052.4839,1038.4507,1010.3845,1010.3845,982.3183,982.3183,870.0533,827.954
False,1.0,Калининградская область,1,False,18000.0,100000.0,26494.5271,15225.9332,7339.3208,7156.8903,5079.9888,4532.6972,3690.7101,2610.16,2455.7957,2427.7294,2203.1996,2161.1002,1978.6697,1838.3385,1683.9742,1459.4443,1333.1462,1291.0469,1262.9806,1052.4839,1038.4507,1010.3845,1010.3845,982.3183,982.3183,870.0533,827.954
False,1.0,Город федерального значения Севастополь,1,False,16242.0,60000.0,15896.7163,9135.5599,4403.5925,4294.1342,3047.9933,2719.6183,2214.426,1566.096,1473.4774,1456.6377,1321.9197,1296.6601,1187.2018,1103.0031,1010.3845,875.6666,799.8877,774.6281,757.7884,631.4903,623.0704,606.2307,606.2307,589.391,589.391,522.032,496.7724
False,1.0,Город федерального значения Севастополь,1,True,25000.0,45000.0,11922.5372,6851.6699,3302.6944,3220.6006,2285.9949,2039.7137,1660.8195,1174.572,1105.1081,1092.4782,991.4398,972.4951,890.4013,827.2523,757.7884,656.7499,599.9158,580.9711,568.3413,473.6177,467.3028,454.673,454.673,442.0432,442.0432,391.524,372.5793
False,1.0,Кабардино-Балкарская Республика,1,False,17777.0,85000.0,22520.348,12942.0432,6238.4227,6083.3567,4317.9905,3852.7926,3137.1036,2218.636,2087.4263,2063.57,1872.7196,1836.9352,1681.8692,1562.5877,1431.3781,1240.5276,1133.1743,1097.3898,1073.5335,894.6113,882.6831,858.8268,858.8268,834.9705,834.9705,739.5453,703.7609
False,1.0,Карачаево-Черкесская Республика,1,False,18000.0,45000.0,11922.5372,6851.6699,3302.6944,3220.6006,2285.9949,2039.7137,1660.8195,1174.572,1105.1081,1092.4782,991.4398,972.4951,890.4013,827.2523,757.7884,656.7499,599.9158,580.9711,568.3413,473.6177,467.3028,454.673,454.673,442.0432,442.0432,391.524,372.5793
False,1.0,Запорожская область,1,False,18000.0,25000.0,6623.6318,3806.4833,1834.8302,1789.2226,1269.9972,1133.1743,922.6775,652.54,613.9489,606.9324,550.7999,540.275,494.6674,459.5846,420.9935,364.8611,333.2866,322.7617,315.7452,263.121,259.6127,252.5961,252.5961,245.5796,245.5796,217.5133,206.9885
False,1.0,Свердловская область,0,False,21000.0,150000.0,39741.7906,22838.8998,11008.9812,10735.3354,7619.9832,6799.0457,5536.0651,3915.24,3683.6935,3641.5942,3304.7993,3241.6503,2968.0045,2757.5077,2525.9613,2189.1664,1999.7193,1936.5703,1894.471,1578.7258,1557.6761,1515.5768,1515.5768,1473.4774,1473.4774,1305.08,1241.931
False,1.0,Свердловская область,0,True,33000.0,33000.0,8743.1939,5024.558,2421.9759,2361.7738,1676.3963,1495.7901,1217.9343,861.3528,810.4126,801.1507,727.0559,713.1631,652.961,606.6517,555.7115,481.6166,439.9383,426.0455,416.7836,347.3197,342.6887,333.4269,333.4269,324.165,324.165,287.1176,273.2248
False,1.0,Город федерального значения Санкт-Петербург,0,False,5000.0,138000.0,36562.4474,21011.7878,10128.2627,9876.5086,7010.3845,6255.1221,5093.1799,3602.0208,3388.998,3350.2666,3040.4154,2982.3183,2730.5641,2536.9071,2323.8844,2014.0331,1839.7418,1781.6447,1742.9133,1452.4277,1433.062,1394.3306,1394.3306,1355.5992,1355.5992,1200.6736,1142.5765
False,1.0,Город федерального значения Санкт-Петербург,0,True,24000.0,89000.0,23580.1291,13551.0806,6531.9955,6369.6323,4521.19,4034.1005,3284.732,2323.0424,2185.6582,2160.6792,1960.8476,1923.3792,1761.016,1636.1212,1498.737,1298.9054,1186.5001,1149.0317,1124.0528,936.7106,924.2212,899.2422,899.2422,874.2633,874.2633,774.3475,736.879
False,1.0,Иркутская область,1,False,21000.0,140000.0,37092.3379,21316.3065,10275.0491,10019.6464,7111.9843,6345.776,5166.9941,3654.224,3438.1139,3398.8212,3084.4794,3025.5403,2770.1375,2573.6739,2357.5639,2043.222,1866.4047,1807.4656,1768.1729,1473.4774,1453.831,1414.5383,1414.5383,1375.2456,1375.2456,1218.0747,1159.1356
False,1.0,Вологодская область,1,False,21000.0,110000.0,29143.9798,16748.5265,8073.2529,7872.5793,5587.9877,4985.9669,4059.7811,2871.176,2701.3752,2670.5024,2423.5195,2377.2102,2176.5366,2022.1723,1852.3716,1605.3887,1466.4608,1420.1516,1389.2787,1157.7322,1142.2958,1111.423,1111.423,1080.5501,1080.5501,957.0587,910.7494
False,1.0,Вологодская область,1,True,50000.0,50000.0,13247.2635,7612.9666,3669.6604,3578.4451,2539.9944,2266.3486,1845.355,1305.08,1227.8978,1213.8647,1101.5998,1080.5501,989.3348,919.1692,841.9871,729.7221,666.5731,645.5234,631.4903,526.2419,519.2254,505.1923,505.1923,491.1591,491.1591,435.0267,413.977
False,1.0,Липецкая область,1,False,21000.0,160000.0,42391.2433,24361.4931,11742.9133,11451.0244,8127.982,7252.3155,5905.1361,4176.256,3929.2731,3884.3671,3525.1193,3457.7603,3165.8715,2941.3416,2694.3587,2335.1109,2133.034,2065.675,2020.769,1683.9742,1661.5212,1616.6152,1616.6152,1571.7092,1571.7092,1392.0853,1324.7264
False,1.0,Удмуртская Республика,1,False,21000.0,125000.0,33118.1589,19032.4165,9174.151,8946.1128,6349.986,5665.8715,4613.3876,3262.7,3069.7446,3034.6618,2753.9994,2701.3752,2473.3371,2297.9231,2104.9677,1824.3054,1666.4328,1613.8086,1578.7258,1315.6048,1298.0634,1262.9806,1262.9806,1227.8978,1227.8978,1087.5667,1034.9425
