is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Сбор жалоб, консультирование, составление плана лечения и взаимодейтвие со смежными специалистами (3405_12)","Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Ведение медицинской документации (врач-стоматолог) (2515_12),Протезирование и восстановление зубов (3607_12),Коммуникабельность (СК) (617_4),"Ведение амбулаторного ортопедического приема, ортопедического лечения, консультирование (3587_12)",Дисциплинированность (СК) (593_4),"Осмотр, обследование и диагностика пациентов, зубов и полости рта (3408_12)",Лечение и оказание стоматологической (медицицинской) помощи (3591_12),Ведение амбулаторного приема (врач-стоматолог) (2508_12),Пунктуальность (СК) (612_4),"Владение методами лечения, диагностики, стоматологическими материалами, аппаратурой (3761_12)","Лечение зубов, каналов, заболеваний (3614_12)","Саморазвитие, обучаемость (СК) (604_4)",Доброжелательность (СК) (1126_4),Проведение профессиональной гигиены полости рта (3589_12),"Работа по протоколам, соблюдение протоколов лечения (3758_12)",Работа с детьми (врач-стоматолог) (2509_12),Аккуратность (СК) (575_4),"Владение и работа с ПК, MS Office, 1С, проф. программами, офисной техникой (2237_12)",Лечение пациентов (3759_12),Имплантация зубов (3601_12),Знание амбулаторной помощи (врач-стоматолог) (2533_12),Эндодонтия и эндодонтическое лечение (3773_12),Реставрация/реконструкция зубов (3611_12),"Чтение и анализ снимков, КТ, КЛКТ, фотографий, интерпретация результатов исследований (3403_12)",Высокая работоспособность (СК) (586_4),Клиентоцентричность (клиенториентированность) (СК) (626_4),"Знание методов лечения, диагностики и стоматологических материалов (2697_12)",Выполнение анестезиологических процедур и(или) работа под седацией (врач-стоматолог) (2513_12),Стрессоустойчивость (СК) (601_4),Ведение амбулаторного ортодонтического приема  и ортодонтического лечения (3588_12),Нравственность (СК) (622_4),"Удаление зубов, опухолей, кист (3600_12)",Ведение амбулаторного хирургического приема и хирургического лечения (3586_12),Вежливость (СК) (581_4),Внимательность (СК) (536_4)
False,0.0,Саратовская область,2,False,12101.25,200000.0,17809.6617,16954.0608,15756.2196,14874.2925,13715.9405,12741.8718,9306.3051,8279.584,7845.2021,7397.657,6647.3608,6212.9788,5857.5754,5673.2921,5607.4766,4133.2105,3777.807,3659.3392,3290.7727,2619.455,2579.9658,2540.4765,2158.7469,1974.4636,1724.3649,1658.5494,1645.3863,1619.0602,1500.5923,1329.4722,1237.3305,1224.1674,1197.8413,1053.0473,1026.7211,1013.558,802.9485,802.9485,750.2962
False,0.0,Саратовская область,2,True,16242.0,19812.5,1764.2696,1679.5116,1560.8505,1473.4846,1358.7354,1262.2417,921.9059,820.1963,777.1653,732.8304,658.5042,615.4732,580.2661,562.0105,555.4907,409.4462,374.239,362.5033,325.9922,259.4898,255.5779,251.666,213.8509,195.5953,170.8199,164.3001,162.9961,160.3881,148.6524,131.7008,122.5731,121.2691,118.6611,104.3175,101.7096,100.4056,79.5421,79.5421,74.3262
False,0.0,Удмуртская Республика,1,False,12101.25,80000.0,7123.8647,6781.6243,6302.4878,5949.717,5486.3762,5096.7487,3722.522,3311.8336,3138.0808,2959.0628,2658.9443,2485.1915,2343.0301,2269.3168,2242.9907,1653.2842,1511.1228,1463.7357,1316.3091,1047.782,1031.9863,1016.1906,863.4987,789.7854,689.746,663.4198,658.1545,647.6241,600.2369,531.7889,494.9322,489.667,479.1365,421.2189,410.6884,405.4232,321.1794,321.1794,300.1185
False,0.0,Удмуртская Республика,1,True,19812.5,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Республика Башкортостан,0,False,12101.25,100000.0,8904.8309,8477.0304,7878.1098,7437.1462,6857.9703,6370.9359,4653.1526,4139.792,3922.601,3698.8285,3323.6804,3106.4894,2928.7877,2836.646,2803.7383,2066.6052,1888.9035,1829.6696,1645.3863,1309.7275,1289.9829,1270.2383,1079.3734,987.2318,862.1824,829.2747,822.6932,809.5301,750.2962,664.7361,618.6653,612.0837,598.9206,526.5236,513.3605,506.779,401.4743,401.4743,375.1481
False,0.0,Республика Башкортостан,0,True,19812.5,30000.0,2671.4493,2543.1091,2363.4329,2231.1439,2057.3911,1911.2808,1395.9458,1241.9376,1176.7803,1109.6485,997.1041,931.9468,878.6363,850.9938,841.1215,619.9816,566.6711,548.9009,493.6159,392.9183,386.9949,381.0715,323.812,296.1695,258.6547,248.7824,246.808,242.859,225.0889,199.4208,185.5996,183.6251,179.6762,157.9571,154.0082,152.0337,120.4423,120.4423,112.5444
False,0.0,Республика Карелия,1,False,12101.25,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Республика Карелия,1,True,13984.0,30000.0,2671.4493,2543.1091,2363.4329,2231.1439,2057.3911,1911.2808,1395.9458,1241.9376,1176.7803,1109.6485,997.1041,931.9468,878.6363,850.9938,841.1215,619.9816,566.6711,548.9009,493.6159,392.9183,386.9949,381.0715,323.812,296.1695,258.6547,248.7824,246.808,242.859,225.0889,199.4208,185.5996,183.6251,179.6762,157.9571,154.0082,152.0337,120.4423,120.4423,112.5444
False,0.0,Орловская область,1,False,12101.25,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
False,0.0,Смоленская область,1,False,12101.25,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
