is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Фрезерование (3469_35),Чтение схем/чертежей (ОПТ) (3032_36),Внимательность (СК) (536_4),Аккуратность (СК) (575_4),Кропотливость (СК) (623_4),Работать на фрезерных станках определенной группы (3638_35),Установка деталей различными способами (3545_35),"Саморазвитие, обучаемость (СК) (604_4)",Использование контрольно-измерительных инструментов (3479_35),Фрезерование сложных деталей (3635_35),Пунктуальность (СК) (612_4),Подготовка станков к работе (3512_35),Высокая работоспособность (СК) (586_4),"Виды, устройство и назначение контрольно-измерительных инструментов и приборов (3482_35)",Командность (СК) (1371_4),Механическая обработка металлов (3498_35),Коммуникабельность (СК) (617_4),Фрезерование цветных металлов и их сплавов (3658_35),Работать на фрезерных станках определенной марки (3636_35)
False,2.0,"иные территории, включая город и космодром Байконур",1,False,20378.0,20378.0,4388.0627,3263.8763,1793.264,1708.3557,1569.106,1212.491,1151.357,917.01,798.1383,502.6573,393.9747,370.2003,305.67,278.4993,271.7067,241.1397,227.5543,220.7617,210.5727,200.3837,176.6093,176.6093
False,2.0,Республика Северная Осетия,1,False,15000.0,20000.0,4306.6667,3203.3333,1760.0,1676.6667,1540.0,1190.0,1130.0,900.0,783.3333,493.3333,386.6667,363.3333,300.0,273.3333,266.6667,236.6667,223.3333,216.6667,206.6667,196.6667,173.3333,173.3333
False,2.0,Кемеровская область,1,False,25000.0,87000.0,18734.0,13934.5,7656.0,7293.5,6699.0,5176.5,4915.5,3915.0,3407.5,2146.0,1682.0,1580.5,1305.0,1189.0,1160.0,1029.5,971.5,942.5,899.0,855.5,754.0,754.0
False,2.0,Саратовская область,2,False,20000.0,96500.0,20779.6667,15456.0833,8492.0,8089.9167,7430.5,5741.75,5452.25,4342.5,3779.5833,2380.3333,1865.6667,1753.0833,1447.5,1318.8333,1286.6667,1141.9167,1077.5833,1045.4167,997.1667,948.9167,836.3333,836.3333
False,2.0,Новосибирская область,0,False,20000.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Новосибирская область,0,True,20000.0,30000.0,6460.0,4805.0,2640.0,2515.0,2310.0,1785.0,1695.0,1350.0,1175.0,740.0,580.0,545.0,450.0,410.0,400.0,355.0,335.0,325.0,310.0,295.0,260.0,260.0
False,2.0,Чувашская Республика,1,False,20000.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Алтайский край,2,False,25000.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Еврейская автономная область,1,False,25000.0,25000.0,5383.3333,4004.1667,2200.0,2095.8333,1925.0,1487.5,1412.5,1125.0,979.1667,616.6667,483.3333,454.1667,375.0,341.6667,333.3333,295.8333,279.1667,270.8333,258.3333,245.8333,216.6667,216.6667
False,2.0,Ставропольский край,2,False,20000.0,65000.0,13996.6667,10410.8333,5720.0,5449.1667,5005.0,3867.5,3672.5,2925.0,2545.8333,1603.3333,1256.6667,1180.8333,975.0,888.3333,866.6667,769.1667,725.8333,704.1667,671.6667,639.1667,563.3333,563.3333
False,2.0,Город федерального значения Севастополь,1,False,25000.0,40000.0,8613.3333,6406.6667,3520.0,3353.3333,3080.0,2380.0,2260.0,1800.0,1566.6667,986.6667,773.3333,726.6667,600.0,546.6667,533.3333,473.3333,446.6667,433.3333,413.3333,393.3333,346.6667,346.6667
False,2.0,Калининградская область,1,False,25000.0,72000.0,15504.0,11532.0,6336.0,6036.0,5544.0,4284.0,4068.0,3240.0,2820.0,1776.0,1392.0,1308.0,1080.0,984.0,960.0,852.0,804.0,780.0,744.0,708.0,624.0,624.0
False,2.0,Тульская область,1,False,25000.0,115000.0,24763.3333,18419.1667,10120.0,9640.8333,8855.0,6842.5,6497.5,5175.0,4504.1667,2836.6667,2223.3333,2089.1667,1725.0,1571.6667,1533.3333,1360.8333,1284.1667,1245.8333,1188.3333,1130.8333,996.6667,996.6667
False,2.0,Город федерального значения Санкт-Петербург,0,False,25000.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Город федерального значения Санкт-Петербург,0,True,44000.0,44000.0,9474.6667,7047.3333,3872.0,3688.6667,3388.0,2618.0,2486.0,1980.0,1723.3333,1085.3333,850.6667,799.3333,660.0,601.3333,586.6667,520.6667,491.3333,476.6667,454.6667,432.6667,381.3333,381.3333
False,2.0,Город федерального значения Москва,0,False,25000.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Самарская область,0,False,18460.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Астраханская область,1,False,25000.0,74360.0,16012.1867,11909.9933,6543.68,6233.8467,5725.72,4424.42,4201.34,3346.2,2912.4333,1834.2133,1437.6267,1350.8733,1115.4,1016.2533,991.4667,879.9267,830.3533,805.5667,768.3867,731.2067,644.4533,644.4533
False,2.0,Свердловская область,0,False,25000.0,160000.0,34453.3333,25626.6667,14080.0,13413.3333,12320.0,9520.0,9040.0,7200.0,6266.6667,3946.6667,3093.3333,2906.6667,2400.0,2186.6667,2133.3333,1893.3333,1786.6667,1733.3333,1653.3333,1573.3333,1386.6667,1386.6667
False,2.0,Оренбургская область,2,False,25000.0,160000.0,34453.3333,25626.6667,14080.0,13413.3333,12320.0,9520.0,9040.0,7200.0,6266.6667,3946.6667,3093.3333,2906.6667,2400.0,2186.6667,2133.3333,1893.3333,1786.6667,1733.3333,1653.3333,1573.3333,1386.6667,1386.6667
False,2.0,Удмуртская Республика,1,False,25000.0,88000.0,18949.3333,14094.6667,7744.0,7377.3333,6776.0,5236.0,4972.0,3960.0,3446.6667,2170.6667,1701.3333,1598.6667,1320.0,1202.6667,1173.3333,1041.3333,982.6667,953.3333,909.3333,865.3333,762.6667,762.6667
False,2.0,Омская область,1,False,25000.0,100000.0,21533.3333,16016.6667,8800.0,8383.3333,7700.0,5950.0,5650.0,4500.0,3916.6667,2466.6667,1933.3333,1816.6667,1500.0,1366.6667,1333.3333,1183.3333,1116.6667,1083.3333,1033.3333,983.3333,866.6667,866.6667
False,2.0,Республика Татарстан,0,False,25000.0,160000.0,34453.3333,25626.6667,14080.0,13413.3333,12320.0,9520.0,9040.0,7200.0,6266.6667,3946.6667,3093.3333,2906.6667,2400.0,2186.6667,2133.3333,1893.3333,1786.6667,1733.3333,1653.3333,1573.3333,1386.6667,1386.6667
False,2.0,Республика Башкортостан,0,False,25000.0,130000.0,27993.3333,20821.6667,11440.0,10898.3333,10010.0,7735.0,7345.0,5850.0,5091.6667,3206.6667,2513.3333,2361.6667,1950.0,1776.6667,1733.3333,1538.3333,1451.6667,1408.3333,1343.3333,1278.3333,1126.6667,1126.6667
False,2.0,Владимирская область,1,False,25000.0,88000.0,18949.3333,14094.6667,7744.0,7377.3333,6776.0,5236.0,4972.0,3960.0,3446.6667,2170.6667,1701.3333,1598.6667,1320.0,1202.6667,1173.3333,1041.3333,982.6667,953.3333,909.3333,865.3333,762.6667,762.6667
False,2.0,Рязанская область,1,False,25000.0,75000.0,16150.0,12012.5,6600.0,6287.5,5775.0,4462.5,4237.5,3375.0,2937.5,1850.0,1450.0,1362.5,1125.0,1025.0,1000.0,887.5,837.5,812.5,775.0,737.5,650.0,650.0
False,2.0,Кировская область,1,False,25000.0,96500.0,20779.6667,15456.0833,8492.0,8089.9167,7430.5,5741.75,5452.25,4342.5,3779.5833,2380.3333,1865.6667,1753.0833,1447.5,1318.8333,1286.6667,1141.9167,1077.5833,1045.4167,997.1667,948.9167,836.3333,836.3333
False,2.0,Кировская область,1,True,37982.5,37982.5,8178.8983,6083.5304,3342.46,3184.1996,2924.6525,2259.9587,2146.0112,1709.2125,1487.6479,936.9017,734.3283,690.0154,569.7375,519.0942,506.4333,449.4596,424.1379,411.4771,392.4858,373.4946,329.1817,329.1817
False,2.0,Приморский край,1,False,28175.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Хабаровский край,1,False,25000.0,120000.0,25840.0,19220.0,10560.0,10060.0,9240.0,7140.0,6780.0,5400.0,4700.0,2960.0,2320.0,2180.0,1800.0,1640.0,1600.0,1420.0,1340.0,1300.0,1240.0,1180.0,1040.0,1040.0
False,2.0,Тюменская область,1,False,25000.0,60000.0,12920.0,9610.0,5280.0,5030.0,4620.0,3570.0,3390.0,2700.0,2350.0,1480.0,1160.0,1090.0,900.0,820.0,800.0,710.0,670.0,650.0,620.0,590.0,520.0,520.0
False,2.0,Амурская область,1,False,45000.0,45000.0,9690.0,7207.5,3960.0,3772.5,3465.0,2677.5,2542.5,2025.0,1762.5,1110.0,870.0,817.5,675.0,615.0,600.0,532.5,502.5,487.5,465.0,442.5,390.0,390.0
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,127000.0,27347.3333,20341.1667,11176.0,10646.8333,9779.0,7556.5,7175.5,5715.0,4974.1667,3132.6667,2455.3333,2307.1667,1905.0,1735.6667,1693.3333,1502.8333,1418.1667,1375.8333,1312.3333,1248.8333,1100.6667,1100.6667
False,2.0,Челябинская область,0,False,25000.0,114400.0,24634.1333,18323.0667,10067.2,9590.5333,8808.8,6806.8,6463.6,5148.0,4480.6667,2821.8667,2211.7333,2078.2667,1716.0,1563.4667,1525.3333,1353.7333,1277.4667,1239.3333,1182.1333,1124.9333,991.4667,991.4667
False,2.0,Челябинская область,0,True,40000.0,40000.0,8613.3333,6406.6667,3520.0,3353.3333,3080.0,2380.0,2260.0,1800.0,1566.6667,986.6667,773.3333,726.6667,600.0,546.6667,533.3333,473.3333,446.6667,433.3333,413.3333,393.3333,346.6667,346.6667
False,2.0,Липецкая область,1,False,25000.0,88000.0,18949.3333,14094.6667,7744.0,7377.3333,6776.0,5236.0,4972.0,3960.0,3446.6667,2170.6667,1701.3333,1598.6667,1320.0,1202.6667,1173.3333,1041.3333,982.6667,953.3333,909.3333,865.3333,762.6667,762.6667
