is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение конструктивных расчетов (5545_35),Знание компьютерных программ (3753_35),Внимательность (СК) (536_4),Разработка рабочей конструкторской документации (5537_35),Знания SCAD (5251_10),Английский язык (ЯС) (1918_32),Разработка проектной документации (5541_35),Навыки трехмерного моделирования (5475_35),Умение работать в САПР (5244_35),"Саморазвитие, обучаемость (СК) (604_4)",Знание нормативной и методической документации (4566_35),Командность (СК) (1371_4),Подготовка чертежей по специальности или профилю работы (7181_10),"Организаторские способности, лидерство (СК) (393_4)",Коммуникабельность (СК) (617_4),Руководство конструкторским отделом (5674_35),Кропотливость (СК) (623_4),Разработка технических заданий (5551_35),Руководство проектными работами (6044_35),Разработка конструкторской документации (7077_10),Конструкторское сопровождение опытного и серийного производства (5518_35),Проверка проектной и конструкторской документации (5652_35),Стрессоустойчивость (СК) (601_4),Чтение схем/чертежей (ОПТ) (3032_36),Аккуратность (СК) (575_4),Согласование конструкторской документации (5543_35),Знание ЕСКД (7062_10),Навык работы с офисными компьютерными программами (5249_35)
False,2.0,Город федерального значения Москва,0,False,85.0,200000.0,40181.6118,19659.4779,12304.1998,11940.9762,10760.4994,10533.4847,9670.8286,7446.084,6265.6073,5539.16,4994.3246,4404.0863,4177.0715,4086.2656,3723.042,3314.4154,3178.2066,3132.8036,3087.4007,3041.9977,2905.7889,2860.3859,2814.983,2814.983,2587.9682,2497.1623,2451.7594,2406.3564,2406.3564,2406.3564,2406.3564
False,2.0,Город федерального значения Москва,0,True,50000.0,90000.0,18081.7253,8846.765,5536.8899,5373.4393,4842.2247,4740.0681,4351.8729,3350.7378,2819.5233,2492.622,2247.4461,1981.8388,1879.6822,1838.8195,1675.3689,1491.4869,1430.193,1409.7616,1389.3303,1368.899,1307.605,1287.1737,1266.7423,1266.7423,1164.5857,1123.723,1103.2917,1082.8604,1082.8604,1082.8604,1082.8604
False,2.0,Свердловская область,0,False,20000.0,170000.0,34154.37,16710.5562,10458.5698,10149.8297,9146.4245,8953.462,8220.2043,6329.1714,5325.7662,4708.286,4245.1759,3743.4733,3550.5108,3473.3258,3164.5857,2817.2531,2701.4756,2662.8831,2624.2906,2585.6981,2469.9205,2431.328,2392.7355,2392.7355,2199.773,2122.588,2083.9955,2045.403,2045.403,2045.403,2045.403
False,2.0,Свердловская область,0,True,50000.0,60000.0,12054.4835,5897.8434,3691.2599,3582.2928,3228.1498,3160.0454,2901.2486,2233.8252,1879.6822,1661.748,1498.2974,1321.2259,1253.1215,1225.8797,1116.9126,994.3246,953.462,939.8411,926.2202,912.5993,871.7367,858.1158,844.4949,844.4949,776.3905,749.1487,735.5278,721.9069,721.9069,721.9069,721.9069
False,2.0,Омская область,1,False,20018.25,130000.0,26118.0477,12778.6606,7997.7299,7761.6345,6994.3246,6846.765,6286.0386,4839.9546,4072.6447,3600.454,3246.311,2862.6561,2715.0965,2656.0726,2419.9773,2154.37,2065.8343,2036.3224,2006.8104,1977.2985,1888.7628,1859.2509,1829.7389,1829.7389,1682.1793,1623.1555,1593.6436,1564.1317,1564.1317,1564.1317,1564.1317
False,2.0,Томская область,1,False,20018.25,90000.0,18081.7253,8846.765,5536.8899,5373.4393,4842.2247,4740.0681,4351.8729,3350.7378,2819.5233,2492.622,2247.4461,1981.8388,1879.6822,1838.8195,1675.3689,1491.4869,1430.193,1409.7616,1389.3303,1368.899,1307.605,1287.1737,1266.7423,1266.7423,1164.5857,1123.723,1103.2917,1082.8604,1082.8604,1082.8604,1082.8604
False,2.0,Белгородская область,2,False,20018.25,130000.0,26118.0477,12778.6606,7997.7299,7761.6345,6994.3246,6846.765,6286.0386,4839.9546,4072.6447,3600.454,3246.311,2862.6561,2715.0965,2656.0726,2419.9773,2154.37,2065.8343,2036.3224,2006.8104,1977.2985,1888.7628,1859.2509,1829.7389,1829.7389,1682.1793,1623.1555,1593.6436,1564.1317,1564.1317,1564.1317,1564.1317
False,2.0,Белгородская область,2,True,33000.0,33000.0,6629.9659,3243.8138,2030.193,1970.2611,1775.4824,1738.025,1595.6867,1228.6039,1033.8252,913.9614,824.0636,726.6742,689.2168,674.2338,614.3019,546.8785,524.4041,516.9126,509.4211,501.9296,479.4552,471.9637,464.4722,464.4722,427.0148,412.0318,404.5403,397.0488,397.0488,397.0488,397.0488
False,2.0,Рязанская область,1,False,20018.25,100000.0,20090.8059,9829.7389,6152.0999,5970.4881,5380.2497,5266.7423,4835.4143,3723.042,3132.8036,2769.58,2497.1623,2202.0431,2088.5358,2043.1328,1861.521,1657.2077,1589.1033,1566.4018,1543.7003,1520.9989,1452.8944,1430.193,1407.4915,1407.4915,1293.9841,1248.5812,1225.8797,1203.1782,1203.1782,1203.1782,1203.1782
False,2.0,Город федерального значения Санкт-Петербург,0,False,30000.0,250000.0,50227.0148,24574.3473,15380.2497,14926.2202,13450.6243,13166.8558,12088.5358,9307.605,7832.0091,6923.9501,6242.9058,5505.1078,5221.3394,5107.832,4653.8025,4143.0193,3972.7582,3916.0045,3859.2509,3802.4972,3632.2361,3575.4824,3518.7287,3518.7287,3234.9603,3121.4529,3064.6992,3007.9455,3007.9455,3007.9455,3007.9455
False,2.0,Город федерального значения Санкт-Петербург,0,True,45000.0,80000.0,16072.6447,7863.7911,4921.6799,4776.3905,4304.1998,4213.3939,3868.3314,2978.4336,2506.2429,2215.664,1997.7299,1761.6345,1670.8286,1634.5062,1489.2168,1325.7662,1271.2826,1253.1215,1234.9603,1216.7991,1162.3156,1144.1544,1125.9932,1125.9932,1035.1873,998.8649,980.7037,962.5426,962.5426,962.5426,962.5426
False,2.0,Самарская область,0,False,20018.25,250000.0,50227.0148,24574.3473,15380.2497,14926.2202,13450.6243,13166.8558,12088.5358,9307.605,7832.0091,6923.9501,6242.9058,5505.1078,5221.3394,5107.832,4653.8025,4143.0193,3972.7582,3916.0045,3859.2509,3802.4972,3632.2361,3575.4824,3518.7287,3518.7287,3234.9603,3121.4529,3064.6992,3007.9455,3007.9455,3007.9455,3007.9455
False,2.0,Самарская область,0,True,33000.0,33000.0,6629.9659,3243.8138,2030.193,1970.2611,1775.4824,1738.025,1595.6867,1228.6039,1033.8252,913.9614,824.0636,726.6742,689.2168,674.2338,614.3019,546.8785,524.4041,516.9126,509.4211,501.9296,479.4552,471.9637,464.4722,464.4722,427.0148,412.0318,404.5403,397.0488,397.0488,397.0488,397.0488
False,2.0,Республика Башкортостан,0,False,20018.25,200000.0,40181.6118,19659.4779,12304.1998,11940.9762,10760.4994,10533.4847,9670.8286,7446.084,6265.6073,5539.16,4994.3246,4404.0863,4177.0715,4086.2656,3723.042,3314.4154,3178.2066,3132.8036,3087.4007,3041.9977,2905.7889,2860.3859,2814.983,2814.983,2587.9682,2497.1623,2451.7594,2406.3564,2406.3564,2406.3564,2406.3564
