is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Организаторские способности, лидерство (СК) (393_4)",Разработка проектной документации (СПК в строительстве) (6933_10),Внимательность (СК) (536_4),Знание AutoCAD (3072_10),"Саморазвитие, обучаемость (СК) (604_4)",Проектирования объектов (6977_10),Составление графиков (6998_10),Английский язык (ЯС) (1918_32),Пунктуальность (СК) (612_4),Контроль выполнения работ (7013_10),Прохождения экспертизы (6978_10),Подготовка данных для заключения договоров (7017_10),Дисциплинированность (СК) (593_4),Выезды на объекты (6986_10),Сопровождение проектной документации (6993_10),Самостоятельность (СК) (603_4),Подбор оборудования (7184_10),Подготовка технических заданий (6983_10),Высокая работоспособность (СК) (586_4),Надзор за строительством (6981_10),Оформление КС (5667_10),Разработка рабочей документации (6972_10),Защита проекта в вышестоящих организациях (7007_10),Проектирование систем отопления (6991_10),Выполнение расчетов (6973_10),Трудолюбие (СК) (597_4),Участие в подготовке заданий на разработку проектных решений (6980_10),Выполнение комплекса геодезических работ (1410_10),Согласование технических решений (7001_10),Анализ проектной документации (7025_10),Уверенный пользователь AutoCad (6976_10),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Инициативность (СК) (610_4),Кропотливость (СК) (623_4),Знание компьютерных офисных программ (строительство) (4252_10),Аккуратность (СК) (575_4)
False,1.0,Республика Адыгея,1,False,15000.0,26970.0,5123.2753,2529.2801,2356.7067,1278.1224,1245.7648,1127.1206,1105.5489,755.009,652.5435,544.6851,512.3275,501.5417,496.1488,490.7558,485.3629,479.97,447.6125,442.2196,431.4337,426.0408,415.2549,399.0762,399.0762,388.2903,334.3611,318.1824,318.1824,312.7894,312.7894,307.3965,307.3965,296.6107,296.6107,291.2178,285.8248,280.4319,275.039
False,1.0,Республика Северная Осетия,1,False,15279.0,30000.0,5698.8602,2813.4373,2621.4757,1421.7157,1385.7229,1253.7493,1229.754,839.832,725.8548,605.8788,569.886,557.8884,551.8896,545.8908,539.892,533.8932,497.9004,491.9016,479.904,473.9052,461.9076,443.9112,443.9112,431.9136,371.9256,353.9292,353.9292,347.9304,347.9304,341.9316,341.9316,329.934,329.934,323.9352,317.9364,311.9376,305.9388
False,1.0,Карачаево-Черкесская Республика,1,False,30000.0,30000.0,5698.8602,2813.4373,2621.4757,1421.7157,1385.7229,1253.7493,1229.754,839.832,725.8548,605.8788,569.886,557.8884,551.8896,545.8908,539.892,533.8932,497.9004,491.9016,479.904,473.9052,461.9076,443.9112,443.9112,431.9136,371.9256,353.9292,353.9292,347.9304,347.9304,341.9316,341.9316,329.934,329.934,323.9352,317.9364,311.9376,305.9388
False,1.0,"иные территории, включая город и космодром Байконур",1,False,20000.0,26375.0,5010.248,2473.4803,2304.7141,1249.925,1218.2813,1102.2545,1081.1588,738.3523,638.1474,532.6685,501.0248,490.4769,485.203,479.929,474.6551,469.3811,437.7375,432.4635,421.9156,416.6417,406.0938,390.2719,390.2719,379.7241,326.9846,311.1628,311.1628,305.8888,305.8888,300.6149,300.6149,290.067,290.067,284.793,279.5191,274.2452,268.9712
False,1.0,Республика Калмыкия,1,False,20000.0,20000.0,3799.2402,1875.6249,1747.6505,947.8104,923.8152,835.8328,819.836,559.888,483.9032,403.9192,379.924,371.9256,367.9264,363.9272,359.928,355.9288,331.9336,327.9344,319.936,315.9368,307.9384,295.9408,295.9408,287.9424,247.9504,235.9528,235.9528,231.9536,231.9536,227.9544,227.9544,219.956,219.956,215.9568,211.9576,207.9584,203.9592
False,1.0,Кабардино-Балкарская Республика,1,False,20000.0,40000.0,7598.4803,3751.2498,3495.3009,1895.6209,1847.6305,1671.6657,1639.6721,1119.776,967.8064,807.8384,759.848,743.8512,735.8528,727.8544,719.856,711.8576,663.8672,655.8688,639.872,631.8736,615.8768,591.8816,591.8816,575.8848,495.9008,471.9056,471.9056,463.9072,463.9072,455.9088,455.9088,439.912,439.912,431.9136,423.9152,415.9168,407.9184
False,1.0,Республика Ингушетия,1,False,17500.0,17500.0,3324.3351,1641.1718,1529.1942,829.3341,808.3383,731.3537,717.3565,489.902,423.4153,353.4293,332.4335,325.4349,321.9356,318.4363,314.937,311.4377,290.4419,286.9426,279.944,276.4447,269.4461,258.9482,258.9482,251.9496,216.9566,206.4587,206.4587,202.9594,202.9594,199.4601,199.4601,192.4615,192.4615,188.9622,185.4629,181.9636,178.4643
False,1.0,Волгоградская область,2,False,17000.0,130000.0,24695.061,12191.5617,11359.7281,6160.7678,6004.799,5432.9134,5328.9342,3639.2721,3145.3709,2625.4749,2469.5061,2417.5165,2391.5217,2365.5269,2339.5321,2313.5373,2157.5685,2131.5737,2079.5841,2053.5893,2001.5997,1923.6153,1923.6153,1871.6257,1611.6777,1533.6933,1533.6933,1507.6985,1507.6985,1481.7037,1481.7037,1429.7141,1429.7141,1403.7193,1377.7245,1351.7297,1325.7349
False,1.0,Волгоградская область,2,True,35000.0,80000.0,15196.9606,7502.4995,6990.6019,3791.2418,3695.2609,3343.3313,3279.3441,2239.5521,1935.6129,1615.6769,1519.6961,1487.7025,1471.7057,1455.7089,1439.7121,1423.7153,1327.7345,1311.7377,1279.7441,1263.7473,1231.7536,1183.7632,1183.7632,1151.7696,991.8016,943.8112,943.8112,927.8144,927.8144,911.8176,911.8176,879.824,879.824,863.8272,847.8304,831.8336,815.8368
False,1.0,Ульяновская область,1,False,20000.0,80000.0,15196.9606,7502.4995,6990.6019,3791.2418,3695.2609,3343.3313,3279.3441,2239.5521,1935.6129,1615.6769,1519.6961,1487.7025,1471.7057,1455.7089,1439.7121,1423.7153,1327.7345,1311.7377,1279.7441,1263.7473,1231.7536,1183.7632,1183.7632,1151.7696,991.8016,943.8112,943.8112,927.8144,927.8144,911.8176,911.8176,879.824,879.824,863.8272,847.8304,831.8336,815.8368
