is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),"Обеспечение и поддержание чистоты и порядка на столах, в торговом зале и других помещениях предприятия питания (1469_9)",Командность (СК) (1371_4),"Соблюдение правил этикета и стандартов обслуживания, принятых в сфере питания (1458_9)","Сервировка столов до, во время и после обслуживания гостей предприятия питания (487_9)",Приготовление кофе и кофейных напитков (3503_9),Доброжелательность (СК) (1126_4),"Личные установки и ценности, мировоззрение (2043_4)",Прием и оформление заказа на продукцию или услуги предприятия питания (490_9),Коммуникабельность (СК) (617_4),"Выполнение стандартов обслуживания и правил этикета, создание атмосферы гостеприимства (1470_9)","Знание этикета, стандартов сервировки столов и обслуживания гостей (1457_9)",Нравственность (СК) (622_4),Работа на кассе предприятия питания (3013_9),"Саморазвитие, обучаемость (СК) (604_4)","Знание меню, барной и винной карты, ассортимента дополнительных услуг и сопутствующей продукции (699_9)",Стрессоустойчивость (СК) (601_4),Вежливость (СК) (581_4),Активность (СК) (576_4),Обслуживание гостей в сфере питания (485_9),Высокая работоспособность (СК) (586_4),Пунктуальность (СК) (612_4),"Консультирование  гостей по выбору блюд и напитков, рекомендация блюд и напитков (3447_9)",Выполнение заказов в сфере питания (493_9),"Позитивность, оптимизм (СК) (607_4)","Уборка, мытье столов, посуды и столовых приборов (сфера питания) (2090_9)","Прием и выполнение заказов по бару, приготовление, хранение, выкладка, отдача и продажа различных напитков и другой продукции бара (1461_9)"
False,0.0,Астраханская область,1,False,8500.0,65000.0,6885.1521,5963.1663,5204.7586,3628.4603,3494.6237,3182.3381,3182.3381,3063.3722,2884.9234,2765.9574,2572.6378,1962.9375,1903.4546,1591.1691,1338.3665,1323.4958,1308.625,1234.2713,1219.4006,1219.4006,1174.7884,1145.0469,1130.1762,1100.4347,1055.8225,981.4688,921.9858,788.1492,773.2784
False,0.0,Астраханская область,1,True,11200.0,25000.0,2648.1354,2293.5255,2001.8302,1395.5617,1344.086,1223.9762,1223.9762,1178.2201,1109.5859,1063.8298,989.4761,754.976,732.0979,611.9881,514.7563,509.0368,503.3173,474.7197,469.0002,469.0002,451.8417,440.4027,434.6831,423.2441,406.0856,377.488,354.6099,303.1343,297.4148
False,0.0,Оренбургская область,2,False,8500.0,50000.0,5296.2709,4587.051,4003.6605,2791.1233,2688.172,2447.9524,2447.9524,2356.4402,2219.1718,2127.6596,1978.9522,1509.952,1464.1958,1223.9762,1029.5127,1018.0737,1006.6346,949.4395,938.0005,938.0005,903.6834,880.8053,869.3663,846.4882,812.1711,754.976,709.2199,606.2686,594.8296
False,0.0,Оренбургская область,2,True,6500.0,30000.0,3177.7625,2752.2306,2402.1963,1674.674,1612.9032,1468.7714,1468.7714,1413.8641,1331.5031,1276.5957,1187.3713,905.9712,878.5175,734.3857,617.7076,610.8442,603.9808,569.6637,562.8003,562.8003,542.21,528.4832,521.6198,507.8929,487.3027,452.9856,425.5319,363.7612,356.8977
False,0.0,Чувашская Республика,1,False,8500.0,65000.0,6885.1521,5963.1663,5204.7586,3628.4603,3494.6237,3182.3381,3182.3381,3063.3722,2884.9234,2765.9574,2572.6378,1962.9375,1903.4546,1591.1691,1338.3665,1323.4958,1308.625,1234.2713,1219.4006,1219.4006,1174.7884,1145.0469,1130.1762,1100.4347,1055.8225,981.4688,921.9858,788.1492,773.2784
False,0.0,Чувашская Республика,1,True,11200.0,50000.0,5296.2709,4587.051,4003.6605,2791.1233,2688.172,2447.9524,2447.9524,2356.4402,2219.1718,2127.6596,1978.9522,1509.952,1464.1958,1223.9762,1029.5127,1018.0737,1006.6346,949.4395,938.0005,938.0005,903.6834,880.8053,869.3663,846.4882,812.1711,754.976,709.2199,606.2686,594.8296
False,0.0,Республика Мордовия,1,False,8000.0,34500.0,3654.4269,3165.0652,2762.5257,1925.8751,1854.8387,1689.0872,1689.0872,1625.9437,1531.2286,1468.0851,1365.477,1041.8668,1010.2951,844.5436,710.3638,702.4708,694.5779,655.1132,647.2203,647.2203,623.5415,607.7557,599.8627,584.0769,560.3981,520.9334,489.3617,418.3253,410.4324
False,0.0,Республика Мордовия,1,True,15000.0,34500.0,3654.4269,3165.0652,2762.5257,1925.8751,1854.8387,1689.0872,1689.0872,1625.9437,1531.2286,1468.0851,1365.477,1041.8668,1010.2951,844.5436,710.3638,702.4708,694.5779,655.1132,647.2203,647.2203,623.5415,607.7557,599.8627,584.0769,560.3981,520.9334,489.3617,418.3253,410.4324
False,0.0,Запорожская область,1,False,12837.0,20000.0,2118.5084,1834.8204,1601.4642,1116.4493,1075.2688,979.181,979.181,942.5761,887.6687,851.0638,791.5809,603.9808,585.6783,489.5905,411.8051,407.2295,402.6539,379.7758,375.2002,375.2002,361.4733,352.3221,347.7465,338.5953,324.8685,301.9904,283.6879,242.5074,237.9318
False,0.0,Херсонская область,1,False,11200.0,12837.0,1359.7646,1177.6795,1027.8998,716.593,690.1613,628.4873,628.4873,604.9925,569.7502,546.2553,508.0762,387.6651,375.9176,314.2437,264.3171,261.3802,258.4434,243.7591,240.8222,240.8222,232.0117,226.138,223.2011,217.3274,208.5168,193.8325,182.0851,155.6534,152.7165
