is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),Автослесарь - Базовые умения по комплексному ТО и Р автотранспорта (2091_31),"Личные установки и ценности, мировоззрение (2043_4)","Автослесарь - Конкретные умения – предрейсовый осмотр, профилактический осмотр, техосмотр (2262_31)",Автоэлектрик - обобщенные знания - знание устройства узлов и агрегатов транспортных средств (3749_31),"Саморазвитие, обучаемость (СК) (604_4)",Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Автослесарь - Конкретные умения – диагностика (2261_31),Высокая работоспособность (СК) (586_4),Трудолюбие (СК) (597_4),Автослесарь - Базовые знания в области конструкции и характеристик АТС (2224_31),Нравственность (СК) (622_4),Автоэлектрик - диагностика неисправностей электрооборудования (3247_31),Внимательность (СК) (536_4),Выполнение ремонтных работ (ОПТ) (8285_36),Автослесарь - Конкретные умения – Ходовая часть - Общие работы по обслуживанию и ремонту систем снизу автомобиля (3830_31),Коммуникабельность (СК) (617_4),"Автослесарь - Конкретные умения – Ремонт агрегатов - Общие работы по ремонту, сборке/разборке, восстановлению (3823_31)",Автоэлектрик - конкретные умения - диагностика и ремонт ходовой части (3723_31),Склонность к здоровому образу жизни (СК) (1662_4),Автослесарь - Конкретные умения – Ремонт агрегатов - Ремонтные работы по двигателю и трансмиссии (3818_31)
False,1.0,Ульяновская область,1,False,15038.0,120000.0,25965.9969,14837.7125,9613.6012,7017.0015,6893.3539,5564.1422,4358.5781,4204.0185,3925.8114,3771.2519,3122.102,2998.4544,2998.4544,2874.8068,2874.8068,2442.0402,2380.2164,2225.6569,2163.8331,2040.1855,2009.2736,1978.3617,1885.626,1854.7141
False,1.0,Ульяновская область,1,True,25500.0,25500.0,5517.7743,3153.0139,2042.8903,1491.1128,1464.8377,1182.3802,926.1978,893.3539,834.2349,801.391,663.4467,637.1716,637.1716,610.8964,610.8964,518.9335,505.796,472.9521,459.8145,433.5394,426.9706,420.4019,400.6955,394.1267
False,1.0,Ставропольский край,2,False,15038.0,140000.0,30293.6631,17310.6646,11215.8681,8186.5018,8042.2463,6491.4992,5085.0077,4904.6883,4580.1133,4399.7939,3642.4523,3498.1968,3498.1968,3353.9413,3353.9413,2849.0469,2776.9191,2596.5997,2524.4719,2380.2164,2344.1525,2308.0886,2199.897,2163.8331
False,1.0,Республика Крым,1,False,15038.0,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Республика Крым,1,True,25000.0,30000.0,6491.4992,3709.4281,2403.4003,1754.2504,1723.3385,1391.0355,1089.6445,1051.0046,981.4529,942.813,780.5255,749.6136,749.6136,718.7017,718.7017,610.51,595.0541,556.4142,540.9583,510.0464,502.3184,494.5904,471.4065,463.6785
False,1.0,Республика Северная Осетия,1,False,17000.0,50000.0,10819.1654,6182.3802,4005.6672,2923.7506,2872.2308,2318.3926,1816.0742,1751.6744,1635.7548,1571.355,1300.8758,1249.356,1249.356,1197.8362,1197.8362,1017.5167,991.7568,927.357,901.5971,850.0773,837.1973,824.3174,785.6775,772.7975
False,1.0,Свердловская область,0,False,18580.75,160000.0,34621.3292,19783.6167,12818.135,9356.0021,9191.1386,7418.8563,5811.4374,5605.3581,5234.4152,5028.3359,4162.8027,3997.9392,3997.9392,3833.0757,3833.0757,3256.0536,3173.6218,2967.5425,2885.1108,2720.2473,2679.0314,2637.8156,2514.168,2472.9521
False,1.0,Свердловская область,0,True,15000.0,50000.0,10819.1654,6182.3802,4005.6672,2923.7506,2872.2308,2318.3926,1816.0742,1751.6744,1635.7548,1571.355,1300.8758,1249.356,1249.356,1197.8362,1197.8362,1017.5167,991.7568,927.357,901.5971,850.0773,837.1973,824.3174,785.6775,772.7975
False,1.0,Республика Татарстан,0,False,2000.0,150000.0,32457.4961,18547.1406,12017.0015,8771.2519,8616.6924,6955.1777,5448.2226,5255.0232,4907.2643,4714.0649,3902.6275,3748.068,3748.068,3593.5085,3593.5085,3052.5502,2975.2705,2782.0711,2704.7913,2550.2318,2511.592,2472.9521,2357.0325,2318.3926
False,1.0,Республика Татарстан,0,True,30000.0,35000.0,7573.4158,4327.6662,2803.967,2046.6255,2010.5616,1622.8748,1271.2519,1226.1721,1145.0283,1099.9485,910.6131,874.5492,874.5492,838.4853,838.4853,712.2617,694.2298,649.1499,631.118,595.0541,586.0381,577.0222,549.9742,540.9583
False,1.0,Оренбургская область,2,False,18000.0,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Нижегородская область,0,False,16500.0,200000.0,43276.6615,24729.5209,16022.6687,11695.0026,11488.9232,9273.5703,7264.2968,7006.6976,6543.0191,6285.4199,5203.5033,4997.424,4997.424,4791.3447,4791.3447,4070.067,3967.0273,3709.4281,3606.3885,3400.3091,3348.7893,3297.2694,3142.7099,3091.1901
False,1.0,Нижегородская область,0,True,25000.0,36000.0,7789.7991,4451.3138,2884.0804,2105.1005,2068.0062,1669.2427,1307.5734,1261.2056,1177.7434,1131.3756,936.6306,899.5363,899.5363,862.442,862.442,732.6121,714.0649,667.6971,649.1499,612.0556,602.7821,593.5085,565.6878,556.4142
False,1.0,Самарская область,0,False,18580.75,146000.0,31591.9629,18052.5502,11696.5482,8537.3519,8386.914,6769.7063,5302.9366,5114.8892,4776.4039,4588.3565,3798.5574,3648.1195,3648.1195,3497.6816,3497.6816,2971.1489,2895.9299,2707.8825,2632.6636,2482.2257,2444.6162,2407.0067,2294.1783,2256.5688
