is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Оказание лечебной помощи животным (200_14),Соблюдение правил внутреннего распорядка и режима работы (4476_14),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Проведение профилактических мероприятий по предупреждению заболеваний животных и падежа (4253_14),Пунктуальность (СК) (612_4),Оказание платных ветеринарных услуг (4470_14),Осмотр животных и диагностивание болезней (4248_14),Склонность к здоровому образу жизни (СК) (1662_4),оказание лечебно-профилактической и санитарно-профилактической помощи (4258_14)
False,0.0,Волгоградская область,2,False,8970.0,19300.0,2791.9944,2276.9663,1911.0253,1870.3652,1721.2781,1558.6376,1328.2303,1287.5702,1246.9101,1233.3567,1111.3764,962.2893
False,0.0,Саратовская область,2,False,8970.0,19300.0,2791.9944,2276.9663,1911.0253,1870.3652,1721.2781,1558.6376,1328.2303,1287.5702,1246.9101,1233.3567,1111.3764,962.2893
False,0.0,Самарская область,0,False,12000.0,20000.0,2893.2584,2359.5506,1980.3371,1938.2022,1783.7079,1615.1685,1376.4045,1334.2697,1292.1348,1278.0899,1151.6854,997.191
False,0.0,Удмуртская Республика,1,False,8970.0,45000.0,6509.8315,5308.9888,4455.7584,4360.9551,4013.3427,3634.1292,3096.9101,3002.1067,2907.3034,2875.7022,2591.2921,2243.6798
False,0.0,Удмуртская Республика,1,True,8970.0,8970.0,1297.6264,1058.2584,888.1812,869.2837,799.993,724.4031,617.3174,598.4199,579.5225,573.2233,516.5309,447.2402
False,0.0,Ставропольский край,2,False,8970.0,19300.0,2791.9944,2276.9663,1911.0253,1870.3652,1721.2781,1558.6376,1328.2303,1287.5702,1246.9101,1233.3567,1111.3764,962.2893
False,0.0,Республика Башкортостан,0,False,8970.0,25300.0,3659.9719,2984.8315,2505.1264,2451.8258,2256.3904,2043.1882,1741.1517,1687.8511,1634.5506,1616.7837,1456.882,1261.4466
False,0.0,Тверская область,1,False,8970.0,20000.0,2893.2584,2359.5506,1980.3371,1938.2022,1783.7079,1615.1685,1376.4045,1334.2697,1292.1348,1278.0899,1151.6854,997.191
False,0.0,Омская область,1,False,10481.5,35000.0,5063.2022,4129.2135,3465.5899,3391.8539,3121.4888,2826.5449,2408.7079,2334.9719,2261.236,2236.6573,2015.4494,1745.0843
False,0.0,Астраханская область,1,False,8970.0,16242.0,2349.6152,1916.191,1608.2317,1574.014,1448.5492,1311.6784,1117.7781,1083.5604,1049.3427,1037.9368,935.2837,809.8188
False,0.0,Республика Мордовия,1,False,8970.0,40000.0,5786.5169,4719.1011,3960.6742,3876.4045,3567.4157,3230.3371,2752.809,2668.5393,2584.2697,2556.1798,2303.3708,1994.382
False,0.0,Оренбургская область,2,False,8970.0,23278.0,3367.4635,2746.2809,2304.9143,2255.8736,2076.0576,1879.8947,1601.9972,1552.9565,1503.9157,1487.5688,1340.4466,1160.6306
False,0.0,Курганская область,1,False,8970.0,16759.5,2424.4782,1977.2444,1659.473,1624.165,1494.7026,1353.4709,1153.3926,1118.0846,1082.7767,1071.0074,965.0836,835.6211
False,0.0,Свердловская область,0,False,8970.0,19300.0,2791.9944,2276.9663,1911.0253,1870.3652,1721.2781,1558.6376,1328.2303,1287.5702,1246.9101,1233.3567,1111.3764,962.2893
False,0.0,Свердловская область,0,True,19213.0,19213.0,2779.4087,2266.7022,1902.4108,1861.934,1713.519,1551.6117,1322.243,1281.7662,1241.2893,1227.7971,1106.3666,957.9515
False,0.0,Кировская область,1,False,10481.5,19300.0,2791.9944,2276.9663,1911.0253,1870.3652,1721.2781,1558.6376,1328.2303,1287.5702,1246.9101,1233.3567,1111.3764,962.2893
False,0.0,Кировская область,1,True,16242.0,16242.0,2349.6152,1916.191,1608.2317,1574.014,1448.5492,1311.6784,1117.7781,1083.5604,1049.3427,1037.9368,935.2837,809.8188
False,0.0,Ярославская область,1,False,10481.5,17003.0,2459.7037,2005.9719,1683.5836,1647.7626,1516.4192,1373.1355,1170.1503,1134.3294,1098.5084,1086.5681,979.1053,847.7619
False,0.0,Ярославская область,1,True,15000.0,15000.0,2169.9438,1769.6629,1485.2528,1453.6517,1337.7809,1211.3764,1032.3034,1000.7022,969.1011,958.5674,863.764,747.8933
False,0.0,Карачаево-Черкесская Республика,1,False,8970.0,16242.0,2349.6152,1916.191,1608.2317,1574.014,1448.5492,1311.6784,1117.7781,1083.5604,1049.3427,1037.9368,935.2837,809.8188
