is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),Дисциплинированность (СК) (593_4),Высокая работоспособность (СК) (586_4),ЖКХс Осуществление сантехнических работ (8067_29),"Ответственность , добросовестность (СК) (614_4)",Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"ЖКХс ремонт инженерных систем (отопление, водоснабжение, канализация) и оборудования (8271_29)","ЖКХс Монтаж, установка, ремонт, замена оборудования сан-узлов (8120_29)","Личные установки и ценности, мировоззрение (2043_4)","ЖКХс Монтаж, установка, замена, ремонт и техническое обслуживание различных типов смесителей (8117_29)",ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),ЖКХс Опыт выполнения сантехнических работ (8081_29),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),ЖКХи Снятие и обработка показаний приборов учета (2887_29),ЖКХс Выполнение сантехнических и теплотехнических работ (6069_29),Чтение схем/чертежей (ОПТ) (3032_36),ЖКХ Знание инженерных систем зданий и сооружений (2565_29),ЖКХс Монтаж сантехнических и теплотехнических систем и оборудования (6085_29),"ЖКХ Подготовка данных, составление и ведение отчетности (2905_29)",Пунктуальность (СК) (612_4),"ЖКХс ремонт и обслуживание внутренних инженерных систем (отопление, водоснабжение, канализация) и оборудования (2656_29)",ЖКХ Монтаж ГВС и ХВС (2524_29),ЖКХс ремонт наружных и внутренних инженерных систем и оборудования (8272_29),Коммуникабельность (СК) (617_4),ЖКХа техническое обслуживание электротехнического оборудования (2792_29),Выполнение поручений руководителя (ОПТ) (3036_36),ЖКХсс монтаж/демонтаж трубопроводов из различных материалов (8366_29),"ЖКХс общие фразы по обслуживанию, ремонту, сборке  различных деталей, узлов и оборудования (8281_29)",ЖКХ Монтаж систем отопления (2525_29),ЖКХс знать сантехнические работы (8072_29),ЖКХс Ремонт и техническое обслуживание систем  отопления и ГВС (8279_29),ЖКХ Монтаж канализации (2527_29),Нравственность (СК) (622_4),"ЖКХс Монтаж, установка, замена, настройка и испытание сантехнических систем (8091_29)",Внимательность (СК) (536_4),ЖКХс Монтаж систем  отопления и ГВС (8116_29),Стрессоустойчивость (СК) (601_4),Трудолюбие (СК) (597_4),"Саморазвитие, обучаемость (СК) (604_4)","ЖКХс Монтаж, установка, замена и ремонт различных типов унитаза (8123_29)"
False,2.0,Республика Крым,1,False,30000.0,45000.0,3184.2672,3002.4246,2844.8276,2493.2651,2485.1832,2432.6509,2089.1703,2064.9246,1838.6315,1806.3039,1567.8879,1519.3966,1228.4483,1115.3017,990.0323,945.5819,917.2953,816.2716,804.1487,755.6573,727.3707,666.7565,654.6336,654.6336,602.1013,565.7328,533.4052,521.2823,468.75,452.5862,436.4224,420.2586,412.1767,375.8082,339.4397,323.2759,315.194,294.9892,290.9483,282.8664,266.7026,254.5797,238.4159
False,2.0,Псковская область,1,False,12792.0,23000.0,1627.5144,1534.5726,1454.023,1274.3355,1270.2047,1243.3549,1067.7981,1055.4059,939.745,923.222,801.3649,776.5805,627.8736,570.0431,506.0165,483.2974,468.8398,417.2055,411.0093,386.2249,371.7672,340.7866,334.5905,334.5905,307.7407,289.1523,272.6293,266.4332,239.5833,231.3218,223.0603,214.7989,210.6681,192.0797,173.4914,165.2299,161.0991,150.7723,148.7069,144.5761,136.3147,130.1185,121.857
False,2.0,Краснодарский край,0,False,16242.0,72000.0,5094.8276,4803.8793,4551.7241,3989.2241,3976.2931,3892.2414,3342.6724,3303.8793,2941.8103,2890.0862,2508.6207,2431.0345,1965.5172,1784.4828,1584.0517,1512.931,1467.6724,1306.0345,1286.6379,1209.0517,1163.7931,1066.8103,1047.4138,1047.4138,963.3621,905.1724,853.4483,834.0517,750.0,724.1379,698.2759,672.4138,659.4828,601.2931,543.1034,517.2414,504.3103,471.9828,465.5172,452.5862,426.7241,407.3276,381.4655
False,2.0,Краснодарский край,0,True,40000.0,40000.0,2830.4598,2668.8218,2528.7356,2216.2356,2209.0517,2162.3563,1857.0402,1835.4885,1634.3391,1605.6034,1393.6782,1350.5747,1091.954,991.3793,880.0287,840.5172,815.3736,725.5747,714.7989,671.6954,646.5517,592.6724,581.8966,581.8966,535.2011,502.8736,474.1379,463.3621,416.6667,402.2989,387.931,373.5632,366.3793,334.0517,301.7241,287.3563,280.1724,262.2126,258.6207,251.4368,237.069,226.2931,211.9253
False,2.0,Самарская область,0,False,25000.0,80000.0,5660.9195,5337.6437,5057.4713,4432.4713,4418.1034,4324.7126,3714.0805,3670.977,3268.6782,3211.2069,2787.3563,2701.1494,2183.908,1982.7586,1760.0575,1681.0345,1630.7471,1451.1494,1429.5977,1343.3908,1293.1034,1185.3448,1163.7931,1163.7931,1070.4023,1005.7471,948.2759,926.7241,833.3333,804.5977,775.8621,747.1264,732.7586,668.1034,603.4483,574.7126,560.3448,524.4253,517.2414,502.8736,474.1379,452.5862,423.8506
False,2.0,Саратовская область,2,False,15000.0,41000.0,2901.2213,2735.5424,2591.954,2271.6415,2264.278,2216.4152,1903.4662,1881.3757,1675.1976,1645.7435,1428.5201,1384.3391,1119.2529,1016.1638,902.0295,861.5302,835.7579,743.7141,732.6688,688.4878,662.7155,607.4892,596.444,596.444,548.5812,515.4454,485.9914,474.9461,427.0833,412.3563,397.6293,382.9023,375.5388,342.403,309.2672,294.5402,287.1767,268.768,265.0862,257.7227,242.9957,231.9504,217.2234
False,2.0,Вологодская область,1,False,20000.0,80000.0,5660.9195,5337.6437,5057.4713,4432.4713,4418.1034,4324.7126,3714.0805,3670.977,3268.6782,3211.2069,2787.3563,2701.1494,2183.908,1982.7586,1760.0575,1681.0345,1630.7471,1451.1494,1429.5977,1343.3908,1293.1034,1185.3448,1163.7931,1163.7931,1070.4023,1005.7471,948.2759,926.7241,833.3333,804.5977,775.8621,747.1264,732.7586,668.1034,603.4483,574.7126,560.3448,524.4253,517.2414,502.8736,474.1379,452.5862,423.8506
False,2.0,Свердловская область,0,False,15000.0,80000.0,5660.9195,5337.6437,5057.4713,4432.4713,4418.1034,4324.7126,3714.0805,3670.977,3268.6782,3211.2069,2787.3563,2701.1494,2183.908,1982.7586,1760.0575,1681.0345,1630.7471,1451.1494,1429.5977,1343.3908,1293.1034,1185.3448,1163.7931,1163.7931,1070.4023,1005.7471,948.2759,926.7241,833.3333,804.5977,775.8621,747.1264,732.7586,668.1034,603.4483,574.7126,560.3448,524.4253,517.2414,502.8736,474.1379,452.5862,423.8506
False,2.0,Нижегородская область,0,False,17000.0,70000.0,4953.3046,4670.4382,4425.2874,3878.4124,3865.8405,3784.1236,3249.8204,3212.1049,2860.0934,2809.806,2438.9368,2363.5057,1910.9195,1734.9138,1540.0503,1470.9052,1426.9037,1269.7557,1250.898,1175.467,1131.4655,1037.1767,1018.319,1018.319,936.602,880.0287,829.7414,810.8836,729.1667,704.023,678.8793,653.7356,641.1638,584.5905,528.0172,502.8736,490.3017,458.8721,452.5862,440.0144,414.8707,396.0129,370.8693
False,2.0,Нижегородская область,0,True,15000.0,15000.0,1061.4224,1000.8082,948.2759,831.0884,828.3944,810.8836,696.3901,688.3082,612.8772,602.1013,522.6293,506.4655,409.4828,371.7672,330.0108,315.194,305.7651,272.0905,268.0496,251.8858,242.4569,222.2522,218.2112,218.2112,200.7004,188.5776,177.8017,173.7608,156.25,150.8621,145.4741,140.0862,137.3922,125.2694,113.1466,107.7586,105.0647,98.3297,96.9828,94.2888,88.9009,84.8599,79.472
