is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Выполнение плана строительно-монтажных работ (2955_10),Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),"Организаторские способности, лидерство (СК) (393_4)","Организация приемки строительных материалов, конструкций, изделий, их складирование, учет и отчетность (4242_10)",Чтение схем/чертежей (ОПТ) (3032_36),Командность (СК) (1371_4),Контроль соблюдения технологической последовательности производства строительных работ (4118_10),"Работа с технической документации, чтение проектов, чертежей, схем (строительство) (2957_10)","Саморазвитие, обучаемость (СК) (604_4)",Ведение исполнительной документации в строительстве (2958_10),Коммуникабельность (СК) (617_4),"Производит расстановку бригад, звеньев и отдельных работников на строительном участке (5590_10)",Стрессоустойчивость (СК) (601_4),Контроль выполнения строительно-монтажных работ (2954_10),Проведение производственного инструктажа и ведение журнала учета инструктажа и техники безопасности работников (5584_10),Контроль за соблюдением работниками  правил охраны труда и техники безопасности при выполнении строительных и монтажных работ (5577_10),"Оформление документов по учету рабочего времени, выработки, простоев работников при выполнении общестроительных работ (4121_10)",Внимательность (СК) (536_4),Геодезический контроль в ходе выполнения технологических операций (4115_10),Знание технологии производства строительных и монтажных работ (4120_10),Навык составления смет (5556_10),Трудолюбие (СК) (597_4),Контроль соблюдения технологической последовательности при выполнении вида строительных работ (2960_10),Контроль выполнения работ (7013_10),"Обеспечение строительных бригад и отдельных работников инструментом, приспособлениями, средствами малой механизации, транспортом, спецодеждой, защитными средствами (5586_10)",Знание компьютерных офисных программ (строительство) (4252_10),Выдача нарядов на строительные и монтажные работы и приемка законченных строительных и монтажных работ (5582_10),Руководство работниками участка производства строительных работ (5576_10),Пунктуальность (СК) (612_4),Целеустремленность (СК) (588_4),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Самостоятельность (СК) (603_4),"Знание ГОСТов, СНиПов, СП (1406_10)",навыки  в области строительства (6220_10),"Многозадачность, интенсивность (СК) (627_4)",Знания SCAD (5251_10),Высокая работоспособность (СК) (586_4),Знание действующих нормативно-технических документов в строительстве (4256_10),Планирование и организация материально-технического обеспечения строительства (4249_10),"Обеспечение рационального использования на участке строительных машин, оборудования и транспортных средств (4123_10)",Знание технологии производства (7190_10),Аккуратность (СК) (575_4),Соблюдение правил охраны труда (ОПТ) (3790_36),Умение пользоваться геодезическими инструментами (4117_10),Выполнение разбивочных работ в строительстве (4122_10),Использование нивелира (1398_10),Выполнение комплекса геодезических работ (1410_10),Подготовка и сдача работ (1447_10),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),Нравственность (СК) (622_4),Руководство производственно-хозяйственной деятельностью строительного  участка (5575_10),"Техника безопасности (бетон, арматура) (1607_10)",Руководство бригадой (ОПТ) (3599_36),Знание рынка строительных материалов (4260_10),Знания нормативных документов (4992_10),монтажные работы (6243_10),Инициативность (СК) (610_4),Выполнение ремонтных работ (ОПТ) (8285_36),Контроль обеспечения рабочих мест знаками безопасности и предупредительными надписями (5589_10),Ведение должностного документооборота (3339_10),составление актов (6246_10),Ведение журнала учета законченных строительно-монтажных работ (5579_10),Выполнение поручений руководителя (ОПТ) (3036_36),Отслеживание показаний контрольно-измерительных приборов (5973_10),Знания Microsoft Office (5758_10),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),Знание ГОСТ (7061_10),работа со сметной документацией (6234_10),"Скорость, оперативность (СК) (1324_4)",Соблюдение техники безопасности (ОПТ) (3791_36),Обеспечение применения в соответствии с назначением технологической оснастки (5587_10),Знание нормативно-технической документации (7072_10),"Самоорганизация, отношение себе  (СК) (1629_4)",Работы с объёмами (1547_10),Обеспечение соблюдение чистоты и порядка на рабочих местах (5588_10),контроль за соблюдением нормативов (6216_10),Использование геодезического оборудования (1377_10),Выполнение контроля в топогеодезии (1421_10),Доброжелательность (СК) (1126_4),Работы в сфере картографии (1558_10),Выполнение топографо-геодезической съемки (247_10)
False,2.0,Республика Башкортостан,0,False,21000.0,150000.0,15939.5708,13300.7258,9123.5405,8839.5393,7088.1982,6650.3629,5041.0224,4934.5219,3916.8507,3325.1814,3289.6813,2851.846,2780.8457,2780.8457,2674.3452,2650.6784,2650.6784,2567.8447,2212.8432,2165.5096,1952.5087,1952.5087,1798.6747,1680.3408,1621.1739,1609.3405,1431.8397,1360.8394,1349.006,1289.8391,1278.0057,1254.3389,1207.0054,1183.3386,1112.3383,1005.8378,994.0044,911.1707,887.5039,852.0038,852.0038,852.0038,840.1704,733.6699,721.8365,721.8365,721.8365,698.1698,674.503,662.6696,662.6696,650.8362,650.8362,591.6693,556.1691,532.5024,497.0022,473.3354,449.6687,437.8353,426.0019,414.1685,414.1685,390.5017,378.6683,378.6683,366.835,343.1682,295.8346,295.8346,248.5011,236.6677,213.0009,213.0009,201.1676,189.3342,142.0006,118.3339,94.6671,82.8337,35.5002,23.6668,0.0,0.0
False,2.0,Республика Башкортостан,0,True,55000.0,55000.0,5844.5093,4876.9328,3345.2982,3241.1644,2599.006,2438.4664,1848.3749,1809.3247,1436.1786,1219.2332,1206.2165,1045.6769,1019.6434,1019.6434,980.5932,971.9154,971.9154,941.5431,811.3758,794.0202,715.9198,715.9198,659.514,616.125,594.4304,590.0915,525.0079,498.9744,494.6355,472.941,468.6021,459.9243,442.5686,433.8908,407.8574,368.8072,364.4683,334.0959,325.4181,312.4014,312.4014,312.4014,308.0625,269.0123,264.6734,264.6734,264.6734,255.9956,247.3178,242.9789,242.9789,238.6399,238.6399,216.9454,203.9287,195.2509,182.2341,173.5563,164.8785,160.5396,156.2007,151.8618,151.8618,143.184,138.8451,138.8451,134.5062,125.8283,108.4727,108.4727,91.1171,86.7782,78.1003,78.1003,73.7614,69.4225,52.0669,43.3891,34.7113,30.3724,13.0167,8.6778,0.0,0.0
False,2.0,Краснодарский край,0,False,23877.0,150000.0,15939.5708,13300.7258,9123.5405,8839.5393,7088.1982,6650.3629,5041.0224,4934.5219,3916.8507,3325.1814,3289.6813,2851.846,2780.8457,2780.8457,2674.3452,2650.6784,2650.6784,2567.8447,2212.8432,2165.5096,1952.5087,1952.5087,1798.6747,1680.3408,1621.1739,1609.3405,1431.8397,1360.8394,1349.006,1289.8391,1278.0057,1254.3389,1207.0054,1183.3386,1112.3383,1005.8378,994.0044,911.1707,887.5039,852.0038,852.0038,852.0038,840.1704,733.6699,721.8365,721.8365,721.8365,698.1698,674.503,662.6696,662.6696,650.8362,650.8362,591.6693,556.1691,532.5024,497.0022,473.3354,449.6687,437.8353,426.0019,414.1685,414.1685,390.5017,378.6683,378.6683,366.835,343.1682,295.8346,295.8346,248.5011,236.6677,213.0009,213.0009,201.1676,189.3342,142.0006,118.3339,94.6671,82.8337,35.5002,23.6668,0.0,0.0
False,2.0,Ярославская область,1,False,30000.0,78000.0,8288.5768,6916.3774,4744.2411,4596.5604,3685.863,3458.1887,2621.3317,2565.9514,2036.7624,1729.0944,1710.6343,1482.9599,1446.0398,1446.0398,1390.6595,1378.3528,1378.3528,1335.2793,1150.6784,1126.065,1015.3045,1015.3045,935.3108,873.7772,843.0104,836.8571,744.5566,707.6365,701.4831,670.7163,664.563,652.2562,627.6428,615.3361,578.4159,523.0357,516.8823,473.8088,461.5021,443.042,443.042,443.042,436.8886,381.5084,375.355,375.355,375.355,363.0483,350.7416,344.5882,344.5882,338.4348,338.4348,307.668,289.208,276.9012,258.4411,246.1344,233.8277,227.6743,221.521,215.3676,215.3676,203.0609,196.9075,196.9075,190.7542,178.4475,153.834,153.834,129.2206,123.0672,110.7605,110.7605,104.6071,98.4538,73.8403,61.5336,49.2269,43.0735,18.4601,12.3067,0.0,0.0
False,2.0,Хабаровский край,1,False,21114.0,140000.0,14876.9328,12414.0107,8515.3045,8250.2367,6615.6516,6207.0054,4704.9542,4605.5538,3655.7274,3103.5027,3070.3692,2661.7229,2595.456,2595.456,2496.0555,2473.9666,2473.9666,2396.6551,2065.3203,2021.1423,1822.3414,1822.3414,1678.763,1568.3181,1513.0956,1502.0511,1336.3837,1270.1168,1259.0723,1203.8498,1192.8053,1170.7163,1126.5383,1104.4494,1038.1824,938.782,927.7375,850.426,828.337,795.2035,795.2035,795.2035,784.159,684.7586,673.7141,673.7141,673.7141,651.6251,629.5361,618.4916,618.4916,607.4471,607.4471,552.2247,519.0912,497.0022,463.8687,441.7797,419.6908,408.6463,397.6018,386.5573,386.5573,364.4683,353.4238,353.4238,342.3793,320.2903,276.1123,276.1123,231.9344,220.8899,198.8009,198.8009,187.7564,176.7119,132.5339,110.4449,88.3559,77.3115,33.1335,22.089,0.0,0.0
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,155000.0,16470.8899,13744.0833,9427.6586,9134.1906,7324.4714,6872.0417,5209.0565,5099.006,4047.4124,3436.0208,3399.3373,2946.9075,2873.5405,2873.5405,2763.4901,2739.0344,2739.0344,2653.4396,2286.6046,2237.6933,2017.5923,2017.5923,1858.6305,1736.3522,1675.213,1662.9852,1479.5677,1406.2007,1393.9729,1332.8337,1320.6059,1296.1502,1247.2389,1222.7832,1149.4162,1039.3657,1027.1379,941.5431,917.0874,880.4039,880.4039,880.4039,868.1761,758.1256,745.8978,745.8978,745.8978,721.4421,696.9864,684.7586,684.7586,672.5308,672.5308,611.3916,574.7081,550.2524,513.5689,489.1133,464.6576,452.4298,440.202,427.9741,427.9741,403.5185,391.2906,391.2906,379.0628,354.6071,305.6958,305.6958,256.7845,244.5566,220.101,220.101,207.8731,195.6453,146.734,122.2783,97.8227,85.5948,36.6835,24.4557,0.0,0.0
False,2.0,Иркутская область,1,False,30000.0,160000.0,17002.2089,14187.4408,9731.7766,9428.8419,7560.7447,7093.7204,5377.0906,5263.4901,4177.9741,3546.8602,3508.9934,3041.9691,2966.2354,2966.2354,2852.6349,2827.3903,2827.3903,2739.0344,2360.366,2309.8769,2082.6759,2082.6759,1918.5863,1792.3635,1729.2521,1716.6299,1527.2957,1451.562,1438.9397,1375.8283,1363.2061,1337.9615,1287.4724,1262.2278,1186.4942,1072.8937,1060.2714,971.9154,946.6709,908.804,908.804,908.804,896.1818,782.5813,769.959,769.959,769.959,744.7144,719.4699,706.8476,706.8476,694.2253,694.2253,631.1139,593.2471,568.0025,530.1357,504.8911,479.6466,467.0243,454.402,441.7797,441.7797,416.5352,403.9129,403.9129,391.2906,366.0461,315.557,315.557,265.0678,252.4456,227.201,227.201,214.5787,201.9565,151.4673,126.2228,100.9782,88.3559,37.8668,25.2446,0.0,0.0
False,2.0,Пермский край,1,False,25000.0,120000.0,12751.6567,10640.5806,7298.8324,7071.6314,5670.5585,5320.2903,4032.8179,3947.6175,3133.4806,2660.1452,2631.745,2281.4768,2224.6766,2224.6766,2139.4762,2120.5428,2120.5428,2054.2758,1770.2745,1732.4077,1562.0069,1562.0069,1438.9397,1344.2726,1296.9391,1287.4724,1145.4718,1088.6715,1079.2048,1031.8713,1022.4045,1003.4711,965.6043,946.6709,889.8706,804.6702,795.2035,728.9366,710.0032,681.603,681.603,681.603,672.1363,586.9359,577.4692,577.4692,577.4692,558.5358,539.6024,530.1357,530.1357,520.669,520.669,473.3354,444.9353,426.0019,397.6018,378.6683,359.7349,350.2682,340.8015,331.3348,331.3348,312.4014,302.9347,302.9347,293.468,274.5346,236.6677,236.6677,198.8009,189.3342,170.4008,170.4008,160.934,151.4673,113.6005,94.6671,75.7337,66.267,28.4001,18.9334,0.0,0.0
False,2.0,Город федерального значения Москва,0,False,27000.0,130000.0,13814.2947,11527.2957,7907.0685,7660.934,6143.1051,5763.6478,4368.8861,4276.5857,3394.604,2881.8239,2851.0571,2471.5999,2410.0663,2410.0663,2317.7659,2297.2547,2297.2547,2225.4654,1917.7974,1876.775,1692.1742,1692.1742,1558.8514,1456.2954,1405.0174,1394.7618,1240.9277,1179.3941,1169.1385,1117.8605,1107.6049,1087.0937,1046.0713,1025.5601,964.0265,871.7261,861.4705,789.6813,769.1701,738.4033,738.4033,738.4033,728.1477,635.8473,625.5917,625.5917,625.5917,605.0805,584.5693,574.3137,574.3137,564.0581,564.0581,512.7801,482.0133,461.5021,430.7352,410.224,389.7128,379.4572,369.2016,358.946,358.946,338.4348,328.1792,328.1792,317.9236,297.4124,256.39,256.39,215.3676,205.112,184.6008,184.6008,174.3452,164.0896,123.0672,102.556,82.0448,71.7892,30.7668,20.5112,0.0,0.0
False,2.0,Город федерального значения Санкт-Петербург,0,False,35000.0,125000.0,13282.9757,11083.9382,7602.9505,7366.2827,5906.8318,5541.9691,4200.852,4112.1016,3264.0423,2770.9845,2741.4011,2376.5383,2317.3714,2317.3714,2228.621,2208.8987,2208.8987,2139.8706,1844.036,1804.5914,1627.0906,1627.0906,1498.8956,1400.284,1350.9782,1341.1171,1193.1997,1134.0328,1124.1717,1074.8659,1065.0047,1045.2824,1005.8378,986.1155,926.9486,838.1982,828.337,759.3089,739.5866,710.0032,710.0032,710.0032,700.142,611.3916,601.5305,601.5305,601.5305,581.8081,562.0858,552.2247,552.2247,542.3635,542.3635,493.0577,463.4743,443.752,414.1685,394.4462,374.7239,364.8627,355.0016,345.1404,345.1404,325.4181,315.557,315.557,305.6958,285.9735,246.5289,246.5289,207.0843,197.2231,177.5008,177.5008,167.6396,157.7785,118.3339,98.6115,78.8892,69.0281,29.5835,19.7223,0.0,0.0
