is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Аккуратность (СК) (575_4),Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)","Организаторские способности, лидерство (СК) (393_4)",Приготовление хлебобулочных изделий (3317_9),Командность (СК) (1371_4),Внимательность (СК) (536_4),"Соблюдение требований охраны труда, санитарии и гигиены, пожарной безопасности, правил внутреннего трудового распорядка, других правил и норм (690_9)",Приготовление различных полуфабрикатов (3301_9),"Контроль качества сырья, его хранения и приготовления блюд (2724_9)",Коммуникабельность (СК) (617_4),Доброжелательность (СК) (1126_4),"Участие в процессе приготовления заказов, блюд (сфера питания) (694_9)","Саморазвитие, обучаемость (СК) (604_4)","Приготовление  блюд, заготовок и полуфабрикатов (2676_9)","Оформление витрин предприятия питания, предпродажная подготовка и выкладка товара, оформление ценников (3007_9)",Склонность к здоровому образу жизни (СК) (1662_4)
True,1.0,Тамбовская область,2,False,20000.0,127000.0,23323.9987,17244.8714,14680.8857,10917.6164,8312.2761,5789.6451,5706.9359,5458.8082,5458.8082,5293.3898,5210.6806,4011.3969,3473.787,2894.8225,2439.9218,2315.858,2274.5034,2191.7942
True,1.0,Нижегородская область,0,False,19000.0,115000.0,21120.1563,15615.4347,13293.7154,9886.0306,7526.8642,5242.592,5167.6978,4943.0153,4943.0153,4793.227,4718.3328,3632.3673,3145.5552,2621.296,2209.3781,2097.0368,2059.5897,1984.6955
True,1.0,Пензенская область,1,False,25000.0,131000.0,24058.6128,17788.0169,15143.2758,11261.4783,8574.0801,5971.9961,5886.6819,5630.7392,5630.7392,5460.1107,5374.7965,4137.7401,3583.1977,2985.998,2516.7698,2388.7984,2346.1413,2260.8271
True,1.0,Костромская область,1,False,23000.0,115000.0,21120.1563,15615.4347,13293.7154,9886.0306,7526.8642,5242.592,5167.6978,4943.0153,4943.0153,4793.227,4718.3328,3632.3673,3145.5552,2621.296,2209.3781,2097.0368,2059.5897,1984.6955
True,1.0,Волгоградская область,2,False,14000.0,118000.0,21671.1169,16022.7939,13640.508,10143.9271,7723.2172,5379.3553,5302.5073,5071.9635,5071.9635,4918.2677,4841.4197,3727.1247,3227.6132,2689.6776,2267.014,2151.7421,2113.3181,2036.4702
True,1.0,Астраханская область,1,False,14000.0,115000.0,21120.1563,15615.4347,13293.7154,9886.0306,7526.8642,5242.592,5167.6978,4943.0153,4943.0153,4793.227,4718.3328,3632.3673,3145.5552,2621.296,2209.3781,2097.0368,2059.5897,1984.6955
True,1.0,Орловская область,1,False,20000.0,110000.0,20201.8886,14936.5028,12715.7278,9456.2032,7199.6092,5014.6532,4943.0153,4728.1016,4728.1016,4584.8258,4513.1879,3474.4383,3008.7919,2507.3266,2113.3181,2005.8613,1970.0423,1898.4044
True,1.0,Ульяновская область,1,False,20000.0,109300.0,20073.3312,14841.4523,12634.8095,9396.0274,7153.7936,4982.7418,4911.5598,4698.0137,4698.0137,4555.6496,4484.4676,3452.3282,2989.6451,2491.3709,2099.8697,1993.0967,1957.5057,1886.3237
True,1.0,Вологодская область,1,False,14000.0,115000.0,21120.1563,15615.4347,13293.7154,9886.0306,7526.8642,5242.592,5167.6978,4943.0153,4943.0153,4793.227,4718.3328,3632.3673,3145.5552,2621.296,2209.3781,2097.0368,2059.5897,1984.6955
True,1.0,Ивановская область,1,False,16000.0,112000.0,20569.1957,15208.0755,12946.9228,9628.1342,7330.5112,5105.8287,5032.8883,4814.0671,4814.0671,4668.1863,4595.2458,3537.6099,3063.4972,2552.9144,2151.7421,2042.3315,2005.8613,1932.9209
True,1.0,Саратовская область,2,False,20000.0,120000.0,22038.424,16294.3667,13871.703,10315.858,7854.1192,5470.5308,5392.3803,5157.929,5157.929,5001.6281,4923.4777,3790.2963,3282.3185,2735.2654,2305.438,2188.2123,2149.1371,2070.9866
True,1.0,Брянская область,1,False,19000.0,115000.0,21120.1563,15615.4347,13293.7154,9886.0306,7526.8642,5242.592,5167.6978,4943.0153,4943.0153,4793.227,4718.3328,3632.3673,3145.5552,2621.296,2209.3781,2097.0368,2059.5897,1984.6955
True,1.0,Удмуртская Республика,1,False,20000.0,210000.0,38567.2419,28515.1416,24275.4803,18052.7515,13744.7086,9573.4289,9436.6656,9026.3758,9026.3758,8752.8492,8616.086,6633.0186,5744.0573,4786.7144,4034.5164,3829.3715,3760.9899,3624.2266
True,1.0,Кировская область,1,False,15000.0,205000.0,37648.9743,27836.2097,23697.4927,17622.9241,13417.4536,9345.4901,9211.9831,8811.4621,8811.4621,8544.4481,8410.9411,6475.0895,5607.294,4672.745,3938.4565,3738.196,3671.4425,3537.9355
True,1.0,Республика Мордовия,1,False,20000.0,110000.0,20201.8886,14936.5028,12715.7278,9456.2032,7199.6092,5014.6532,4943.0153,4728.1016,4728.1016,4584.8258,4513.1879,3474.4383,3008.7919,2507.3266,2113.3181,2005.8613,1970.0423,1898.4044
True,1.0,Оренбургская область,2,False,14000.0,138000.0,25344.1876,18738.5217,15952.4585,11863.2367,9032.2371,6291.1104,6201.2374,5931.6184,5931.6184,5751.8724,5661.9993,4358.8408,3774.6662,3145.5552,2651.2537,2516.4442,2471.5077,2381.6346
True,1.0,Республика Марий Эл,1,False,23000.0,110000.0,20201.8886,14936.5028,12715.7278,9456.2032,7199.6092,5014.6532,4943.0153,4728.1016,4728.1016,4584.8258,4513.1879,3474.4383,3008.7919,2507.3266,2113.3181,2005.8613,1970.0423,1898.4044
True,1.0,Липецкая область,1,False,20000.0,78000.0,14324.9756,10591.3383,9016.607,6705.3077,5105.1775,3555.845,3505.0472,3352.6539,3352.6539,3251.0583,3200.2605,2463.6926,2133.507,1777.9225,1498.5347,1422.338,1396.9391,1346.1413
True,1.0,Чувашская Республика,1,False,20000.0,104000.0,19099.9674,14121.7844,12022.1426,8940.4103,6806.9033,4741.1267,4673.3963,4470.2051,4470.2051,4334.7444,4267.014,3284.9235,2844.676,2370.5633,1998.0462,1896.4507,1862.5855,1794.8551
True,1.0,Владимирская область,1,False,16000.0,110000.0,20201.8886,14936.5028,12715.7278,9456.2032,7199.6092,5014.6532,4943.0153,4728.1016,4728.1016,4584.8258,4513.1879,3474.4383,3008.7919,2507.3266,2113.3181,2005.8613,1970.0423,1898.4044
True,1.0,Карачаево-Черкесская Республика,1,False,20000.0,40000.0,7346.1413,5431.4556,4623.901,3438.6193,2618.0397,1823.5103,1797.4601,1719.3097,1719.3097,1667.2094,1641.1592,1263.4321,1094.1062,911.7551,768.4793,729.4041,716.379,690.3289
True,1.0,Ставропольский край,2,False,14000.0,132600.0,24352.4585,18005.2752,15328.2318,11399.0231,8678.8017,6044.9365,5958.5803,5699.5116,5699.5116,5526.7991,5440.4429,4188.2774,3626.9619,3022.4683,2547.509,2417.9746,2374.7965,2288.4402
True,1.0,Белгородская область,2,False,20000.0,110000.0,20201.8886,14936.5028,12715.7278,9456.2032,7199.6092,5014.6532,4943.0153,4728.1016,4728.1016,4584.8258,4513.1879,3474.4383,3008.7919,2507.3266,2113.3181,2005.8613,1970.0423,1898.4044
True,1.0,Псковская область,1,False,14000.0,80000.0,14692.2826,10862.9111,9247.802,6877.2387,5236.0795,3647.0205,3594.9202,3438.6193,3438.6193,3334.4188,3282.3185,2526.8642,2188.2123,1823.5103,1536.9586,1458.8082,1432.7581,1380.6578
