is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Английский язык (ЯС) (1918_32),"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",Грамотность (СК) (1368_4),Пунктуальность (СК) (612_4),"Ответственность , добросовестность (СК) (614_4)","Знание ПК, различных операционных систем, офисных программ (2286_33)",Ведение делопроизводства (2047_33),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение поручений руководителя (ОПТ) (3036_36),Внимательность (СК) (536_4),"Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",Аккуратность (СК) (575_4),"Организаторские способности, лидерство (СК) (393_4)"
False,1.0,Запорожская область,1,False,8320.0,10400.0,1700.5164,1682.6162,868.1583,787.6076,733.9071,707.0568,698.1067,617.5559,599.6558,545.9552,537.0052,465.4045,456.4544
False,1.0,Херсонская область,1,False,7800.0,7800.0,1275.3873,1261.9621,651.1188,590.7057,550.4303,530.2926,523.58,463.167,449.7418,409.4664,402.7539,349.0534,342.3408
False,1.0,Оренбургская область,2,False,12500.0,32000.0,5232.358,5177.2806,2671.2565,2423.4079,2258.1756,2175.5594,2148.0207,1900.1721,1845.0947,1679.8623,1652.3236,1432.0138,1404.475
False,1.0,Оренбургская область,2,True,15000.0,20000.0,3270.2238,3235.8003,1669.5353,1514.6299,1411.3597,1359.7246,1342.5129,1187.6076,1153.1842,1049.9139,1032.7022,895.0086,877.7969
False,1.0,Курганская область,1,False,15000.0,80000.0,13080.895,12943.2014,6678.1411,6058.5198,5645.4389,5438.8985,5370.0516,4750.4303,4612.7367,4199.6558,4130.809,3580.0344,3511.1876
False,1.0,Республика Мордовия,1,False,15000.0,29000.0,4741.8244,4691.9105,2420.8262,2196.2134,2046.4716,1971.6007,1946.6437,1722.031,1672.117,1522.3752,1497.4182,1297.7625,1272.8055
False,1.0,Республика Северная Осетия,1,False,15000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Еврейская автономная область,1,False,18000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Кабардино-Балкарская Республика,1,False,15000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Республика Калмыкия,1,False,19000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
