is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),(стропальщик) Работы по погрузке выгрузке (обобщенные) (1941_30),"Личные установки и ценности, мировоззрение (2043_4)","(стропальщик) Строповка, обвязка, увязка грузов (2612_30)",Внимательность (СК) (536_4),(стропальщик) Сопровождение груза и контроль при его перемещении (2606_30),"(стропальщик) Зацепка груза, подвешивание на крюк перемещающего устройства (2872_30)","(стропальщик) Обвязка, накладка цепей, канатов (2864_30)",Командность (СК) (1371_4),(стропальщик) Снятие грузозахватных приспособлений (расстроповка) (2841_30),Аккуратность (СК) (575_4),"(стропальщик) Определение и проверка массы, и центра тяжести груза (2837_30)",(стропальщик) Подготовка и подбор грузозахватных приспособлений и тары (1950_30),(стропальщик) Подготовка (проверка наличия) инструментов и оборудования для строповки (2860_30),(стропальщик) Строповка грузов средней сложности (2078_30),"(стропальщик) Перемещение, погрузка-разгрузка автомашин, вагонов, полувагонов (2826_30)","(стропальщик) Строповка, увязка лесных грузов (2843_30)",Склонность к здоровому образу жизни (СК) (1662_4),Высокая работоспособность (СК) (586_4),(стропальщик) Подача сигналов и взаимодействие с машинистом грузоподъемного механизма (2839_30),Пунктуальность (СК) (612_4),(стропальщик) Строповка простых грузов (2077_30),"(стропальщик) Знание устройства грузозахватных приспособлений, грузоподъемных механизмов и тары. (2628_30)",(стропальщик) Перемещение грузов (2608_30),Коммуникабельность (СК) (617_4),(стропальщик) Соблюдение схем и способов строповки (2083_30),"(стропальщик) Строповка, увязка конструкций, изделий, деталей (2846_30)",Трудолюбие (СК) (597_4),Стрессоустойчивость (СК) (601_4),(стропальщик) Перемещение грузов с помощью грузоподъемных механизмов (2607_30)
False,0.0,"иные территории, включая город и космодром Байконур",1,False,12240.0,12240.0,2246.3215,1487.0845,871.0627,845.5586,822.0163,653.297,472.8065,351.1717,347.248,311.9346,290.3542,284.4687,255.0409,239.346,237.3842,227.5749,213.842,190.2997,182.4523,176.5668,168.7193,158.9101,156.9482,147.139,145.1771,141.2534,135.3678,135.3678,119.673,115.7493,109.8638
False,0.0,Республика Северная Осетия,1,False,12130.0,20600.0,3780.5738,2502.7729,1466.0042,1423.0806,1383.4589,1099.5031,795.7365,591.0242,584.4206,524.988,488.6681,478.7626,429.2355,402.821,399.5192,383.0101,359.8974,320.2757,307.0684,297.163,283.9558,267.4467,264.1449,247.6358,244.334,237.7304,227.825,227.825,201.4105,194.8069,184.9014
False,0.0,Новосибирская область,0,False,15000.0,80000.0,14681.84,9719.5063,5693.2201,5526.5267,5372.6559,4269.9151,3090.2388,2295.2396,2269.5945,2038.7883,1897.74,1859.2723,1666.9338,1564.3533,1551.5307,1487.4179,1397.6599,1243.7891,1192.4988,1154.0311,1102.7408,1038.628,1025.8054,961.6926,948.87,923.2249,884.7572,884.7572,782.1766,756.5315,718.0638
False,0.0,Республика Татарстан,0,False,15000.0,63000.0,11561.949,7654.1112,4483.4108,4352.1398,4230.9665,3362.5581,2433.5631,1807.5012,1787.3057,1605.5458,1494.4703,1464.177,1312.7104,1231.9282,1221.8304,1171.3416,1100.6572,979.4839,939.0928,908.7995,868.4084,817.9195,807.8218,757.3329,747.2351,727.0396,696.7463,696.7463,615.9641,595.7686,565.4752
False,0.0,Волгоградская область,2,False,15000.0,43000.0,7891.489,5224.2347,3060.1058,2970.5081,2887.8025,2295.0793,1661.0034,1233.6913,1219.907,1095.8487,1020.0353,999.3589,895.9769,840.8399,833.9477,799.4871,751.2422,668.5366,640.9681,620.2917,592.7232,558.2625,551.3704,516.9098,510.0176,496.2334,475.557,475.557,420.4199,406.6357,385.9593
False,0.0,Чувашская Республика,1,False,15000.0,43000.0,7891.489,5224.2347,3060.1058,2970.5081,2887.8025,2295.0793,1661.0034,1233.6913,1219.907,1095.8487,1020.0353,999.3589,895.9769,840.8399,833.9477,799.4871,751.2422,668.5366,640.9681,620.2917,592.7232,558.2625,551.3704,516.9098,510.0176,496.2334,475.557,475.557,420.4199,406.6357,385.9593
False,0.0,Ставропольский край,2,False,16242.0,45000.0,8258.535,5467.2223,3202.4363,3108.6713,3022.1189,2401.8272,1738.2593,1291.0723,1276.6469,1146.8184,1067.4788,1045.8407,937.6503,879.9487,872.736,836.6725,786.1837,699.6314,670.7806,649.1425,620.2917,584.2282,577.0155,540.9521,533.7394,519.314,497.6759,497.6759,439.9744,425.549,403.9109
False,0.0,Саратовская область,2,False,16365.0,51500.0,9451.4345,6256.9322,3665.0104,3557.7016,3458.6472,2748.7578,1989.3412,1477.5605,1461.0515,1312.4699,1221.6701,1196.9066,1073.0886,1007.0524,998.7979,957.5252,899.7435,800.6892,767.6711,742.9075,709.8894,668.6168,660.3622,619.0896,610.8351,594.326,569.5624,569.5624,503.5262,487.0172,462.2536
False,0.0,Город федерального значения Севастополь,1,False,20000.0,91000.0,16700.593,11055.9385,6476.0378,6286.4241,6111.3961,4857.0284,3515.1467,2610.8351,2581.6637,2319.1217,2158.6793,2114.9223,1896.1372,1779.4518,1764.8662,1691.9378,1589.8381,1414.8101,1356.4674,1312.7104,1254.3677,1181.4393,1166.8537,1093.9253,1079.3396,1050.1683,1006.4113,1006.4113,889.7259,860.5546,816.7976
False,0.0,Белгородская область,2,False,16365.0,43000.0,7891.489,5224.2347,3060.1058,2970.5081,2887.8025,2295.0793,1661.0034,1233.6913,1219.907,1095.8487,1020.0353,999.3589,895.9769,840.8399,833.9477,799.4871,751.2422,668.5366,640.9681,620.2917,592.7232,558.2625,551.3704,516.9098,510.0176,496.2334,475.557,475.557,420.4199,406.6357,385.9593
