is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Выполнение комплекса геодезических работ (1410_10),Работы в строительной геодезии (1402_10),"Личные установки и ценности, мировоззрение (2043_4)",Ведение исполнительной документации в строительстве (2958_10),Выполнение контрольно-исполнительной геодезической съемки (8417_10),Уверенный пользователь AutoCad (6976_10),Дисциплинированность (СК) (593_4),Составление и обновление топогеодезической документации (248_10),Вынос в натуру объектов (1445_10),Выполнение топографо-геодезической съемки (247_10),Чтение схем/чертежей (ОПТ) (3032_36),Внимательность (СК) (536_4),Знание AutoCAD (3072_10),Использование нивелира (1398_10),Знание технологии работ в топогеодезии (1408_10),Выполнение разбивочных работ (1446_10),Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),Умение пользоваться геодезическими инструментами (4117_10),Использование тахеометра (1396_10),Коммуникабельность (СК) (617_4),Использование геодезического оборудования (1377_10),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),Знания нормативных документов (4992_10),Высокая работоспособность (СК) (586_4),Составление топогеодезической документации (1440_10),"Организаторские способности, лидерство (СК) (393_4)","Восприятие, мышление, внимание, память (УСК) (1330_4)",Знание базы нормативно-технического регулирования (8402_10),Знание тахеометра (1671_10),Командность (СК) (1371_4),Стрессоустойчивость (СК) (601_4),Кропотливость (СК) (623_4)
False,2.0,Республика Крым,1,False,28050.0,150000.0,17647.0588,14611.5131,10223.3407,9609.9402,9499.8427,7407.9899,5064.4857,4702.7367,4608.3674,4498.2699,4105.0645,4073.6081,4073.6081,3994.967,3475.9358,3397.2947,3350.1101,3145.6433,3051.274,2878.2636,2720.9814,2673.7968,2595.1557,2422.1453,2327.776,1871.6578,1855.9295,1840.2013,1698.6474,1651.4627,1651.4627,1651.4627,1620.0063
False,2.0,Республика Крым,1,True,28050.0,67500.0,7941.1765,6575.1809,4600.5033,4324.4731,4274.9292,3333.5955,2279.0186,2116.2315,2073.7653,2024.2215,1847.279,1833.1236,1833.1236,1797.7351,1564.1711,1528.7826,1507.5495,1415.5395,1373.0733,1295.2186,1224.4416,1203.2086,1167.8201,1089.9654,1047.4992,842.246,835.1683,828.0906,764.3913,743.1582,743.1582,743.1582,729.0028
False,2.0,Карачаево-Черкесская Республика,1,False,28050.0,67500.0,7941.1765,6575.1809,4600.5033,4324.4731,4274.9292,3333.5955,2279.0186,2116.2315,2073.7653,2024.2215,1847.279,1833.1236,1833.1236,1797.7351,1564.1711,1528.7826,1507.5495,1415.5395,1373.0733,1295.2186,1224.4416,1203.2086,1167.8201,1089.9654,1047.4992,842.246,835.1683,828.0906,764.3913,743.1582,743.1582,743.1582,729.0028
False,2.0,Город федерального значения Севастополь,1,False,17000.0,150000.0,17647.0588,14611.5131,10223.3407,9609.9402,9499.8427,7407.9899,5064.4857,4702.7367,4608.3674,4498.2699,4105.0645,4073.6081,4073.6081,3994.967,3475.9358,3397.2947,3350.1101,3145.6433,3051.274,2878.2636,2720.9814,2673.7968,2595.1557,2422.1453,2327.776,1871.6578,1855.9295,1840.2013,1698.6474,1651.4627,1651.4627,1651.4627,1620.0063
False,2.0,Республика Северная Осетия,1,False,12130.0,12130.0,1427.0588,1181.5844,826.7275,777.1238,768.2206,599.0595,409.5481,380.2946,372.6633,363.7601,331.9629,329.4191,329.4191,323.0597,281.0873,274.7279,270.9122,254.3777,246.7464,232.7556,220.0367,216.221,209.8616,195.8708,188.2395,151.3547,150.0828,148.8109,137.364,133.5483,133.5483,133.5483,131.0045
False,2.0,Московская область,2,False,35000.0,150000.0,17647.0588,14611.5131,10223.3407,9609.9402,9499.8427,7407.9899,5064.4857,4702.7367,4608.3674,4498.2699,4105.0645,4073.6081,4073.6081,3994.967,3475.9358,3397.2947,3350.1101,3145.6433,3051.274,2878.2636,2720.9814,2673.7968,2595.1557,2422.1453,2327.776,1871.6578,1855.9295,1840.2013,1698.6474,1651.4627,1651.4627,1651.4627,1620.0063
False,2.0,Московская область,2,True,80000.0,90000.0,10588.2353,8766.9078,6134.0044,5765.9641,5699.9056,4444.794,3038.6914,2821.642,2765.0204,2698.9619,2463.0387,2444.1648,2444.1648,2396.9802,2085.5615,2038.3768,2010.0661,1887.386,1830.7644,1726.9582,1632.5889,1604.2781,1557.0934,1453.2872,1396.6656,1122.9947,1113.5577,1104.1208,1019.1884,990.8776,990.8776,990.8776,972.0038
False,2.0,Город федерального значения Санкт-Петербург,0,False,20000.0,235000.0,27647.0588,22891.3705,16016.5671,15055.573,14883.0869,11605.8509,7934.3609,7367.6208,7219.7756,7047.2895,6431.2677,6381.9859,6381.9859,6258.7816,5445.6328,5322.4284,5248.5058,4928.1745,4780.3292,4509.2796,4262.8709,4188.9483,4065.7439,3794.6943,3646.8491,2932.2638,2907.6229,2882.9821,2661.2142,2587.2916,2587.2916,2587.2916,2538.0099
False,2.0,Краснодарский край,0,False,16242.0,170000.0,20000.0,16559.7148,11586.4528,10891.2656,10766.4884,8395.7219,5739.7504,5329.7683,5222.8164,5098.0392,4652.4064,4616.7558,4616.7558,4527.6292,3939.3939,3850.2674,3796.7914,3565.0624,3458.1105,3262.0321,3083.779,3030.303,2941.1765,2745.098,2638.1462,2121.2121,2103.3868,2085.5615,1925.1337,1871.6578,1871.6578,1871.6578,1836.0071
False,2.0,Краснодарский край,0,True,17000.0,80000.0,9411.7647,7792.807,5452.4484,5125.3015,5066.5828,3950.928,2701.059,2508.1262,2457.796,2399.0773,2189.3677,2172.591,2172.591,2130.6491,1853.8324,1811.8905,1786.7254,1677.6764,1627.3461,1535.0739,1451.1901,1426.025,1384.083,1291.8108,1241.4805,998.2175,989.8291,981.4407,905.9453,880.7801,880.7801,880.7801,864.0034
