is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Автоэлектрик - обобщенные знания - знание устройства узлов и агрегатов транспортных средств (3749_31),Автоэлектрик - диагностика неисправностей электрооборудования (3247_31),"Ответственность , добросовестность (СК) (614_4)",Автоэлектрик - Диагностика и ремонт электрооборудования (3722_31),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Автоэлектрик - установщик дополнительного оборудования и систем сигнализации (2165_31),Автослесарь - Конкретные умения – диагностика (2261_31),Автоэлектрик - ремонт автоэлектроники различных ТС (2177_31),Автоэлектрик - конкретные умения - ремонт и обслуживание электрооборудование спецтехники (2176_31),Автоэлектрик - обобщенные умения - работа с электропроводкой и электрическими цепями (3728_31),Автослесарь - Конкретные умения – Обслуживание и ремонт электрооборудования (2440_31),Автоэлектрик - обобщенные умения - поиск и устранение неисправностей (3724_31),Автоэлектрик - умение работать на диагностическом оборудовании (3266_31),Выполнение ремонтных работ (ОПТ) (8285_36),"Саморазвитие, обучаемость (СК) (604_4)",Дисциплинированность (СК) (593_4),"Автослесарь - Конкретные умения – Ремонт агрегатов - Общие работы по ремонту, сборке/разборке, восстановлению (3823_31)",Автоэлектрик - ремонт и обслуживание электрооборудование грузовых ТС (2181_31),Автослесарь - Базовые знания в области конструкции и характеристик АТС (2224_31),Автоэлектрик - обобщенные умения - проведение профилактического осмотра электрооборудования (3727_31),Пунктуальность (СК) (612_4),Автоэлектрик - обобщенные умения - работа с электрическими схемами (3725_31),Автоэлектрик - знание диагностического оборудования (3263_31),Внимательность (СК) (536_4)
False,1.0,Ставропольский край,2,False,17000.0,80000.0,9803.2738,7580.7178,5057.8165,5057.8165,4685.3882,4288.9323,4084.6974,3243.7303,3147.6198,2823.2467,2739.15,2655.0533,2546.929,2474.8461,2462.8323,2390.7494,2210.5421,1934.2244,1874.1553,1681.9342,1585.8237,1549.7822,1477.6994,1321.5197,1321.5197
False,1.0,Калининградская область,1,False,25000.0,62500.0,7658.8076,5922.4358,3951.4191,3951.4191,3660.4595,3350.7283,3191.1698,2534.1643,2459.0779,2205.6615,2139.961,2074.2604,1989.7883,1933.4735,1924.0877,1867.7729,1726.986,1511.1128,1464.1838,1314.0111,1238.9248,1210.7674,1154.4526,1032.4373,1032.4373
False,1.0,Карачаево-Черкесская Республика,1,False,38750.0,38750.0,4748.4607,3671.9102,2449.8799,2449.8799,2269.4849,2077.4516,1978.5253,1571.1819,1524.6283,1367.5101,1326.7758,1286.0414,1233.6687,1198.7536,1192.9344,1158.0192,1070.7313,936.8899,907.794,814.6869,768.1334,750.6758,715.7606,640.1111,640.1111
False,1.0,Донецкая область,1,False,35000.0,35000.0,4288.9323,3316.564,2212.7947,2212.7947,2049.8573,1876.4079,1787.0551,1419.132,1377.0836,1235.1704,1198.3781,1161.5858,1114.2814,1082.7452,1077.4891,1045.9528,967.1122,846.2232,819.9429,735.8462,693.7979,678.0297,646.4935,578.1649,578.1649
False,1.0,Запорожская область,1,False,30000.0,45000.0,5514.3415,4264.1538,2845.0218,2845.0218,2635.5309,2412.5244,2297.6423,1824.5983,1770.5361,1588.0763,1540.7719,1493.4675,1432.6475,1392.1009,1385.3431,1344.7965,1243.4299,1088.0012,1054.2123,946.088,892.0258,871.7525,831.2059,743.3549,743.3549
False,1.0,Самарская область,0,False,25000.0,92000.0,11273.7648,8717.8255,5816.489,5816.489,5388.1964,4932.2721,4697.402,3730.2898,3619.7627,3246.7337,3150.0225,3053.3113,2928.9683,2846.073,2832.2571,2749.3618,2542.1234,2224.358,2155.2786,1934.2244,1823.6973,1782.2496,1699.3543,1519.7477,1519.7477
False,1.0,Ростовская область,0,False,25000.0,120000.0,14704.9106,11371.0767,7586.7247,7586.7247,7028.0823,6433.3984,6127.0461,4865.5954,4721.4296,4234.8701,4108.725,3982.58,3820.3935,3712.2691,3694.2484,3586.124,3315.8132,2901.3365,2811.2329,2522.9013,2378.7355,2324.6734,2216.549,1982.2796,1982.2796
False,1.0,Республика Татарстан,0,False,20000.0,170000.0,20831.9568,16109.0254,10747.86,10747.86,9956.4499,9113.9811,8679.982,6892.9269,6688.692,5999.3993,5820.6938,5641.9883,5412.2241,5259.0479,5233.5185,5080.3424,4697.402,4110.2268,3982.58,3574.1102,3369.8754,3293.2873,3140.1111,2808.2295,2808.2295
False,1.0,Республика Татарстан,0,True,30000.0,30000.0,3676.2277,2842.7692,1896.6812,1896.6812,1757.0206,1608.3496,1531.7615,1216.3989,1180.3574,1058.7175,1027.1813,995.645,955.0984,928.0673,923.5621,896.531,828.9533,725.3341,702.8082,630.7253,594.6839,581.1683,554.1373,495.5699,495.5699
False,1.0,Свердловская область,0,False,23000.0,90000.0,11028.683,8528.3076,5690.0436,5690.0436,5271.0617,4825.0488,4595.2846,3649.1966,3541.0722,3176.1526,3081.5438,2986.935,2865.2951,2784.2018,2770.6863,2689.593,2486.8599,2176.0024,2108.4247,1892.176,1784.0517,1743.505,1662.4118,1486.7097,1486.7097
