is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Доброжелательность (СК) (1126_4),Коммуникабельность (СК) (617_4),Клиентоцентричность (клиенториентированность) (СК) (626_4),"Саморазвитие, обучаемость (СК) (604_4)",Аккуратность (СК) (575_4),Вежливость (СК) (581_4),Проведение обследования пациента (массажист) (2698_12),"Организация безопасной среды для пациентов и персонала (медсестра, врач-стоматолог, массажист) (123_12)",Пунктуальность (СК) (612_4),Выполнение массажа (массажист) (833_12),Высокая работоспособность (СК) (586_4),Командность (СК) (1371_4),Знание анатомии и техник массажа (2481_12),Грамотность (СК) (1368_4),Работа в перевязочном (процедурном) кабинете (медсестра) (149_12),Нравственность (СК) (622_4),Стрессоустойчивость (СК) (601_4),"Позитивность, оптимизм (СК) (607_4)",Целеустремленность (СК) (588_4),Выполнение медицинского массажа (медсестра) (2141_12),Сестринское дело (73_12),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Трудолюбие (СК) (597_4),"Организаторские способности, лидерство (СК) (393_4)",Внимательность (СК) (536_4),"Верность, преданность, лояльность (СК) (582_4)",Инициативность (СК) (610_4),"Прием звонков, ведение переговоров и запись клиентов (Администратор медицинского центра) (2480_12)","Дипломатичность, неконфликтность (СК) (1369_4)"
False,1.0,Республика Северная Осетия,1,False,11280.0,15000.0,2914.4265,1306.0036,1064.0681,996.8638,692.2043,607.0789,575.7168,519.7133,508.5125,445.7885,403.2258,383.0645,360.6631,344.9821,309.1398,309.1398,304.6595,259.8566,250.8961,239.6953,235.2151,219.5341,215.0538,208.3333,206.0932,201.6129,188.172,174.7312,168.0108,138.8889,134.4086,114.2473
False,1.0,Ульяновская область,1,False,1500.0,50000.0,9714.7551,4353.3453,3546.8937,3322.8793,2307.3477,2023.5962,1919.0562,1732.3775,1695.0418,1485.9618,1344.086,1276.8817,1202.2103,1149.9403,1030.4659,1030.4659,1015.5317,866.1888,836.3202,798.9845,784.0502,731.7802,716.8459,694.4444,686.9773,672.043,627.2401,582.4373,560.0358,462.963,448.0287,380.8244
False,1.0,Ульяновская область,1,True,15000.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Запорожская область,1,False,13000.0,13000.0,2525.8363,1131.8698,922.1924,863.9486,599.9104,526.135,498.9546,450.4182,440.7109,386.3501,349.4624,331.9892,312.5747,298.9845,267.9211,267.9211,264.0382,225.2091,217.4432,207.736,203.853,190.2628,186.3799,180.5556,178.6141,174.7312,163.0824,151.4337,145.6093,120.3704,116.4875,99.0143
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,50.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Ханты-Мансийский автономный округ — Югра,1,True,35000.0,35000.0,6800.3286,3047.3417,2482.8256,2326.0155,1615.1434,1416.5173,1343.3393,1212.6643,1186.5293,1040.1732,940.8602,893.8172,841.5472,804.9582,721.3262,721.3262,710.8722,606.3321,585.4241,559.2891,548.8351,512.2461,501.7921,486.1111,480.8841,470.4301,439.0681,407.7061,392.0251,324.0741,313.6201,266.5771
False,1.0,Иркутская область,1,False,20000.0,50000.0,9714.7551,4353.3453,3546.8937,3322.8793,2307.3477,2023.5962,1919.0562,1732.3775,1695.0418,1485.9618,1344.086,1276.8817,1202.2103,1149.9403,1030.4659,1030.4659,1015.5317,866.1888,836.3202,798.9845,784.0502,731.7802,716.8459,694.4444,686.9773,672.043,627.2401,582.4373,560.0358,462.963,448.0287,380.8244
False,1.0,Иркутская область,1,True,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Республика Башкортостан,0,False,16250.0,70000.0,13600.6571,6094.6834,4965.6511,4652.0311,3230.2867,2833.0346,2686.6786,2425.3286,2373.0585,2080.3465,1881.7204,1787.6344,1683.0944,1609.9164,1442.6523,1442.6523,1421.7443,1212.6643,1170.8483,1118.5783,1097.6703,1024.4922,1003.5842,972.2222,961.7682,940.8602,878.1362,815.4122,784.0502,648.1481,627.2401,533.1541
False,1.0,Республика Башкортостан,0,True,20500.0,25000.0,4857.3775,2176.6726,1773.4468,1661.4397,1153.6738,1011.7981,959.5281,866.1888,847.5209,742.9809,672.043,638.4409,601.1051,574.9701,515.233,515.233,507.7658,433.0944,418.1601,399.4922,392.0251,365.8901,358.4229,347.2222,343.4886,336.0215,313.6201,291.2186,280.0179,231.4815,224.0143,190.4122
