is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Работы в сфере картографии (1558_10),Составление карт (1552_10),Дисциплинированность (СК) (593_4),"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Коммуникабельность (СК) (617_4),Аккуратность (СК) (575_4),Английский язык (ЯС) (1918_32),"Саморазвитие, обучаемость (СК) (604_4)",Внимательность (СК) (536_4),Инициативность (СК) (610_4),Составление и обновление топогеодезической документации (248_10),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Целеустремленность (СК) (588_4),Высокая работоспособность (СК) (586_4),Камеральные работы (1405_10),Пунктуальность (СК) (612_4),Выполнение поручений руководителя (ОПТ) (3036_36),Кропотливость (СК) (623_4),Знание AutoCAD (3072_10),анализ и проверка документации (6245_10),Стрессоустойчивость (СК) (601_4)
False,0.0,Красноярский край,1,False,15750.0,23060.0,3189.1489,2420.2382,2416.5767,2262.7945,2109.0124,1925.9384,930.0159,915.37,911.7085,904.3855,860.4478,662.7279,494.2998,468.6694,446.7005,355.1635,307.5643,278.2725,278.2725,256.3036,237.9962,227.0117,201.3814
False,0.0,Ивановская область,1,False,11622.25,23000.0,3180.8511,2413.9409,2410.289,2256.907,2103.5249,1920.9273,927.5961,912.9883,909.3363,902.0324,858.209,661.0035,493.0137,467.45,445.5383,354.2394,306.7641,277.5484,277.5484,255.6367,237.3769,226.4211,200.8574
False,0.0,Вологодская область,1,False,15750.0,15750.0,2178.1915,1653.0248,1650.524,1545.4906,1440.4573,1315.4176,635.2017,625.1985,622.6977,617.6961,587.6866,452.6437,337.6072,320.1016,305.0969,242.577,210.0667,190.0603,190.0603,175.0556,162.5516,155.0492,137.5437
False,0.0,Республика Башкортостан,0,False,16000.0,26500.0,3664.8936,2781.2798,2777.0721,2600.3493,2423.6265,2213.2423,1068.752,1051.9212,1047.7136,1039.2982,988.806,761.591,568.0375,538.5837,513.3376,408.1454,353.4455,319.7841,319.7841,294.5379,273.4995,260.8765,231.4227
False,0.0,Краснодарский край,0,False,26000.0,26500.0,3664.8936,2781.2798,2777.0721,2600.3493,2423.6265,2213.2423,1068.752,1051.9212,1047.7136,1039.2982,988.806,761.591,568.0375,538.5837,513.3376,408.1454,353.4455,319.7841,319.7841,294.5379,273.4995,260.8765,231.4227
False,0.0,Томская область,1,False,20000.0,26500.0,3664.8936,2781.2798,2777.0721,2600.3493,2423.6265,2213.2423,1068.752,1051.9212,1047.7136,1039.2982,988.806,761.591,568.0375,538.5837,513.3376,408.1454,353.4455,319.7841,319.7841,294.5379,273.4995,260.8765,231.4227
False,0.0,Томская область,1,True,25000.0,25000.0,3457.4468,2623.8488,2619.8793,2453.1597,2286.4401,2087.9644,1008.2566,992.3785,988.409,980.47,932.8358,718.4821,535.8844,508.0978,484.2807,385.0429,333.4392,301.6831,301.6831,277.866,258.0184,246.1099,218.3233
False,0.0,Ярославская область,1,False,15000.0,15000.0,2074.4681,1574.3093,1571.9276,1471.8958,1371.8641,1252.7787,604.954,595.4271,593.0454,588.282,559.7015,431.0892,321.5306,304.8587,290.5684,231.0257,200.0635,181.0098,181.0098,166.7196,154.8111,147.6659,130.994
False,0.0,Тульская область,1,False,20840.0,20840.0,2882.1277,2187.2404,2183.9314,2044.954,1905.9765,1740.5272,840.4827,827.2467,823.9378,817.3198,777.6119,598.9266,446.7132,423.5503,403.6964,320.9717,277.9549,251.483,251.483,231.6291,215.0842,205.1572,181.9943
False,0.0,Самарская область,0,False,23000.0,27000.0,3734.0426,2833.7567,2829.4697,2649.4125,2469.3554,2255.0016,1088.9171,1071.7688,1067.4817,1058.9076,1007.4627,775.9606,578.7552,548.7456,523.0232,415.8463,360.1143,325.8177,325.8177,300.0953,278.6599,265.7987,235.7891
False,0.0,Ставропольский край,2,False,20000.0,23000.0,3180.8511,2413.9409,2410.289,2256.907,2103.5249,1920.9273,927.5961,912.9883,909.3363,902.0324,858.209,661.0035,493.0137,467.45,445.5383,354.2394,306.7641,277.5484,277.5484,255.6367,237.3769,226.4211,200.8574
False,0.0,Иркутская область,1,False,16500.0,22000.0,3042.5532,2308.987,2305.4938,2158.7806,2012.0673,1837.4087,887.2658,873.2931,869.7999,862.8136,820.8955,632.2642,471.5783,447.1261,426.167,338.8377,293.4265,265.4811,265.4811,244.5221,227.0562,216.5767,192.1245
