is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Внимательность (СК) (536_4),"Личные установки и ценности, мировоззрение (2043_4)","Организаторские способности, лидерство (СК) (393_4)",Контроль качества изделий (3466_35),Дисциплинированность (СК) (593_4),Чтение схем/чертежей (ОПТ) (3032_36),"Саморазвитие, обучаемость (СК) (604_4)",Знание нормативной и методической документации (4566_35),Использование контрольно-измерительных инструментов (3479_35),Проводить входной контроль (4569_35),Командность (СК) (1371_4),Контроль качества продукции (4221_35),Контроль и приемка продукции (4586_35),Аккуратность (СК) (575_4),Умение читать конструкторскую и технологическую документацию (3439_35),Организация работы по повышению качества продукции (4671_35),Коммуникабельность (СК) (617_4),Знание компьютерных программ (3753_35),Проведение визуально-измерительного контроля (4677_35),Сверка параметров продукции с эталоном или документацией (4818_35),"Контроль качества материалов, полуфабрикатов и комплектующих (4599_35)","Оформление сопроводительной документации по качеству, протоколов, сертификатов (4559_35)",Проведение пооперационного и межоперационного контроля (4570_35),Руководство работниками службы качества (4619_35)
False,0.0,Республика Татарстан,0,False,13100.0,51500.0,8052.7273,6538.9394,3776.6667,3495.7576,2871.5152,2512.5758,2372.1212,1732.2727,1669.8485,1638.6364,1591.8182,1560.6061,1560.6061,1435.7576,1279.697,1170.4545,1045.6061,983.1818,967.5758,967.5758,951.9697,873.9394,827.1212,827.1212,795.9091
False,0.0,Республика Татарстан,0,True,35000.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Нижегородская область,0,False,13100.0,50000.0,7818.1818,6348.4848,3666.6667,3393.9394,2787.8788,2439.3939,2303.0303,1681.8182,1621.2121,1590.9091,1545.4545,1515.1515,1515.1515,1393.9394,1242.4242,1136.3636,1015.1515,954.5455,939.3939,939.3939,924.2424,848.4848,803.0303,803.0303,772.7273
False,0.0,Орловская область,1,False,13100.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Краснодарский край,0,False,15000.0,62500.0,9772.7273,7935.6061,4583.3333,4242.4242,3484.8485,3049.2424,2878.7879,2102.2727,2026.5152,1988.6364,1931.8182,1893.9394,1893.9394,1742.4242,1553.0303,1420.4545,1268.9394,1193.1818,1174.2424,1174.2424,1155.303,1060.6061,1003.7879,1003.7879,965.9091
False,0.0,Краснодарский край,0,True,18900.0,18900.0,2955.2727,2399.7273,1386.0,1282.9091,1053.8182,922.0909,870.5455,635.7273,612.8182,601.3636,584.1818,572.7273,572.7273,526.9091,469.6364,429.5455,383.7273,360.8182,355.0909,355.0909,349.3636,320.7273,303.5455,303.5455,292.0909
False,0.0,Ставропольский край,2,False,15000.0,37000.0,5785.4545,4697.8788,2713.3333,2511.5152,2063.0303,1805.1515,1704.2424,1244.5455,1199.697,1177.2727,1143.6364,1121.2121,1121.2121,1031.5152,919.3939,840.9091,751.2121,706.3636,695.1515,695.1515,683.9394,627.8788,594.2424,594.2424,571.8182
False,0.0,Ростовская область,0,False,14000.0,46500.0,7270.9091,5904.0909,3410.0,3156.3636,2592.7273,2268.6364,2141.8182,1564.0909,1507.7273,1479.5455,1437.2727,1409.0909,1409.0909,1296.3636,1155.4545,1056.8182,944.0909,887.7273,873.6364,873.6364,859.5455,789.0909,746.8182,746.8182,718.6364
False,0.0,Ростовская область,0,True,18900.0,20000.0,3127.2727,2539.3939,1466.6667,1357.5758,1115.1515,975.7576,921.2121,672.7273,648.4848,636.3636,618.1818,606.0606,606.0606,557.5758,496.9697,454.5455,406.0606,381.8182,375.7576,375.7576,369.697,339.3939,321.2121,321.2121,309.0909
False,0.0,Пензенская область,1,False,15000.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
