is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Окрашивание поверхностей вручную и механизированным способом (1418_10),Пунктуальность (СК) (612_4),Внимательность (СК) (536_4),Командность (СК) (1371_4),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),"Саморазвитие, обучаемость (СК) (604_4)",Трудолюбие (СК) (597_4),Нравственность (СК) (622_4),Выполнение штукатурки (456_10),Инициативность (СК) (610_4),"Оклеивание поверхностей бумажными, виниловыми и текстильными обоями (1423_10)",Выполнение ремонтных работ (ОПТ) (8285_36),Соблюдение правил охраны труда (ОПТ) (3790_36),Ремонт штукатурки (357_10),"Техника безопасности (бетон, арматура) (1607_10)"
False,1.0,Республика Северная Осетия,1,False,9489.0,45000.0,10934.2271,6390.8672,5891.2861,3930.6661,2356.5145,2290.532,1988.8982,1979.4721,1630.708,989.7361,904.9016,895.4755,820.067,725.8065,659.824,546.7114,546.7114,537.2853,499.5811,480.7289
False,1.0,Запорожская область,1,False,19500.0,19500.0,4738.1651,2769.3758,2552.8907,1703.2886,1021.1563,992.5639,861.8559,857.7713,706.6401,428.8856,392.124,388.0394,355.3624,314.5161,285.9238,236.9083,236.9083,232.8236,216.4851,208.3159
False,1.0,Карачаево-Черкесская Республика,1,False,16119.0,25000.0,6074.5706,3550.4818,3272.9367,2183.7034,1309.1747,1272.5178,1104.9434,1099.7067,905.9489,549.8534,502.7231,497.4864,455.5928,403.2258,366.5689,303.7285,303.7285,298.4918,277.545,267.0716
False,1.0,"иные территории, включая город и космодром Байконур",1,False,19085.0,19085.0,4637.3272,2710.4378,2498.5599,1667.0392,999.424,971.4401,843.5138,839.5161,691.6014,419.7581,383.7788,379.7811,347.7995,307.8226,279.8387,231.8664,231.8664,227.8687,211.8779,203.8825
False,1.0,Ростовская область,0,False,15000.0,90000.0,21868.4541,12781.7344,11782.5723,7861.3322,4713.0289,4581.0641,3977.7964,3958.9443,3261.416,1979.4721,1809.8031,1790.951,1640.1341,1451.6129,1319.6481,1093.4227,1093.4227,1074.5706,999.1621,961.4579
False,1.0,Нижегородская область,0,False,15000.0,84800.0,20604.9434,12043.2342,11101.8014,7407.1219,4440.7206,4316.3804,3747.9682,3730.2053,3072.9786,1865.1026,1705.2367,1687.4738,1545.3708,1367.7419,1243.4018,1030.2472,1030.2472,1012.4843,941.4328,905.907
False,1.0,Нижегородская область,0,True,15000.0,25000.0,6074.5706,3550.4818,3272.9367,2183.7034,1309.1747,1272.5178,1104.9434,1099.7067,905.9489,549.8534,502.7231,497.4864,455.5928,403.2258,366.5689,303.7285,303.7285,298.4918,277.545,267.0716
False,1.0,Удмуртская Республика,1,False,15000.0,97000.0,23569.3339,13775.8693,12698.9946,8472.7692,5079.5978,4937.3691,4287.1806,4266.8622,3515.0817,2133.4311,1950.5656,1930.2472,1767.7,1564.5161,1422.2874,1178.4667,1178.4667,1158.1483,1076.8747,1036.238
False,1.0,Удмуртская Республика,1,True,24265.5,24265.5,5896.0997,3446.1686,3176.7779,2119.5462,1270.7111,1235.1312,1072.4802,1067.3974,879.3321,533.6987,487.9531,482.8702,442.2075,391.379,355.7991,294.805,294.805,289.7221,269.3908,259.2251
False,1.0,Республика Татарстан,0,False,15000.0,100000.0,24298.2824,14201.9271,13091.747,8734.8136,5236.6988,5090.0712,4419.7738,4398.827,3623.7956,2199.4135,2010.8923,1989.9455,1822.3712,1612.9032,1466.2757,1214.9141,1214.9141,1193.9673,1110.1801,1068.2866
False,1.0,Ульяновская область,1,False,15000.0,75000.0,18223.7118,10651.4453,9818.8102,6551.1102,3927.5241,3817.5534,3314.8303,3299.1202,2717.8467,1649.5601,1508.1693,1492.4592,1366.7784,1209.6774,1099.7067,911.1856,911.1856,895.4755,832.6351,801.2149
