is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ по осмотру (2683_23),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),"Выполнение работ по регулировке, выправке и промерам (2998_23)",Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),Коммуникабельность (СК) (617_4),Трудолюбие (СК) (597_4),Командность (СК) (1371_4),Выполнение работ по очистке (2992_23),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение работ по ремонту и текущему содержанию ВСП (РЖД) (замена ВСП) (2684_23),Высокая работоспособность (СК) (586_4),Выполнение погрузо-разгрузочных работ (2986_23),"Саморазвитие, обучаемость (СК) (604_4)",Знания по выполнению работ по ремонту и текущему содержанию железнодорожного пути (РЖД) (1776_23),Сборка и разборка промежуточных и стыковых рельсовых скреплений (Текущее содержаниеРЖД) (3755_23)
False,0.0,Оренбургская область,2,False,13000.0,35110.0,7644.357,5369.3545,5003.2622,4096.7478,1464.3694,1185.4419,1168.0089,1150.576,1089.5606,1063.4111,1011.1122,767.0506,723.4682,671.1693,618.8704,557.855,540.422,522.9891,461.9737
False,0.0,Чувашская Республика,1,False,8750.0,35000.0,7620.4071,5352.5323,4987.5869,4083.9126,1459.7815,1181.7279,1164.3496,1146.9712,1086.147,1060.0794,1007.9444,764.6475,721.2016,669.0665,616.9315,556.1072,538.7289,521.3505,460.5263
False,0.0,Калининградская область,1,False,8750.0,35000.0,7620.4071,5352.5323,4987.5869,4083.9126,1459.7815,1181.7279,1164.3496,1146.9712,1086.147,1060.0794,1007.9444,764.6475,721.2016,669.0665,616.9315,556.1072,538.7289,521.3505,460.5263
False,0.0,Республика Северная Осетия,1,False,13000.0,16242.0,3536.3044,2483.8808,2314.5253,1895.1688,677.422,548.3893,540.3247,532.2602,504.0343,491.9374,467.7438,354.8401,334.6787,310.4851,286.2915,258.0655,250.001,241.9364,213.7105
False,0.0,Тверская область,1,False,16000.0,38000.0,8273.5849,5811.3208,5415.0943,4433.9623,1584.9057,1283.0189,1264.1509,1245.283,1179.2453,1150.9434,1094.3396,830.1887,783.0189,726.4151,669.8113,603.7736,584.9057,566.0377,500.0
False,0.0,Липецкая область,1,False,16000.0,42700.0,9296.8967,6530.0894,6084.856,4982.3734,1780.9335,1441.708,1420.5065,1399.3049,1325.0993,1293.2969,1229.6922,932.8699,879.8659,816.2612,752.6564,678.4508,657.2493,636.0477,561.8421
False,0.0,Смоленская область,1,False,18000.0,50000.0,10886.2959,7646.4747,7125.1241,5834.1609,2085.4022,1688.1827,1663.3565,1638.5303,1551.6385,1514.3992,1439.9206,1092.3535,1030.288,955.8093,881.3307,794.4389,769.6127,744.7865,657.8947
False,0.0,Республика Татарстан,0,False,15000.0,64000.0,13934.4588,9787.4876,9120.1589,7467.7259,2669.3148,2160.8739,2129.0963,2097.3188,1986.0973,1938.431,1843.0983,1398.2125,1318.7686,1223.4359,1128.1033,1016.8818,985.1043,953.3267,842.1053
False,0.0,Рязанская область,1,False,18000.0,37000.0,8055.859,5658.3913,5272.5919,4317.279,1543.1976,1249.2552,1230.8838,1212.5124,1148.2125,1120.6554,1065.5412,808.3416,762.4131,707.2989,652.1847,587.8848,569.5134,551.142,486.8421
False,0.0,Воронежская область,2,False,15000.0,38600.0,8404.2205,5903.0785,5500.5958,4503.9722,1609.9305,1303.2771,1284.1112,1264.9454,1197.8649,1169.1162,1111.6187,843.2969,795.3823,737.8848,680.3873,613.3069,594.141,574.9752,507.8947
False,0.0,Кировская область,1,False,15000.0,37000.0,8055.859,5658.3913,5272.5919,4317.279,1543.1976,1249.2552,1230.8838,1212.5124,1148.2125,1120.6554,1065.5412,808.3416,762.4131,707.2989,652.1847,587.8848,569.5134,551.142,486.8421
False,0.0,Курская область,2,False,15000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Челябинская область,0,False,15000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Краснодарский край,0,False,15000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Брянская область,1,False,15000.0,53000.0,11539.4737,8105.2632,7552.6316,6184.2105,2210.5263,1789.4737,1763.1579,1736.8421,1644.7368,1605.2632,1526.3158,1157.8947,1092.1053,1013.1579,934.2105,842.1053,815.7895,789.4737,697.3684
False,0.0,Волгоградская область,2,False,16000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Тульская область,1,False,15000.0,45000.0,9797.6663,6881.8272,6412.6117,5250.7448,1876.862,1519.3644,1497.0209,1474.6773,1396.4747,1362.9593,1295.9285,983.1182,927.2592,860.2284,793.1976,714.995,692.6514,670.3078,592.1053
False,0.0,Свердловская область,0,False,15000.0,40250.0,8763.4682,6155.4121,5735.7249,4696.4995,1678.7488,1358.9871,1339.002,1319.0169,1249.069,1219.0914,1159.136,879.3446,829.3818,769.4265,709.4712,639.5233,619.5382,599.5531,529.6053
False,0.0,Ярославская область,1,False,16000.0,40000.0,8709.0367,6117.1797,5700.0993,4667.3287,1668.3217,1350.5462,1330.6852,1310.8242,1241.3108,1211.5194,1151.9364,873.8828,824.2304,764.6475,705.0645,635.5511,615.6902,595.8292,526.3158
False,0.0,Нижегородская область,0,False,15000.0,80000.0,17418.0735,12234.3595,11400.1986,9334.6574,3336.6435,2701.0924,2661.3704,2621.6485,2482.6216,2423.0387,2303.8729,1747.7656,1648.4608,1529.2949,1410.1291,1271.1023,1231.3803,1191.6584,1052.6316
