is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Внимательность (СК) (536_4),"Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),Работа на станках с ЧПУ (3542_35),Чтение схем/чертежей (ОПТ) (3032_36),Составление и корректировка управляющих программ (3667_35),Наладка оборудования (4078_35),"Саморазвитие, обучаемость (СК) (604_4)",Ремонт оборудования (4132_35),Высокая работоспособность (СК) (586_4),Контроль за работой и техническим состоянием оборудования (4119_35),Подготовка станков к работе (3512_35),Выполнение ремонтных работ (ОПТ) (8285_36),Эксплуатация станочного оборудования (3579_35),Нравственность (СК) (622_4),Техническое обслуживание оборудования (4130_35),Командность (СК) (1371_4)
False,0.0,Республика Северная Осетия,1,False,1080.0,25000.0,4198.6491,3791.833,1796.1314,1765.4283,1611.9128,1481.4246,1335.5849,1189.7452,1112.9874,967.1477,951.7961,875.0384,690.8198,660.1167,644.7651,575.6831,491.2496,468.2223,391.4645
False,0.0,Владимирская область,1,False,18000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Владимирская область,1,True,40000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Нижегородская область,0,False,16000.0,70000.0,11756.2174,10617.1323,5029.1679,4943.1993,4513.3558,4147.9889,3739.6377,3331.2865,3116.3648,2708.0135,2665.0292,2450.1075,1934.2954,1848.3267,1805.3423,1611.9128,1375.4989,1311.0224,1096.1007
False,0.0,Республика Башкортостан,0,False,16000.0,100000.0,16794.5963,15167.3319,7184.5256,7061.7132,6447.6512,5925.6985,5342.3396,4758.9807,4451.9496,3868.5907,3807.1845,3500.1535,2763.2791,2640.4667,2579.0605,2302.7326,1964.9985,1872.8892,1565.8582
False,0.0,Республика Мордовия,1,False,16300.0,108900.0,18289.3153,16517.2244,7823.9484,7690.2057,7021.4922,6453.0857,5817.8078,5182.5299,4848.1732,4212.8953,4146.0239,3811.6672,3009.2109,2875.4682,2808.5969,2507.6758,2139.8833,2039.5763,1705.2195
False,0.0,Липецкая область,1,False,18000.0,70000.0,11756.2174,10617.1323,5029.1679,4943.1993,4513.3558,4147.9889,3739.6377,3331.2865,3116.3648,2708.0135,2665.0292,2450.1075,1934.2954,1848.3267,1805.3423,1611.9128,1375.4989,1311.0224,1096.1007
False,0.0,Новосибирская область,0,False,16000.0,66000.0,11084.4335,10010.4391,4741.7869,4660.7307,4255.4498,3910.961,3525.9441,3140.9272,2938.2868,2553.2699,2512.7418,2310.1013,1823.7642,1742.708,1702.1799,1519.8035,1296.899,1236.1068,1033.4664
False,0.0,Воронежская область,2,False,20000.0,112500.0,18893.9208,17063.2484,8082.5913,7944.4274,7253.6076,6666.4108,6010.132,5353.8532,5008.4434,4352.1646,4283.0826,3937.6727,3108.689,2970.525,2901.443,2590.5741,2210.6233,2107.0003,1761.5904
False,0.0,Воронежская область,2,True,40000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Саратовская область,2,False,18000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Ульяновская область,1,False,18000.0,103950.0,17457.9828,15766.4415,7468.3144,7340.6509,6702.3334,6159.7636,5553.362,4946.9604,4627.8017,4021.4001,3957.5683,3638.4096,2872.4286,2744.7651,2680.9334,2393.6905,2042.6159,1946.8683,1627.7095
