is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Нравственность (СК) (622_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Заключение договоров (3483_37),Целеустремленность (СК) (588_4),Ведение переговоров (Логистика) (3689_37),"Ответственность , добросовестность (СК) (614_4)",Сопровождение сделок (Логистика) (5266_37),Стрессоустойчивость (СК) (601_4),"Саморазвитие, обучаемость (СК) (604_4)",Грамотность (СК) (1368_4),Работа с клиентами (3966_37),Знание пакета MS OFFICE (Логистика) (4199_37),Активность (СК) (576_4),Работа с документами (Логистика) (3969_37),Пунктуальность (СК) (612_4),Ведение деловой переписки (4590_37),Высокая работоспособность (СК) (586_4),Презентация недвижимости (Риэлтор) (7806_37),Инициативность (СК) (610_4),Уверенность (СК) (591_4),Обучение рынку недвижимости (Риэлтор) (8329_37),Знания.Программы.Офисное ПО/ПК и оргтехника.Логистика (4064_37),Навыки продаж (Логистика) (7811_37),Доброжелательность (СК) (1126_4),Трудолюбие (СК) (597_4),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),Дисциплинированность (СК) (593_4),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Командность (СК) (1371_4),Амбициозность (СК) (1367_4),Работа в CRM-системе (Логистика) (7742_37),"Организаторские способности, лидерство (СК) (393_4)",Организация показов/просмотров (Риэлтор) (7978_37),Самостоятельность (СК) (603_4)
False,0.0,Республика Татарстан,0,False,80.0,300000.0,25336.8483,24985.3544,20767.4282,16578.7932,16227.2994,14997.0709,13356.7663,12419.4493,11042.7651,10749.8535,9519.6251,9490.3339,7879.3204,7059.1681,6736.9654,6619.8008,6444.0539,6209.7247,5770.3574,5623.9016,5477.4458,5272.4077,4950.205,4774.4581,4393.6731,4364.382,4335.0908,4305.7996,4188.635,3807.85,3778.5589,3309.9004,3163.4446,3075.5712,2987.6977
False,0.0,Республика Татарстан,0,True,35000.0,250000.0,21114.0402,20821.1287,17306.1902,13815.661,13522.7495,12497.5591,11130.6385,10349.5411,9202.3042,8958.2113,7933.0209,7908.6116,6566.1004,5882.6401,5614.1379,5516.5007,5370.0449,5174.7706,4808.6311,4686.5847,4564.5382,4393.6731,4125.1709,3978.7151,3661.3943,3636.985,3612.5757,3588.1664,3490.5292,3173.2084,3148.7991,2758.2503,2636.2039,2562.976,2489.7481
False,0.0,Хабаровский край,1,False,25000.0,130000.0,10979.3009,10826.9869,8999.2189,7184.1437,7031.8297,6498.7307,5787.932,5381.7614,4785.1982,4658.2699,4125.1709,4112.478,3414.3722,3058.9729,2919.3517,2868.5804,2792.4234,2690.8807,2500.4882,2437.024,2373.5599,2284.71,2145.0888,2068.9318,1903.925,1891.2322,1878.5393,1865.8465,1815.0752,1650.0683,1637.3755,1434.2902,1370.826,1332.7475,1294.669
False,0.0,Хабаровский край,1,True,30000.0,100000.0,8445.6161,8328.4515,6922.4761,5526.2644,5409.0998,4999.0236,4452.2554,4139.8164,3680.9217,3583.2845,3173.2084,3163.4446,2626.4401,2353.056,2245.6551,2206.6003,2148.018,2069.9082,1923.4525,1874.6339,1825.8153,1757.4692,1650.0683,1591.486,1464.5577,1454.794,1445.0303,1435.2665,1396.2117,1269.2833,1259.5196,1103.3001,1054.4815,1025.1904,995.8992
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,100000.0,8445.6161,8328.4515,6922.4761,5526.2644,5409.0998,4999.0236,4452.2554,4139.8164,3680.9217,3583.2845,3173.2084,3163.4446,2626.4401,2353.056,2245.6551,2206.6003,2148.018,2069.9082,1923.4525,1874.6339,1825.8153,1757.4692,1650.0683,1591.486,1464.5577,1454.794,1445.0303,1435.2665,1396.2117,1269.2833,1259.5196,1103.3001,1054.4815,1025.1904,995.8992
False,0.0,Ханты-Мансийский автономный округ — Югра,1,True,45000.0,250000.0,21114.0402,20821.1287,17306.1902,13815.661,13522.7495,12497.5591,11130.6385,10349.5411,9202.3042,8958.2113,7933.0209,7908.6116,6566.1004,5882.6401,5614.1379,5516.5007,5370.0449,5174.7706,4808.6311,4686.5847,4564.5382,4393.6731,4125.1709,3978.7151,3661.3943,3636.985,3612.5757,3588.1664,3490.5292,3173.2084,3148.7991,2758.2503,2636.2039,2562.976,2489.7481
False,0.0,Город федерального значения Москва,0,False,60.0,500000.0,42228.0805,41642.2574,34612.3804,27631.322,27045.4989,24995.1181,22261.2771,20699.0822,18404.6085,17916.4226,15866.0418,15817.2232,13132.2007,11765.2802,11228.2757,11033.0014,10740.0898,10349.5411,9617.2623,9373.1693,9129.0764,8787.3462,8250.3417,7957.4302,7322.7885,7273.9699,7225.1513,7176.3327,6981.0584,6346.4167,6297.5981,5516.5007,5272.4077,5125.952,4979.4962
False,0.0,Город федерального значения Москва,0,True,25000.0,278800.0,23546.3777,23219.7227,19299.8633,15407.2252,15080.5702,13937.2779,12412.8881,11541.8082,10262.4097,9990.1972,8846.9049,8819.6837,7322.5151,6560.3202,6260.8865,6152.0016,5988.6741,5770.9041,5362.5854,5226.4792,5090.373,4899.8243,4600.3905,4437.0631,4083.1869,4055.9656,4028.7444,4001.5231,3892.6382,3538.762,3511.5407,3076.0008,2939.8946,2858.2308,2776.5671
False,0.0,Новосибирская область,0,False,20303.0,120000.0,10134.7393,9994.1418,8306.9713,6631.5173,6490.9197,5998.8284,5342.7065,4967.7797,4417.106,4299.9414,3807.85,3796.1336,3151.7282,2823.6673,2694.7862,2647.9203,2577.6216,2483.8899,2308.1429,2249.5606,2190.9783,2108.9631,1980.082,1909.7832,1757.4692,1745.7528,1734.0363,1722.3199,1675.454,1523.14,1511.4236,1323.9602,1265.3779,1230.2285,1195.0791
False,0.0,Новосибирская область,0,True,25000.0,120000.0,10134.7393,9994.1418,8306.9713,6631.5173,6490.9197,5998.8284,5342.7065,4967.7797,4417.106,4299.9414,3807.85,3796.1336,3151.7282,2823.6673,2694.7862,2647.9203,2577.6216,2483.8899,2308.1429,2249.5606,2190.9783,2108.9631,1980.082,1909.7832,1757.4692,1745.7528,1734.0363,1722.3199,1675.454,1523.14,1511.4236,1323.9602,1265.3779,1230.2285,1195.0791
False,0.0,Волгоградская область,2,False,20000.0,90000.0,7601.0545,7495.6063,6230.2285,4973.638,4868.1898,4499.1213,4007.0299,3725.8348,3312.8295,3224.9561,2855.8875,2847.1002,2363.7961,2117.7504,2021.0896,1985.9402,1933.2162,1862.9174,1731.1072,1687.1705,1643.2337,1581.7223,1485.0615,1432.3374,1318.1019,1309.3146,1300.5272,1291.7399,1256.5905,1142.355,1133.5677,992.9701,949.0334,922.6714,896.3093
