is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Английский язык (ЯС) (1918_32),"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",Дисциплинированность (СК) (593_4),Ведение делопроизводства (2047_33),"Знание ПК, различных операционных систем, офисных программ (2286_33)",Внимательность (СК) (536_4),Грамотность (СК) (1368_4),"Личные установки и ценности, мировоззрение (2043_4)","Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",Стрессоустойчивость (СК) (601_4),Владение ПК и оргтехникой (2686_33),Коммуникабельность (СК) (617_4),"Выполнение поставленных задач, приказов, распоряжений и поручений руководителя (1994_33)",Выполнение поручений руководителя (ОПТ) (3036_36),Аккуратность (СК) (575_4),"Работа с документами: подготовка, прием/отправка, печать, сканирование (1976_33)","Саморазвитие, обучаемость (СК) (604_4)","Работа с входящей и исходящей корреспонденцией: отправка, доставка (3597_33)",Ведение делопроизводства (2455_33),"Обеспечение и контроль исполнения поручений руководителя, сроков выполнения указаний/ распоряжений/ поручений и приказов (2251_33)","Организаторские способности, лидерство (СК) (393_4)",Доброжелательность (СК) (1126_4),Пунктуальность (СК) (612_4),Командность (СК) (1371_4)
False,0.0,Ивановская область,1,False,9122.25,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Ивановская область,1,True,10557.0,10557.0,1531.604,1217.4288,585.5083,546.2364,499.8241,485.5435,485.5435,435.561,417.7102,399.8593,389.1488,364.1576,332.026,328.4559,307.0348,278.4735,274.9033,253.4822,224.9209,214.2103,214.2103,196.3595,196.3595,189.2191,189.2191
False,0.0,Курганская область,1,False,9122.25,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Курганская область,1,True,17571.0,17571.0,2549.1914,2026.2804,974.5161,909.1522,831.904,808.1353,808.1353,724.9449,695.234,665.5232,647.6967,606.1015,552.6219,546.6797,511.0267,463.4893,457.5472,421.8941,374.3568,356.5303,356.5303,326.8194,326.8194,314.9351,314.9351
False,0.0,Оренбургская область,2,False,9122.25,42800.0,6209.4014,4935.6781,2373.7572,2214.5418,2026.3781,1968.4816,1968.4816,1765.8438,1693.4731,1621.1025,1577.6801,1476.3612,1346.094,1331.6199,1244.7751,1128.9821,1114.5079,1027.6632,911.8701,868.4478,868.4478,796.0771,796.0771,767.1288,767.1288
False,0.0,Оренбургская область,2,True,22000.0,22000.0,3191.7484,2537.0308,1220.1556,1138.3159,1041.5962,1011.8363,1011.8363,907.6767,870.4768,833.277,810.9571,758.8772,691.9175,684.4775,639.8377,580.3179,572.8779,528.2381,468.7183,446.3984,446.3984,409.1985,409.1985,394.3186,394.3186
False,0.0,Смоленская область,1,False,11163.0,26000.0,3772.0663,2998.3091,1442.002,1345.2824,1230.9773,1195.8066,1195.8066,1072.7088,1028.7454,984.7819,958.4038,896.8549,817.7207,808.928,756.1718,685.8302,677.0375,624.2814,553.9398,527.5617,527.5617,483.5982,483.5982,466.0129,466.0129
False,0.0,Смоленская область,1,True,15279.0,15279.0,2216.6693,1761.9679,847.398,790.5604,723.3886,702.7203,702.7203,630.3815,604.5462,578.7109,563.2097,527.0402,480.5367,475.3696,444.3673,403.0308,397.8637,366.8613,325.5249,310.0237,310.0237,284.1884,284.1884,273.8542,273.8542
False,0.0,Республика Мордовия,1,False,9122.25,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Кировская область,1,False,9122.25,30000.0,4352.3842,3459.5874,1663.8485,1552.2489,1420.3585,1379.7768,1379.7768,1237.741,1187.0139,1136.2868,1105.8505,1034.8326,943.5238,933.3784,872.5059,791.3426,781.1972,720.3247,639.1613,608.7251,608.7251,557.998,557.998,537.7071,537.7071
False,0.0,Кировская область,1,True,9339.0,9339.0,1354.8972,1076.9696,517.956,483.2151,442.1576,429.5245,429.5245,385.3088,369.5174,353.7261,344.2513,322.1434,293.719,290.5607,271.6111,246.3449,243.1867,224.2371,198.9709,189.4961,189.4961,173.7048,173.7048,167.3882,167.3882
False,0.0,Саратовская область,2,False,9122.25,31500.0,4570.0034,3632.5668,1747.0409,1629.8613,1491.3764,1448.7656,1448.7656,1299.628,1246.3646,1193.1011,1161.1431,1086.5742,990.7,980.0473,916.1312,830.9097,820.257,756.3409,671.1194,639.1613,639.1613,585.8979,585.8979,564.5925,564.5925
False,0.0,Саратовская область,2,True,15279.0,18000.0,2611.4305,2075.7525,998.3091,931.3493,852.2151,827.8661,827.8661,742.6446,712.2083,681.7721,663.5103,620.8996,566.1143,560.0271,523.5036,474.8055,468.7183,432.1948,383.4968,365.235,365.235,334.7988,334.7988,322.6243,322.6243
False,0.0,Астраханская область,1,False,9122.25,30000.0,4352.3842,3459.5874,1663.8485,1552.2489,1420.3585,1379.7768,1379.7768,1237.741,1187.0139,1136.2868,1105.8505,1034.8326,943.5238,933.3784,872.5059,791.3426,781.1972,720.3247,639.1613,608.7251,608.7251,557.998,557.998,537.7071,537.7071
False,0.0,Республика Адыгея,1,False,9122.25,30000.0,4352.3842,3459.5874,1663.8485,1552.2489,1420.3585,1379.7768,1379.7768,1237.741,1187.0139,1136.2868,1105.8505,1034.8326,943.5238,933.3784,872.5059,791.3426,781.1972,720.3247,639.1613,608.7251,608.7251,557.998,557.998,537.7071,537.7071
False,0.0,Республика Марий Эл,1,False,11163.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Республика Алтай,1,False,9122.25,22738.0,3298.817,2622.1366,1261.0862,1176.5012,1076.537,1045.7788,1045.7788,938.1251,899.6774,861.2296,838.161,784.3341,715.1282,707.4386,661.3013,599.7849,592.0954,545.9581,484.4417,461.373,461.373,422.9253,422.9253,407.5462,407.5462
False,0.0,Карачаево-Черкесская Республика,1,False,9122.25,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Запорожская область,1,False,9122.25,9122.25,1323.4512,1051.974,505.9347,472.0001,431.8955,419.5556,419.5556,376.3661,360.9412,345.5164,336.2615,314.6667,286.902,283.817,265.3072,240.6275,237.5425,219.0327,194.353,185.0981,185.0981,169.6732,169.6732,163.5033,163.5033
False,0.0,Кабардино-Балкарская Республика,1,False,12000.0,22000.0,3191.7484,2537.0308,1220.1556,1138.3159,1041.5962,1011.8363,1011.8363,907.6767,870.4768,833.277,810.9571,758.8772,691.9175,684.4775,639.8377,580.3179,572.8779,528.2381,468.7183,446.3984,446.3984,409.1985,409.1985,394.3186,394.3186
False,0.0,Республика Северная Осетия,1,False,11163.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,"иные территории, включая город и космодром Байконур",1,False,12838.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Херсонская область,1,False,11163.0,18000.0,2611.4305,2075.7525,998.3091,931.3493,852.2151,827.8661,827.8661,742.6446,712.2083,681.7721,663.5103,620.8996,566.1143,560.0271,523.5036,474.8055,468.7183,432.1948,383.4968,365.235,365.235,334.7988,334.7988,322.6243,322.6243
False,0.0,Республика Калмыкия,1,False,13000.0,19490.0,2827.5989,2247.5786,1080.9469,1008.4444,922.7596,896.395,896.395,804.119,771.1633,738.2076,718.4342,672.2962,612.976,606.3848,566.838,514.1089,507.5178,467.9709,415.2418,395.4684,395.4684,362.5127,362.5127,349.3304,349.3304
False,0.0,Республика Ингушетия,1,False,13000.0,13000.0,1886.0331,1499.1545,721.001,672.6412,615.4887,597.9033,597.9033,536.3544,514.3727,492.3909,479.2019,448.4275,408.8603,404.464,378.0859,342.9151,338.5188,312.1407,276.9699,263.7809,263.7809,241.7991,241.7991,233.0064,233.0064
False,0.0,Донецкая область,1,False,17571.0,17571.0,2549.1914,2026.2804,974.5161,909.1522,831.904,808.1353,808.1353,724.9449,695.234,665.5232,647.6967,606.1015,552.6219,546.6797,511.0267,463.4893,457.5472,421.8941,374.3568,356.5303,356.5303,326.8194,326.8194,314.9351,314.9351
False,0.0,Волгоградская область,2,False,10000.0,34976.0,5074.2996,4033.4177,1939.8255,1809.7153,1655.9486,1608.6358,1608.6358,1443.0409,1383.8999,1324.7589,1289.2743,1206.4768,1100.023,1088.1948,1017.2256,922.5999,910.7717,839.8025,745.1769,709.6923,709.6923,650.5512,650.5512,626.8948,626.8948
False,0.0,Волгоградская область,2,True,14000.0,17312.0,2511.6158,1996.4126,960.1515,895.7511,819.6415,796.2232,796.2232,714.259,684.9861,655.7132,638.1495,597.1674,544.4762,538.6216,503.4941,456.6574,450.8028,415.6753,368.8387,351.2749,351.2749,322.002,322.002,310.2929,310.2929
False,0.0,Тюменская область,1,False,11105.75,50000.0,7253.9736,5765.979,2773.0808,2587.0815,2367.2641,2299.628,2299.628,2062.9016,1978.3564,1893.8113,1843.0842,1724.721,1572.5397,1555.6307,1454.1765,1318.9043,1301.9953,1200.5411,1065.2689,1014.5418,1014.5418,929.9966,929.9966,896.1786,896.1786
False,0.0,Тюменская область,1,True,16242.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Республика Татарстан,0,False,11105.75,60000.0,8704.7683,6919.1748,3327.697,3104.4978,2840.7169,2759.5536,2759.5536,2475.4819,2374.0277,2272.5736,2211.701,2069.6652,1887.0477,1866.7568,1745.0118,1582.6852,1562.3943,1440.6493,1278.3226,1217.4501,1217.4501,1115.9959,1115.9959,1075.4143,1075.4143
False,0.0,Республика Татарстан,0,True,12994.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Челябинская область,0,False,10000.0,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Челябинская область,0,True,16242.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Свердловская область,0,False,11105.75,40000.0,5803.1789,4612.7832,2218.4647,2069.6652,1893.8113,1839.7024,1839.7024,1650.3213,1582.6852,1515.049,1474.4674,1379.7768,1258.0318,1244.5046,1163.3412,1055.1234,1041.5962,960.4329,852.2151,811.6334,811.6334,743.9973,743.9973,716.9428,716.9428
False,0.0,Свердловская область,0,True,11105.75,16242.0,2356.3808,1873.0206,900.8076,840.3876,768.9821,747.0112,747.0112,670.113,642.6493,615.1857,598.7075,560.2584,510.8238,505.3311,472.3747,428.4329,422.9401,389.9838,346.0419,329.5637,329.5637,302.1001,302.1001,291.1146,291.1146
