is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),Формовка литейная ручная (4329_35),"Личные установки и ценности, мировоззрение (2043_4)",Формирование железобетонных изделий и конструкций (4318_35),Формовка (в общем) (4324_35),Изготовление кондитерских изделий (4237_35),Внимательность (СК) (536_4),Сборка литейных форм (4433_35),"Саморазвитие, обучаемость (СК) (604_4)",Высокая работоспособность (СК) (586_4),Чтение схем/чертежей (ОПТ) (3032_36),Командность (СК) (1371_4),Трудолюбие (СК) (597_4),Формовка литейная машинная (4330_35),Изготовление форм (4446_35),Пунктуальность (СК) (612_4),Укладка в форму арматурных сеток и каркасов (4320_35),Коммуникабельность (СК) (617_4),Формовка в опоках (4334_35),Склонность к здоровому образу жизни (СК) (1662_4),Формовка изделий из композитных материалов (4325_35),Сборка несложных узлов и конструкций (3923_35),Расформовка изделия (4319_35),Укладка бетонной смеси (4443_35),Набивка и трамбовка форм (4429_35),Установка и проверка стержней (4432_35)
False,1.0,Новосибирская область,0,False,17850.0,50000.0,9415.2142,5546.5059,4528.4248,3624.3688,3323.0168,2125.7534,1889.5586,1767.3888,1571.9173,1197.2634,1164.6848,1115.8169,1107.6723,1083.2383,1034.3704,1026.2258,969.2132,920.3453,863.3328,855.1881,806.3202,741.1631,708.5845,627.138,570.1254,537.5468,456.1003,423.5217
False,1.0,Город федерального значения Санкт-Петербург,0,False,22350.0,100000.0,18830.4284,11093.0119,9056.8496,7248.7376,6646.0336,4251.5068,3779.1171,3534.7777,3143.8345,2394.5268,2329.3696,2231.6338,2215.3445,2166.4766,2068.7408,2052.4515,1938.4265,1840.6907,1726.6656,1710.3763,1612.6405,1482.3261,1417.1689,1254.2759,1140.2509,1075.0937,912.2007,847.0435
False,1.0,Город федерального значения Санкт-Петербург,0,True,45000.0,45000.0,8473.6928,4991.8554,4075.5823,3261.9319,2990.7151,1913.178,1700.6027,1590.6499,1414.7255,1077.5371,1048.2163,1004.2352,996.905,974.9145,930.9334,923.6032,872.2919,828.3108,776.9995,769.6693,725.6882,667.0468,637.726,564.4242,513.1129,483.7921,410.4903,381.1696
False,1.0,Республика Татарстан,0,False,17850.0,70000.0,13181.2999,7765.1083,6339.7948,5074.1163,4652.2235,2976.0547,2645.382,2474.3444,2200.6842,1676.1688,1630.5587,1562.1437,1550.7412,1516.5336,1448.1186,1436.7161,1356.8985,1288.4835,1208.6659,1197.2634,1128.8483,1037.6283,992.0182,877.9932,798.1756,752.5656,638.5405,592.9304
False,1.0,Калининградская область,1,False,15000.0,59750.0,11251.181,6628.0746,5411.4677,4331.1207,3971.005,2540.2753,2258.0225,2112.0296,1878.4411,1430.7298,1391.7983,1333.4012,1323.6683,1294.4698,1236.0727,1226.3398,1158.2098,1099.8127,1031.6827,1021.9498,963.5527,885.6899,846.7584,749.4299,681.2999,642.3685,545.0399,506.1085
False,1.0,Иркутская область,1,False,15000.0,40000.0,7532.1714,4437.2048,3622.7399,2899.495,2658.4134,1700.6027,1511.6468,1413.9111,1257.5338,957.8107,931.7478,892.6535,886.1378,866.5906,827.4963,820.9806,775.3706,736.2763,690.6662,684.1505,645.0562,592.9304,566.8676,501.7104,456.1003,430.0375,364.8803,338.8174
False,1.0,Город федерального значения Москва,0,False,25256.5,120000.0,22596.5141,13311.6143,10868.2196,8698.4851,7975.2403,5101.8081,4534.9405,4241.7332,3772.6014,2873.4322,2795.2435,2677.9606,2658.4134,2599.7719,2482.489,2462.9418,2326.1117,2208.8288,2071.9987,2052.4515,1935.1686,1778.7913,1700.6027,1505.1311,1368.301,1290.1124,1094.6408,1016.4522
False,1.0,Московская область,2,False,22350.0,90000.0,16947.3856,9983.7107,8151.1647,6523.8638,5981.4302,3826.3561,3401.2054,3181.2999,2829.4511,2155.0741,2096.4326,2008.4704,1993.8101,1949.829,1861.8668,1847.2064,1744.5838,1656.6216,1553.999,1539.3387,1451.3764,1334.0935,1275.452,1128.8483,1026.2258,967.5843,820.9806,762.3391
False,1.0,Краснодарский край,0,False,15000.0,80000.0,15064.3427,8874.4095,7245.4797,5798.9901,5316.8268,3401.2054,3023.2937,2827.8221,2515.0676,1915.6214,1863.4957,1785.3071,1772.2756,1733.1813,1654.9927,1641.9612,1550.7412,1472.5525,1381.3325,1368.301,1290.1124,1185.8609,1133.7351,1003.4208,912.2007,860.0749,729.7605,677.6348
False,1.0,Республика Адыгея,1,False,17500.0,30000.0,5649.1285,3327.9036,2717.0549,2174.6213,1993.8101,1275.452,1133.7351,1060.4333,943.1504,718.358,698.8109,669.4901,664.6034,649.943,620.6223,615.7355,581.5279,552.2072,517.9997,513.1129,483.7921,444.6978,425.1507,376.2828,342.0753,322.5281,273.6602,254.113
