is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),ЖКХа техническое обслуживание электротехнического оборудования (2792_29),Выполнение ремонтных работ (ОПТ) (8285_36),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),ЖКХа общие фразы (2155_29),ЖКХа ремонт электрооборудования (2558_29),Аккуратность (СК) (575_4),"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),ЖКХа монтаж электро оборудования (2503_29),ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),Коммуникабельность (СК) (617_4),Склонность к здоровому образу жизни (СК) (1662_4),Высокая работоспособность (СК) (586_4),ЖКХ общепрофессиональные знания по электрике (2153_29),Трудолюбие (СК) (597_4),Нравственность (СК) (622_4)
False,2.0,Саратовская область,2,False,10000.0,45000.0,10991.7824,5610.6546,3889.2037,3289.8838,3047.6056,2728.8184,2282.5163,1504.6755,1491.9241,1287.9003,1173.1369,1058.3735,1058.3735,1020.119,981.8646,828.8467,739.5863,701.3318,663.0774,650.3259
False,2.0,Оренбургская область,2,False,15000.0,35000.0,8549.1641,4363.8424,3024.9362,2558.7985,2370.3599,2122.4143,1775.2905,1170.3032,1160.3854,1001.7002,912.4398,823.1794,823.1794,793.4259,763.6724,644.6585,575.2338,545.4803,515.7268,505.809
False,2.0,Оренбургская область,2,True,20000.0,20000.0,4885.2366,2493.6243,1728.535,1462.1706,1354.4914,1212.8082,1014.4517,668.7447,663.0774,572.4001,521.3942,470.3882,470.3882,453.3862,436.3842,368.3763,328.705,311.703,294.701,289.0337
False,2.0,Курганская область,1,False,15000.0,30000.0,7327.8549,3740.4364,2592.8025,2193.2559,2031.737,1819.2122,1521.6775,1003.117,994.616,858.6002,782.0912,705.5823,705.5823,680.0793,654.5764,552.5645,493.0575,467.5545,442.0516,433.5506
False,2.0,Республика Мордовия,1,False,11250.0,120000.0,29311.4197,14961.7455,10371.21,8773.0235,8126.9481,7276.849,6086.7101,4012.4681,3978.4642,3434.4007,3128.365,2822.3293,2822.3293,2720.3174,2618.3055,2210.2579,1972.2301,1870.2182,1768.2063,1734.2023
False,2.0,Республика Адыгея,1,False,18000.0,40000.0,9770.4732,4987.2485,3457.07,2924.3412,2708.9827,2425.6163,2028.9034,1337.4894,1326.1547,1144.8002,1042.7883,940.7764,940.7764,906.7725,872.7685,736.7526,657.41,623.4061,589.4021,578.0674
False,2.0,Ставропольский край,2,False,11250.0,46000.0,11236.0442,5735.3358,3975.6305,3362.9923,3115.3301,2789.4588,2333.2389,1538.1128,1525.0779,1316.5203,1199.2066,1081.8929,1081.8929,1042.7883,1003.6838,847.2655,756.0215,716.917,677.8124,664.7776
False,2.0,Ставропольский край,2,True,19000.0,20000.0,4885.2366,2493.6243,1728.535,1462.1706,1354.4914,1212.8082,1014.4517,668.7447,663.0774,572.4001,521.3942,470.3882,470.3882,453.3862,436.3842,368.3763,328.705,311.703,294.701,289.0337
False,2.0,Чувашская Республика,1,False,15000.0,31500.0,7694.2477,3927.4582,2722.4426,2302.9187,2133.3239,1910.1729,1597.7614,1053.2729,1044.3468,901.5302,821.1958,740.8614,740.8614,714.0833,687.3052,580.1927,517.7104,490.9323,464.1542,455.2281
False,2.0,Астраханская область,1,False,11250.0,50000.0,12213.0915,6234.0606,4321.3375,3655.4265,3386.2284,3032.0204,2536.1292,1671.8617,1657.6934,1431.0003,1303.4854,1175.9705,1175.9705,1133.4656,1090.9606,920.9408,821.7625,779.2576,736.7526,722.5843
False,2.0,Астраханская область,1,True,20000.0,30000.0,7327.8549,3740.4364,2592.8025,2193.2559,2031.737,1819.2122,1521.6775,1003.117,994.616,858.6002,782.0912,705.5823,705.5823,680.0793,654.5764,552.5645,493.0575,467.5545,442.0516,433.5506
False,2.0,Тамбовская область,2,False,11250.0,35000.0,8549.1641,4363.8424,3024.9362,2558.7985,2370.3599,2122.4143,1775.2905,1170.3032,1160.3854,1001.7002,912.4398,823.1794,823.1794,793.4259,763.6724,644.6585,575.2338,545.4803,515.7268,505.809
False,2.0,Республика Калмыкия,1,False,15000.0,20000.0,4885.2366,2493.6243,1728.535,1462.1706,1354.4914,1212.8082,1014.4517,668.7447,663.0774,572.4001,521.3942,470.3882,470.3882,453.3862,436.3842,368.3763,328.705,311.703,294.701,289.0337
False,2.0,Карачаево-Черкесская Республика,1,False,15000.0,31500.0,7694.2477,3927.4582,2722.4426,2302.9187,2133.3239,1910.1729,1597.7614,1053.2729,1044.3468,901.5302,821.1958,740.8614,740.8614,714.0833,687.3052,580.1927,517.7104,490.9323,464.1542,455.2281
False,2.0,Республика Северная Осетия,1,False,13000.0,40000.0,9770.4732,4987.2485,3457.07,2924.3412,2708.9827,2425.6163,2028.9034,1337.4894,1326.1547,1144.8002,1042.7883,940.7764,940.7764,906.7725,872.7685,736.7526,657.41,623.4061,589.4021,578.0674
False,2.0,Кабардино-Балкарская Республика,1,False,18000.0,18000.0,4396.7129,2244.2618,1555.6815,1315.9535,1219.0422,1091.5273,913.0065,601.8702,596.7696,515.1601,469.2547,423.3494,423.3494,408.0476,392.7458,331.5387,295.8345,280.5327,265.2309,260.1303
False,2.0,Республика Дагестан,1,False,20000.0,35000.0,8549.1641,4363.8424,3024.9362,2558.7985,2370.3599,2122.4143,1775.2905,1170.3032,1160.3854,1001.7002,912.4398,823.1794,823.1794,793.4259,763.6724,644.6585,575.2338,545.4803,515.7268,505.809
False,2.0,Республика Татарстан,0,False,15000.0,70000.0,17098.3281,8727.6849,6049.8725,5117.5971,4740.7198,4244.8286,3550.5809,2340.6064,2320.7708,2003.4004,1824.8796,1646.3587,1646.3587,1586.8518,1527.3449,1289.3171,1150.4676,1090.9606,1031.4537,1011.618
False,2.0,Республика Татарстан,0,True,45000.0,45000.0,10991.7824,5610.6546,3889.2037,3289.8838,3047.6056,2728.8184,2282.5163,1504.6755,1491.9241,1287.9003,1173.1369,1058.3735,1058.3735,1020.119,981.8646,828.8467,739.5863,701.3318,663.0774,650.3259
False,2.0,Нижегородская область,0,False,17250.0,65000.0,15877.019,8104.2788,5617.7387,4752.0544,4402.0969,3941.6265,3296.968,2173.4202,2155.0014,1860.3004,1694.531,1528.7617,1528.7617,1473.5052,1418.2488,1197.223,1068.2913,1013.0349,957.7784,939.3596
False,2.0,Нижегородская область,0,True,18275.0,30000.0,7327.8549,3740.4364,2592.8025,2193.2559,2031.737,1819.2122,1521.6775,1003.117,994.616,858.6002,782.0912,705.5823,705.5823,680.0793,654.5764,552.5645,493.0575,467.5545,442.0516,433.5506
False,2.0,Краснодарский край,0,False,15000.0,80000.0,19540.9464,9974.497,6914.14,5848.6823,5417.9654,4851.2326,4057.8067,2674.9787,2652.3094,2289.6005,2085.5767,1881.5528,1881.5528,1813.5449,1745.537,1473.5052,1314.8201,1246.8121,1178.8042,1156.1349
False,2.0,Краснодарский край,0,True,16242.0,30000.0,7327.8549,3740.4364,2592.8025,2193.2559,2031.737,1819.2122,1521.6775,1003.117,994.616,858.6002,782.0912,705.5823,705.5823,680.0793,654.5764,552.5645,493.0575,467.5545,442.0516,433.5506
False,2.0,Рязанская область,1,False,17861.0,50000.0,12213.0915,6234.0606,4321.3375,3655.4265,3386.2284,3032.0204,2536.1292,1671.8617,1657.6934,1431.0003,1303.4854,1175.9705,1175.9705,1133.4656,1090.9606,920.9408,821.7625,779.2576,736.7526,722.5843
False,2.0,Рязанская область,1,True,20000.0,25988.0,6347.8765,3240.2154,2246.0584,1899.9445,1760.0261,1575.9229,1318.1785,868.9668,861.6027,743.7767,677.4996,611.2224,611.2224,589.1301,567.0377,478.6682,427.1193,405.0269,382.9345,375.5704
False,2.0,Самарская область,0,False,15000.0,60000.0,14655.7098,7480.8728,5185.605,4386.5118,4063.4741,3638.4245,3043.3551,2006.2341,1989.2321,1717.2003,1564.1825,1411.1646,1411.1646,1360.1587,1309.1527,1105.1289,986.115,935.1091,884.1031,867.1012
False,2.0,Самарская область,0,True,15000.0,30000.0,7327.8549,3740.4364,2592.8025,2193.2559,2031.737,1819.2122,1521.6775,1003.117,994.616,858.6002,782.0912,705.5823,705.5823,680.0793,654.5764,552.5645,493.0575,467.5545,442.0516,433.5506
False,2.0,Ростовская область,0,False,15000.0,70000.0,17098.3281,8727.6849,6049.8725,5117.5971,4740.7198,4244.8286,3550.5809,2340.6064,2320.7708,2003.4004,1824.8796,1646.3587,1646.3587,1586.8518,1527.3449,1289.3171,1150.4676,1090.9606,1031.4537,1011.618
False,2.0,Ростовская область,0,True,17861.0,25988.0,6347.8765,3240.2154,2246.0584,1899.9445,1760.0261,1575.9229,1318.1785,868.9668,861.6027,743.7767,677.4996,611.2224,611.2224,589.1301,567.0377,478.6682,427.1193,405.0269,382.9345,375.5704
False,2.0,Алтайский край,2,False,15000.0,100000.0,24426.1831,12468.1213,8642.675,7310.8529,6772.4568,6064.0408,5072.2584,3343.7234,3315.3868,2862.0006,2606.9708,2351.9411,2351.9411,2266.9311,2181.9212,1841.8816,1643.5251,1558.5152,1473.5052,1445.1686
False,2.0,Алтайский край,2,True,25988.0,25988.0,6347.8765,3240.2154,2246.0584,1899.9445,1760.0261,1575.9229,1318.1785,868.9668,861.6027,743.7767,677.4996,611.2224,611.2224,589.1301,567.0377,478.6682,427.1193,405.0269,382.9345,375.5704
False,2.0,Ульяновская область,1,False,15000.0,40000.0,9770.4732,4987.2485,3457.07,2924.3412,2708.9827,2425.6163,2028.9034,1337.4894,1326.1547,1144.8002,1042.7883,940.7764,940.7764,906.7725,872.7685,736.7526,657.41,623.4061,589.4021,578.0674
False,2.0,Ульяновская область,1,True,17861.0,17861.0,4362.7606,2226.9311,1543.6682,1305.7914,1209.6285,1083.0983,905.9561,597.2224,592.1612,511.1819,465.6311,420.0802,420.0802,404.8966,389.7129,328.9785,293.55,278.3664,263.1828,258.1216
False,2.0,Новосибирская область,0,False,15000.0,80000.0,19540.9464,9974.497,6914.14,5848.6823,5417.9654,4851.2326,4057.8067,2674.9787,2652.3094,2289.6005,2085.5767,1881.5528,1881.5528,1813.5449,1745.537,1473.5052,1314.8201,1246.8121,1178.8042,1156.1349
False,2.0,Новосибирская область,0,True,15000.0,30000.0,7327.8549,3740.4364,2592.8025,2193.2559,2031.737,1819.2122,1521.6775,1003.117,994.616,858.6002,782.0912,705.5823,705.5823,680.0793,654.5764,552.5645,493.0575,467.5545,442.0516,433.5506
False,2.0,Удмуртская Республика,1,False,15000.0,40000.0,9770.4732,4987.2485,3457.07,2924.3412,2708.9827,2425.6163,2028.9034,1337.4894,1326.1547,1144.8002,1042.7883,940.7764,940.7764,906.7725,872.7685,736.7526,657.41,623.4061,589.4021,578.0674
False,2.0,Вологодская область,1,False,17250.0,50000.0,12213.0915,6234.0606,4321.3375,3655.4265,3386.2284,3032.0204,2536.1292,1671.8617,1657.6934,1431.0003,1303.4854,1175.9705,1175.9705,1133.4656,1090.9606,920.9408,821.7625,779.2576,736.7526,722.5843
False,2.0,Кировская область,1,False,15000.0,50000.0,12213.0915,6234.0606,4321.3375,3655.4265,3386.2284,3032.0204,2536.1292,1671.8617,1657.6934,1431.0003,1303.4854,1175.9705,1175.9705,1133.4656,1090.9606,920.9408,821.7625,779.2576,736.7526,722.5843
False,2.0,Кировская область,1,True,15000.0,15000.0,3663.9275,1870.2182,1296.4012,1096.6279,1015.8685,909.6061,760.8388,501.5585,497.308,429.3001,391.0456,352.7912,352.7912,340.0397,327.2882,276.2822,246.5288,233.7773,221.0258,216.7753
