is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Организаторские способности, лидерство (СК) (393_4)",Консультирование по медицинским услугам (2185_33),Составление и контроль графика приема пациентов (2186_33),Командность (СК) (1371_4),"Ответственность , добросовестность (СК) (614_4)",Клиентоцентричность (клиенториентированность) (СК) (626_4),Исходящие звонки (3581_33),Стрессоустойчивость (СК) (601_4),Внимательность (СК) (536_4),Английский язык (ЯС) (1918_32),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Пунктуальность (СК) (612_4),Вежливость (СК) (581_4)
False,1.0,Город федерального значения Москва,0,False,3000.0,92000.0,10274.1117,9246.7005,9153.2995,7565.4822,7098.4772,6724.8731,6538.0711,6538.0711,6444.6701,6444.6701,5697.4619,5417.2589,4856.8528
False,1.0,Город федерального значения Москва,0,True,16000.0,88000.0,9827.4112,8844.6701,8755.3299,7236.5482,6789.8477,6432.4873,6253.8071,6253.8071,6164.467,6164.467,5449.7462,5181.7259,4645.6853
False,1.0,Алтайский край,2,False,15000.0,45000.0,5025.3807,4522.8426,4477.1574,3700.5076,3472.0812,3289.3401,3197.9695,3197.9695,3152.2843,3152.2843,2786.802,2649.7462,2375.6345
False,1.0,Город федерального значения Санкт-Петербург,0,False,200.0,75600.0,8442.6396,7598.3756,7521.6244,6216.8528,5833.0964,5526.0914,5372.5888,5372.5888,5295.8376,5295.8376,4681.8274,4451.5736,3991.066
False,1.0,Город федерального значения Санкт-Петербург,0,True,28000.0,70000.0,7817.2589,7035.533,6964.467,5756.3452,5401.0152,5116.7513,4974.6193,4974.6193,4903.5533,4903.5533,4335.0254,4121.8274,3695.4315
False,1.0,Московская область,2,False,50.0,70000.0,7817.2589,7035.533,6964.467,5756.3452,5401.0152,5116.7513,4974.6193,4974.6193,4903.5533,4903.5533,4335.0254,4121.8274,3695.4315
False,1.0,Московская область,2,True,23000.0,50000.0,5583.7563,5025.3807,4974.6193,4111.6751,3857.868,3654.8223,3553.2995,3553.2995,3502.5381,3502.5381,3096.4467,2944.1624,2639.5939
False,1.0,Ростовская область,0,False,17000.0,44600.0,4980.7107,4482.6396,4437.3604,3667.6142,3441.2183,3260.1015,3169.5431,3169.5431,3124.264,3124.264,2762.0305,2626.1929,2354.5178
False,1.0,Ростовская область,0,True,13500.0,27000.0,3015.2284,2713.7056,2686.2944,2220.3046,2083.2487,1973.6041,1918.7817,1918.7817,1891.3706,1891.3706,1672.0812,1589.8477,1425.3807
False,1.0,Саратовская область,2,False,15000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Республика Башкортостан,0,False,11500.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Нижегородская область,0,False,15000.0,45000.0,5025.3807,4522.8426,4477.1574,3700.5076,3472.0812,3289.3401,3197.9695,3197.9695,3152.2843,3152.2843,2786.802,2649.7462,2375.6345
False,1.0,Нижегородская область,0,True,24000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Республика Татарстан,0,False,18500.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Республика Татарстан,0,True,20000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Иркутская область,1,False,18500.0,80000.0,8934.0102,8040.6091,7959.3909,6578.6802,6172.5888,5847.7157,5685.2792,5685.2792,5604.0609,5604.0609,4954.3147,4710.6599,4223.3503
False,1.0,Иркутская область,1,True,25000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
