is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),"Ответственность , добросовестность (СК) (614_4)",Подача корма в кормушки (5322_14),Содержание сельскохозяйственных животных (4689_14),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ по уходу за животными (5326_14),Пунктуальность (СК) (612_4),Соблюдение правил внутреннего распорядка и режима работы (4476_14),Кормление сельскохозяйственных животных (4684_14),Командность (СК) (1371_4),Коммуникабельность (СК) (617_4),Целеустремленность (СК) (588_4),Лечение скота и птицы (4350_14),Аккуратность (СК) (575_4),Трудолюбие (СК) (597_4)
False,1.0,Республика Башкортостан,0,False,10000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Оренбургская область,2,False,12000.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Кировская область,1,False,12000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,1.0,Нижегородская область,0,False,10000.0,45000.0,5581.1688,5113.6364,4938.3117,3798.7013,3740.2597,3009.7403,2542.2078,2366.8831,2337.6623,2308.4416,2191.5584,2045.4545,1811.6883,1665.5844,1548.7013
False,1.0,Волгоградская область,2,False,13418.5,13949.75,1730.1313,1585.1989,1530.8492,1177.5763,1159.4597,933.0028,788.0703,733.7206,724.6623,715.6041,679.3709,634.0795,561.6133,516.3219,480.0888
False,1.0,Рязанская область,1,False,15000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,1.0,Тверская область,1,False,10000.0,18175.0,2254.1721,2065.3409,1994.5292,1534.2532,1510.6494,1215.6006,1026.7695,955.9578,944.1558,932.3539,885.1461,826.1364,731.7208,672.711,625.5032
False,1.0,Омская область,1,False,12000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Ярославская область,1,False,10000.0,20835.0,2584.0812,2367.6136,2286.4383,1758.7987,1731.7403,1393.5097,1177.0422,1095.8669,1082.3377,1068.8084,1014.6916,947.0455,838.8117,771.1656,717.0487
False,1.0,Самарская область,0,False,15000.0,15000.0,1860.3896,1704.5455,1646.1039,1266.2338,1246.7532,1003.2468,847.4026,788.961,779.2208,769.4805,730.5195,681.8182,603.8961,555.1948,516.2338
False,1.0,Новосибирская область,0,False,10000.0,20835.0,2584.0812,2367.6136,2286.4383,1758.7987,1731.7403,1393.5097,1177.0422,1095.8669,1082.3377,1068.8084,1014.6916,947.0455,838.8117,771.1656,717.0487
False,1.0,Удмуртская Республика,1,False,10000.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Пензенская область,1,False,12000.0,18000.0,2232.4675,2045.4545,1975.3247,1519.4805,1496.1039,1203.8961,1016.8831,946.7532,935.0649,923.3766,876.6234,818.1818,724.6753,666.2338,619.4805
False,1.0,Смоленская область,1,False,13000.0,14050.0,1742.5649,1596.5909,1541.8506,1186.039,1167.7922,939.7078,793.7338,738.9935,729.8701,720.7468,684.2532,638.6364,565.6494,520.0325,483.539
False,1.0,Тамбовская область,2,False,10000.0,16171.25,2005.655,1837.642,1774.6372,1365.1055,1344.1039,1081.5836,913.5706,850.5657,840.0649,829.5641,787.5609,735.0568,651.0503,598.5463,556.543
False,1.0,Республика Хакасия,1,False,15000.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Алтайский край,2,False,12000.0,22233.0,2757.4695,2526.4773,2439.8552,1876.8117,1847.9377,1487.0123,1256.0201,1169.3981,1154.961,1140.524,1082.776,1010.5909,895.0948,822.9097,765.1617
False,1.0,Ростовская область,0,False,16171.25,20835.0,2584.0812,2367.6136,2286.4383,1758.7987,1731.7403,1393.5097,1177.0422,1095.8669,1082.3377,1068.8084,1014.6916,947.0455,838.8117,771.1656,717.0487
False,1.0,Вологодская область,1,False,16171.25,20835.0,2584.0812,2367.6136,2286.4383,1758.7987,1731.7403,1393.5097,1177.0422,1095.8669,1082.3377,1068.8084,1014.6916,947.0455,838.8117,771.1656,717.0487
False,1.0,Свердловская область,0,False,15000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Ставропольский край,2,False,12000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Республика Крым,1,False,13949.75,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Республика Бурятия,1,False,16171.25,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Республика Адыгея,1,False,14050.0,14050.0,1742.5649,1596.5909,1541.8506,1186.039,1167.7922,939.7078,793.7338,738.9935,729.8701,720.7468,684.2532,638.6364,565.6494,520.0325,483.539
False,1.0,Костромская область,1,False,12000.0,12000.0,1488.3117,1363.6364,1316.8831,1012.987,997.4026,802.5974,677.9221,631.1688,623.3766,615.5844,584.4156,545.4545,483.1169,444.1558,412.987
False,1.0,Карачаево-Черкесская Республика,1,False,12000.0,12000.0,1488.3117,1363.6364,1316.8831,1012.987,997.4026,802.5974,677.9221,631.1688,623.3766,615.5844,584.4156,545.4545,483.1169,444.1558,412.987
False,1.0,Республика Татарстан,0,False,15000.0,20835.0,2584.0812,2367.6136,2286.4383,1758.7987,1731.7403,1393.5097,1177.0422,1095.8669,1082.3377,1068.8084,1014.6916,947.0455,838.8117,771.1656,717.0487
False,1.0,Челябинская область,0,False,13949.75,20835.0,2584.0812,2367.6136,2286.4383,1758.7987,1731.7403,1393.5097,1177.0422,1095.8669,1082.3377,1068.8084,1014.6916,947.0455,838.8117,771.1656,717.0487
False,1.0,Ульяновская область,1,False,15000.0,15000.0,1860.3896,1704.5455,1646.1039,1266.2338,1246.7532,1003.2468,847.4026,788.961,779.2208,769.4805,730.5195,681.8182,603.8961,555.1948,516.2338
False,1.0,Тюменская область,1,False,20835.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Ивановская область,1,False,15000.0,20835.0,2584.0812,2367.6136,2286.4383,1758.7987,1731.7403,1393.5097,1177.0422,1095.8669,1082.3377,1068.8084,1014.6916,947.0455,838.8117,771.1656,717.0487
False,1.0,Республика Мордовия,1,False,20000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Чувашская Республика,1,False,20000.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Саратовская область,2,False,20000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Калужская область,1,False,15000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,1.0,Краснодарский край,0,False,15000.0,40000.0,4961.039,4545.4545,4389.6104,3376.6234,3324.6753,2675.3247,2259.7403,2103.8961,2077.9221,2051.9481,1948.0519,1818.1818,1610.3896,1480.5195,1376.6234
False,1.0,Приморский край,1,False,15000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,1.0,Еврейская автономная область,1,False,17375.0,17375.0,2154.9513,1974.4318,1906.737,1466.7208,1444.1558,1162.0942,981.5747,913.8799,902.5974,891.3149,846.1851,789.7727,699.513,643.1006,597.9708
False,1.0,Забайкальский край,1,False,16344.5,27612.0,3424.6052,3137.7273,3030.1481,2330.8831,2295.0234,1846.7766,1559.8987,1452.3195,1434.3896,1416.4597,1344.7403,1255.0909,1111.6519,1022.0026,950.2831
False,1.0,Владимирская область,1,False,20000.0,55000.0,6821.4286,6250.0,6035.7143,4642.8571,4571.4286,3678.5714,3107.1429,2892.8571,2857.1429,2821.4286,2678.5714,2500.0,2214.2857,2035.7143,1892.8571
False,1.0,Ленинградская область,1,False,15000.0,33250.0,4123.8636,3778.4091,3648.8636,2806.8182,2763.6364,2223.8636,1878.4091,1748.8636,1727.2727,1705.6818,1619.3182,1511.3636,1338.6364,1230.6818,1144.3182
False,1.0,Республика Карелия,1,False,25000.0,33250.0,4123.8636,3778.4091,3648.8636,2806.8182,2763.6364,2223.8636,1878.4091,1748.8636,1727.2727,1705.6818,1619.3182,1511.3636,1338.6364,1230.6818,1144.3182
False,1.0,Республика Коми,1,False,15000.0,28750.0,3565.7468,3267.0455,3155.0325,2426.9481,2389.6104,1922.8896,1624.1883,1512.1753,1493.5065,1474.8377,1400.1623,1306.8182,1157.4675,1064.1234,989.4481
False,1.0,Кемеровская область,1,False,16344.5,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Томская область,1,False,16344.5,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Курская область,2,False,20000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Хабаровский край,1,False,16344.5,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Красноярский край,1,False,20000.0,20000.0,2480.5195,2272.7273,2194.8052,1688.3117,1662.3377,1337.6623,1129.8701,1051.9481,1038.961,1025.974,974.026,909.0909,805.1948,740.2597,688.3117
False,1.0,Тульская область,1,False,25000.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,1.0,Белгородская область,2,False,19963.5,60000.0,7441.5584,6818.1818,6584.4156,5064.9351,4987.013,4012.987,3389.6104,3155.8442,3116.8831,3077.9221,2922.0779,2727.2727,2415.5844,2220.7792,2064.9351
False,1.0,Московская область,2,False,15375.0,40000.0,4961.039,4545.4545,4389.6104,3376.6234,3324.6753,2675.3247,2259.7403,2103.8961,2077.9221,2051.9481,1948.0519,1818.1818,1610.3896,1480.5195,1376.6234
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,23279.5,40000.0,4961.039,4545.4545,4389.6104,3376.6234,3324.6753,2675.3247,2259.7403,2103.8961,2077.9221,2051.9481,1948.0519,1818.1818,1610.3896,1480.5195,1376.6234
False,1.0,Республика Саха (Якутия),1,False,40000.0,40000.0,4961.039,4545.4545,4389.6104,3376.6234,3324.6753,2675.3247,2259.7403,2103.8961,2077.9221,2051.9481,1948.0519,1818.1818,1610.3896,1480.5195,1376.6234
False,1.0,Город федерального значения Санкт-Петербург,0,False,30000.0,50000.0,6201.2987,5681.8182,5487.013,4220.7792,4155.8442,3344.1558,2824.6753,2629.8701,2597.4026,2564.9351,2435.0649,2272.7273,2012.987,1850.6494,1720.7792
False,0.0,Республика Башкортостан,0,False,10000.0,40000.0,4961.039,4545.4545,4389.6104,3376.6234,3324.6753,2675.3247,2259.7403,2103.8961,2077.9221,2051.9481,1948.0519,1818.1818,1610.3896,1480.5195,1376.6234
False,0.0,Оренбургская область,2,False,10000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,0.0,Кировская область,1,False,10000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,0.0,Нижегородская область,0,False,10000.0,45000.0,5581.1688,5113.6364,4938.3117,3798.7013,3740.2597,3009.7403,2542.2078,2366.8831,2337.6623,2308.4416,2191.5584,2045.4545,1811.6883,1665.5844,1548.7013
False,0.0,Волгоградская область,2,False,10000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,0.0,Рязанская область,1,False,12000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,0.0,Тверская область,1,False,10000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,0.0,Омская область,1,False,10000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,0.0,Ярославская область,1,False,10000.0,24125.0,2992.1266,2741.4773,2647.4838,2036.526,2005.1948,1613.5552,1362.9058,1268.9123,1253.2468,1237.5812,1174.9188,1096.5909,971.2662,892.9383,830.276
False,0.0,Ярославская область,1,True,25000.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,0.0,Самарская область,0,False,12972.0,25000.0,3100.6494,2840.9091,2743.5065,2110.3896,2077.9221,1672.0779,1412.3377,1314.9351,1298.7013,1282.4675,1217.5325,1136.3636,1006.4935,925.3247,860.3896
False,0.0,Новосибирская область,0,False,10000.0,41000.0,5085.0649,4659.0909,4499.3506,3461.039,3407.7922,2742.2078,2316.2338,2156.4935,2129.8701,2103.2468,1996.7532,1863.6364,1650.6494,1517.5325,1411.039
False,0.0,Удмуртская Республика,1,False,10000.0,30000.0,3720.7792,3409.0909,3292.2078,2532.4675,2493.5065,2006.4935,1694.8052,1577.9221,1558.4416,1538.961,1461.039,1363.6364,1207.7922,1110.3896,1032.4675
False,0.0,Пензенская область,1,False,10000.0,24125.0,2992.1266,2741.4773,2647.4838,2036.526,2005.1948,1613.5552,1362.9058,1268.9123,1253.2468,1237.5812,1174.9188,1096.5909,971.2662,892.9383,830.276
False,0.0,Смоленская область,1,False,12972.0,24125.0,2992.1266,2741.4773,2647.4838,2036.526,2005.1948,1613.5552,1362.9058,1268.9123,1253.2468,1237.5812,1174.9188,1096.5909,971.2662,892.9383,830.276
False,0.0,Тамбовская область,2,False,12000.0,24125.0,2992.1266,2741.4773,2647.4838,2036.526,2005.1948,1613.5552,1362.9058,1268.9123,1253.2468,1237.5812,1174.9188,1096.5909,971.2662,892.9383,830.276
