is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),Выполнение маневровой работы машинистом метрополитена (1920_28),"Личные установки и ценности, мировоззрение (2043_4)",Исполнение инструкций и правил машинистом метрополитена (1924_28),Управление локомотивами (РЖД) (3677_23),Управление электропоездом метрополитена (1913_28),Обеспечение безопасности перевозок и культуры обслуживания ( машинист метрополитена) (1927_28),Командность (СК) (1371_4),"Знания правил, инструкций машиниста метрополитена (1923_28)",Техническое обслуживание поездов (машинист РЖД) (1848_23),Пунктуальность (СК) (612_4),Высокая работоспособность (СК) (586_4),Выполнение графика движения машистом метрополитена (1921_28),Выполнение маневровой работы (составитель поездов) (3671_23),"Устранение неисправностей, возникших в пути следования (машинист РЖД) (3789_23)",Инициативность (СК) (610_4),Коммуникабельность (СК) (617_4),Знание правил подготовки и управления поездом (машинист РЖД) (3765_23),Контроль за правильностью сцепления поезда с первым вагоном (машинист РЖД) (3788_23)
False,1.0,Тамбовская область,2,False,6552.0,110000.0,14868.8143,12366.3235,9754.2345,9388.9073,9114.912,8292.9259,5790.4351,4274.3275,4256.0611,4091.6639,4091.6639,3708.0704,3653.2713,3598.4723,3342.7433,3123.547,2374.6264,1972.7665,1936.2338
False,1.0,Ивановская область,1,False,15930.0,25000.0,3379.276,2810.5281,2216.8715,2133.8426,2071.5709,1884.7559,1316.008,971.4381,967.2866,929.9236,929.9236,842.7433,830.2889,817.8346,759.7144,709.897,539.6878,448.356,440.0531
False,1.0,Республика Северная Осетия,1,False,8000.0,21000.0,2838.5918,2360.8436,1862.172,1792.4278,1740.1196,1583.195,1105.4467,816.008,812.5208,781.1358,781.1358,707.9044,697.4427,686.9811,638.1601,596.3135,453.3378,376.6191,369.6446
False,1.0,Ставропольский край,2,False,19000.0,34000.0,4595.8153,3822.3182,3014.9452,2902.0259,2817.3364,2563.268,1789.7708,1321.1558,1315.5098,1264.6961,1264.6961,1146.1309,1129.193,1112.2551,1033.2116,965.46,733.9754,609.7642,598.4723
False,1.0,Ульяновская область,1,False,6610.0,21848.0,2953.2169,2456.1767,1937.3683,1864.8077,1810.3872,1647.1259,1150.0857,848.9591,845.3311,812.6788,812.6788,736.4902,725.6061,714.722,663.9296,620.3932,471.644,391.8273,384.5712
False,1.0,Республика Марий Эл,1,False,26500.0,26500.0,3582.0325,2979.1597,2349.8838,2261.8731,2195.8652,1997.8412,1394.9684,1029.7243,1025.3238,985.719,985.719,893.3079,880.1063,866.9047,805.2972,752.4909,572.0691,475.2574,466.4563
False,1.0,Чеченская Республика,1,False,21000.0,21000.0,2838.5918,2360.8436,1862.172,1792.4278,1740.1196,1583.195,1105.4467,816.008,812.5208,781.1358,781.1358,707.9044,697.4427,686.9811,638.1601,596.3135,453.3378,376.6191,369.6446
False,1.0,Белгородская область,2,False,20000.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Краснодарский край,0,False,15000.0,55000.0,7434.4072,6183.1617,4877.1172,4694.4537,4557.456,4146.463,2895.2175,2137.1637,2128.0306,2045.8319,2045.8319,1854.0352,1826.6357,1799.2361,1671.3716,1561.7735,1187.3132,986.3833,968.1169
False,1.0,Челябинская область,0,False,20000.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Оренбургская область,2,False,20000.0,55000.0,7434.4072,6183.1617,4877.1172,4694.4537,4557.456,4146.463,2895.2175,2137.1637,2128.0306,2045.8319,2045.8319,1854.0352,1826.6357,1799.2361,1671.3716,1561.7735,1187.3132,986.3833,968.1169
False,1.0,Кировская область,1,False,15000.0,40000.0,5406.8416,4496.8449,3546.9944,3414.1481,3314.5135,3015.6094,2105.6128,1554.3009,1547.6586,1487.8778,1487.8778,1348.3892,1328.4623,1308.5354,1215.543,1135.8353,863.5005,717.3696,704.085
False,1.0,Волгоградская область,2,False,20000.0,55000.0,7434.4072,6183.1617,4877.1172,4694.4537,4557.456,4146.463,2895.2175,2137.1637,2128.0306,2045.8319,2045.8319,1854.0352,1826.6357,1799.2361,1671.3716,1561.7735,1187.3132,986.3833,968.1169
False,1.0,Нижегородская область,0,False,15000.0,41900.0,5663.6666,4710.445,3715.4766,3576.3202,3471.9528,3158.8509,2205.6294,1628.1302,1621.1724,1558.552,1558.552,1412.4377,1391.5643,1370.6908,1273.2813,1189.7874,904.5168,751.4447,737.5291
False,1.0,Курганская область,1,False,21000.0,40000.0,5406.8416,4496.8449,3546.9944,3414.1481,3314.5135,3015.6094,2105.6128,1554.3009,1547.6586,1487.8778,1487.8778,1348.3892,1328.4623,1308.5354,1215.543,1135.8353,863.5005,717.3696,704.085
False,1.0,Курганская область,1,True,34898.75,34898.75,4717.3003,3923.3567,3094.6417,2978.7375,2891.8094,2631.025,1837.0813,1356.079,1350.2838,1298.1269,1298.1269,1176.4275,1159.0418,1141.6562,1060.5233,990.9808,753.3772,625.8826,614.2922
False,1.0,Курская область,2,False,15000.0,62000.0,8380.6045,6970.1096,5497.8412,5291.9296,5137.4958,4674.1946,3263.6998,2409.1664,2398.8708,2306.2106,2306.2106,2090.0033,2059.1166,2028.2298,1884.0917,1760.5447,1338.4258,1111.9229,1091.3318
False,1.0,Алтайский край,2,False,15000.0,41900.0,5663.6666,4710.445,3715.4766,3576.3202,3471.9528,3158.8509,2205.6294,1628.1302,1621.1724,1558.552,1558.552,1412.4377,1391.5643,1370.6908,1273.2813,1189.7874,904.5168,751.4447,737.5291
False,1.0,Воронежская область,2,False,15000.0,50000.0,6758.552,5621.0561,4433.7429,4267.6852,4143.1418,3769.5118,2632.0159,1942.8761,1934.5732,1859.8472,1859.8472,1685.4865,1660.5779,1635.6692,1519.4288,1419.7941,1079.3756,896.7121,880.1063
False,1.0,Томская область,1,False,20000.0,50000.0,6758.552,5621.0561,4433.7429,4267.6852,4143.1418,3769.5118,2632.0159,1942.8761,1934.5732,1859.8472,1859.8472,1685.4865,1660.5779,1635.6692,1519.4288,1419.7941,1079.3756,896.7121,880.1063
False,1.0,Пензенская область,1,False,15000.0,15000.0,2027.5656,1686.3168,1330.1229,1280.3055,1242.9425,1130.8535,789.6048,582.8628,580.372,557.9542,557.9542,505.646,498.1734,490.7008,455.8286,425.9382,323.8127,269.0136,264.0319
False,1.0,Ярославская область,1,False,20000.0,40500.0,5474.4271,4553.0555,3591.3318,3456.825,3355.9449,3053.3045,2131.9329,1573.7297,1567.0043,1506.4763,1506.4763,1365.2441,1345.0681,1324.8921,1230.7373,1150.0332,874.2943,726.3368,712.8861
False,1.0,Ростовская область,0,False,20000.0,55000.0,7434.4072,6183.1617,4877.1172,4694.4537,4557.456,4146.463,2895.2175,2137.1637,2128.0306,2045.8319,2045.8319,1854.0352,1826.6357,1799.2361,1671.3716,1561.7735,1187.3132,986.3833,968.1169
False,1.0,Республика Башкортостан,0,False,20000.0,41900.0,5663.6666,4710.445,3715.4766,3576.3202,3471.9528,3158.8509,2205.6294,1628.1302,1621.1724,1558.552,1558.552,1412.4377,1391.5643,1370.6908,1273.2813,1189.7874,904.5168,751.4447,737.5291
False,1.0,Смоленская область,1,False,20000.0,55000.0,7434.4072,6183.1617,4877.1172,4694.4537,4557.456,4146.463,2895.2175,2137.1637,2128.0306,2045.8319,2045.8319,1854.0352,1826.6357,1799.2361,1671.3716,1561.7735,1187.3132,986.3833,968.1169
False,1.0,Саратовская область,2,False,23375.0,34898.75,4717.3003,3923.3567,3094.6417,2978.7375,2891.8094,2631.025,1837.0813,1356.079,1350.2838,1298.1269,1298.1269,1176.4275,1159.0418,1141.6562,1060.5233,990.9808,753.3772,625.8826,614.2922
False,1.0,Астраханская область,1,False,20000.0,41900.0,5663.6666,4710.445,3715.4766,3576.3202,3471.9528,3158.8509,2205.6294,1628.1302,1621.1724,1558.552,1558.552,1412.4377,1391.5643,1370.6908,1273.2813,1189.7874,904.5168,751.4447,737.5291
False,1.0,Липецкая область,1,False,23375.0,47000.0,6353.0389,5283.7928,4167.7184,4011.624,3894.5533,3543.3411,2474.095,1826.3036,1818.4988,1748.2564,1748.2564,1584.3574,1560.9432,1537.5291,1428.263,1334.6064,1014.6131,842.9093,827.2999
False,1.0,Владимирская область,1,False,20000.0,75000.0,10137.828,8431.5842,6650.6144,6401.5277,6214.7127,5654.2677,3948.0239,2914.3142,2901.8598,2789.7708,2789.7708,2528.2298,2490.8668,2453.5038,2279.1431,2129.6911,1619.0634,1345.0681,1320.1594
False,1.0,Вологодская область,1,False,23818.0,34898.75,4717.3003,3923.3567,3094.6417,2978.7375,2891.8094,2631.025,1837.0813,1356.079,1350.2838,1298.1269,1298.1269,1176.4275,1159.0418,1141.6562,1060.5233,990.9808,753.3772,625.8826,614.2922
False,1.0,Тверская область,1,False,28000.0,60000.0,8110.2624,6745.2674,5320.4915,5121.2222,4971.7702,4523.4141,3158.4191,2331.4513,2321.4879,2231.8167,2231.8167,2022.5839,1992.6935,1962.8031,1823.3145,1703.7529,1295.2507,1076.0545,1056.1275
False,1.0,Республика Татарстан,0,False,34898.75,66000.0,8921.2886,7419.7941,5852.5407,5633.3444,5468.9472,4975.7556,3474.261,2564.5965,2553.6367,2454.9983,2454.9983,2224.8422,2191.9628,2159.0834,2005.646,1874.1282,1424.7758,1183.6599,1161.7403
