is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),"Ответственность , добросовестность (СК) (614_4)",Оформление учетно-отчетной документации (143_14),Коммуникабельность (СК) (617_4),Соблюдение правил охраны труда (ОПТ) (3790_36),Оценка состояния животных для выявления готовности к участию в процессе воспроизводства (243_14),Соблюдение правил внутреннего распорядка и режима работы (4476_14),Диагностическое исследование животных и птицы перед искусственным осеменением (218_14),Склонность к здоровому образу жизни (СК) (1662_4),Оформление учетно-отчетной документации по искусственному осеменению животных и птицы (212_14),"Саморазвитие, обучаемость (СК) (604_4)","Подготовка материалов, оборудования и инструментов к проведению искусственного осеменения (145_14)",Ведение учета и отчетности (4351_14),Выполнение работ по поддержанию безопасных ветеринарно-санитарных условий в пункте (станции) искусственного осеменения (241_14),Санитарная обработка животных и птицы перед искусственным осеменением (219_14),Пунктуальность (СК) (612_4),Командность (СК) (1371_4),Внимательность (СК) (536_4),Оказание платных ветеринарных услуг (4470_14)
False,1.0,Московская область,2,False,22909.75,50000.0,5809.386,5623.3202,4093.4464,3359.5204,2915.03,2759.9752,2625.5944,2532.5615,2511.8875,2480.8766,2408.5177,1974.3643,1860.6574,1860.6574,1736.6136,1126.7314,1106.0575,1085.3835,1085.3835,1044.0356
False,1.0,Город федерального значения Санкт-Петербург,0,False,20000.0,50000.0,5809.386,5623.3202,4093.4464,3359.5204,2915.03,2759.9752,2625.5944,2532.5615,2511.8875,2480.8766,2408.5177,1974.3643,1860.6574,1860.6574,1736.6136,1126.7314,1106.0575,1085.3835,1085.3835,1044.0356
False,1.0,Ленинградская область,1,False,25000.0,50000.0,5809.386,5623.3202,4093.4464,3359.5204,2915.03,2759.9752,2625.5944,2532.5615,2511.8875,2480.8766,2408.5177,1974.3643,1860.6574,1860.6574,1736.6136,1126.7314,1106.0575,1085.3835,1085.3835,1044.0356
False,1.0,Вологодская область,1,False,18000.0,70000.0,8133.1404,7872.6483,5730.8249,4703.3285,4081.042,3863.9653,3675.8321,3545.5861,3516.6425,3473.2272,3371.9247,2764.11,2604.9204,2604.9204,2431.259,1577.424,1548.4805,1519.5369,1519.5369,1461.6498
False,1.0,Новосибирская область,0,False,13954.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Краснодарский край,0,False,13954.0,100000.0,11618.772,11246.6405,8186.8927,6719.0407,5830.06,5519.9504,5251.1888,5065.123,5023.7751,4961.7532,4817.0354,3948.7286,3721.3149,3721.3149,3473.2272,2253.4629,2212.1149,2170.767,2170.767,2088.0711
False,1.0,Курская область,2,False,13589.0,35000.0,4066.5702,3936.3242,2865.4124,2351.6643,2040.521,1931.9826,1837.9161,1772.7931,1758.3213,1736.6136,1685.9624,1382.055,1302.4602,1302.4602,1215.6295,788.712,774.2402,759.7685,759.7685,730.8249
False,1.0,Республика Мордовия,1,False,13589.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Алтайский край,2,False,13589.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Тюменская область,1,False,13589.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Челябинская область,0,False,15081.5,25000.0,2904.693,2811.6601,2046.7232,1679.7602,1457.515,1379.9876,1312.7972,1266.2808,1255.9438,1240.4383,1204.2588,987.1821,930.3287,930.3287,868.3068,563.3657,553.0287,542.6918,542.6918,522.0178
False,1.0,Республика Татарстан,0,False,17000.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Калининградская область,1,False,13954.0,35000.0,4066.5702,3936.3242,2865.4124,2351.6643,2040.521,1931.9826,1837.9161,1772.7931,1758.3213,1736.6136,1685.9624,1382.055,1302.4602,1302.4602,1215.6295,788.712,774.2402,759.7685,759.7685,730.8249
False,1.0,Томская область,1,False,13589.0,30000.0,3485.6316,3373.9921,2456.0678,2015.7122,1749.018,1655.9851,1575.3566,1519.5369,1507.1325,1488.5259,1445.1106,1184.6186,1116.3945,1116.3945,1041.9682,676.0389,663.6345,651.2301,651.2301,626.4213
False,1.0,Тамбовская область,2,False,15000.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Ульяновская область,1,False,13589.0,25000.0,2904.693,2811.6601,2046.7232,1679.7602,1457.515,1379.9876,1312.7972,1266.2808,1255.9438,1240.4383,1204.2588,987.1821,930.3287,930.3287,868.3068,563.3657,553.0287,542.6918,542.6918,522.0178
False,1.0,Орловская область,1,False,20000.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Мурманская область,1,False,13589.0,13589.0,1578.8749,1528.306,1112.5168,913.0504,792.2468,750.1061,713.584,688.2996,682.6808,674.2526,654.5869,536.5927,505.6895,505.6895,471.9768,306.2231,300.6043,294.9855,294.9855,283.748
False,1.0,Республика Башкортостан,0,False,13954.0,50000.0,5809.386,5623.3202,4093.4464,3359.5204,2915.03,2759.9752,2625.5944,2532.5615,2511.8875,2480.8766,2408.5177,1974.3643,1860.6574,1860.6574,1736.6136,1126.7314,1106.0575,1085.3835,1085.3835,1044.0356
False,1.0,Свердловская область,0,False,15000.0,50000.0,5809.386,5623.3202,4093.4464,3359.5204,2915.03,2759.9752,2625.5944,2532.5615,2511.8875,2480.8766,2408.5177,1974.3643,1860.6574,1860.6574,1736.6136,1126.7314,1106.0575,1085.3835,1085.3835,1044.0356
False,1.0,Самарская область,0,False,17000.0,45000.0,5228.4474,5060.9882,3684.1017,3023.5683,2623.527,2483.9777,2363.0349,2279.3054,2260.6988,2232.7889,2167.6659,1776.9278,1674.5917,1674.5917,1562.9522,1014.0583,995.4517,976.8452,976.8452,939.632
False,1.0,Оренбургская область,2,False,13954.0,19000.0,2207.5667,2136.8617,1555.5096,1276.6177,1107.7114,1048.7906,997.7259,962.3734,954.5173,942.7331,915.2367,750.2584,707.0498,707.0498,659.9132,428.1579,420.3018,412.4457,412.4457,396.7335
False,1.0,Нижегородская область,0,False,13954.0,35000.0,4066.5702,3936.3242,2865.4124,2351.6643,2040.521,1931.9826,1837.9161,1772.7931,1758.3213,1736.6136,1685.9624,1382.055,1302.4602,1302.4602,1215.6295,788.712,774.2402,759.7685,759.7685,730.8249
False,1.0,Красноярский край,1,False,17000.0,25000.0,2904.693,2811.6601,2046.7232,1679.7602,1457.515,1379.9876,1312.7972,1266.2808,1255.9438,1240.4383,1204.2588,987.1821,930.3287,930.3287,868.3068,563.3657,553.0287,542.6918,542.6918,522.0178
False,1.0,Ямало-Ненецкий автономный округ,1,False,25000.0,25000.0,2904.693,2811.6601,2046.7232,1679.7602,1457.515,1379.9876,1312.7972,1266.2808,1255.9438,1240.4383,1204.2588,987.1821,930.3287,930.3287,868.3068,563.3657,553.0287,542.6918,542.6918,522.0178
False,1.0,Кировская область,1,False,18000.0,35000.0,4066.5702,3936.3242,2865.4124,2351.6643,2040.521,1931.9826,1837.9161,1772.7931,1758.3213,1736.6136,1685.9624,1382.055,1302.4602,1302.4602,1215.6295,788.712,774.2402,759.7685,759.7685,730.8249
False,1.0,Курганская область,1,False,25000.0,25000.0,2904.693,2811.6601,2046.7232,1679.7602,1457.515,1379.9876,1312.7972,1266.2808,1255.9438,1240.4383,1204.2588,987.1821,930.3287,930.3287,868.3068,563.3657,553.0287,542.6918,542.6918,522.0178
