is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Выполнение РК (2751_3),Административные функции (61_3),"Личные установки и ценности, мировоззрение (2043_4)",Средства контроля (2726_3),Дисциплинированность (СК) (593_4),"Контроль  сварки/резки, измерение (71_3)",Выполнение НК (2727_3),Исполнительная документация по НК (2730_3),Выполнение ВИК (2762_3),Выполнение УЗК (2752_3),Разрешительная и исполнительная документация (2690_3),Выполнение МК (2782_3),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),"Организаторские способности, лидерство (СК) (393_4)",Пунктуальность (СК) (612_4),Обеспечение качества выпускаемой продукции (2711_3),"Чтение чертежей, документации (68_3)","Знание НТД, НД, ПТД (2712_3)"
False,1.0,Челябинская область,0,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Челябинская область,0,True,25000.0,25000.0,3212.8514,2648.5251,2565.4342,2132.6686,2056.5019,2025.3428,1544.1075,1184.0465,1132.1147,1069.7964,1059.4101,910.5387,889.766,723.584,536.6293,470.8489,457.0004,380.8337
False,1.0,Город федерального значения Санкт-Петербург,0,False,20000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Нижегородская область,0,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Республика Татарстан,0,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Тульская область,1,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Ярославская область,1,False,20000.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,1.0,Свердловская область,0,False,20000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Рязанская область,1,False,20000.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,1.0,Пензенская область,1,False,20000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
