is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Монтаж/установка опалубки (305_10),Аккуратность (СК) (575_4),Укладка/заливка бетонной смеси при возведении простых конструкций (249_10),Высокая работоспособность (СК) (586_4),Командность (СК) (1371_4),Коммуникабельность (СК) (617_4),Чтение схем/чертежей (ОПТ) (3032_36),"Самоорганизация, отношение себе  (СК) (1629_4)",Трудолюбие (СК) (597_4),Склонность к здоровому образу жизни (СК) (1662_4),Пунктуальность (СК) (612_4),Внимательность (СК) (536_4)
False,1.0,Приморский край,1,False,70.0,105000.0,25654.4802,14378.1622,10607.9647,9956.7488,7403.2969,7026.2771,5946.6297,4969.8058,3753.0602,3667.3739,2913.3344,2656.2755,2313.5303,1936.5105,1816.5497
False,1.0,Республика Северная Осетия,1,False,12130.0,40000.0,9773.1353,5477.3951,4041.1294,3793.0472,2820.3036,2676.677,2265.3827,1893.2593,1429.7372,1397.0948,1109.8417,1011.9145,881.3449,737.7183,692.0189
False,1.0,Сахалинская область,1,False,15150.0,60000.0,14659.703,8216.0927,6061.6941,5689.5708,4230.4554,4015.0155,3398.0741,2839.889,2144.6058,2095.6422,1664.7625,1517.8717,1322.0173,1106.5774,1038.0284
False,1.0,Карачаево-Черкесская Республика,1,False,70000.0,70000.0,17102.9868,9585.4415,7071.9765,6637.8325,4935.5313,4684.1848,3964.4198,3313.2039,2502.0402,2444.9159,1942.2229,1770.8503,1542.3535,1291.007,1211.0331
False,1.0,Краснодарский край,0,False,21000.0,150000.0,36649.2574,20540.2318,15154.2354,14223.9269,10576.1384,10037.5388,8495.1852,7099.7225,5361.5146,5239.1056,4161.9063,3794.6793,3305.0433,2766.4436,2595.071
False,1.0,Ставропольский край,2,False,21000.0,90000.0,21989.5544,12324.1391,9092.5412,8534.3561,6345.683,6022.5233,5097.1111,4259.8335,3216.9088,3143.4634,2497.1438,2276.8076,1983.026,1659.8662,1557.0426
False,1.0,Чувашская Республика,1,False,21000.0,150000.0,36649.2574,20540.2318,15154.2354,14223.9269,10576.1384,10037.5388,8495.1852,7099.7225,5361.5146,5239.1056,4161.9063,3794.6793,3305.0433,2766.4436,2595.071
False,1.0,Калининградская область,1,False,17000.0,80000.0,19546.2706,10954.7903,8082.2589,7586.0943,5640.6071,5353.354,4530.7655,3786.5187,2859.4745,2794.1897,2219.6834,2023.829,1762.6897,1475.4366,1384.0379
False,1.0,Ленинградская область,1,False,21000.0,90000.0,21989.5544,12324.1391,9092.5412,8534.3561,6345.683,6022.5233,5097.1111,4259.8335,3216.9088,3143.4634,2497.1438,2276.8076,1983.026,1659.8662,1557.0426
False,1.0,Республика Крым,1,False,21000.0,90000.0,21989.5544,12324.1391,9092.5412,8534.3561,6345.683,6022.5233,5097.1111,4259.8335,3216.9088,3143.4634,2497.1438,2276.8076,1983.026,1659.8662,1557.0426
