is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Работа на шлифовальных станках определенной группы (3780_35),Аккуратность (СК) (575_4),Внимательность (СК) (536_4),Шлифовальные работы (3779_35),Использование контрольно-измерительных инструментов (3479_35),"Личные установки и ценности, мировоззрение (2043_4)",Шлифовальные работы по металлу (3784_35),Наладка и настройка шлифовальных станков (3806_35),Чтение схем/чертежей (ОПТ) (3032_36),Высокая работоспособность (СК) (586_4),Кропотливость (СК) (623_4),Доводочные операции (3452_35),"Подбор, установка и правка шлифовальных кругов (3793_35)",Установка деталей различными способами (3545_35),Механическая обработка металлов (3498_35),Обработка деталей и заготовок (3894_35)
False,2.0,Республика Крым,1,False,16242.0,20000.0,5161.4926,2552.5243,2445.9078,2151.1446,1163.3741,1069.3007,824.7099,680.4641,677.3283,598.9338,517.4036,514.2678,435.8733,426.466,272.8128,185.011,163.0605,159.9247
False,2.0,Еврейская автономная область,1,False,17420.0,30000.0,7742.2389,3828.7865,3668.8617,3226.7168,1745.0611,1603.9511,1237.0649,1020.6961,1015.9925,898.4008,776.1054,771.4017,653.81,639.699,409.2192,277.5165,244.5908,239.8871
False,2.0,Сахалинская область,1,False,23000.0,35000.0,9032.6121,4466.9175,4280.3387,3764.503,2035.9047,1871.2763,1443.2424,1190.8122,1185.3246,1048.1342,905.4563,899.9686,762.7783,746.3155,477.4224,323.7692,285.3559,279.8683
False,2.0,Город федерального значения Севастополь,1,False,15000.0,15000.0,3871.1195,1914.3932,1834.4309,1613.3584,872.5306,801.9755,618.5325,510.3481,507.9962,449.2004,388.0527,385.7008,326.905,319.8495,204.6096,138.7582,122.2954,119.9436
False,2.0,Московская область,2,False,30000.0,100000.0,25807.4632,12762.6215,12229.539,10755.7228,5816.8705,5346.5036,4123.5497,3402.3205,3386.6416,2994.6692,2587.0179,2571.339,2179.3666,2132.3299,1364.064,925.0549,815.3026,799.6237
False,2.0,Алтайский край,2,False,25000.0,65000.0,16774.8511,8295.704,7949.2004,6991.2198,3780.9658,3475.2273,2680.3073,2211.5083,2201.317,1946.535,1681.5616,1671.3703,1416.5883,1386.0144,886.6416,601.2857,529.9467,519.7554
False,2.0,Костромская область,1,False,40000.0,96000.0,24775.1646,12252.1167,11740.3575,10325.4939,5584.1957,5132.6435,3958.6077,3266.2277,3251.1759,2874.8824,2483.5372,2468.4854,2092.1919,2047.0367,1309.5014,888.0527,782.6905,767.6388
False,2.0,Кировская область,1,False,30000.0,120000.0,30968.9558,15315.1458,14675.4468,12906.8674,6980.2446,6415.8043,4948.2596,4082.7846,4063.9699,3593.603,3104.4214,3085.6068,2615.2399,2558.7959,1636.8768,1110.0659,978.3631,959.5484
False,2.0,Томская область,1,False,35000.0,85000.0,21936.3437,10848.2283,10395.1082,9142.3644,4944.3399,4544.5281,3505.0172,2891.9724,2878.6453,2545.4688,2198.9652,2185.6381,1852.4616,1812.4804,1159.4544,786.2966,693.0072,679.6802
False,2.0,Удмуртская Республика,1,False,35000.0,96000.0,24775.1646,12252.1167,11740.3575,10325.4939,5584.1957,5132.6435,3958.6077,3266.2277,3251.1759,2874.8824,2483.5372,2468.4854,2092.1919,2047.0367,1309.5014,888.0527,782.6905,767.6388
False,2.0,Челябинская область,0,False,30000.0,105000.0,27097.8363,13400.7526,12841.016,11293.5089,6107.714,5613.8288,4329.7272,3572.4365,3555.9737,3144.4026,2716.3688,2699.9059,2288.3349,2238.9464,1432.2672,971.3076,856.0677,839.6049
False,2.0,Свердловская область,0,False,30000.0,103000.0,26581.687,13145.5002,12596.4252,11078.3945,5991.3766,5506.8987,4247.2562,3504.3901,3488.2408,3084.5093,2664.6284,2648.4791,2244.7476,2196.2998,1404.9859,952.8065,839.7617,823.6124
