is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Знание 1С (2742_8),Внимательность (СК) (536_4),Дисциплинированность (СК) (593_4),Формирование бюджета (3098_8),"Бюджет доходов и расходов (БДР): формирование, анализ, контроль (3108_8)",Бюджетирование (2871_8),"Саморазвитие, обучаемость (СК) (604_4)","Личные установки и ценности, мировоззрение (2043_4)","Восприятие, мышление, внимание, память (УСК) (1330_4)",Знание компьютерных офисных программ (1027_8),(О) Анализ финансово-хозяйственной деятельности (1217_8),Государственные закупки (3244_8),Пользователь ПК (922_8),Составление управленческой отчетности (1587_8),(О) Ведение управленческого учета (652_8),"Многозадачность, интенсивность (СК) (627_4)",Компьютерные программы для ведения бухгалтерского учета (129_8),Стрессоустойчивость (СК) (601_4),Анализ экономической эффективности деятельности компаний (3070_8),"Анализ себестоимости продукции, выполняемых работ (2855_8)",Бизнес-план (3397_8),(О) Работать с программой 1С (847_8),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),"Методическая работа: разработка, актуализация, внедрение, реализация (3833_8)"
True,0.0,Оренбургская область,2,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Саратовская область,2,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Пензенская область,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Астраханская область,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Брянская область,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Чувашская Республика,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Республика Марий Эл,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Ульяновская область,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Омская область,1,False,25000.0,25000.0,5014.2586,2162.5475,1996.1977,1512.9911,1235.7414,1085.2345,1021.8631,926.8061,910.9632,752.5349,712.9278,705.0063,697.0849,665.3992,657.4778,570.3422,570.3422,570.3422,554.4994,530.7351,475.2852,427.7567,419.8352,411.9138,411.9138
True,0.0,Липецкая область,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Республика Калмыкия,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Республика Адыгея,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Ярославская область,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Республика Татарстан,0,False,30000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Тюменская область,1,False,35000.0,60000.0,12034.2205,5190.1141,4790.8745,3631.1787,2965.7795,2604.5627,2452.4715,2224.3346,2186.3118,1806.0837,1711.0266,1692.0152,1673.0038,1596.9582,1577.9468,1368.8213,1368.8213,1368.8213,1330.7985,1273.7643,1140.6844,1026.616,1007.6046,988.5932,988.5932
True,0.0,Пермский край,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Вологодская область,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Ростовская область,0,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Воронежская область,2,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Иркутская область,1,False,25000.0,35000.0,7019.962,3027.5665,2794.6768,2118.1876,1730.038,1519.3283,1430.6084,1297.5285,1275.3485,1053.5488,998.0989,987.0089,975.9189,931.5589,920.4689,798.4791,798.4791,798.4791,776.2991,743.0292,665.3992,598.8593,587.7693,576.6793,576.6793
True,0.0,Республика Коми,1,False,20000.0,20000.0,4011.4068,1730.038,1596.9582,1210.3929,988.5932,868.1876,817.4905,741.4449,728.7706,602.0279,570.3422,564.0051,557.6679,532.3194,525.9823,456.2738,456.2738,456.2738,443.5995,424.5881,380.2281,342.2053,335.8682,329.5311,329.5311
True,0.0,Белгородская область,2,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Забайкальский край,1,False,25000.0,29612.5,5939.3893,2561.5375,2364.4962,1792.138,1463.7357,1285.4602,1210.3969,1097.8018,1079.036,891.3775,844.4629,835.08,825.6971,788.1654,778.7825,675.5703,675.5703,675.5703,656.8045,628.6557,562.9753,506.6778,497.2948,487.9119,487.9119
True,0.0,Карачаево-Черкесская Республика,1,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,0.0,Кемеровская область,1,False,25000.0,25000.0,5014.2586,2162.5475,1996.1977,1512.9911,1235.7414,1085.2345,1021.8631,926.8061,910.9632,752.5349,712.9278,705.0063,697.0849,665.3992,657.4778,570.3422,570.3422,570.3422,554.4994,530.7351,475.2852,427.7567,419.8352,411.9138,411.9138
