is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)","Проведение диагностики, техосмотра и ремонта оборудования и механизмов (7245_35)","Организаторские способности, лидерство (СК) (393_4)",Дисциплинированность (СК) (593_4),Ремонт оборудования (4132_35),Коммуникабельность (СК) (617_4),Английский язык (ЯС) (1918_32),Навыки руководящей работы (6700_35),Выполнение ремонтных работ (ОПТ) (8285_36),Техническое обслуживание оборудования (4130_35),Ведение учета (4195_35),Организация ремонта автотранспорта (7299_35),Знание компьютерных программ (3753_35),"Саморазвитие, обучаемость (СК) (604_4)",Умение читать конструкторскую и технологическую документацию (3439_35),Обеспечение правильной эксплуатации оборудования (7278_35),Разработка мероприятий по достижению безаварийной работы (7287_35),Разработка графиков выполнения работ (6081_35),Знание нормативной и методической документации (4566_35),Уметь контролировать качество ремонтных работ (7384_35),Подготовка отчетной документации (6585_35),Уметь проводить монтаж и пуско-наладку металлообрабатывающих станков (7402_35),Чтение схем/чертежей (ОПТ) (3032_36),Аккуратность (СК) (575_4),Кропотливость (СК) (623_4),"Знать конструкцию, режимы работы и правила эксплуатации оборудования (7374_35)",Командность (СК) (1371_4),Определять потребность в запасных частях для оборудования (7326_35),Обеспечение бесперебойной работы оборудования (4218_35),Стрессоустойчивость (СК) (601_4),Соблюдение правил охраны труда (ОПТ) (3790_36),Целеустремленность (СК) (588_4),Оформление дефектных ведомостей (4560_35),Оформлять заявки на приобретение материалов и запасных частей (7239_35),Уметь контролировать качество технического обслуживания (7385_35),Ведение документации (4135_35),Разработка ремонтной документации (6266_35),Знание основ технических наук (4136_35),Разработка мероприятий по повышению эффективности производства (6739_35),Внимательность (СК) (536_4),Высокая работоспособность (СК) (586_4),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Контроль за работой и техническим состоянием оборудования (4119_35),Эксплуатация станочного оборудования (3579_35),Обслуживание холодильного оборудования (7375_35),Разработка и внедрение мероприятий по снижению себестоимости продукции (6581_35),Трудолюбие (СК) (597_4)
False,1.0,Костромская область,1,False,12130.0,50000.0,6856.6639,3252.3051,3059.5138,2279.9665,1994.9707,1860.855,1584.2414,1533.948,1424.979,1148.3655,1114.8365,1081.3076,1022.632,997.4853,963.9564,930.4275,922.0453,905.2808,854.9874,804.694,771.1651,771.1651,746.0184,712.4895,662.1961,653.8139,628.6672,620.285,586.7561,586.7561,578.3738,553.2272,544.8449,528.0805,502.9338,502.9338,502.9338,494.5516,486.1693,469.4049,469.4049,452.6404,435.8759,435.8759,427.4937,427.4937,427.4937,427.4937
False,1.0,Республика Крым,1,False,13360.0,57000.0,7816.5968,3707.6278,3487.8458,2599.1618,2274.2666,2121.3747,1806.0352,1748.7008,1624.4761,1309.1366,1270.9137,1232.6907,1165.8005,1137.1333,1098.9103,1060.6873,1051.1316,1032.0201,974.6857,917.3512,879.1282,879.1282,850.461,812.2381,754.9036,745.3479,716.6806,707.1249,668.9019,668.9019,659.3462,630.679,621.1232,602.0117,573.3445,573.3445,573.3445,563.7888,554.233,535.1215,535.1215,516.0101,496.8986,496.8986,487.3428,487.3428,487.3428,487.3428
False,1.0,Республика Дагестан,1,False,30000.0,50000.0,6856.6639,3252.3051,3059.5138,2279.9665,1994.9707,1860.855,1584.2414,1533.948,1424.979,1148.3655,1114.8365,1081.3076,1022.632,997.4853,963.9564,930.4275,922.0453,905.2808,854.9874,804.694,771.1651,771.1651,746.0184,712.4895,662.1961,653.8139,628.6672,620.285,586.7561,586.7561,578.3738,553.2272,544.8449,528.0805,502.9338,502.9338,502.9338,494.5516,486.1693,469.4049,469.4049,452.6404,435.8759,435.8759,427.4937,427.4937,427.4937,427.4937
False,1.0,Карачаево-Черкесская Республика,1,False,40000.0,40000.0,5485.3311,2601.8441,2447.6111,1823.9732,1595.9765,1488.684,1267.3931,1227.1584,1139.9832,918.6924,891.8692,865.0461,818.1056,797.9883,771.1651,744.342,737.6362,724.2246,683.9899,643.7552,616.9321,616.9321,596.8148,569.9916,529.7569,523.0511,502.9338,496.228,469.4049,469.4049,462.6991,442.5817,435.8759,422.4644,402.347,402.347,402.347,395.6412,388.9355,375.5239,375.5239,362.1123,348.7008,348.7008,341.995,341.995,341.995,341.995
False,1.0,Республика Мордовия,1,False,20000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Ростовская область,0,False,20000.0,86200.0,11820.8885,5606.974,5274.6018,3930.6622,3439.3294,3208.114,2731.2322,2644.5264,2456.6639,1979.7821,1921.9782,1864.1744,1763.0176,1719.6647,1661.8609,1604.057,1589.606,1560.7041,1473.9983,1387.2925,1329.4887,1329.4887,1286.1358,1228.3319,1141.6262,1127.1752,1083.8223,1069.3713,1011.5675,1011.5675,997.1165,953.7636,939.3127,910.4107,867.0578,867.0578,867.0578,852.6069,838.1559,809.254,809.254,780.3521,751.4501,751.4501,736.9992,736.9992,736.9992,736.9992
False,1.0,Кировская область,1,False,20000.0,45000.0,6170.9975,2927.0746,2753.5624,2051.9698,1795.4736,1674.7695,1425.8173,1380.5532,1282.4811,1033.5289,1003.3529,973.1769,920.3688,897.7368,867.5608,837.3847,829.8407,814.7527,769.4887,724.2246,694.0486,694.0486,671.4166,641.2406,595.9765,588.4325,565.8005,558.2565,528.0805,528.0805,520.5365,497.9044,490.3604,475.2724,452.6404,452.6404,452.6404,445.0964,437.5524,422.4644,422.4644,407.3764,392.2883,392.2883,384.7443,384.7443,384.7443,384.7443
False,1.0,Ивановская область,1,False,20000.0,50000.0,6856.6639,3252.3051,3059.5138,2279.9665,1994.9707,1860.855,1584.2414,1533.948,1424.979,1148.3655,1114.8365,1081.3076,1022.632,997.4853,963.9564,930.4275,922.0453,905.2808,854.9874,804.694,771.1651,771.1651,746.0184,712.4895,662.1961,653.8139,628.6672,620.285,586.7561,586.7561,578.3738,553.2272,544.8449,528.0805,502.9338,502.9338,502.9338,494.5516,486.1693,469.4049,469.4049,452.6404,435.8759,435.8759,427.4937,427.4937,427.4937,427.4937
False,1.0,Волгоградская область,2,False,22600.0,200000.0,27426.6555,13009.2205,12238.0553,9119.8659,7979.8826,7443.4199,6336.9656,6135.7921,5699.9162,4593.4619,4459.3462,4325.2305,4090.5281,3989.9413,3855.8256,3721.71,3688.1811,3621.1232,3419.9497,3218.7762,3084.6605,3084.6605,2984.0738,2849.9581,2648.7846,2615.2557,2514.6689,2481.14,2347.0243,2347.0243,2313.4954,2212.9086,2179.3797,2112.3219,2011.7351,2011.7351,2011.7351,1978.2062,1944.6773,1877.6194,1877.6194,1810.5616,1743.5038,1743.5038,1709.9749,1709.9749,1709.9749,1709.9749
False,1.0,Рязанская область,1,False,20000.0,80000.0,10970.6622,5203.6882,4895.2221,3647.9464,3191.9531,2977.368,2534.7863,2454.3168,2279.9665,1837.3847,1783.7385,1730.0922,1636.2112,1595.9765,1542.3303,1488.684,1475.2724,1448.4493,1367.9799,1287.5105,1233.8642,1233.8642,1193.6295,1139.9832,1059.5138,1046.1023,1005.8676,992.456,938.8097,938.8097,925.3982,885.1635,871.7519,844.9288,804.694,804.694,804.694,791.2825,777.8709,751.0478,751.0478,724.2246,697.4015,697.4015,683.9899,683.9899,683.9899,683.9899
False,1.0,Тверская область,1,False,20000.0,65000.0,8913.663,4227.9966,3977.368,2963.9564,2593.4619,2419.1115,2059.5138,1994.1324,1852.4728,1492.8751,1449.2875,1405.6999,1329.4216,1296.7309,1253.1433,1209.5557,1198.6588,1176.865,1111.4837,1046.1023,1002.5147,1002.5147,969.824,926.2364,860.855,849.9581,817.2674,806.3705,762.7829,762.7829,751.886,719.1953,708.2984,686.5046,653.8139,653.8139,653.8139,642.917,632.0201,610.2263,610.2263,588.4325,566.6387,566.6387,555.7418,555.7418,555.7418,555.7418
False,1.0,Саратовская область,2,False,20000.0,68000.0,9325.0629,4423.135,4160.9388,3100.7544,2713.1601,2530.7628,2154.5683,2086.1693,1937.9715,1561.777,1516.1777,1470.5784,1390.7795,1356.5801,1310.9807,1265.3814,1253.9816,1231.1819,1162.7829,1094.3839,1048.7846,1048.7846,1014.5851,968.9858,900.5868,889.1869,854.9874,843.5876,797.9883,797.9883,786.5884,752.3889,740.9891,718.1894,683.9899,683.9899,683.9899,672.5901,661.1903,638.3906,638.3906,615.5909,592.7913,592.7913,581.3915,581.3915,581.3915,581.3915
False,1.0,Воронежская область,2,False,20000.0,80000.0,10970.6622,5203.6882,4895.2221,3647.9464,3191.9531,2977.368,2534.7863,2454.3168,2279.9665,1837.3847,1783.7385,1730.0922,1636.2112,1595.9765,1542.3303,1488.684,1475.2724,1448.4493,1367.9799,1287.5105,1233.8642,1233.8642,1193.6295,1139.9832,1059.5138,1046.1023,1005.8676,992.456,938.8097,938.8097,925.3982,885.1635,871.7519,844.9288,804.694,804.694,804.694,791.2825,777.8709,751.0478,751.0478,724.2246,697.4015,697.4015,683.9899,683.9899,683.9899,683.9899
False,1.0,Вологодская область,1,False,20000.0,80000.0,10970.6622,5203.6882,4895.2221,3647.9464,3191.9531,2977.368,2534.7863,2454.3168,2279.9665,1837.3847,1783.7385,1730.0922,1636.2112,1595.9765,1542.3303,1488.684,1475.2724,1448.4493,1367.9799,1287.5105,1233.8642,1233.8642,1193.6295,1139.9832,1059.5138,1046.1023,1005.8676,992.456,938.8097,938.8097,925.3982,885.1635,871.7519,844.9288,804.694,804.694,804.694,791.2825,777.8709,751.0478,751.0478,724.2246,697.4015,697.4015,683.9899,683.9899,683.9899,683.9899
