is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),"Восприятие, мышление, внимание, память (УСК) (1330_4)","Организаторские способности, лидерство (СК) (393_4)","Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)","Саморазвитие, обучаемость (СК) (604_4)",Коммуникабельность (СК) (617_4),Внимательность (СК) (536_4),Доброжелательность (СК) (1126_4),Стрессоустойчивость (СК) (601_4),Нормативные правовые акты в сфере социального обслуживания (165_1),Организация мероприятий по привлечению ресурсов (434_1),Взаимодействие со СМИ (488_1),Координация и контроль деятельности персонала (500_1)
False,2.0,Калужская область,1,False,30000.0,30000.0,8340.7564,6214.2372,3931.4562,2377.8969,1965.7281,1698.4978,1453.9141,1059.8626,831.1316,668.0758,484.638,371.4048,332.9056,269.495
False,2.0,Алтайский край,2,False,20000.0,20000.0,5560.5043,4142.8248,2620.9708,1585.2646,1310.4854,1132.3318,969.2761,706.5751,554.0877,445.3839,323.092,247.6032,221.937,179.6633
False,2.0,Тверская область,1,False,14656.0,14656.0,4074.7375,3035.862,1920.6474,1161.6819,960.3237,829.7728,710.2855,517.7782,406.0355,326.3773,236.7618,181.4436,162.6355,131.6573
False,2.0,Омская область,1,False,35000.0,35000.0,9730.8825,7249.9434,4586.6989,2774.213,2293.3494,1981.5807,1696.2331,1236.5064,969.6535,779.4218,565.411,433.3057,388.3898,314.4108
False,2.0,Оренбургская область,2,False,23468.0,23468.0,6524.6957,4861.1906,3075.4471,1860.1495,1537.7236,1328.6782,1137.3485,829.0952,650.1665,522.6134,379.1162,290.5376,260.4209,210.8169
False,2.0,Костромская область,1,False,24192.0,24192.0,6725.986,5011.1609,3170.3263,1917.536,1585.1631,1369.6686,1172.4363,854.6732,670.2245,538.7363,390.8121,299.5009,268.455,217.3208
False,2.0,Московская область,2,False,23000.0,60000.0,16681.5128,12428.4744,7862.9124,4755.7938,3931.4562,3396.9955,2907.8282,2119.7252,1662.2632,1336.1516,969.2761,742.8097,665.8111,538.99
False,2.0,Город федерального значения Санкт-Петербург,0,False,50000.0,50000.0,13901.2607,10357.062,6552.427,3963.1615,3276.2135,2830.8296,2423.1902,1766.4377,1385.2193,1113.4597,807.7301,619.0081,554.8426,449.1583
False,2.0,Нижегородская область,0,False,34000.0,63000.0,17515.5884,13049.8981,8256.058,4993.5835,4128.029,3566.8453,3053.2196,2225.7115,1745.3763,1402.9592,1017.7399,779.9502,699.1017,565.9395
False,2.0,Красноярский край,1,False,30000.0,30000.0,8340.7564,6214.2372,3931.4562,2377.8969,1965.7281,1698.4978,1453.9141,1059.8626,831.1316,668.0758,484.638,371.4048,332.9056,269.495
False,2.0,Новгородская область,1,False,45400.0,45400.0,12622.3447,9404.2123,5949.6037,3598.5506,2974.8018,2570.3933,2200.2567,1603.9254,1257.7791,1011.0214,733.4189,562.0593,503.7971,407.8357
