is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Покупка и доставка необходимых товаров за счет средств получателя социальных услуг (159_1),Предоставление социальных услуг (183_1),Дисциплинированность (СК) (593_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Помощь в оплате коммунальных и иных услуг за счет средств клиента (158_1),Склонность к здоровому образу жизни (СК) (1662_4),Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Уход за нуждающимися категориями получателей социальных услуг (182_1),Помощь в уборке жилых помещений (166_1)
False,0.0,Республика Башкортостан,0,False,2300.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Республика Башкортостан,0,True,14711.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Город федерального значения Санкт-Петербург,0,False,20000.0,40000.0,5910.7807,4832.7138,4628.2528,4479.5539,4126.3941,3029.7398,2676.5799,2193.3086,2137.5465,2063.197,2007.4349,1914.4981
False,0.0,Город федерального значения Санкт-Петербург,0,True,34750.0,34750.0,5134.9907,4198.4201,4020.7946,3891.6125,3584.8048,2632.0864,2325.2788,1905.4368,1856.9935,1792.4024,1743.9591,1663.2203
False,0.0,Город федерального значения Москва,0,False,15772.5,80000.0,11821.5613,9665.4275,9256.5056,8959.1078,8252.7881,6059.4796,5353.1599,4386.6171,4275.0929,4126.3941,4014.8699,3828.9963
False,0.0,Город федерального значения Москва,0,True,30568.25,30568.25,4517.0555,3693.1901,3536.9397,3423.3031,3153.4161,2315.3461,2045.4591,1676.1401,1633.5264,1576.7081,1534.0943,1463.0714
False,0.0,Ростовская область,0,False,11163.0,25000.0,3694.2379,3020.4461,2892.658,2799.7212,2578.9963,1893.5874,1672.8625,1370.8178,1335.9665,1289.4981,1254.6468,1196.5613
False,0.0,Астраханская область,1,False,8121.0,21000.0,3103.1599,2537.1747,2429.8327,2351.7658,2166.3569,1590.6134,1405.2045,1151.487,1122.2119,1083.1784,1053.9033,1005.1115
False,0.0,Кировская область,1,False,8900.0,32000.0,4728.6245,3866.171,3702.6022,3583.6431,3301.1152,2423.7918,2141.2639,1754.6468,1710.0372,1650.5576,1605.948,1531.5985
False,0.0,Кировская область,1,True,18700.0,18700.0,2763.29,2259.2937,2163.7082,2094.1914,1929.0892,1416.4033,1251.3011,1025.3717,999.303,964.5446,938.4758,895.0279
False,0.0,Нижегородская область,0,False,8900.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Нижегородская область,0,True,10250.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Ивановская область,1,False,8900.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Ивановская область,1,True,16000.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Саратовская область,2,False,8900.0,36880.0,5449.7398,4455.7621,4267.2491,4130.1487,3804.5353,2793.4201,2467.8067,2022.2305,1970.8178,1902.2677,1850.855,1765.1673
False,0.0,Саратовская область,2,True,11280.0,14711.0,2173.8374,1777.3513,1702.1557,1647.4679,1517.5846,1114.2625,984.3792,806.6441,786.1362,758.7923,738.2844,704.1046
False,0.0,Краснодарский край,0,False,8900.0,40000.0,5910.7807,4832.7138,4628.2528,4479.5539,4126.3941,3029.7398,2676.5799,2193.3086,2137.5465,2063.197,2007.4349,1914.4981
False,0.0,Краснодарский край,0,True,20000.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Ставропольский край,2,False,8900.0,29000.0,4285.316,3503.7175,3355.4833,3247.6766,2991.6357,2196.5613,1940.5204,1590.1487,1549.7212,1495.8178,1455.3903,1388.0112
False,0.0,Новосибирская область,0,False,8900.0,20500.0,3029.2751,2476.7658,2371.9796,2295.7714,2114.777,1552.7416,1371.7472,1124.0706,1095.4926,1057.3885,1028.8104,981.1803
False,0.0,Кабардино-Балкарская Республика,1,False,8900.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Ярославская область,1,False,8900.0,20861.0,3082.6199,2520.381,2413.7495,2336.1993,2152.0177,1580.085,1395.9033,1143.8652,1114.7839,1076.0088,1046.9275,998.4586
False,0.0,Ярославская область,1,True,15279.0,23200.0,3428.2528,2802.974,2684.3866,2598.1413,2393.3086,1757.2491,1552.4164,1272.119,1239.777,1196.6543,1164.3123,1110.4089
False,0.0,Пензенская область,1,False,8900.0,28000.0,4137.5465,3382.8996,3239.777,3135.6877,2888.4758,2120.8178,1873.6059,1535.316,1496.2825,1444.2379,1405.2045,1340.1487
False,0.0,Омская область,1,False,8900.0,37858.0,5594.2584,4573.9219,4380.4099,4239.6738,3905.4257,2867.4972,2533.2491,2075.8569,2023.0809,1952.7128,1899.9368,1811.9768
False,0.0,Омская область,1,True,20000.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Удмуртская Республика,1,False,11163.0,30000.0,4433.0855,3624.5353,3471.1896,3359.6654,3094.7955,2272.3048,2007.4349,1644.9814,1603.1599,1547.3978,1505.5762,1435.8736
False,0.0,Удмуртская Республика,1,True,16000.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Новгородская область,1,False,10250.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Новгородская область,1,True,15279.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Волгоградская область,2,False,8900.0,35420.0,5233.9963,4279.368,4098.3178,3966.645,3653.9219,2682.8346,2370.1115,1942.1747,1892.7974,1826.961,1777.5836,1695.2881
False,0.0,Волгоградская область,2,True,12130.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Тверская область,1,False,8900.0,36760.0,5432.0074,4441.2639,4253.3643,4116.71,3792.1561,2784.3309,2459.777,2015.6506,1964.4052,1896.0781,1844.8327,1759.4238
False,0.0,Тверская область,1,True,18000.0,18000.0,2659.8513,2174.7212,2082.7138,2015.7993,1856.8773,1363.3829,1204.461,986.9888,961.8959,928.4387,903.3457,861.5242
False,0.0,Тюменская область,1,False,8900.0,28200.0,4167.1004,3407.0632,3262.9182,3158.0855,2909.1078,2135.9665,1886.9888,1546.2825,1506.9703,1454.5539,1415.2416,1349.7212
False,0.0,Тюменская область,1,True,16000.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Оренбургская область,2,False,8900.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Оренбургская область,2,True,4195.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Владимирская область,1,False,8900.0,30000.0,4433.0855,3624.5353,3471.1896,3359.6654,3094.7955,2272.3048,2007.4349,1644.9814,1603.1599,1547.3978,1505.5762,1435.8736
False,0.0,Псковская область,1,False,10250.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Орловская область,1,False,8900.0,30000.0,4433.0855,3624.5353,3471.1896,3359.6654,3094.7955,2272.3048,2007.4349,1644.9814,1603.1599,1547.3978,1505.5762,1435.8736
False,0.0,Костромская область,1,False,8900.0,32809.0,4848.1701,3963.9126,3796.2086,3674.2421,3384.5716,2485.0683,2195.3978,1799.0065,1753.2691,1692.2858,1646.5483,1570.3192
False,0.0,Ульяновская область,1,False,8900.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Ульяновская область,1,True,15279.0,15279.0,2257.7704,1845.9758,1767.8769,1711.0776,1576.1794,1157.2849,1022.3866,837.789,816.4893,788.0897,766.79,731.2904
False,0.0,Курганская область,1,False,8900.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Чувашская Республика,1,False,10250.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Чувашская Республика,1,True,12130.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Республика Марий Эл,1,False,11163.0,32092.0,4742.2193,3877.2862,3713.2472,3593.9461,3310.6059,2430.7602,2147.4201,1759.6914,1714.9535,1655.303,1610.5651,1536.0019
False,0.0,Республика Марий Эл,1,True,16000.0,16000.0,2364.3123,1933.0855,1851.3011,1791.8216,1650.5576,1211.8959,1070.632,877.3234,855.0186,825.2788,802.974,765.7993
False,0.0,Республика Адыгея,1,False,8900.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Республика Мордовия,1,False,11163.0,18000.0,2659.8513,2174.7212,2082.7138,2015.7993,1856.8773,1363.3829,1204.461,986.9888,961.8959,928.4387,903.3457,861.5242
False,0.0,Самарская область,0,False,11163.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Тамбовская область,2,False,11163.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Тамбовская область,2,True,15279.0,15279.0,2257.7704,1845.9758,1767.8769,1711.0776,1576.1794,1157.2849,1022.3866,837.789,816.4893,788.0897,766.79,731.2904
False,0.0,Пермский край,1,False,12237.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,0.0,Пермский край,1,True,16500.0,16500.0,2438.197,1993.4944,1909.1543,1847.816,1702.1375,1249.7677,1104.0892,904.7398,881.7379,851.0688,828.0669,789.7305
False,0.0,Карачаево-Черкесская Республика,1,False,11163.0,15279.0,2257.7704,1845.9758,1767.8769,1711.0776,1576.1794,1157.2849,1022.3866,837.789,816.4893,788.0897,766.79,731.2904
False,0.0,Республика Дагестан,1,False,11280.0,29555.0,4367.3281,3570.7714,3419.7003,3309.8304,3048.8894,2238.599,1977.658,1620.5809,1579.3796,1524.4447,1483.2435,1414.5748
