is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),Склонность к здоровому образу жизни (СК) (1662_4),Коммуникабельность (СК) (617_4),ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29)
False,0.0,Тверская область,1,False,9489.0,50000.0,14719.8481,10470.0855,4677.113,3466.2868,3181.3865,2825.2612,2207.9772,2113.0104,2065.5271,1638.1766,1329.5347,1305.793
False,0.0,Краснодарский край,0,False,9489.0,63000.0,18547.0085,13192.3077,5893.1624,4367.5214,4008.547,3559.8291,2782.0513,2662.3932,2602.5641,2064.1026,1675.2137,1645.2991
False,0.0,Краснодарский край,0,True,16000.0,60000.0,17663.8177,12564.1026,5612.5356,4159.5442,3817.6638,3390.3134,2649.5726,2535.6125,2478.6325,1965.812,1595.4416,1566.9516
False,0.0,Республика Татарстан,0,False,9489.0,50000.0,14719.8481,10470.0855,4677.113,3466.2868,3181.3865,2825.2612,2207.9772,2113.0104,2065.5271,1638.1766,1329.5347,1305.793
False,0.0,Республика Татарстан,0,True,11280.0,55000.0,16191.8329,11517.094,5144.8243,3812.9155,3499.5252,3107.7873,2428.7749,2324.3115,2272.0798,1801.9943,1462.4881,1436.3723
False,0.0,Самарская область,0,False,11280.0,52000.0,15308.642,10888.8889,4864.1975,3604.9383,3308.642,2938.2716,2296.2963,2197.5309,2148.1481,1703.7037,1382.716,1358.0247
False,0.0,Самарская область,0,True,14711.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Нижегородская область,0,False,9489.0,40000.0,11775.8784,8376.0684,3741.6904,2773.0294,2545.1092,2260.2089,1766.3818,1690.4084,1652.4217,1310.5413,1063.6277,1044.6344
False,0.0,Нижегородская область,0,True,11280.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Республика Башкортостан,0,False,9489.0,55000.0,16191.8329,11517.094,5144.8243,3812.9155,3499.5252,3107.7873,2428.7749,2324.3115,2272.0798,1801.9943,1462.4881,1436.3723
