is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Уход за растениями (685_14),Технологии возделывания сельскохозяйственных культур в открытом и закрытом грунте (256_14),"Организаторские способности, лидерство (СК) (393_4)",Коммуникабельность (СК) (617_4),Разработка технологии посева (посадки) сельскохозяйственных культур (270_14),Разработка системы мероприятий по производству продукции растениеводства (261_14),Пунктуальность (СК) (612_4),Повышение плодородия почв (3967_14),Кормозаготовка (6851_14),Разработка экологически обоснованной системы применения удобрений (264_14),Разработка системы семеноводства сельскохозяйственных культур (267_14),Контроль процессов (6210_14),Внедрение технологий по борьбе с вредителями и болезнями сельскохозяйственных культур (547_14),Контроль качества (4458_14),Целеустремленность (СК) (588_4),Соблюдение правил внутреннего распорядка и режима работы (4476_14),Командность (СК) (1371_4),"Саморазвитие, обучаемость (СК) (604_4)",Инициативность (СК) (610_4),"Выполнение работ по подготовке почвы к посадке и посеву древесно-кустарниковой, цветочно-декоративной растительности и газонных трав (4344_14)",Знание программы 1С (4468_14),"Разработка технологий уборки сельскохозяйственных культур, послеуборочной доработки сельскохозяйственной продукции и закладки ее на хранение (271_14)",Внимательность (СК) (536_4),Приобретение семян и саженцев (681_14),Нравственность (СК) (622_4),"Разработка технологических карт, организация и контроль работ по уходу за растениями (687_14)",Подготовка технологических карт возделывания сельскохозяйственных культур (259_14),Высокая работоспособность (СК) (586_4),"Выполнение работ по посадке и посеву древесно-кустарниковой, цветочно-декоративной растительности и газонных трав (6718_14)",Разработка агротехнических мероприятий по улучшению фитосанитарного состояния посевов (269_14)
False,0.0,Республика Калмыкия,1,False,11280.0,18177.0,2630.2045,1546.6746,1440.8946,1377.9984,954.8786,914.8537,700.4349,660.41,640.3976,534.6176,531.7587,483.1571,437.4144,374.5182,374.5182,360.2237,360.2237,345.9291,340.2112,320.1988,303.0453,291.6096,288.7507,228.7134,228.7134,208.701,205.8421,197.2653,191.5475,180.1118,180.1118,171.5351,171.5351
False,0.0,Чеченская Республика,1,False,12600.0,12600.0,1823.2148,1072.1296,998.8047,955.206,661.9063,634.1617,485.53,457.7855,443.9132,370.5882,368.6065,334.9166,303.2086,259.6099,259.6099,249.7012,249.7012,239.7924,235.8289,221.9566,210.0661,202.139,200.1573,158.5404,158.5404,144.6681,142.6864,136.7411,132.7776,124.8506,124.8506,118.9053,118.9053
False,0.0,Волгоградская область,2,False,15000.0,75000.0,10852.4693,6381.7238,5945.2658,5685.7502,3939.9182,3774.7719,2890.0598,2724.9135,2642.3404,2205.8824,2194.0862,1993.5514,1804.8128,1545.2973,1545.2973,1486.3165,1486.3165,1427.3356,1403.7433,1321.1702,1250.3932,1203.2086,1191.4124,943.693,943.693,861.1198,849.3237,813.9352,790.3429,743.1582,743.1582,707.7697,707.7697
False,0.0,Волгоградская область,2,True,25000.0,25000.0,3617.4898,2127.2413,1981.7553,1895.2501,1313.3061,1258.2573,963.3533,908.3045,880.7801,735.2941,731.3621,664.5171,601.6043,515.0991,515.0991,495.4388,495.4388,475.7785,467.9144,440.3901,416.7977,401.0695,397.1375,314.5643,314.5643,287.0399,283.1079,271.3117,263.4476,247.7194,247.7194,235.9232,235.9232
False,0.0,Самарская область,0,False,16000.0,50000.0,7234.9796,4254.4825,3963.5105,3790.5002,2626.6121,2516.5146,1926.7065,1816.609,1761.5602,1470.5882,1462.7241,1329.0343,1203.2086,1030.1982,1030.1982,990.8776,990.8776,951.5571,935.8289,880.7801,833.5955,802.139,794.2749,629.1287,629.1287,574.0799,566.2158,542.6235,526.8953,495.4388,495.4388,471.8465,471.8465
False,0.0,Самарская область,0,True,17553.25,17553.25,2539.9481,1493.5999,1391.4498,1330.7119,922.1116,883.4602,676.3992,637.7478,618.4221,516.2721,513.5112,466.5774,422.4044,361.6665,361.6665,347.8625,347.8625,334.0584,328.5368,309.2111,292.6462,281.6029,278.8421,220.8651,220.8651,201.5394,198.7785,190.4961,184.9745,173.9312,173.9312,165.6488,165.6488
False,0.0,Город федерального значения Москва,0,False,20000.0,60000.0,8681.9755,5105.3791,4756.2126,4548.6002,3151.9346,3019.8176,2312.0478,2179.9308,2113.8723,1764.7059,1755.269,1594.8411,1443.8503,1236.2378,1236.2378,1189.0532,1189.0532,1141.8685,1122.9947,1056.9361,1000.3146,962.5668,953.1299,754.9544,754.9544,688.8959,679.4589,651.1482,632.2743,594.5266,594.5266,566.2158,566.2158
False,0.0,Город федерального значения Москва,0,True,38400.0,38400.0,5556.4643,3267.4426,3043.9761,2911.1041,2017.2381,1932.6832,1479.7106,1395.1557,1352.8783,1129.4118,1123.3721,1020.6983,924.0642,791.1922,791.1922,760.994,760.994,730.7958,718.7166,676.4391,640.2013,616.0428,610.0031,483.1708,483.1708,440.8934,434.8537,416.7348,404.6556,380.497,380.497,362.3781,362.3781
False,0.0,Московская область,2,False,25000.0,100000.0,14469.9591,8508.9651,7927.0211,7581.0003,5253.2243,5033.0293,3853.413,3633.218,3523.1205,2941.1765,2925.4483,2658.0686,2406.4171,2060.3964,2060.3964,1981.7553,1981.7553,1903.1142,1871.6578,1761.5602,1667.1909,1604.2781,1588.5499,1258.2573,1258.2573,1148.1598,1132.4316,1085.2469,1053.7905,990.8776,990.8776,943.693,943.693
False,0.0,Саратовская область,2,False,15000.0,75000.0,10852.4693,6381.7238,5945.2658,5685.7502,3939.9182,3774.7719,2890.0598,2724.9135,2642.3404,2205.8824,2194.0862,1993.5514,1804.8128,1545.2973,1545.2973,1486.3165,1486.3165,1427.3356,1403.7433,1321.1702,1250.3932,1203.2086,1191.4124,943.693,943.693,861.1198,849.3237,813.9352,790.3429,743.1582,743.1582,707.7697,707.7697
