is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Навыки работы с измерительным оборудованием (радиоинженер) (2135_27),Английский язык (ЯС) (1918_32),Командность (СК) (1371_4),"Личные установки и ценности, мировоззрение (2043_4)",Навыки разработки и ведения технической документации (радиоинженер) (3236_27),"Ответственность , добросовестность (СК) (614_4)",Владение радиоинженером современным паяльным оборудованием (сквозные навыки) (3423_27),Знания радиоинженера в области стандартов (3066_27)
False,0.0,Ростовская область,0,False,13000.0,13000.0,2930.8832,2220.1499,1680.5632,1659.1699,1594.9899,1117.2061,1036.3869,760.6509
False,0.0,Волгоградская область,2,False,23000.0,23000.0,5185.4087,3927.9576,2973.3041,2935.4544,2821.9053,1976.5954,1833.6076,1345.7671
False,0.0,Владимирская область,1,False,40000.0,40000.0,9018.102,6831.2306,5170.9636,5105.1381,4907.6614,3437.5571,3188.8828,2340.4644
False,0.0,Красноярский край,1,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,0.0,Воронежская область,2,False,25000.0,43000.0,9694.4597,7343.5729,5558.7859,5488.0234,5275.736,3695.3739,3428.049,2515.9993
False,0.0,Ставропольский край,2,False,40000.0,40000.0,9018.102,6831.2306,5170.9636,5105.1381,4907.6614,3437.5571,3188.8828,2340.4644
False,0.0,Удмуртская Республика,1,False,24600.0,35000.0,7890.8393,5977.3268,4524.5932,4466.9958,4294.2037,3007.8625,2790.2724,2047.9064
False,0.0,Рязанская область,1,False,37000.0,37000.0,8341.7444,6318.8883,4783.1413,4722.2527,4539.5868,3179.7404,2949.7166,2164.9296
False,0.0,Республика Крым,1,False,25000.0,25000.0,5636.3138,4269.5191,3231.8523,3190.7113,3067.2884,2148.4732,1993.0517,1462.7903
False,0.0,Пермский край,1,False,30000.0,30000.0,6763.5765,5123.4229,3878.2227,3828.8535,3680.746,2578.1679,2391.6621,1755.3483
False,0.0,Город федерального значения Санкт-Петербург,0,False,25000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,0.0,Свердловская область,0,False,40000.0,40000.0,9018.102,6831.2306,5170.9636,5105.1381,4907.6614,3437.5571,3188.8828,2340.4644
False,0.0,Челябинская область,0,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,0.0,Нижегородская область,0,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,0.0,Республика Татарстан,0,False,32762.0,32762.0,7386.2765,5595.1194,4235.2777,4181.3633,4019.62,2815.5312,2611.8545,1916.9574
False,0.0,Томская область,1,False,80000.0,80000.0,18036.2041,13662.4611,10341.9272,10210.2761,9815.3227,6875.1143,6377.7656,4680.9289
False,0.0,Город федерального значения Москва,0,False,40000.0,150000.0,33817.8826,25617.1146,19391.1135,19144.2677,18403.7301,12890.8393,11958.3105,8776.7416
False,0.0,Московская область,2,False,45000.0,45000.0,10145.3648,7685.1344,5817.3341,5743.2803,5521.119,3867.2518,3587.4931,2633.0225
False,0.0,Московская область,2,True,30000.0,30000.0,6763.5765,5123.4229,3878.2227,3828.8535,3680.746,2578.1679,2391.6621,1755.3483
False,0.0,Ленинградская область,1,False,52000.0,52000.0,11723.5326,8880.5997,6722.2527,6636.6795,6379.9598,4468.8243,4145.5476,3042.6038
False,1.0,Ростовская область,0,False,30000.0,60000.0,13527.153,10246.8459,7756.4454,7657.7071,7361.492,5156.3357,4783.3242,3510.6967
False,1.0,Красноярский край,1,False,28250.0,30000.0,6763.5765,5123.4229,3878.2227,3828.8535,3680.746,2578.1679,2391.6621,1755.3483
False,1.0,Ставропольский край,2,False,30000.0,30000.0,6763.5765,5123.4229,3878.2227,3828.8535,3680.746,2578.1679,2391.6621,1755.3483
False,1.0,Приморский край,1,False,39500.0,39500.0,8905.3758,6745.8402,5106.3266,5041.3238,4846.3156,3394.5877,3149.0218,2311.2086
False,1.0,Краснодарский край,0,False,39500.0,39500.0,8905.3758,6745.8402,5106.3266,5041.3238,4846.3156,3394.5877,3149.0218,2311.2086
False,1.0,Город федерального значения Санкт-Петербург,0,False,30000.0,80000.0,18036.2041,13662.4611,10341.9272,10210.2761,9815.3227,6875.1143,6377.7656,4680.9289
False,1.0,Свердловская область,0,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Челябинская область,0,False,45000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Нижегородская область,0,False,45000.0,55000.0,12399.8903,9392.942,7110.075,7019.5648,6748.0344,4726.6411,4384.7138,3218.1386
False,1.0,Томская область,1,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Город федерального значения Москва,0,False,39000.0,150000.0,33817.8826,25617.1146,19391.1135,19144.2677,18403.7301,12890.8393,11958.3105,8776.7416
False,1.0,Город федерального значения Москва,0,True,46000.0,46000.0,10370.8173,7855.9152,5946.6082,5870.9088,5643.8106,3953.1907,3667.2152,2691.5341
False,1.0,Московская область,2,False,47000.0,95000.0,21417.9923,16224.1726,12281.0386,12124.7029,11655.6957,8164.1982,7573.5966,5558.603
False,1.0,Ленинградская область,1,False,100000.0,100000.0,22545.2551,17078.0764,12927.409,12762.8451,12269.1534,8593.8929,7972.207,5851.1611
False,1.0,Курская область,2,False,30000.0,30000.0,6763.5765,5123.4229,3878.2227,3828.8535,3680.746,2578.1679,2391.6621,1755.3483
False,1.0,Калининградская область,1,False,40000.0,40000.0,9018.102,6831.2306,5170.9636,5105.1381,4907.6614,3437.5571,3188.8828,2340.4644
False,1.0,Омская область,1,False,27500.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Калужская область,1,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Новгородская область,1,False,40000.0,40000.0,9018.102,6831.2306,5170.9636,5105.1381,4907.6614,3437.5571,3188.8828,2340.4644
False,1.0,Мурманская область,1,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Кировская область,1,False,50000.0,55000.0,12399.8903,9392.942,7110.075,7019.5648,6748.0344,4726.6411,4384.7138,3218.1386
False,1.0,Амурская область,1,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Хабаровский край,1,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Ульяновская область,1,False,50000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,1.0,Самарская область,0,False,35000.0,35000.0,7890.8393,5977.3268,4524.5932,4466.9958,4294.2037,3007.8625,2790.2724,2047.9064
False,1.0,Пензенская область,1,False,45000.0,45000.0,10145.3648,7685.1344,5817.3341,5743.2803,5521.119,3867.2518,3587.4931,2633.0225
False,1.0,Новосибирская область,0,False,70000.0,70000.0,15781.6786,11954.6535,9049.1863,8933.9916,8588.4074,6015.725,5580.5449,4095.8128
False,2.0,Владимирская область,1,False,14600.0,14600.0,3291.6072,2493.3992,1887.4017,1863.3754,1791.2964,1254.7084,1163.9422,854.2695
False,2.0,Красноярский край,1,False,55000.0,55000.0,12399.8903,9392.942,7110.075,7019.5648,6748.0344,4726.6411,4384.7138,3218.1386
False,2.0,Воронежская область,2,False,40000.0,44500.0,10032.6385,7599.744,5752.697,5679.4661,5459.7733,3824.2823,3547.6321,2603.7667
False,2.0,Ставропольский край,2,False,20000.0,20000.0,4509.051,3415.6153,2585.4818,2552.569,2453.8307,1718.7786,1594.4414,1170.2322
False,2.0,Рязанская область,1,False,38000.0,38000.0,8567.1969,6489.669,4912.4154,4849.8811,4662.2783,3265.6793,3029.4387,2223.4412
False,2.0,Краснодарский край,0,False,27600.0,27600.0,6222.4904,4713.5491,3567.9649,3522.5453,3386.2863,2371.9144,2200.3291,1614.9205
False,2.0,Город федерального значения Санкт-Петербург,0,False,40000.0,100000.0,22545.2551,17078.0764,12927.409,12762.8451,12269.1534,8593.8929,7972.207,5851.1611
False,2.0,Республика Татарстан,0,False,80000.0,80000.0,18036.2041,13662.4611,10341.9272,10210.2761,9815.3227,6875.1143,6377.7656,4680.9289
False,2.0,Томская область,1,False,40000.0,50000.0,11272.6275,8539.0382,6463.7045,6381.4226,6134.5767,4296.9464,3986.1035,2925.5805
False,2.0,Город федерального значения Москва,0,False,30000.0,100000.0,22545.2551,17078.0764,12927.409,12762.8451,12269.1534,8593.8929,7972.207,5851.1611
False,2.0,Московская область,2,False,45000.0,100000.0,22545.2551,17078.0764,12927.409,12762.8451,12269.1534,8593.8929,7972.207,5851.1611
False,2.0,Республика Башкортостан,0,False,22700.0,22700.0,5117.7729,3876.7233,2934.5219,2897.1658,2785.0978,1950.8137,1809.691,1328.2136
False,2.0,Омская область,1,False,90000.0,90000.0,20290.7296,15370.2688,11634.6681,11486.5606,11042.2381,7734.5036,7174.9863,5266.045
False,2.0,Новгородская область,1,False,50000.0,100000.0,22545.2551,17078.0764,12927.409,12762.8451,12269.1534,8593.8929,7972.207,5851.1611
False,2.0,Самарская область,0,False,70000.0,70000.0,15781.6786,11954.6535,9049.1863,8933.9916,8588.4074,6015.725,5580.5449,4095.8128
False,2.0,Камчатский край,1,False,46800.0,46800.0,10551.1794,7992.5398,6050.0274,5973.0115,5741.9638,4021.9419,3730.9929,2738.3434
