is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Закрепление подвижного состава (1740_23),"Ответственность , добросовестность (СК) (614_4)",Выполнение работ по ограждению места производства работ (РЖД) (2680_23),Подача звуковых и видимых сигналов при выполнении работ по ограждению (2946_23),Пунктуальность (СК) (612_4),"Саморазвитие, обучаемость (СК) (604_4)","Установка и снятие знаков, сигналов, петард при производстве работ по ограждению (2945_23)",Коммуникабельность (СК) (617_4),"Знание сигналов, знаков, и правил их установки (2681_23)",Командность (СК) (1371_4),"Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Высокая работоспособность (СК) (586_4),Знание порядка пользования средствами связи (2962_23),Инициативность (СК) (610_4)
False,0.0,Республика Башкортостан,0,False,17900.0,37000.0,10074.3297,8484.03,2356.2697,2188.4858,2057.1767,2049.8817,1889.3927,1466.2855,1386.041,1313.0915,1218.2571,1152.6025,510.6467,459.582,393.9274
False,0.0,Ленинградская область,1,False,19000.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Ярославская область,1,False,19950.0,39000.0,10618.888,8942.6262,2483.6356,2306.7823,2168.3754,2160.6861,1991.5221,1545.5442,1460.9621,1384.0694,1284.1088,1214.9054,538.2492,484.4243,415.2208
False,0.0,Калининградская область,1,False,16750.0,21991.0,5987.6914,5042.4947,1400.4521,1300.7295,1222.6857,1218.35,1122.9631,871.4888,823.7953,780.4377,724.0728,685.0509,303.5035,273.1532,234.1313
False,0.0,Республика Татарстан,0,False,19000.0,38400.0,10455.5205,8805.0473,2445.4259,2271.2934,2135.0158,2127.4448,1960.8833,1521.7666,1438.4858,1362.776,1264.3533,1196.2145,529.9685,476.9716,408.8328
False,0.0,Волгоградская область,2,False,16750.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Рязанская область,1,False,20000.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Воронежская область,2,False,16750.0,33800.0,9203.0363,7750.276,2152.4842,1999.2114,1879.2587,1872.5946,1725.9858,1339.4716,1266.1672,1199.5268,1112.8943,1052.918,466.4826,419.8344,359.858
False,0.0,Свердловская область,0,False,17000.0,40250.0,10959.237,9229.2488,2563.2394,2380.7177,2237.8746,2229.9389,2055.3529,1595.0808,1507.7879,1428.4306,1325.2662,1253.8446,555.5008,499.9507,428.5292
False,0.0,Краснодарский край,0,False,19100.5,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Кировская область,1,False,16750.0,27000.0,7351.5379,6191.0489,1719.4401,1597.0032,1501.183,1495.8596,1378.7461,1069.9921,1011.4353,958.2019,888.9984,841.0883,372.6341,335.3707,287.4606
False,0.0,Владимирская область,1,False,23947.5,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Тюменская область,1,False,16750.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
False,0.0,Ульяновская область,1,False,19000.0,21000.0,5717.8628,4815.2603,1337.3423,1242.1136,1167.5868,1163.4464,1072.358,832.2161,786.6719,745.2681,691.4432,654.1798,289.8265,260.8438,223.5804
False,0.0,Костромская область,1,False,20000.0,35000.0,9529.7713,8025.4338,2228.9038,2070.1893,1945.9779,1939.0773,1787.2634,1387.0268,1311.1199,1242.1136,1152.4054,1090.2997,483.0442,434.7397,372.6341
False,0.0,Самарская область,0,False,18000.0,46000.0,12524.8423,10547.7129,2929.4164,2720.8202,2557.571,2548.5016,2348.9748,1822.9495,1723.1861,1632.4921,1514.5899,1432.9653,634.858,571.3722,489.7476
False,0.0,Смоленская область,1,False,19100.5,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Белгородская область,2,False,19100.5,26000.0,7079.2587,5961.7508,1655.7571,1537.8549,1445.5836,1440.4574,1327.6814,1030.3628,973.9748,922.7129,856.0726,809.9369,358.8328,322.9495,276.8139
False,0.0,Удмуртская Республика,1,False,19950.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
False,0.0,Вологодская область,1,False,20000.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Псковская область,1,False,19100.5,26000.0,7079.2587,5961.7508,1655.7571,1537.8549,1445.5836,1440.4574,1327.6814,1030.3628,973.9748,922.7129,856.0726,809.9369,358.8328,322.9495,276.8139
False,0.0,Орловская область,1,False,27000.0,27000.0,7351.5379,6191.0489,1719.4401,1597.0032,1501.183,1495.8596,1378.7461,1069.9921,1011.4353,958.2019,888.9984,841.0883,372.6341,335.3707,287.4606
False,0.0,Тульская область,1,False,20000.0,20000.0,5445.5836,4585.9621,1273.6593,1182.9653,1111.9874,1108.0442,1021.2934,792.5868,749.2114,709.7792,658.5174,623.0284,276.0252,248.4227,212.9338
False,0.0,Ростовская область,0,False,22000.0,23000.0,6262.4211,5273.8565,1464.7082,1360.4101,1278.7855,1274.2508,1174.4874,911.4748,861.5931,816.2461,757.295,716.4826,317.429,285.6861,244.8738
False,0.0,Нижегородская область,0,False,23000.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Тверская область,1,False,19950.0,23000.0,6262.4211,5273.8565,1464.7082,1360.4101,1278.7855,1274.2508,1174.4874,911.4748,861.5931,816.2461,757.295,716.4826,317.429,285.6861,244.8738
False,0.0,Тамбовская область,2,False,19950.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Алтайский край,2,False,22000.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Новгородская область,1,False,19100.5,19950.0,5431.9696,4574.4972,1270.4752,1180.0079,1109.2074,1105.2741,1018.7401,790.6053,747.3383,708.0047,656.8711,621.4708,275.3352,247.8017,212.4014
False,0.0,Калужская область,1,False,27400.0,27400.0,7460.4495,6282.7681,1744.9132,1620.6625,1523.4227,1518.0205,1399.1719,1085.8438,1026.4196,972.3975,902.1688,853.5489,378.1546,340.3391,291.7192
