is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",ЖКХа общие фразы (2155_29),ЖКХа техническое обслуживание электротехнического оборудования (2792_29),Выполнение ремонтных работ (ОПТ) (8285_36),ЖКХа ремонт электрооборудования (2558_29),ЖКХа техническое обслуживание электрической части (2669_29),ЖКХа общие фразы по обслуживанию и ремонту узлов/оборудования (3803_29),"ЖКХа Заземление и зануление, проверка изоляции (2658_29)",Пунктуальность (СК) (612_4),"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",Аккуратность (СК) (575_4),Внимательность (СК) (536_4),ЖКХ общепрофессиональные знания по электрике (2153_29),ЖКХа монтаж электро оборудования (2503_29),ЖКХа Контроль за работой оборудования (3901_29),ЖКХа Умение читать электрические схемы (3681_29),ЖКХа Техническое обслуживание электрических машин (4101_29),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),"ЖКХа Сборка, обслуживание и ремонт узлов электрических сетей и оборудования (2151_29)"
False,1.0,Краснодарский край,0,False,12000.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Краснодарский край,0,True,13150.0,13150.0,2731.6823,1915.4754,1508.7461,1134.9948,906.8966,687.0428,662.3093,557.8788,425.9666,269.3208,266.5726,258.3281,239.0909,239.0909,230.8464,230.8464,211.6092,195.1202,184.1275,148.4013,145.6531
False,1.0,Нижегородская область,0,False,12000.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Курская область,2,False,12000.0,40000.0,8309.2999,5826.5413,4589.3417,3452.4556,2758.6207,2089.8642,2014.629,1696.9697,1295.7158,819.2268,810.8673,785.7889,727.2727,727.2727,702.1944,702.1944,643.6782,593.5214,560.0836,451.4107,443.0512
False,1.0,Ульяновская область,1,False,12000.0,50600.0,10511.2644,7370.5747,5805.5172,4367.3563,3489.6552,2643.6782,2548.5057,2146.6667,1639.0805,1036.3218,1025.7471,994.023,920.0,920.0,888.2759,888.2759,814.2529,750.8046,708.5057,571.0345,560.4598
False,1.0,Ульяновская область,1,True,16000.0,16000.0,3323.72,2330.6165,1835.7367,1380.9822,1103.4483,835.9457,805.8516,678.7879,518.2863,327.6907,324.3469,314.3156,290.9091,290.9091,280.8777,280.8777,257.4713,237.4086,224.0334,180.5643,177.2205
False,1.0,Город федерального значения Москва,0,False,20775.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Город федерального значения Москва,0,True,15000.0,54361.5,11292.6502,7918.4881,6237.0875,4692.0166,3749.069,2840.2038,2737.9564,2306.2455,1760.9263,1113.3599,1101.9991,1067.9166,988.3909,988.3909,954.3085,954.3085,874.7828,806.6179,761.1746,613.484,602.1232
False,1.0,Республика Саха (Якутия),1,False,28546.0,350000.0,72706.3741,50982.2362,40156.7398,30208.9864,24137.931,18286.3114,17628.0042,14848.4848,11337.5131,7168.2341,7095.0888,6875.6531,6363.6364,6363.6364,6144.2006,6144.2006,5632.1839,5193.3124,4900.7315,3949.8433,3876.698
False,1.0,Республика Татарстан,0,False,15000.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Республика Татарстан,0,True,29639.0,29639.0,6156.9835,4317.3214,3400.5875,2558.1833,2044.069,1548.5371,1492.7898,1257.4121,960.093,607.0265,600.8324,582.2499,538.8909,538.8909,520.3085,520.3085,476.9494,439.7845,415.0079,334.484,328.2899
False,1.0,Республика Бурятия,1,False,20775.0,110000.0,22850.5747,16022.9885,12620.6897,9494.2529,7586.2069,5747.1264,5540.2299,4666.6667,3563.2184,2252.8736,2229.8851,2160.9195,2000.0,2000.0,1931.0345,1931.0345,1770.1149,1632.1839,1540.2299,1241.3793,1218.3908
