is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Административные функции (61_3),"Контроль  сварки/резки, измерение (71_3)",Составление/формирование/подготовка отчетности (ОПТ) (3911_36),Командность (СК) (1371_4),"Организаторские способности, лидерство (СК) (393_4)",Руководство и контроль сварочного производства (999_3),"Знание техник, технологии сварки, наплавки (41_3)",Сварка без конкретизации вида/оборудования (26_3),"Чтение чертежей, документации (68_3)",Технологическая подготовка сварочного производства (997_3),Коммуникабельность (СК) (617_4),"Знание НТД, НД, ПТД (2712_3)",Чтение схем/чертежей (ОПТ) (3032_36),Разрешительная и исполнительная документация (2690_3),Внимательность (СК) (536_4),Английский язык (ЯС) (1918_32),Стрессоустойчивость (СК) (601_4),Соблюдение техники безопасности (ОПТ) (3791_36),Инициативность (СК) (610_4),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Дефекты и нормы оценки (2754_3),"Соблюдение охраны труда, техники безопасности и пожарной безопасности (69_3)",Пунктуальность (СК) (612_4),"Многозадачность, интенсивность (СК) (627_4)",Китайский язык (ЯС) (1933_32),Выполнение ремонтных работ (ОПТ) (8285_36),Обслуживание и ремонт сварочного оборудования (60_3)
False,2.0,Город федерального значения Москва,0,False,20000.0,120000.0,26177.2208,11152.2679,10001.109,9934.568,6348.0093,6254.8519,5942.1093,5463.0143,4963.957,4924.0324,4032.3833,3060.885,2861.2621,2249.0851,2195.8523,2022.8457,1789.9523,1743.3736,1550.4048,1483.8638,1018.077,865.0327,831.7622,505.7114,492.4032,459.1327,445.8246,432.5164,432.5164,365.9754
False,2.0,Амурская область,1,False,20000.0,100000.0,21814.3507,9293.5566,8334.2575,8278.8067,5290.0078,5212.3766,4951.7578,4552.5119,4136.6308,4103.3603,3360.3194,2550.7375,2384.3851,1874.2376,1829.8769,1685.7048,1491.6269,1452.8114,1292.004,1236.5532,848.3975,720.8606,693.1352,421.4262,410.336,382.6106,371.5205,360.4303,360.4303,304.9795
False,2.0,Челябинская область,0,False,16400.0,63500.0,13852.1127,5901.4085,5292.2535,5257.0423,3359.1549,3309.8592,3144.3662,2890.8451,2626.7606,2605.6338,2133.8028,1619.7183,1514.0845,1190.1408,1161.9718,1070.4225,947.1831,922.5352,820.4225,785.2113,538.7324,457.7465,440.1408,267.6056,260.5634,242.9577,235.9155,228.8732,228.8732,193.662
False,2.0,Ленинградская область,1,False,40000.0,90000.0,19632.9156,8364.201,7500.8318,7450.926,4761.007,4691.139,4456.582,4097.2607,3722.9677,3693.0243,3024.2875,2295.6637,2145.9465,1686.8138,1646.8892,1517.1343,1342.4642,1307.5302,1162.8036,1112.8979,763.5577,648.7745,623.8217,379.2836,369.3024,344.3496,334.3684,324.3873,324.3873,274.4815
False,2.0,Город федерального значения Санкт-Петербург,0,False,20000.0,130000.0,28358.6559,12081.6236,10834.5348,10762.4487,6877.0101,6776.0896,6437.2851,5918.2655,5377.6201,5334.3684,4368.4152,3315.9587,3099.7006,2436.5088,2378.84,2191.4162,1939.115,1888.6548,1679.6052,1607.5191,1102.9167,937.1188,901.0757,547.8541,533.4368,497.3938,482.9766,468.5594,468.5594,396.4733
False,2.0,Республика Саха (Якутия),1,False,21250.0,50000.0,10907.1753,4646.7783,4167.1288,4139.4033,2645.0039,2606.1883,2475.8789,2276.256,2068.3154,2051.6802,1680.1597,1275.3687,1192.1925,937.1188,914.9384,842.8524,745.8135,726.4057,646.002,618.2766,424.1987,360.4303,346.5676,210.7131,205.168,191.3053,185.7602,180.2151,180.2151,152.4897
False,2.0,Свердловская область,0,False,21250.0,120000.0,26177.2208,11152.2679,10001.109,9934.568,6348.0093,6254.8519,5942.1093,5463.0143,4963.957,4924.0324,4032.3833,3060.885,2861.2621,2249.0851,2195.8523,2022.8457,1789.9523,1743.3736,1550.4048,1483.8638,1018.077,865.0327,831.7622,505.7114,492.4032,459.1327,445.8246,432.5164,432.5164,365.9754
False,2.0,Свердловская область,0,True,21250.0,21250.0,4635.5495,1974.8808,1771.0297,1759.2464,1124.1266,1107.63,1052.2485,967.4088,879.034,871.9641,714.0679,542.0317,506.6818,398.2755,388.8488,358.2123,316.9707,308.7224,274.5508,262.7676,180.2845,153.1829,147.2912,89.5531,87.1964,81.3048,78.9481,76.5914,76.5914,64.8081
False,2.0,Ярославская область,1,False,20000.0,50000.0,10907.1753,4646.7783,4167.1288,4139.4033,2645.0039,2606.1883,2475.8789,2276.256,2068.3154,2051.6802,1680.1597,1275.3687,1192.1925,937.1188,914.9384,842.8524,745.8135,726.4057,646.002,618.2766,424.1987,360.4303,346.5676,210.7131,205.168,191.3053,185.7602,180.2151,180.2151,152.4897
False,2.0,Хабаровский край,1,False,20000.0,120000.0,26177.2208,11152.2679,10001.109,9934.568,6348.0093,6254.8519,5942.1093,5463.0143,4963.957,4924.0324,4032.3833,3060.885,2861.2621,2249.0851,2195.8523,2022.8457,1789.9523,1743.3736,1550.4048,1483.8638,1018.077,865.0327,831.7622,505.7114,492.4032,459.1327,445.8246,432.5164,432.5164,365.9754
False,2.0,Кемеровская область,1,False,21250.0,42500.0,9271.099,3949.7616,3542.0594,3518.4928,2248.2533,2215.2601,2104.4971,1934.8176,1758.0681,1743.9281,1428.1357,1084.0634,1013.3636,796.551,777.6977,716.4245,633.9414,617.4448,549.1017,525.5351,360.5689,306.3658,294.5825,179.1061,174.3928,162.6095,157.8962,153.1829,153.1829,129.6163
False,2.0,Сахалинская область,1,False,20000.0,60000.0,13088.6104,5576.134,5000.5545,4967.284,3174.0047,3127.426,2971.0547,2731.5072,2481.9785,2462.0162,2016.1916,1530.4425,1430.631,1124.5425,1097.9261,1011.4229,894.9762,871.6868,775.2024,741.9319,509.0385,432.5164,415.8811,252.8557,246.2016,229.5664,222.9123,216.2582,216.2582,182.9877
False,2.0,Тульская область,1,False,27000.0,118000.0,25740.9338,10966.3968,9834.4239,9768.9919,6242.2092,6150.6044,5843.0742,5371.9641,4881.2244,4841.9652,3965.1769,3009.8702,2813.5744,2211.6003,2159.2547,1989.1316,1760.1198,1714.3174,1524.5647,1459.1327,1001.109,850.6155,817.8995,497.2829,484.1965,451.4805,438.3941,425.3078,425.3078,359.8758
False,2.0,Приморский край,1,False,21250.0,120000.0,26177.2208,11152.2679,10001.109,9934.568,6348.0093,6254.8519,5942.1093,5463.0143,4963.957,4924.0324,4032.3833,3060.885,2861.2621,2249.0851,2195.8523,2022.8457,1789.9523,1743.3736,1550.4048,1483.8638,1018.077,865.0327,831.7622,505.7114,492.4032,459.1327,445.8246,432.5164,432.5164,365.9754
False,2.0,Республика Северная Осетия,1,False,35750.0,50000.0,10907.1753,4646.7783,4167.1288,4139.4033,2645.0039,2606.1883,2475.8789,2276.256,2068.3154,2051.6802,1680.1597,1275.3687,1192.1925,937.1188,914.9384,842.8524,745.8135,726.4057,646.002,618.2766,424.1987,360.4303,346.5676,210.7131,205.168,191.3053,185.7602,180.2151,180.2151,152.4897
False,2.0,Республика Северная Осетия,1,True,35750.0,35750.0,7798.6304,3322.4465,2979.4971,2959.6734,1891.1778,1863.4246,1770.2534,1627.523,1478.8455,1466.9513,1201.3142,911.8887,852.4177,670.0399,654.181,602.6395,533.2566,519.3801,461.8914,442.0678,303.3021,257.7077,247.7958,150.6599,146.6951,136.7833,132.8186,128.8538,128.8538,109.0302
False,2.0,Забайкальский край,1,False,20000.0,42000.0,9162.0273,3903.2938,3500.3882,3477.0988,2221.8033,2189.1982,2079.7383,1912.055,1737.3849,1723.4113,1411.3341,1071.3097,1001.4417,787.1798,768.5483,707.996,626.4833,610.1808,542.6417,519.3523,356.3269,302.7615,291.1168,176.999,172.3411,160.6965,156.0386,151.3807,151.3807,128.0914
False,2.0,Липецкая область,1,False,22625.0,30000.0,6544.3052,2788.067,2500.2773,2483.642,1587.0023,1563.713,1485.5273,1365.7536,1240.9892,1231.0081,1008.0958,765.2212,715.3155,562.2713,548.9631,505.7114,447.4881,435.8434,387.6012,370.966,254.5192,216.2582,207.9406,126.4279,123.1008,114.7832,111.4561,108.1291,108.1291,91.4938
False,2.0,Еврейская автономная область,1,False,22625.0,50000.0,10907.1753,4646.7783,4167.1288,4139.4033,2645.0039,2606.1883,2475.8789,2276.256,2068.3154,2051.6802,1680.1597,1275.3687,1192.1925,937.1188,914.9384,842.8524,745.8135,726.4057,646.002,618.2766,424.1987,360.4303,346.5676,210.7131,205.168,191.3053,185.7602,180.2151,180.2151,152.4897
False,2.0,Нижегородская область,0,False,23000.0,149000.0,32503.3825,13847.3994,12418.0437,12335.422,7882.1116,7766.4412,7378.1191,6783.2428,6163.5799,6114.0069,5006.8759,3800.5989,3552.7337,2792.614,2726.5166,2511.7001,2222.5241,2164.6889,1925.0859,1842.4642,1264.1122,1074.0823,1032.7714,627.925,611.4007,570.0898,553.5655,537.0411,537.0411,454.4194
