is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Сборка несложных узлов и конструкций (3923_35),Чтение схем/чертежей (ОПТ) (3032_36),"Личные установки и ценности, мировоззрение (2043_4)",Умение работать с электроинструментом (3578_35),Сборка сложных узлов (3921_35),Внимательность (СК) (536_4),Выполнение слесарных работ (3552_35),Аккуратность (СК) (575_4),"Правка деталей, узлов и конструкций (3933_35)",Работать электроприхваткой (3928_35),Разметка мест под установку деталей и узлов (3939_35),Высокая работоспособность (СК) (586_4),Опыт механосборки (3920_35),Сварочные работы (3934_35),Выполнение работ по сверлению и обработке отверстий (3558_35),Склонность к здоровому образу жизни (СК) (1662_4),Зачистка сварных швов (3799_35),Командность (СК) (1371_4),Испытания узлов и конструкций (3926_35),Сборка узлов и конструкций средней сложности (3922_35),Установка крепежа (3941_35),Резка металла (3931_35),Коммуникабельность (СК) (617_4),Разметка деталей (3649_35),"Саморазвитие, обучаемость (СК) (604_4)",Изготовление узлов и конструкций (4081_35)
False,1.0,Республика Северная Осетия,1,False,18700.0,20000.0,3643.0046,2286.8032,1953.3111,1632.5234,1515.0071,962.363,765.4439,701.9215,641.5754,593.9336,593.9336,536.7635,457.3606,352.5488,343.0205,304.9071,298.5549,263.6176,254.0892,238.2087,235.0326,231.8564,222.3281,222.3281,200.0953,196.9192,190.5669,161.9819
False,1.0,Запорожская область,1,False,20800.0,37700.0,6867.0637,4310.6241,3681.9914,3077.3067,2855.7885,1814.0543,1442.8617,1323.1221,1209.3695,1119.5649,1119.5649,1011.7993,862.1248,664.5545,646.5936,574.7499,562.7759,496.9192,478.9582,449.0233,443.0364,437.0494,419.0885,419.0885,377.1796,371.1926,359.2187,305.3359
False,1.0,Кемеровская область,1,False,20500.0,90000.0,16393.5207,10290.6146,8789.9,7346.3554,6817.5322,4330.6336,3444.4974,3158.647,2887.0891,2672.7013,2672.7013,2415.4359,2058.1229,1586.4697,1543.5922,1372.0819,1343.4969,1186.2792,1143.4016,1071.939,1057.6465,1043.354,1000.4764,1000.4764,900.4288,886.1363,857.5512,728.9185
False,1.0,Приморский край,1,False,20500.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Республика Адыгея,1,False,31500.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Город федерального значения Санкт-Петербург,0,False,25000.0,100000.0,18215.023,11434.0162,9766.5555,8162.6171,7575.0357,4811.8152,3827.2193,3509.6077,3207.8768,2969.6681,2969.6681,2683.8177,2286.8032,1762.7442,1715.1024,1524.5355,1492.7743,1318.088,1270.4462,1191.0434,1175.1628,1159.2822,1111.6405,1111.6405,1000.4764,984.5958,952.8347,809.9095
False,1.0,Город федерального значения Санкт-Петербург,0,True,25000.0,25000.0,4553.7558,2858.504,2441.6389,2040.6543,1893.7589,1202.9538,956.8048,877.4019,801.9692,742.417,742.417,670.9544,571.7008,440.686,428.7756,381.1339,373.1936,329.522,317.6116,297.7608,293.7907,289.8205,277.9101,277.9101,250.1191,246.149,238.2087,202.4774
False,1.0,Брянская область,1,False,25000.0,120000.0,21858.0276,13720.8194,11719.8666,9795.1405,9090.0429,5774.1782,4592.6632,4211.5293,3849.4521,3563.6017,3563.6017,3220.5812,2744.1639,2115.293,2058.1229,1829.4426,1791.3292,1581.7056,1524.5355,1429.252,1410.1953,1391.1386,1333.9686,1333.9686,1200.5717,1181.515,1143.4016,971.8914
False,1.0,Город федерального значения Москва,0,False,35000.0,120000.0,21858.0276,13720.8194,11719.8666,9795.1405,9090.0429,5774.1782,4592.6632,4211.5293,3849.4521,3563.6017,3563.6017,3220.5812,2744.1639,2115.293,2058.1229,1829.4426,1791.3292,1581.7056,1524.5355,1429.252,1410.1953,1391.1386,1333.9686,1333.9686,1200.5717,1181.515,1143.4016,971.8914
False,1.0,Ростовская область,0,False,20000.0,90000.0,16393.5207,10290.6146,8789.9,7346.3554,6817.5322,4330.6336,3444.4974,3158.647,2887.0891,2672.7013,2672.7013,2415.4359,2058.1229,1586.4697,1543.5922,1372.0819,1343.4969,1186.2792,1143.4016,1071.939,1057.6465,1043.354,1000.4764,1000.4764,900.4288,886.1363,857.5512,728.9185
False,1.0,Вологодская область,1,False,25000.0,85000.0,15482.7696,9718.9138,8301.5722,6938.2246,6438.7804,4090.0429,3253.1364,2983.1666,2726.6953,2524.2179,2524.2179,2281.245,1943.7828,1498.3325,1457.8371,1295.8552,1268.8582,1120.3748,1079.8793,1012.3869,998.8884,985.3899,944.8944,944.8944,850.405,836.9065,809.9095,688.4231
False,1.0,Воронежская область,2,False,25000.0,120000.0,21858.0276,13720.8194,11719.8666,9795.1405,9090.0429,5774.1782,4592.6632,4211.5293,3849.4521,3563.6017,3563.6017,3220.5812,2744.1639,2115.293,2058.1229,1829.4426,1791.3292,1581.7056,1524.5355,1429.252,1410.1953,1391.1386,1333.9686,1333.9686,1200.5717,1181.515,1143.4016,971.8914
False,1.0,Курская область,2,False,35000.0,120000.0,21858.0276,13720.8194,11719.8666,9795.1405,9090.0429,5774.1782,4592.6632,4211.5293,3849.4521,3563.6017,3563.6017,3220.5812,2744.1639,2115.293,2058.1229,1829.4426,1791.3292,1581.7056,1524.5355,1429.252,1410.1953,1391.1386,1333.9686,1333.9686,1200.5717,1181.515,1143.4016,971.8914
False,1.0,Республика Татарстан,0,False,20000.0,85000.0,15482.7696,9718.9138,8301.5722,6938.2246,6438.7804,4090.0429,3253.1364,2983.1666,2726.6953,2524.2179,2524.2179,2281.245,1943.7828,1498.3325,1457.8371,1295.8552,1268.8582,1120.3748,1079.8793,1012.3869,998.8884,985.3899,944.8944,944.8944,850.405,836.9065,809.9095,688.4231
False,1.0,Волгоградская область,2,False,20000.0,110000.0,20036.5253,12577.4178,10743.2111,8978.8788,8332.5393,5292.9967,4209.9412,3860.5685,3528.6644,3266.6349,3266.6349,2952.1995,2515.4836,1939.0186,1886.6127,1676.989,1642.0518,1449.8968,1397.4909,1310.1477,1292.6791,1275.2104,1222.8045,1222.8045,1100.5241,1083.0554,1048.1182,890.9004
False,1.0,Свердловская область,0,False,25000.0,111000.0,20218.6756,12691.758,10840.8766,9060.505,8408.2897,5341.1148,4248.2134,3895.6646,3560.7432,3296.3316,3296.3316,2979.0376,2538.3516,1956.646,1903.7637,1692.2344,1656.9795,1463.0777,1410.1953,1322.0581,1304.4307,1286.8032,1233.9209,1233.9209,1110.5288,1092.9014,1057.6465,898.9995
False,1.0,Чувашская Республика,1,False,23000.0,76000.0,13843.4175,8689.8523,7422.5822,6203.589,5757.0272,3656.9795,2908.6867,2667.3019,2437.9863,2256.9478,2256.9478,2039.7014,1737.9705,1339.6856,1303.4778,1158.647,1134.5085,1001.7469,965.5391,905.1929,893.1237,881.0545,844.8468,844.8468,760.3621,748.2928,724.1544,615.5312
False,1.0,Самарская область,0,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Самарская область,0,True,54000.0,54000.0,9836.1124,6174.3687,5273.94,4407.8132,4090.5193,2598.3802,2066.6984,1895.1882,1732.2535,1603.6208,1603.6208,1449.2616,1234.8737,951.8818,926.1553,823.2492,806.0981,711.7675,686.041,643.1634,634.5879,626.0124,600.2859,600.2859,540.2573,531.6818,514.5307,437.3511
False,1.0,Ярославская область,1,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Белгородская область,2,False,21500.0,74300.0,13533.7621,8495.474,7256.5507,6064.8245,5628.2515,3575.1787,2843.6239,2607.6386,2383.4524,2206.4634,2206.4634,1994.0765,1699.0948,1309.7189,1274.3211,1132.7299,1109.1313,979.3394,943.9416,884.9452,873.1459,861.3467,825.9489,825.9489,743.354,731.5547,707.9562,601.7627
False,1.0,Удмуртская Республика,1,False,25000.0,85000.0,15482.7696,9718.9138,8301.5722,6938.2246,6438.7804,4090.0429,3253.1364,2983.1666,2726.6953,2524.2179,2524.2179,2281.245,1943.7828,1498.3325,1457.8371,1295.8552,1268.8582,1120.3748,1079.8793,1012.3869,998.8884,985.3899,944.8944,944.8944,850.405,836.9065,809.9095,688.4231
