is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Работать с библиотечными каталогами / картотеками (без указания формы) (Библиотека) (1646_19),Пунктуальность (СК) (612_4),Дисциплинированность (СК) (593_4),"Встречать, записывать/регистрироваь читателей/пользователей в библиотеку / Перерегистрировать читателей/пользователей библиотеки (Библиотека) (1429_19)",Доброжелательность (СК) (1126_4),Коммуникабельность (СК) (617_4),"Организовывать и проводить библиотечные/культурно-просветительские мероприятия / клубы / кружки, пропагандировать чтение (Библиотека) (635_19)",Осуществлять работу с библиотечным / книжным фондом (Библиотека) (1840_19)
False,0.0,Челябинская область,0,False,8000.0,36500.0,7062.777,5283.6041,4367.0606,3881.8316,3666.1743,3234.8597,3180.9453,3019.2024,2803.5451
False,0.0,Челябинская область,0,True,14000.0,18679.0,3614.4003,2703.9025,2234.8582,1986.5406,1876.1773,1655.4505,1627.8597,1545.0871,1434.7238
False,0.0,Владимирская область,1,False,10913.0,25000.0,4837.5185,3618.9069,2991.1374,2658.7888,2511.0783,2215.6573,2178.7297,2067.9468,1920.2363
False,0.0,Владимирская область,1,True,15279.0,15984.0,3092.9158,2313.7843,1912.4136,1699.9232,1605.483,1416.6027,1392.9926,1322.1625,1227.7223
False,0.0,Курская область,2,False,10913.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Курганская область,1,False,8000.0,18679.0,3614.4003,2703.9025,2234.8582,1986.5406,1876.1773,1655.4505,1627.8597,1545.0871,1434.7238
False,0.0,Курганская область,1,True,18000.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Чувашская Республика,1,False,8000.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Чувашская Республика,1,True,6716.0,15279.0,2956.4978,2211.7312,1828.0635,1624.9453,1534.6706,1354.1211,1331.5524,1263.8464,1173.5716
False,0.0,Нижегородская область,0,False,8000.0,21000.0,4063.5155,3039.8818,2512.5554,2233.3826,2109.3058,1861.1521,1830.1329,1737.0753,1612.9985
False,0.0,Нижегородская область,0,True,15279.0,15279.0,2956.4978,2211.7312,1828.0635,1624.9453,1534.6706,1354.1211,1331.5524,1263.8464,1173.5716
False,0.0,Воронежская область,2,False,8000.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Воронежская область,2,True,11280.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Алтайский край,2,False,8000.0,20303.0,3928.6455,2938.9867,2429.1625,2159.2555,2039.2969,1799.3796,1769.39,1679.421,1559.4623
False,0.0,Алтайский край,2,True,15984.0,20302.0,3928.452,2938.8419,2429.0428,2159.1492,2039.1965,1799.291,1769.3028,1679.3383,1559.3855
False,0.0,Республика Татарстан,0,False,8000.0,22242.0,4303.8434,3219.6691,2661.1551,2365.4712,2234.0561,1971.226,1938.3722,1839.8109,1708.3959
False,0.0,Республика Татарстан,0,True,15279.0,15279.0,2956.4978,2211.7312,1828.0635,1624.9453,1534.6706,1354.1211,1331.5524,1263.8464,1173.5716
False,0.0,Республика Башкортостан,0,False,3714.0,20000.0,3870.0148,2895.1256,2392.9099,2127.031,2008.8626,1772.5258,1742.9838,1654.3575,1536.1891
False,0.0,Республика Башкортостан,0,True,9359.0,18678.0,3614.2068,2703.7578,2234.7386,1986.4343,1876.0768,1655.3619,1627.7725,1545.0044,1434.647
False,0.0,Оренбургская область,2,False,9198.0,19000.0,3676.514,2750.3693,2273.2644,2020.6795,1908.4195,1683.8996,1655.8346,1571.6396,1459.3796
False,0.0,Ивановская область,1,False,8000.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Ивановская область,1,True,15984.0,16242.0,3142.839,2351.1315,1943.2821,1727.3619,1631.3973,1439.4682,1415.4771,1343.5037,1247.5391
False,0.0,Кировская область,1,False,8000.0,25000.0,4837.5185,3618.9069,2991.1374,2658.7888,2511.0783,2215.6573,2178.7297,2067.9468,1920.2363
False,0.0,Кировская область,1,True,9000.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Республика Мордовия,1,False,8000.0,31911.0,6174.8021,4619.3176,3818.0074,3393.7843,3205.2408,2828.1536,2781.0177,2639.61,2451.0665
False,0.0,Республика Мордовия,1,True,15279.0,15279.0,2956.4978,2211.7312,1828.0635,1624.9453,1534.6706,1354.1211,1331.5524,1263.8464,1173.5716
False,0.0,Волгоградская область,2,False,8000.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Удмуртская Республика,1,False,9198.0,18700.0,3618.4638,2706.9424,2237.3708,1988.774,1878.2866,1657.3117,1629.6898,1546.8242,1436.3368
False,0.0,Удмуртская Республика,1,True,15279.0,15279.0,2956.4978,2211.7312,1828.0635,1624.9453,1534.6706,1354.1211,1331.5524,1263.8464,1173.5716
False,0.0,Белгородская область,2,False,10913.0,30000.0,5805.0222,4342.6883,3589.3648,3190.5465,3013.2939,2658.7888,2614.4756,2481.5362,2304.2836
False,0.0,Астраханская область,1,False,6400.0,18000.0,3483.0133,2605.613,2153.6189,1914.3279,1807.9764,1595.2733,1568.6854,1488.9217,1382.5702
False,0.0,Астраханская область,1,True,12792.0,12792.0,2475.2614,1851.7223,1530.5052,1360.449,1284.8685,1133.7075,1114.8124,1058.127,982.5465
False,0.0,Свердловская область,0,False,9198.0,22297.0,4314.486,3227.6307,2667.7356,2371.3205,2239.5805,1976.1004,1943.1654,1844.3604,1712.6204
