is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)","Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",Вождение трамвая (1900_28),Соблюдение правил охраны труда (ОПТ) (3790_36),Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),Знание правил дорожного движения (1856_28),Пунктуальность (СК) (612_4),Склонность к здоровому образу жизни (СК) (1662_4),Внимательность (СК) (536_4),Коммуникабельность (СК) (617_4),"Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",Соблюдение графика движения автобуса по маршруту (1866_28)
False,0.0,Челябинская область,0,False,15000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Оренбургская область,2,False,15000.0,20259.0,4879.8626,3767.6266,2818.4409,1426.6901,1257.8166,1251.9934,1152.9986,879.307,844.3676,687.1406,681.3173,611.4386
False,0.0,Ростовская область,0,False,15000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Удмуртская Республика,1,False,18000.0,33000.0,7948.8359,6137.1084,4590.9744,2323.9437,2048.8646,2039.3791,1878.1259,1432.3081,1375.3952,1119.2872,1109.8017,995.9759
False,0.0,Иркутская область,1,False,18000.0,25000.0,6021.8454,4649.3245,3478.0109,1760.5634,1552.1702,1544.9842,1422.8227,1085.0819,1041.9661,847.9448,840.7588,754.5272
False,0.0,Новосибирская область,0,False,19000.0,25000.0,6021.8454,4649.3245,3478.0109,1760.5634,1552.1702,1544.9842,1422.8227,1085.0819,1041.9661,847.9448,840.7588,754.5272
False,0.0,Республика Башкортостан,0,False,15000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Свердловская область,0,False,18000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Томская область,1,False,15000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Приморский край,1,False,18000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Кемеровская область,1,False,15000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Алтайский край,2,False,15225.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Ульяновская область,1,False,19615.0,19615.0,4724.7399,3647.86,2728.8474,1381.338,1217.8327,1212.1946,1116.3467,851.3553,817.5266,665.2975,659.6594,592.002
False,0.0,Самарская область,0,False,15000.0,25000.0,6021.8454,4649.3245,3478.0109,1760.5634,1552.1702,1544.9842,1422.8227,1085.0819,1041.9661,847.9448,840.7588,754.5272
False,0.0,Чувашская Республика,1,False,15000.0,25000.0,6021.8454,4649.3245,3478.0109,1760.5634,1552.1702,1544.9842,1422.8227,1085.0819,1041.9661,847.9448,840.7588,754.5272
False,0.0,Республика Северная Осетия,1,False,16242.0,20259.0,4879.8626,3767.6266,2818.4409,1426.6901,1257.8166,1251.9934,1152.9986,879.307,844.3676,687.1406,681.3173,611.4386
False,0.0,Орловская область,1,False,18000.0,18000.0,4335.7287,3347.5137,2504.1679,1267.6056,1117.5625,1112.3886,1024.4323,781.259,750.2156,610.5203,605.3464,543.2596
False,0.0,Курская область,2,False,16242.0,35000.0,8430.5835,6509.0543,4869.2153,2464.7887,2173.0382,2162.9779,1991.9517,1519.1147,1458.7525,1187.1227,1177.0624,1056.338
False,0.0,Краснодарский край,0,False,25000.0,25000.0,6021.8454,4649.3245,3478.0109,1760.5634,1552.1702,1544.9842,1422.8227,1085.0819,1041.9661,847.9448,840.7588,754.5272
False,0.0,Смоленская область,1,False,18000.0,18000.0,4335.7287,3347.5137,2504.1679,1267.6056,1117.5625,1112.3886,1024.4323,781.259,750.2156,610.5203,605.3464,543.2596
False,0.0,Республика Крым,1,False,20259.0,20259.0,4879.8626,3767.6266,2818.4409,1426.6901,1257.8166,1251.9934,1152.9986,879.307,844.3676,687.1406,681.3173,611.4386
