is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)",Пунктуальность (СК) (612_4),Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),"Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",Дисциплинированность (СК) (593_4),Соблюдение правил дорожного движения (1847_28),"Общие знания (водитель трамвая, троллейбуса, трамвая) (1875_28)","Навыки, несвойственные водителю автобуса, троллейбуса, трамвая ( управление автомобилем) (1858_28)","Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",Соблюдение графика движения автобуса по маршруту (1866_28),Знание устройств и технического обслуживания автобуса (1905_28),Выполнение поручений руководителя (ОПТ) (3036_36),Навыки по техническому обслуживанию  автобуса (1910_28),Внимательность (СК) (536_4),Выполнение ремонтных работ (ОПТ) (8285_36),"Вождение транспортных средств (без привязки к автобусу, троллейбусу, трамваю) (1902_28)",Вежливость (СК) (581_4),Вождение автобуса (1899_28),Доброжелательность (СК) (1126_4),Знание правил дорожного движения (1856_28),Воспитанность (СК) (585_4),Стрессоустойчивость (СК) (601_4),Знание устройств и технического обслуживания транспортных средств( без привязки) (1908_28),Целеустремленность (СК) (588_4)
False,2.0,Ростовская область,0,False,8567.0,120000.0,15337.0787,13295.8801,12546.8165,10168.5393,8632.9588,8352.0599,7116.1049,4681.6479,4363.2959,4101.1236,3220.9738,3071.161,2865.1685,2659.176,2378.2772,2209.7378,2191.0112,2059.9251,2041.1985,1947.5655,1891.3858,1591.7603,1329.588,992.5094,955.0562
False,2.0,Республика Марий Эл,1,False,16242.0,31500.0,4025.9831,3490.1685,3293.5393,2669.2416,2266.1517,2192.4157,1867.9775,1228.9326,1145.3652,1076.5449,845.5056,806.1798,752.1067,698.0337,624.2978,580.0562,575.1404,540.7303,535.8146,511.236,496.4888,417.8371,349.0169,260.5337,250.7022
False,2.0,Республика Крым,1,False,16242.0,45900.0,5866.4326,5085.6742,4799.1573,3889.4663,3302.1067,3194.6629,2721.9101,1790.7303,1668.9607,1568.6798,1232.0225,1174.7191,1095.927,1017.1348,909.691,845.2247,838.0618,787.9213,780.7584,744.9438,723.4551,608.8483,508.5674,379.6348,365.309
False,2.0,Курская область,2,False,20000.0,70250.0,8978.5815,7783.6298,7345.1155,5952.8324,5053.878,4889.4351,4165.8864,2740.7147,2554.3461,2400.8661,1885.6117,1797.9089,1677.3174,1556.726,1392.2831,1293.6174,1282.6545,1205.9145,1194.9516,1140.1373,1107.2488,931.843,778.363,581.0315,559.1058
False,2.0,"иные территории, включая город и космодром Байконур",1,False,25000.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
False,2.0,Краснодарский край,0,False,17000.0,150000.0,19171.3483,16619.8502,15683.5206,12710.6742,10791.1985,10440.0749,8895.1311,5852.0599,5454.1199,5126.4045,4026.2172,3838.9513,3581.4607,3323.97,2972.8464,2762.1723,2738.764,2574.9064,2551.4981,2434.4569,2364.2322,1989.7004,1661.985,1240.6367,1193.8202
False,2.0,Краснодарский край,0,True,25500.0,30750.0,3930.1264,3407.0693,3215.1217,2605.6882,2212.1957,2140.2154,1823.5019,1199.6723,1118.0946,1050.9129,825.3745,786.985,734.1994,681.4139,609.4335,566.2453,561.4466,527.8558,523.0571,499.0637,484.6676,407.8886,340.7069,254.3305,244.7331
False,2.0,Московская область,2,False,18500.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Московская область,2,True,27500.0,45000.0,5751.4045,4985.9551,4705.0562,3813.2022,3237.3596,3132.0225,2668.5393,1755.618,1636.236,1537.9213,1207.8652,1151.6854,1074.4382,997.191,891.8539,828.6517,821.6292,772.4719,765.4494,730.3371,709.2697,596.9101,498.5955,372.191,358.1461
False,2.0,Ленинградская область,1,False,20000.0,55000.0,7029.4944,6093.9451,5750.6242,4660.5805,3956.7728,3828.0275,3261.5481,2145.7553,1999.8439,1879.6816,1476.2797,1407.6155,1313.2022,1218.789,1090.0437,1012.7965,1004.2135,944.1323,935.5493,892.6342,866.8851,729.5568,609.3945,454.9001,437.7341
False,2.0,Ленинградская область,1,True,42000.0,50000.0,6390.4494,5539.9501,5227.8402,4236.8914,3597.0662,3480.025,2965.0437,1950.6866,1818.04,1708.8015,1342.0724,1279.6504,1193.8202,1107.99,990.9488,920.7241,912.9213,858.3021,850.4994,811.4856,788.0774,663.2335,553.995,413.5456,397.9401
False,2.0,Волгоградская область,2,False,15000.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
False,2.0,Удмуртская Республика,1,False,15000.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Удмуртская Республика,1,True,25000.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
False,2.0,Нижегородская область,0,False,16242.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Нижегородская область,0,True,25000.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
False,2.0,Республика Татарстан,0,False,20000.0,110000.0,14058.9888,12187.8901,11501.2484,9321.161,7913.5456,7656.0549,6523.0961,4291.5106,3999.6879,3759.3633,2952.5593,2815.231,2626.4045,2437.578,2180.0874,2025.593,2008.427,1888.2647,1871.0986,1785.2684,1733.7703,1459.1136,1218.789,909.8002,875.4682
False,2.0,Саратовская область,2,False,21750.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Саратовская область,2,True,16000.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
False,2.0,Свердловская область,0,False,19000.0,110000.0,14058.9888,12187.8901,11501.2484,9321.161,7913.5456,7656.0549,6523.0961,4291.5106,3999.6879,3759.3633,2952.5593,2815.231,2626.4045,2437.578,2180.0874,2025.593,2008.427,1888.2647,1871.0986,1785.2684,1733.7703,1459.1136,1218.789,909.8002,875.4682
