is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Уход за растениями (685_14),Инициативность (СК) (610_4),Склонность к здоровому образу жизни (СК) (1662_4),"Выполнение работ по подготовке почвы к посадке и посеву древесно-кустарниковой, цветочно-декоративной растительности и газонных трав (4344_14)",Трудолюбие (СК) (597_4),Разработка технологии посева (посадки) сельскохозяйственных культур (270_14),Внимательность (СК) (536_4),Коммуникабельность (СК) (617_4),Выполнение операций формированию по уходу за газонами (4345_14),Высокая работоспособность (СК) (586_4),Выполнение поручений руководителя (ОПТ) (3036_36),Благоустройство и озеленение на территорий и объектов (4415_14),"Саморазвитие, обучаемость (СК) (604_4)"
True,0.0,Челябинская область,0,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Пензенская область,1,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Брянская область,1,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Саратовская область,2,False,33000.0,40000.0,6426.3646,5231.7199,4098.8671,3295.5716,3048.4037,1997.9403,1977.3429,1956.7456,1791.967,1730.1751,1503.6045,1297.6313,1235.8393,1174.0474,1112.2554,1071.0608,1050.4634
True,0.0,Ставропольский край,2,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Чувашская Республика,1,False,12847.5,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Самарская область,0,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Ярославская область,1,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Республика Мордовия,1,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Краснодарский край,0,False,13625.0,13625.0,2188.9804,1782.0546,1396.1766,1122.5541,1038.3625,680.5484,673.5324,666.5165,610.3888,589.3409,512.1653,442.0057,420.9578,399.9099,378.862,364.8301,357.8141
True,0.0,Волгоградская область,2,False,12847.5,15000.0,2409.8867,1961.895,1537.0752,1235.8393,1143.1514,749.2276,741.5036,733.7796,671.9876,648.8157,563.8517,486.6117,463.4398,440.2678,417.0958,401.6478,393.9238
True,0.0,Нижегородская область,0,False,12847.5,12847.5,2064.068,1680.363,1316.5049,1058.4964,979.1092,641.7134,635.0978,628.4822,575.5574,555.7106,482.939,416.783,396.9361,377.0893,357.2425,344.0113,337.3957
True,0.0,Воронежская область,2,False,12847.5,12847.5,2064.068,1680.363,1316.5049,1058.4964,979.1092,641.7134,635.0978,628.4822,575.5574,555.7106,482.939,416.783,396.9361,377.0893,357.2425,344.0113,337.3957
True,0.0,Тюменская область,1,False,13625.0,13625.0,2188.9804,1782.0546,1396.1766,1122.5541,1038.3625,680.5484,673.5324,666.5165,610.3888,589.3409,512.1653,442.0057,420.9578,399.9099,378.862,364.8301,357.8141
