is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Контроль и приемка продукции (4586_35),Дисциплинированность (СК) (593_4),Использование контрольно-измерительных инструментов (3479_35),Контроль качества изделий (3466_35),"Приемка деталей, узлов, изделий (4612_35)","Приемка деталей, узлов, изделий после механической и слесарной обработки (4611_35)",Знать систему допусков и посадок (3462_35),"Виды, устройство и назначение контрольно-измерительных инструментов и приборов (3482_35)","Контроль качества материалов, полуфабрикатов и комплектующих (4599_35)",Проверка взаимного положения сопрягаемых деталей (4969_35),Ведение учета (4195_35),Знать правила расчета координатных точек (8283_35),"Оформление сопроводительной документации по качеству, протоколов, сертификатов (4559_35)",Правила настройки и регулирования контрольно-измерительного инструмента (3480_35),Коммуникабельность (СК) (617_4),Порядок настройки и регулирования контрольно-измерительных инструментов и приборов (3481_35)
False,1.0,Белгородская область,2,False,17250.0,22000.0,6325.8603,2695.5162,2265.3806,2179.3535,2144.9426,888.9468,716.8926,682.4818,642.3358,544.8384,458.8113,407.195,361.3139,349.8436,344.1084,338.3733,338.3733,315.4327
False,1.0,Республика Башкортостан,0,False,15193.0,44000.0,12651.7205,5391.0323,4530.7612,4358.707,4289.8853,1777.8936,1433.7852,1364.9635,1284.6715,1089.6767,917.6225,814.39,722.6277,699.6872,688.2169,676.7466,676.7466,630.8655
False,1.0,Республика Татарстан,0,False,17250.0,90000.0,25878.5193,11027.1116,9267.4661,8915.537,8774.7654,3636.6006,2932.7424,2791.9708,2627.7372,2228.8843,1876.9552,1665.7977,1478.1022,1431.1783,1407.7164,1384.2544,1384.2544,1290.4067
False,1.0,Свердловская область,0,False,15000.0,42000.0,12076.6423,5145.9854,4324.8175,4160.5839,4094.8905,1697.0803,1368.6131,1302.9197,1226.2774,1040.146,875.9124,777.3723,689.781,667.8832,656.9343,645.9854,645.9854,602.1898
False,1.0,Владимирская область,1,False,15000.0,31450.0,9043.1048,3853.3629,3238.4645,3115.4849,3066.293,1270.7899,1024.8306,975.6387,918.2482,778.8712,655.8916,582.1038,516.5146,500.1173,491.9187,483.72,483.72,450.9254
False,1.0,Чувашская Республика,1,False,15000.0,40000.0,11501.5641,4900.9385,4118.8738,3962.4609,3899.8957,1616.2669,1303.4411,1240.8759,1167.8832,990.6152,834.2023,740.3545,656.9343,636.0792,625.6517,615.2242,615.2242,573.5141
False,1.0,Омская область,1,False,15000.0,45000.0,12939.2596,5513.5558,4633.7331,4457.7685,4387.3827,1818.3003,1466.3712,1395.9854,1313.8686,1114.4421,938.4776,832.8989,739.0511,715.5892,703.8582,692.1272,692.1272,645.2033
False,1.0,Челябинская область,0,False,15000.0,45000.0,12939.2596,5513.5558,4633.7331,4457.7685,4387.3827,1818.3003,1466.3712,1395.9854,1313.8686,1114.4421,938.4776,832.8989,739.0511,715.5892,703.8582,692.1272,692.1272,645.2033
False,1.0,Алтайский край,2,False,15000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,1.0,Кировская область,1,False,15000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,1.0,Ярославская область,1,False,15000.0,39800.0,11444.0563,4876.4338,4098.2795,3942.6486,3880.3962,1608.1856,1296.9239,1234.6715,1162.0438,985.6621,830.0313,736.6528,653.6496,632.8989,622.5235,612.1481,612.1481,570.6465
False,1.0,Томская область,1,False,17000.0,36000.0,10351.4077,4410.8446,3706.9864,3566.2148,3509.9062,1454.6403,1173.097,1116.7883,1051.0949,891.5537,750.7821,666.3191,591.2409,572.4713,563.0865,553.7018,553.7018,516.1627
False,1.0,Костромская область,1,False,17000.0,18000.0,5175.7039,2205.4223,1853.4932,1783.1074,1754.9531,727.3201,586.5485,558.3942,525.5474,445.7769,375.391,333.1595,295.6204,286.2357,281.5433,276.8509,276.8509,258.0813
False,1.0,Ставропольский край,2,False,15000.0,30450.0,8755.5657,3730.8394,3135.4927,3016.4234,2968.7956,1230.3832,992.2445,944.6168,889.0511,754.1058,635.0365,563.5949,500.0912,484.2153,476.2774,468.3394,468.3394,436.5876
False,1.0,Курганская область,1,False,15000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,1.0,Саратовская область,2,False,15000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,1.0,Волгоградская область,2,False,15000.0,35000.0,10063.8686,4288.3212,3604.0146,3467.1533,3412.4088,1414.2336,1140.5109,1085.7664,1021.8978,866.7883,729.927,647.8102,574.8175,556.5693,547.4453,538.3212,538.3212,501.8248
False,1.0,Вологодская область,1,False,15000.0,39800.0,11444.0563,4876.4338,4098.2795,3942.6486,3880.3962,1608.1856,1296.9239,1234.6715,1162.0438,985.6621,830.0313,736.6528,653.6496,632.8989,622.5235,612.1481,612.1481,570.6465
False,1.0,Ивановская область,1,False,16000.0,16000.0,4600.6257,1960.3754,1647.5495,1584.9844,1559.9583,646.5068,521.3764,496.3504,467.1533,396.2461,333.6809,296.1418,262.7737,254.4317,250.2607,246.0897,246.0897,229.4056
False,1.0,Республика Бурятия,1,False,25000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,1.0,Республика Северная Осетия,1,False,19500.0,19500.0,5607.0125,2389.2075,2007.951,1931.6997,1901.1992,787.9301,635.4275,604.927,569.3431,482.9249,406.6736,360.9228,320.2555,310.0886,305.0052,299.9218,299.9218,279.5881
