is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Планировка площадей при устройстве насыпей (3129_10),Планировка площадей при устройстве выемок (2664_10),Высокая работоспособность (СК) (586_4),Склонность к здоровому образу жизни (СК) (1662_4),ТОиР бульдозеров (3176_10),Планировочные работы (5021_10),Командность (СК) (1371_4),Заправка бульдозера ГСМ (3224_10),Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),Знание технического устройства бульдозеров (2976_10),Умение выявлять и устранять неисправности (3343_10),Выполнение ремонтных работ (ОПТ) (8285_36),Коммуникабельность (СК) (617_4),Стрессоустойчивость (СК) (601_4),Соблюдение правил охраны труда (ОПТ) (3790_36),Умение управлять бульдозером (3193_10),Монтаж-демонтаж навесного оборудования (3227_10),Пунктуальность (СК) (612_4),Внимательность (СК) (536_4),Погрузо-разгрузочные работы (3184_10),Выполнение работ бульдозерами (4974_10),Трудолюбие (СК) (597_4),Нравственность (СК) (622_4),Профилирование и подчистка откаточных путей (3183_10),Соблюдение правовых и нормативных документов (6145_10)
False,1.0,Республика Северная Осетия,1,False,8560.0,78000.0,18381.6939,10649.8291,5539.6886,3939.9924,3414.1664,3303.0763,3043.8663,2806.8743,2518.0403,2377.3262,1903.3422,1821.8762,1651.5382,1555.2602,1540.4482,1325.6741,1288.6441,1266.4261,1125.7121,1044.2461,1029.4341,984.9981,984.9981,947.9681,940.5621,903.5321,866.5021,844.2841
False,1.0,Республика Крым,1,False,8100.0,160000.0,37706.0387,21845.8033,11363.4637,8082.0357,7003.4182,6775.5412,6243.8283,5757.6908,5165.2108,4876.5667,3904.2917,3737.1819,3387.7706,3190.2773,3159.8937,2719.3316,2643.3726,2597.7972,2309.1531,2142.0433,2111.6597,2020.5089,2020.5089,1944.5499,1929.3581,1853.3992,1777.4402,1731.8648
False,1.0,Ленинградская область,1,False,11200.0,80000.0,18853.0194,10922.9016,5681.7319,4041.0179,3501.7091,3387.7706,3121.9142,2878.8454,2582.6054,2438.2833,1952.1458,1868.591,1693.8853,1595.1386,1579.9468,1359.6658,1321.6863,1298.8986,1154.5765,1071.0216,1055.8299,1010.2545,1010.2545,972.275,964.6791,926.6996,888.7201,865.9324
False,1.0,Ставропольский край,2,False,18500.0,135000.0,31814.4702,18432.3965,9587.9225,6819.2176,5909.1341,5716.8629,5268.2302,4858.0517,4358.1466,4114.6031,3294.2461,3153.2472,2858.4314,2691.7964,2666.1603,2294.436,2230.3456,2191.8914,1948.3479,1807.349,1781.7129,1704.8044,1704.8044,1640.714,1627.8959,1563.8055,1499.7152,1461.2609
False,1.0,Брянская область,1,False,20000.0,140000.0,32992.7839,19115.0779,9943.0308,7071.7812,6127.9909,5928.5986,5463.3498,5037.9795,4519.5594,4266.9958,3416.2552,3270.0342,2964.2993,2791.4926,2764.907,2379.4151,2312.951,2273.0725,2020.5089,1874.2879,1847.7022,1767.9453,1767.9453,1701.4812,1688.1884,1621.7243,1555.2602,1515.3817
False,1.0,Кемеровская область,1,False,18500.0,135000.0,31814.4702,18432.3965,9587.9225,6819.2176,5909.1341,5716.8629,5268.2302,4858.0517,4358.1466,4114.6031,3294.2461,3153.2472,2858.4314,2691.7964,2666.1603,2294.436,2230.3456,2191.8914,1948.3479,1807.349,1781.7129,1704.8044,1704.8044,1640.714,1627.8959,1563.8055,1499.7152,1461.2609
False,1.0,Нижегородская область,0,False,18500.0,135000.0,31814.4702,18432.3965,9587.9225,6819.2176,5909.1341,5716.8629,5268.2302,4858.0517,4358.1466,4114.6031,3294.2461,3153.2472,2858.4314,2691.7964,2666.1603,2294.436,2230.3456,2191.8914,1948.3479,1807.349,1781.7129,1704.8044,1704.8044,1640.714,1627.8959,1563.8055,1499.7152,1461.2609
False,1.0,Чувашская Республика,1,False,20000.0,135000.0,31814.4702,18432.3965,9587.9225,6819.2176,5909.1341,5716.8629,5268.2302,4858.0517,4358.1466,4114.6031,3294.2461,3153.2472,2858.4314,2691.7964,2666.1603,2294.436,2230.3456,2191.8914,1948.3479,1807.349,1781.7129,1704.8044,1704.8044,1640.714,1627.8959,1563.8055,1499.7152,1461.2609
False,1.0,Калужская область,1,False,18500.0,110000.0,25922.9016,15018.9897,7812.3813,5556.3995,4814.85,4658.1846,4292.632,3958.4125,3551.0824,3352.6396,2684.2005,2569.3126,2329.0923,2193.3156,2172.4269,1869.5404,1817.3186,1785.9856,1587.5427,1472.6548,1451.766,1389.0999,1389.0999,1336.8781,1326.4337,1274.2119,1221.9901,1190.657
False,1.0,Тверская область,1,False,18500.0,110000.0,25922.9016,15018.9897,7812.3813,5556.3995,4814.85,4658.1846,4292.632,3958.4125,3551.0824,3352.6396,2684.2005,2569.3126,2329.0923,2193.3156,2172.4269,1869.5404,1817.3186,1785.9856,1587.5427,1472.6548,1451.766,1389.0999,1389.0999,1336.8781,1326.4337,1274.2119,1221.9901,1190.657
