is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ автогрейдером ДЗ-98 (5809_10),Обслуживание и ремонт автогрейдера (5753_10),Умение проводить техническое обслуживание автогрейдера (5744_10),Высокая работоспособность (СК) (586_4),Стрессоустойчивость (СК) (601_4),Командность (СК) (1371_4),Коммуникабельность (СК) (617_4),Выполнение ремонтных работ (ОПТ) (8285_36),Соблюдение правил охраны труда (ОПТ) (3790_36),Планировочные работы при помощи автогрейдера (5378_10),Знание технического устройства автогрейдера (5757_10),Содержание техники в исправном состоянии (4981_10),Обслуживание технологических дорог (5748_10),Умение управлять автогрейдером (5389_10),Соблюдение требований техники безопасности и правил эксплуатации (4980_10),Нравственность (СК) (622_4),Выполнение работ на строительных площадках (4996_10),Срезка грунта (5046_10),Профилирование дорог (5381_10),Очистка дорожного полотна (5376_10),Умение проводить техническое обслуживание техники (5745_10),Заправка автогрейдера ГСМ (5742_10),Сооружение насыпей (3141_10),Умение устранять неисправности (3345_10),Пунктуальность (СК) (612_4),Выполнение механизированных работ автогрейдером (6004_10),Внимательность (СК) (536_4),Планировочные работы (5021_10),ТО и Р техники (6134_10),Очистка дорожного полотна и территорий (5913_10),Знание правил ОТ и ПБ (6013_10),Планировочные дорожные работы (3133_10),Аккуратность (СК) (575_4)
False,2.0,"иные территории, включая город и космодром Байконур",1,False,16762.0,16762.0,4865.9462,1863.4569,1168.6472,611.6604,520.5378,489.7839,476.1155,468.1423,459.03,446.5007,411.1907,354.2391,350.822,315.512,312.0949,293.8703,267.6726,240.3358,234.6407,225.5284,201.6087,197.0526,174.2719,167.4378,166.2987,161.7426,153.7694,151.4913,150.3523,149.2132,130.9887,118.4594,117.3203,116.1813,115.0423,115.0423
False,2.0,Рязанская область,1,False,20492.0,120000.0,34835.5531,13340.5817,8366.4039,4378.9073,3726.5561,3506.3876,3408.5349,3351.4542,3286.2191,3196.5208,2943.7347,2536.0152,2511.5521,2258.766,2234.3028,2103.8326,1916.2816,1720.5762,1679.8043,1614.5692,1443.327,1410.7094,1247.6216,1198.6953,1190.5409,1157.9233,1100.8426,1084.5338,1076.3795,1068.2251,937.7548,848.0565,839.9021,831.7478,823.5934,823.5934
False,2.0,Ленинградская область,1,False,24000.0,120000.0,34835.5531,13340.5817,8366.4039,4378.9073,3726.5561,3506.3876,3408.5349,3351.4542,3286.2191,3196.5208,2943.7347,2536.0152,2511.5521,2258.766,2234.3028,2103.8326,1916.2816,1720.5762,1679.8043,1614.5692,1443.327,1410.7094,1247.6216,1198.6953,1190.5409,1157.9233,1100.8426,1084.5338,1076.3795,1068.2251,937.7548,848.0565,839.9021,831.7478,823.5934,823.5934
False,2.0,Тверская область,1,False,15500.0,120000.0,34835.5531,13340.5817,8366.4039,4378.9073,3726.5561,3506.3876,3408.5349,3351.4542,3286.2191,3196.5208,2943.7347,2536.0152,2511.5521,2258.766,2234.3028,2103.8326,1916.2816,1720.5762,1679.8043,1614.5692,1443.327,1410.7094,1247.6216,1198.6953,1190.5409,1157.9233,1100.8426,1084.5338,1076.3795,1068.2251,937.7548,848.0565,839.9021,831.7478,823.5934,823.5934
False,2.0,Пензенская область,1,False,15500.0,150000.0,43544.4414,16675.7271,10458.0049,5473.6341,4658.1952,4382.9845,4260.6687,4189.3177,4107.7739,3995.651,3679.6684,3170.019,3139.4401,2823.4575,2792.8785,2629.7907,2395.352,2150.7203,2099.7554,2018.2115,1804.1587,1763.3868,1559.527,1498.3691,1488.1761,1447.4042,1376.0533,1355.6673,1345.4743,1335.2813,1172.1935,1060.0707,1049.8777,1039.6847,1029.4917,1029.4917
False,2.0,Ставропольский край,2,False,15500.0,130000.0,37738.5159,14452.2968,9063.6042,4743.8163,4037.1025,3798.5866,3692.5795,3630.742,3560.0707,3462.8975,3189.0459,2747.3498,2720.8481,2446.9965,2420.4947,2279.1519,2075.9717,1863.9576,1819.788,1749.1166,1563.6042,1528.2686,1351.5901,1298.5866,1289.7527,1254.417,1192.5795,1174.9117,1166.0777,1157.2438,1015.9011,918.7279,909.894,901.0601,892.2261,892.2261
False,2.0,Смоленская область,1,False,19500.0,120000.0,34835.5531,13340.5817,8366.4039,4378.9073,3726.5561,3506.3876,3408.5349,3351.4542,3286.2191,3196.5208,2943.7347,2536.0152,2511.5521,2258.766,2234.3028,2103.8326,1916.2816,1720.5762,1679.8043,1614.5692,1443.327,1410.7094,1247.6216,1198.6953,1190.5409,1157.9233,1100.8426,1084.5338,1076.3795,1068.2251,937.7548,848.0565,839.9021,831.7478,823.5934,823.5934
False,2.0,Карачаево-Черкесская Республика,1,False,24250.0,45000.0,13063.3324,5002.7181,3137.4015,1642.0902,1397.4585,1314.8954,1278.2006,1256.7953,1232.3322,1198.6953,1103.9005,951.0057,941.832,847.0372,837.8635,788.9372,718.6056,645.2161,629.9266,605.4634,541.2476,529.016,467.8581,449.5107,446.4528,434.2213,412.816,406.7002,403.6423,400.5844,351.6581,318.0212,314.9633,311.9054,308.8475,308.8475
False,2.0,Республика Крым,1,False,23096.0,120000.0,34835.5531,13340.5817,8366.4039,4378.9073,3726.5561,3506.3876,3408.5349,3351.4542,3286.2191,3196.5208,2943.7347,2536.0152,2511.5521,2258.766,2234.3028,2103.8326,1916.2816,1720.5762,1679.8043,1614.5692,1443.327,1410.7094,1247.6216,1198.6953,1190.5409,1157.9233,1100.8426,1084.5338,1076.3795,1068.2251,937.7548,848.0565,839.9021,831.7478,823.5934,823.5934
False,2.0,Алтайский край,2,False,20000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Кировская область,1,False,25000.0,40000.0,11611.851,4446.8606,2788.8013,1459.6358,1242.1854,1168.7959,1136.1783,1117.1514,1095.4064,1065.5069,981.2449,845.3384,837.184,752.922,744.7676,701.2775,638.7605,573.5254,559.9348,538.1897,481.109,470.2365,415.8739,399.5651,396.847,385.9744,366.9475,361.5113,358.7932,356.075,312.5849,282.6855,279.9674,277.2493,274.5311,274.5311
False,2.0,Воронежская область,2,False,19000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Краснодарский край,0,False,20000.0,170000.0,49350.3669,18899.1574,11852.4055,6203.452,5279.2878,4967.3824,4828.7578,4747.8934,4655.477,4528.4045,4170.2908,3592.6882,3558.0321,3199.9185,3165.2623,2980.4295,2714.7323,2437.483,2379.7228,2287.3063,2044.7132,1998.505,1767.464,1698.1517,1686.5996,1640.3914,1559.527,1536.4229,1524.8709,1513.3188,1328.486,1201.4134,1189.8614,1178.3093,1166.7573,1166.7573
False,2.0,Псковская область,1,False,34800.0,100000.0,29029.6276,11117.1514,6972.0033,3649.0894,3105.4634,2921.9897,2840.4458,2792.8785,2738.5159,2663.7673,2453.1123,2113.346,2092.96,1882.305,1861.919,1753.1938,1596.9013,1433.8135,1399.8369,1345.4743,1202.7725,1175.5912,1039.6847,998.9127,992.1174,964.9361,917.3689,903.7782,896.9829,890.1876,781.4624,706.7138,699.9185,693.1231,686.3278,686.3278
False,2.0,Вологодская область,1,False,110000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Волгоградская область,2,False,20000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Орловская область,1,False,60000.0,60000.0,17417.7766,6670.2908,4183.202,2189.4537,1863.2781,1753.1938,1704.2675,1675.7271,1643.1095,1598.2604,1471.8674,1268.0076,1255.776,1129.383,1117.1514,1051.9163,958.1408,860.2881,839.9021,807.2846,721.6635,705.3547,623.8108,599.3476,595.2705,578.9617,550.4213,542.2669,538.1897,534.1125,468.8774,424.0283,419.9511,415.8739,411.7967,411.7967
False,2.0,Республика Карелия,1,False,40000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Республика Коми,1,False,20000.0,160000.0,46447.4042,17787.4422,11155.2052,5838.5431,4968.7415,4675.1835,4544.7132,4468.6056,4381.6254,4262.0277,3924.9796,3381.3536,3348.7361,3011.688,2979.0704,2805.1101,2555.0421,2294.1017,2239.7391,2152.7589,1924.436,1880.9459,1663.4955,1598.2604,1587.3879,1543.8978,1467.7902,1446.0451,1435.1726,1424.3001,1250.3398,1130.742,1119.8695,1108.997,1098.1245,1098.1245
False,2.0,Ульяновская область,1,False,15000.0,70000.0,20320.7393,7782.006,4880.4023,2554.3626,2173.8244,2045.3928,1988.312,1955.0149,1916.9611,1864.6371,1717.1786,1479.3422,1465.072,1317.6135,1303.3433,1227.2357,1117.8309,1003.6695,979.8858,941.832,841.9407,822.9138,727.7793,699.2389,694.4822,675.4553,642.1582,632.6447,627.888,623.1313,547.0236,494.6996,489.9429,485.1862,480.4295,480.4295
False,2.0,Владимирская область,1,False,30000.0,130000.0,37738.5159,14452.2968,9063.6042,4743.8163,4037.1025,3798.5866,3692.5795,3630.742,3560.0707,3462.8975,3189.0459,2747.3498,2720.8481,2446.9965,2420.4947,2279.1519,2075.9717,1863.9576,1819.788,1749.1166,1563.6042,1528.2686,1351.5901,1298.5866,1289.7527,1254.417,1192.5795,1174.9117,1166.0777,1157.2438,1015.9011,918.7279,909.894,901.0601,892.2261,892.2261
False,2.0,Республика Башкортостан,0,False,20000.0,130000.0,37738.5159,14452.2968,9063.6042,4743.8163,4037.1025,3798.5866,3692.5795,3630.742,3560.0707,3462.8975,3189.0459,2747.3498,2720.8481,2446.9965,2420.4947,2279.1519,2075.9717,1863.9576,1819.788,1749.1166,1563.6042,1528.2686,1351.5901,1298.5866,1289.7527,1254.417,1192.5795,1174.9117,1166.0777,1157.2438,1015.9011,918.7279,909.894,901.0601,892.2261,892.2261
False,2.0,Тульская область,1,False,21240.0,40000.0,11611.851,4446.8606,2788.8013,1459.6358,1242.1854,1168.7959,1136.1783,1117.1514,1095.4064,1065.5069,981.2449,845.3384,837.184,752.922,744.7676,701.2775,638.7605,573.5254,559.9348,538.1897,481.109,470.2365,415.8739,399.5651,396.847,385.9744,366.9475,361.5113,358.7932,356.075,312.5849,282.6855,279.9674,277.2493,274.5311,274.5311
False,2.0,Свердловская область,0,False,20000.0,130000.0,37738.5159,14452.2968,9063.6042,4743.8163,4037.1025,3798.5866,3692.5795,3630.742,3560.0707,3462.8975,3189.0459,2747.3498,2720.8481,2446.9965,2420.4947,2279.1519,2075.9717,1863.9576,1819.788,1749.1166,1563.6042,1528.2686,1351.5901,1298.5866,1289.7527,1254.417,1192.5795,1174.9117,1166.0777,1157.2438,1015.9011,918.7279,909.894,901.0601,892.2261,892.2261
False,2.0,Нижегородская область,0,False,21240.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Курская область,2,False,25000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Тамбовская область,2,False,70000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
False,2.0,Чукотский автономный округ,1,False,60000.0,110000.0,31932.5904,12228.8665,7669.2036,4013.9984,3416.0098,3214.1886,3124.4904,3072.1663,3012.3675,2930.1441,2698.4235,2324.6806,2302.256,2070.5355,2048.1109,1928.5132,1756.5915,1577.1949,1539.8206,1480.0217,1323.0497,1293.1503,1143.6532,1098.804,1091.3292,1061.4297,1009.1057,994.156,986.6812,979.2063,859.6086,777.3852,769.9103,762.4354,754.9606,754.9606
