is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ на строительных площадках (4996_10),Управление трубоукладчиком Komatsu D355 (6293_10),Знание устройства и технических характеристик машин и агрегатов (3181_10),ТО и Р трубоукладчиков (6390_10),Управление трубоукладчиком Komatsu (6292_10),Дисциплинированность (СК) (593_4),Стыковка и укладка трубы в траншею (6406_10),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),Погрузо-разгрузочные работы на погрузчике (6276_10),Монтаж-демонтаж механизмов (6407_10),Навыки управления трубоукладчиком (6290_10),Трудолюбие (СК) (597_4),Контроль исправности строп и съёмных грузозахватных приспособлений (6433_10),Пунктуальность (СК) (612_4),Выполнение работ по прокладке трубопроводов (6419_10),Выполнение работ по прокладке трубопроводов трубоукладчиком (6420_10),Управление трубоукладчиком Liebherr (6377_10),"Управление трубоукладчиком Liebherr RL, Komatsu D355 (6367_10)",Знание устройства и принципов работы трубоукладчика (6280_10),"Управление трубоукладчиком Komatsu, Caterpillar (6366_10)",Управление трубоукладчиком среднего класса (6439_10),Работа в сварочно-монтажных бригадах (6404_10),Настройка и регулировка механизмов (6451_10),Пусто2 (6392_10),Нравственность (СК) (622_4),Определение правильности и надежности строповки грузов (6400_10),Контроль соответствия съёмных грузозахватных приспособлений массе и характеру груза (6409_10),Командность (СК) (1371_4),Заправка бульдозера ГСМ (3224_10),Выявление и устранение неисправностей в работе машины (6411_10),Управление трубоукладчиком Caterpillar (6376_10),Управление краном при выполнении строительных монтажных работ (6291_10),Контрольный осмотр и проверка исправности агрегатов трубоукладчика (6431_10),Монтаж/установка опалубки (305_10)
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,36800.0,125000.0,15833.3333,12250.0,9133.3333,6150.0,5775.0,5633.3333,5250.0,4775.0,4516.6667,3783.3333,3775.0,3633.3333,3491.6667,3483.3333,3425.0,3250.0,2800.0,2658.3333,2625.0,2241.6667,1941.6667,1741.6667,1541.6667,1441.6667,1433.3333,1366.6667,1341.6667,1300.0,1250.0,1000.0,991.6667,950.0,875.0,816.6667,741.6667,683.3333,650.0,450.0
False,2.0,Республика Коми,1,False,60000.0,110000.0,13933.3333,10780.0,8037.3333,5412.0,5082.0,4957.3333,4620.0,4202.0,3974.6667,3329.3333,3322.0,3197.3333,3072.6667,3065.3333,3014.0,2860.0,2464.0,2339.3333,2310.0,1972.6667,1708.6667,1532.6667,1356.6667,1268.6667,1261.3333,1202.6667,1180.6667,1144.0,1100.0,880.0,872.6667,836.0,770.0,718.6667,652.6667,601.3333,572.0,396.0
False,2.0,Ростовская область,0,False,160000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Алтайский край,2,False,126000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Республика Башкортостан,0,False,45000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Красноярский край,1,False,70000.0,122000.0,15453.3333,11956.0,8914.1333,6002.4,5636.4,5498.1333,5124.0,4660.4,4408.2667,3692.5333,3684.4,3546.1333,3407.8667,3399.7333,3342.8,3172.0,2732.8,2594.5333,2562.0,2187.8667,1895.0667,1699.8667,1504.6667,1407.0667,1398.9333,1333.8667,1309.4667,1268.8,1220.0,976.0,967.8667,927.2,854.0,797.0667,723.8667,666.9333,634.4,439.2
False,2.0,Тюменская область,1,False,45000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Нижегородская область,0,False,40000.0,150000.0,19000.0,14700.0,10960.0,7380.0,6930.0,6760.0,6300.0,5730.0,5420.0,4540.0,4530.0,4360.0,4190.0,4180.0,4110.0,3900.0,3360.0,3190.0,3150.0,2690.0,2330.0,2090.0,1850.0,1730.0,1720.0,1640.0,1610.0,1560.0,1500.0,1200.0,1190.0,1140.0,1050.0,980.0,890.0,820.0,780.0,540.0
False,2.0,Республика Татарстан,0,False,100000.0,142000.0,17986.6667,13916.0,10375.4667,6986.4,6560.4,6399.4667,5964.0,5424.4,5130.9333,4297.8667,4288.4,4127.4667,3966.5333,3957.0667,3890.8,3692.0,3180.8,3019.8667,2982.0,2546.5333,2205.7333,1978.5333,1751.3333,1637.7333,1628.2667,1552.5333,1524.1333,1476.8,1420.0,1136.0,1126.5333,1079.2,994.0,927.7333,842.5333,776.2667,738.4,511.2
False,2.0,Самарская область,0,False,70000.0,140000.0,17733.3333,13720.0,10229.3333,6888.0,6468.0,6309.3333,5880.0,5348.0,5058.6667,4237.3333,4228.0,4069.3333,3910.6667,3901.3333,3836.0,3640.0,3136.0,2977.3333,2940.0,2510.6667,2174.6667,1950.6667,1726.6667,1614.6667,1605.3333,1530.6667,1502.6667,1456.0,1400.0,1120.0,1110.6667,1064.0,980.0,914.6667,830.6667,765.3333,728.0,504.0
