is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",(крановщик) Управление автомобильным краном (5200_30),Дисциплинированность (СК) (593_4),(крановщик) Управление мостовыми кранами (5203_30),(стропальщик) Работы по погрузке выгрузке (обобщенные) (1941_30),"Личные установки и ценности, мировоззрение (2043_4)",Аккуратность (СК) (575_4),(крановщик) Работа на кране (4417_30),(крановщик) Эксплуатация мостовых кранов (4866_30),"(крановщик) Эксплуатация пневмоколесных, гусеничных кранов (5011_30)",(АГП) Обслуживание и ремонт (3691_30),(крановщик) Выполнять погрузочно-разгрузочные работы (5355_30),(крановщик) Управление автомобильным краном 25-60т (5201_30),(АГП) Выявление и устранение неисправностей (4337_30),Склонность к здоровому образу жизни (СК) (1662_4),Командность (СК) (1371_4),(крановщик) автокран сортировка (5219_30),"(крановщик) (Проходная) Управление грузоподъемными механизмами, кранами, и специальными погрузочными машинами (4416_30)",(крановщик) Знание устройства и конструктивных особенностей ГПМ (4831_30),(крановщик) Подготовка крана (4419_30),(крановщик) Управление пневмоколесными кранами (5209_30),(крановщик) Регулирование грузоподъемных механизмов и погрузочных устройств (5390_30),Высокая работоспособность (СК) (586_4),(крановщик) Управление шлюзовыми кранами (5211_30),(крановщик) Эксплуатация автомобильного крана (5009_30),(крановщик) Погрузка-разгрузка (4421_30),"(крановщик) Осмотр, обслуживание креплений, и регулировка механизмов (5388_30)",(крановщик) Техническое обслуживание и ремонт грузоподъемного механизма (5414_30),(крановщик) Перемещение различных грузов (5331_30),(крановщик) Управление механизмами крана (5226_30),Коммуникабельность (СК) (617_4),(крановщик) Неоднородные группы разбор (5302_30),(крановщик) Выявление и устранение неисправностей обслуживаемых автокранов грузоподъемных механизмов машин (4829_30)
False,2.0,"иные территории, включая город и космодром Байконур",1,False,16762.0,16762.0,2413.6524,1768.7526,1587.9647,1019.9672,963.3023,940.3665,688.0731,601.7267,592.2825,578.7909,549.1093,477.6037,383.1623,373.7181,337.2907,294.1175,267.1343,263.0868,237.4527,221.2627,213.1677,202.3744,190.232,184.8353,176.7403,168.6454,168.6454,163.2487,155.1537,149.7571,149.7571,144.3604,136.2655
False,2.0,Республика Северная Осетия,1,False,12000.0,60000.0,8639.7296,6331.2943,5684.1597,3650.9981,3448.1648,3366.0657,2462.9749,2153.8957,2120.0901,2071.7965,1965.5505,1709.5943,1371.539,1337.7334,1207.3406,1052.801,956.2138,941.7257,849.9678,792.0155,763.0393,724.4044,680.9401,661.6227,632.6465,603.6703,603.6703,584.3529,555.3767,536.0592,536.0592,516.7418,487.7656
False,2.0,Московская область,2,False,24000.0,130000.0,18719.414,13717.8042,12315.6793,7910.4958,7471.0238,7293.1423,5336.4456,4666.774,4593.5287,4488.8925,4258.6929,3704.1211,2971.6677,2898.4224,2615.9047,2281.0689,2071.7965,2040.4057,1841.5969,1716.0335,1653.2518,1569.5428,1475.3703,1433.5158,1370.7341,1307.9524,1307.9524,1266.0979,1203.3162,1161.4617,1161.4617,1119.6072,1056.8255
False,2.0,Московская область,2,True,28489.75,35000.0,5039.8422,3693.255,3315.7598,2129.7489,2011.4295,1963.5383,1436.7354,1256.4392,1236.7193,1208.548,1146.5712,997.2634,800.0644,780.3445,704.282,614.1339,557.7914,549.34,495.8146,462.009,445.1062,422.5692,397.2151,385.9466,369.0438,352.141,352.141,340.8725,323.9697,312.7012,312.7012,301.4327,284.5299
False,2.0,Саратовская область,2,False,17000.0,190000.0,27359.1436,20049.0985,17999.839,11561.4939,10919.1887,10659.208,7799.4205,6820.6697,6713.6188,6560.689,6224.2434,5413.7154,4343.2067,4236.1558,3823.2453,3333.8699,3028.0103,2982.1314,2691.5647,2508.0489,2416.291,2293.9472,2156.3104,2095.1384,2003.3806,1911.6227,1911.6227,1850.4507,1758.6929,1697.5209,1697.5209,1636.349,1544.5911
False,2.0,Город федерального значения Санкт-Петербург,0,False,25000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Свердловская область,0,False,24000.0,175000.0,25199.2112,18466.275,16578.7991,10648.7444,10057.1475,9817.6916,7183.6768,6282.1958,6183.5963,6042.7399,5732.8558,4986.3168,4000.322,3901.7225,3521.4102,3070.6697,2788.9569,2746.6999,2479.0728,2310.0451,2225.5312,2112.8461,1986.0753,1929.7328,1845.2189,1760.7051,1760.7051,1704.3625,1619.8487,1563.5061,1563.5061,1507.1636,1422.6497
False,2.0,Волгоградская область,2,False,24000.0,180000.0,25919.1887,18993.8828,17052.4791,10952.9942,10344.4945,10098.197,7388.9247,6461.6871,6360.2704,6215.3896,5896.6516,5128.783,4114.6169,4013.2003,3622.0219,3158.4031,2868.6413,2825.1771,2549.9034,2376.0464,2289.1178,2173.2131,2042.8203,1984.868,1897.9395,1811.0109,1811.0109,1753.0586,1666.1301,1608.1777,1608.1777,1550.2254,1463.2968
False,2.0,Воронежская область,2,False,24000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Ярославская область,1,False,24000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
